Date,Open,High,Low,Close,Volume
2022-12-23,273.0,273.0,218.4,218.4,1712658.0
2022-12-26,215.0,218.0,200.0,202.5,1184182.0
2022-12-27,204.9,213.5,204.05,204.75,555445.0
2022-12-28,204.7,207.55,200.05,202.1,447786.0
2022-12-29,201.0,201.9,193.35,193.85,395919.0
2022-12-30,197.6,197.6,188.0,190.1,208697.0
2023-01-02,192.5,196.0,187.0,189.4,290026.0
2023-01-03,194.0,194.0,188.5,190.0,105803.0
2023-01-04,188.05,190.55,185.0,185.45,150854.0
2023-01-05,185.9,188.0,183.05,184.0,123103.0
2023-01-06,183.95,185.6,180.1,180.95,107382.0
2023-01-09,181.95,187.9,181.95,185.05,90520.0
2023-01-10,186.0,201.6,183.0,196.15,204129.0
2023-01-11,201.1,234.0,200.05,226.65,748735.0
2023-01-12,223.95,231.8,220.0,229.55,623801.0
2023-01-13,231.45,233.55,225.1,228.45,161613
2023-01-16,231.05,244.8,225.6,241.85,303052
2023-01-17,241.05,248.0,237.0,245.85,162220
2023-01-18,244.0,270.95,241.0,269.3,940207
2023-01-19,267.9,274.8,267.0,271.4,721952
2023-01-20,270.0,271.1,263.3,268.5,147589
2023-01-23,268.5,277.95,267.0,270.7,423594
2023-01-24,274.2,274.2,267.05,270.7,625194
2023-01-25,272.0,272.1,250.0,259.35,140393
2023-01-27,258.95,274.0,250.2,266.25,1019428
2023-01-30,266.2,273.6,250.2,251.65,63078
2023-01-31,255.15,257.75,240.1,243.35,34843
2023-02-01,243.05,249.15,234.0,236.55,41357
2023-02-02,236.0,244.95,230.4,240.3,16973
2023-02-03,243.0,243.0,232.1,239.2,94130
2023-02-06,235.0,254.8,234.1,250.6,282387
2023-02-07,255.6,259.9,234.0,236.35,339616
2023-02-08,236.35,246.5,235.05,244.25,231910
2023-02-09,250.45,250.45,235.25,236.35,16939
2023-02-10,238.45,245.0,235.8,238.15,48092
2023-02-13,238.0,238.15,228.3,231.45,15398
2023-02-14,229.0,232.7,218.1,220.2,24676
2023-02-15,220.2,247.9,220.2,238.4,56221
2023-02-16,233.0,251.95,233.0,236.25,55847
2023-02-17,242.0,242.0,235.0,236.15,11044
2023-02-20,237.0,242.5,235.0,235.2,38136
2023-02-21,234.5,246.0,233.1,242.45,34628
2023-02-22,242.45,244.95,235.0,236.6,28678
2023-02-23,233.0,243.5,233.0,237.6,13104
2023-02-24,237.05,238.7,231.0,235.35,11748
2023-02-27,233.0,239.95,233.0,238.05,14059
2023-02-28,238.05,255.0,237.15,241.95,153696
2023-03-01,249.4,249.4,224.25,232.3,358984
2023-03-02,235.75,236.0,230.2,232.6,15582
2023-03-03,230.5,233.8,226.5,229.9,34203
2023-03-06,228.2,231.55,225.0,225.45,56787
2023-03-08,224.95,226.2,220.5,221.25,15629
2023-03-09,221.65,225.7,216.85,217.4,20052
2023-03-10,217.4,220.1,213.8,214.9,17143
2023-03-13,212.0,216.95,206.0,208.05,71887
2023-03-14,212.0,212.0,204.0,207.85,23966
2023-03-15,209.0,214.95,206.05,207.2,13237
2023-03-16,210.95,212.75,201.95,210.85,155442
2023-03-17,216.0,216.0,208.55,211.95,250777
