Date,Open,High,Low,Close,Volume
2015-05-21,449.0,454.9,415.5,447.65,2218.0
2015-05-22,453.0,470.0,450.0,457.75,2737.0
2015-05-25,413.0,469.0,413.0,445.05,2419.0
2015-05-26,464.0,464.0,432.1,446.55,1745.0
2015-05-27,443.0,460.0,400.0,439.2,2054.0
2015-05-28,433.0,450.0,400.0,421.35,3673.0
2015-05-29,412.0,464.4,400.5,451.8,7578.0
2015-06-01,492.0,495.0,462.05,472.9,13718.0
2015-06-02,470.0,477.0,448.75,454.6,9109.0
2015-06-03,465.0,465.0,406.35,434.7,6252.0
2015-06-04,428.1,430.0,404.7,414.9,3039.0
2015-06-05,419.0,427.05,407.0,410.1,4290.0
2015-06-08,421.0,431.0,393.7,407.45,1013.0
2015-06-09,400.0,408.9,387.0,389.25,1568.0
2015-06-10,391.0,414.0,390.0,393.5,558.0
2015-06-11,407.35,429.95,383.15,395.7,3801.0
2015-06-12,388.0,414.95,370.05,379.8,1086.0
2015-06-15,385.0,385.0,358.85,362.05,4088.0
2015-06-16,360.55,373.0,350.1,356.1,1891.0
2015-06-17,356.0,396.0,356.0,385.45,13127.0
2015-06-18,390.45,400.0,375.0,381.45,4445.0
2015-06-19,380.0,388.0,376.2,385.7,4574.0
2015-06-22,395.0,396.0,365.0,374.45,4184.0
2015-06-23,375.0,382.0,365.6,379.1,3647.0
2015-06-24,372.55,387.15,370.0,373.35,561.0
2015-06-25,373.0,375.0,358.7,364.6,2285.0
2015-06-26,363.0,372.5,361.05,365.95,1938.0
2015-06-29,360.0,408.75,351.1,394.4,6602.0
2015-06-30,395.05,473.25,389.1,471.2,24604.0
2015-07-01,493.0,505.0,465.1,474.95,25133.0
2015-07-02,489.0,489.4,450.0,474.3,8539.0
2015-07-03,474.3,479.5,463.45,469.75,4249.0
2015-07-06,480.0,543.3,461.0,510.5,41379.0
2015-07-07,524.9,524.95,482.0,491.35,4846.0
2015-07-08,486.05,497.95,469.95,475.9,7038.0
2015-07-09,470.0,478.35,459.6,467.75,4871.0
2015-07-10,485.0,485.0,435.0,459.95,6414.0
2015-07-13,460.0,475.0,450.0,463.75,4958.0
2015-07-14,462.0,476.95,458.0,461.65,4060.0
2015-07-15,468.0,519.0,461.15,499.75,20475.0
2015-07-16,517.35,518.0,487.95,492.35,6052.0
2015-07-17,492.35,510.0,481.0,485.35,1487.0
2015-07-20,483.0,484.95,473.05,475.0,788.0
2015-07-21,481.9,518.0,472.15,493.1,14521.0
2015-07-22,488.0,517.0,488.0,512.6,11038.0
2015-07-23,517.0,529.0,510.0,524.7,11102.0
2015-07-24,520.0,533.7,510.05,515.85,4913.0
2015-07-27,510.0,518.0,470.0,492.7,2449.0
2015-07-28,502.0,502.0,476.6,481.55,5951.0
2015-07-29,495.0,524.7,480.0,501.65,9195.0
2015-07-30,509.0,510.0,480.5,490.05,2929.0
2015-07-31,490.05,500.0,485.0,488.95,3111.0
2015-08-03,490.0,518.0,445.0,480.25,6354.0
2015-08-04,486.9,490.0,473.05,483.95,6780.0
2015-08-05,490.0,499.5,480.0,481.5,4820.0
2015-08-06,482.0,487.45,461.6,470.1,7882.0
2015-08-07,470.5,479.8,457.0,460.4,5557.0
2015-08-10,462.3,469.6,457.95,461.7,4435.0
2015-08-11,469.95,484.5,457.15,466.1,6589.0
2015-08-12,469.8,469.8,447.0,449.85,4044.0
2015-08-13,447.75,470.35,438.95,461.25,8212.0
2015-08-14,458.0,475.0,458.0,473.0,23060.0
2015-08-17,480.0,495.0,465.05,481.4,14125.0
2015-08-18,490.0,491.35,475.0,489.4,10013.0
2015-08-19,480.1,557.55,480.0,537.65,59857.0
2015-08-20,554.9,554.9,520.0,524.4,14052.0
2015-08-21,491.0,534.0,490.0,524.8,5374.0
2015-08-24,535.0,535.0,450.0,457.0,27430.0
2015-08-25,449.95,499.0,395.0,465.0,22783.0
2015-08-26,450.0,483.7,436.0,463.0,9078.0
2015-08-27,470.0,496.5,470.0,491.2,14078.0
2015-08-28,497.7,504.9,479.95,487.65,4977.0
2015-08-31,478.25,480.0,465.3,471.75,5142.0
2015-09-01,442.0,465.1,402.55,446.35,9048.0
2015-09-02,442.0,468.95,441.0,445.35,2993.0
2015-09-03,440.05,470.0,430.0,464.7,3691.0
2015-09-04,433.5,465.0,416.05,428.4,10915.0
2015-09-07,409.0,435.0,394.75,399.35,4151.0
2015-09-08,402.05,417.9,395.0,406.6,7726.0
2015-09-09,413.4,450.0,413.4,438.75,8695.0
2015-09-10,440.0,460.0,425.75,441.7,15151.0
2015-09-11,441.05,450.0,428.05,435.8,3255.0
2015-09-14,443.3,445.0,432.0,439.4,4398.0
2015-09-15,448.0,448.0,424.0,435.2,2187.0
2015-09-16,440.0,447.95,428.0,430.45,2669.0
2015-09-18,435.05,444.0,408.7,432.95,7863.0
2015-09-21,430.0,438.0,428.0,428.6,1172.0
2015-09-22,450.0,460.0,420.0,435.45,9956.0
2015-09-23,420.1,450.05,420.1,442.9,4318.0
2015-09-24,450.0,529.8,435.0,519.1,60522.0
2015-09-28,523.0,529.0,489.75,495.8,28879.0
2015-09-29,485.05,495.0,465.0,490.0,8438.0
2015-09-30,490.0,499.7,470.25,483.15,7164.0
2015-10-01,510.0,510.0,467.0,471.15,6193.0
2015-10-05,467.0,499.0,465.7,495.35,7553.0
2015-10-06,511.6,580.0,497.0,557.4,89261.0
2015-10-07,562.0,562.0,528.65,536.9,12697.0
2015-10-08,559.7,560.4,523.7,548.45,7084.0
2015-10-09,551.0,551.0,535.1,539.4,2463.0
2015-10-12,541.95,560.4,525.1,531.65,3675.0
2015-10-13,529.0,548.9,515.0,540.25,9034.0
2015-10-14,555.0,577.8,530.15,556.3,19258.0
2015-10-15,561.0,561.0,543.7,550.55,5585.0
2015-10-16,564.95,564.95,537.8,545.15,5324.0
2015-10-19,574.0,654.15,551.0,654.15,91399.0
2015-10-20,689.9,699.9,628.1,641.95,85466.0
2015-10-21,645.0,677.0,631.0,664.6,26613.0
2015-10-23,670.0,680.0,605.05,622.55,16871.0
2015-10-26,630.0,641.95,601.3,606.8,11895.0
2015-10-27,602.15,615.0,588.05,598.45,6580.0
2015-10-28,600.0,629.0,592.0,610.7,8564.0
2015-10-29,619.95,673.0,615.0,657.2,28470.0
2015-10-30,621.0,670.0,621.0,624.4,7670.0
2015-11-02,622.4,639.85,603.0,615.85,8542.0
2015-11-03,625.0,660.0,610.0,632.4,12054.0
2015-11-04,650.0,658.5,626.0,635.5,7527.0
2015-11-05,650.0,654.5,625.05,637.0,6138.0
2015-11-06,644.9,644.9,611.65,616.25,5466.0
2015-11-09,615.0,660.0,593.0,643.65,9610.0
2015-11-10,656.0,664.9,645.5,660.0,6669.0
2015-11-11,663.0,689.0,641.1,651.7,2629.0
2015-11-13,640.0,675.0,635.0,671.65,7895.0
2015-11-16,663.6,710.0,658.95,673.55,13481.0
2015-11-17,671.0,689.85,668.0,682.65,5287.0
2015-11-18,678.5,768.15,678.5,720.0,55252.0
2015-11-19,715.0,747.9,679.9,737.65,13735.0
2015-11-20,735.0,799.0,735.0,773.95,28445.0
2015-11-23,771.0,785.0,728.15,732.2,11952.0
2015-11-24,750.0,753.1,730.0,733.2,5982.0
2015-11-26,735.0,744.95,711.1,727.35,7202.0
2015-11-27,725.0,730.35,705.2,723.1,5308.0
2015-11-30,734.95,760.0,722.0,751.5,6683.0
2015-12-01,753.0,783.95,753.0,770.45,10202.0
2015-12-02,766.8,766.8,719.9,744.75,12662.0
2015-12-03,744.05,762.0,738.2,753.2,4326.0
2015-12-04,744.0,759.45,721.1,727.5,5361.0
2015-12-07,730.25,743.95,710.0,715.3,2444.0
2015-12-08,720.2,729.0,671.5,690.9,5171.0
2015-12-09,690.9,726.0,632.55,666.7,9647.0
2015-12-10,670.0,689.0,655.0,673.75,4331.0
2015-12-11,660.5,685.0,659.95,661.9,2771.0
2015-12-14,670.0,670.0,640.0,651.65,5138.0
2015-12-15,670.0,670.0,633.7,646.65,2210.0
2015-12-16,661.0,704.7,640.55,683.3,18242.0
2015-12-17,678.0,745.0,663.7,739.5,19247.0
2015-12-18,757.0,761.0,714.0,723.3,8015.0
2015-12-21,710.0,741.0,705.25,734.85,4359.0
2015-12-22,735.7,845.0,734.95,828.35,57524.0
2015-12-23,836.4,864.4,820.0,824.2,25102.0
2015-12-24,829.1,849.0,810.0,831.85,11421.0
2015-12-28,824.0,844.95,806.0,813.75,7024.0
2015-12-29,819.15,825.05,791.1,797.3,2819.0
2015-12-30,805.0,854.5,788.8,823.9,11409.0
2015-12-31,831.95,837.0,801.0,814.8,3513.0
2016-01-01,833.0,833.0,786.9,806.1,1819.0
2016-01-04,800.2,829.0,786.0,802.05,4552.0
2016-01-05,794.0,814.0,790.55,803.85,3947.0
2016-01-06,802.05,819.8,798.05,801.8,2824.0
2016-01-07,790.0,794.0,746.1,761.3,7537.0
2016-01-08,755.0,835.0,751.0,812.7,16320.0
2016-01-11,809.0,809.9,760.0,788.5,5135.0
2016-01-12,806.0,808.0,765.0,769.25,13177.0
2016-01-13,785.0,791.45,660.0,722.45,20624.0
2016-01-14,700.0,749.0,666.55,709.35,11933.0
2016-01-15,712.0,727.0,675.0,681.45,6179.0
2016-01-18,680.0,719.0,585.0,599.4,19534.0
2016-01-19,605.0,650.0,575.0,625.9,8709.0
2016-01-20,628.5,640.0,582.3,632.8,7889.0
2016-01-21,636.0,658.45,600.0,624.05,5036.0
2016-01-22,646.0,650.0,625.0,645.0,3921.0
2016-01-25,650.0,657.55,633.2,638.1,2292.0
2016-01-27,639.0,707.65,618.0,696.25,10526.0
2016-01-28,674.0,689.9,672.5,677.0,2329.0
2016-01-29,668.0,693.7,668.0,682.75,2278.0
2016-02-01,724.0,730.1,668.05,690.2,3899.0
2016-02-02,680.0,710.0,651.1,665.3,5587.0
2016-02-03,658.85,674.5,611.5,619.95,8595.0
2016-02-04,629.8,645.95,615.0,622.55,4219.0
2016-02-05,630.0,638.9,622.5,627.85,2159.0
2016-02-08,630.5,655.0,585.0,589.0,13133.0
2016-02-09,590.0,590.0,551.05,553.35,13962.0
2016-02-10,561.35,573.85,527.05,535.9,6971.0
2016-02-11,522.0,534.95,441.1,449.8,21349.0
2016-02-12,421.0,449.0,380.05,436.15,16934.0
2016-02-15,430.05,479.75,427.4,479.75,6370.0
2016-02-16,485.05,527.7,478.75,494.3,19267.0
2016-02-17,503.0,514.9,444.1,509.55,7957.0
2016-02-18,530.0,544.0,480.0,487.8,5150.0
2016-02-19,480.0,499.95,475.0,488.05,2014.0
2016-02-22,485.0,496.0,485.0,487.05,1859.0
2016-02-23,482.2,489.4,455.1,459.5,3983.0
2016-02-24,459.5,475.8,442.05,446.45,6762.0
2016-02-25,435.0,449.9,406.5,420.4,6694.0
2016-02-26,425.0,437.0,405.0,410.45,5362.0
2016-02-29,410.05,433.0,395.0,423.25,3077.0
2016-03-01,419.0,465.55,419.0,465.55,5462.0
2016-03-02,490.0,512.0,480.0,491.65,6593.0
2016-03-03,501.0,515.0,485.0,494.65,4333.0
2016-03-04,500.0,505.0,475.0,479.45,6129.0
2016-03-08,492.0,492.0,451.9,464.2,12583.0
2016-03-09,480.0,480.0,438.0,443.15,11347.0
2016-03-10,444.45,516.0,443.5,496.7,29260.0
2016-03-11,498.0,510.0,481.0,482.6,7640.0
2016-03-14,481.0,491.9,460.0,464.7,9284.0
2016-03-15,460.0,486.0,460.0,471.85,14162.0
2016-03-16,460.15,478.9,460.0,467.2,2325.0
2016-03-17,482.85,532.0,473.0,507.2,33523.0
2016-03-18,515.0,520.0,490.5,504.8,5888.0
2016-03-21,510.0,514.0,499.0,504.65,5495.0
2016-03-22,500.0,519.5,490.0,497.0,18913.0
2016-03-23,496.55,504.95,490.5,500.05,6548.0
2016-03-28,538.9,577.0,516.5,526.75,22558.0
2016-03-29,523.0,530.05,510.0,525.2,9003.0
2016-03-30,532.0,559.0,532.0,549.55,21366.0
2016-03-31,573.9,573.9,540.05,553.6,7745.0
2016-04-01,544.6,575.0,540.0,555.4,11775.0
2016-04-04,544.05,560.0,544.05,549.55,3719.0
2016-04-05,548.15,563.95,541.0,542.3,5976.0
2016-04-06,545.55,558.0,545.0,551.2,5030.0
2016-04-07,545.5,557.9,545.0,547.5,3050.0
2016-04-08,544.0,555.0,544.0,549.65,3008.0
2016-04-11,564.1,566.0,548.0,549.9,8313.0
2016-04-12,555.0,566.0,547.3,550.0,7338.0
2016-04-13,558.3,560.0,550.0,556.5,4385.0
2016-04-18,585.0,585.0,556.0,575.2,9241.0
2016-04-20,582.0,585.0,572.4,576.85,7235.0
2016-04-21,582.0,584.9,568.2,582.9,6992.0
2016-04-22,579.0,592.95,577.4,584.95,6338.0
2016-04-25,590.0,620.0,590.0,611.5,8497.0
2016-04-26,611.0,654.9,611.0,634.5,32552.0
2016-04-27,641.0,657.9,627.3,642.1,12010.0
2016-04-28,650.0,650.0,611.0,616.6,8587.0
2016-04-29,614.05,625.45,595.35,603.05,8044.0
2016-05-02,601.35,609.95,575.5,582.7,6071.0
2016-05-03,589.0,593.0,582.1,585.4,2436.0
2016-05-04,616.8,616.8,581.0,586.2,1855.0
2016-05-05,578.0,594.0,563.7,589.7,1122.0
2016-05-06,590.0,590.0,572.35,582.15,9132.0
2016-05-09,591.95,601.0,575.5,581.15,13320.0
2016-05-10,583.0,583.0,551.5,559.75,9791.0
