Date,O,H,L,C,V
2011-06-29,26.95,30.2,22.3,28.15,151702
2011-06-30,27.8,28.35,26.4,27.8,6807
2011-07-01,27.2,29.6,27.2,29.35,14085
2011-07-04,28.4,30.0,27.6,29.3,6531
2011-07-05,30.15,32.55,29.0,30.2,54219
2011-07-06,30.0,31.0,29.4,29.9,3171
2011-07-07,30.0,30.6,28.6,29.7,2089
2011-07-08,29.9,30.0,27.8,29.7,2901
2011-07-11,29.4,30.6,29.4,30.6,790
2011-07-12,29.2,30.55,28.8,28.9,2059
2011-07-13,29.8,30.4,29.25,30.1,1210
2011-07-14,29.8,29.9,28.25,29.8,1857
2011-07-15,30.8,30.8,27.85,29.55,2115
2011-07-18,29.0,29.45,28.6,29.4,123
2011-07-19,29.8,29.8,29.0,29.4,282
2011-07-20,29.4,29.8,28.4,29.65,1509
2011-07-21,30.0,30.6,29.0,29.05,8103
2011-07-22,30.7,30.7,27.1,29.6,1415
2011-07-25,29.2,30.4,29.2,29.7,1327
2011-07-26,29.7,31.2,29.2,30.4,3240
2011-07-27,29.0,31.0,29.0,30.85,5135
2011-07-28,30.25,30.75,30.25,30.4,2370
2011-07-29,30.05,30.6,30.05,30.6,1875
2011-08-01,30.95,31.2,30.6,31.05,4004
2011-08-02,31.0,31.0,30.0,30.8,885
2011-08-03,29.8,30.55,28.7,29.75,4643
2011-08-04,30.0,30.8,29.6,29.6,891
2011-08-05,28.2,30.35,28.05,29.65,1949
2011-08-08,28.3,34.9,28.2,30.0,72149
2011-08-09,30.75,30.75,28.5,30.0,52682
2011-08-10,30.0,30.8,29.6,30.0,473
2011-08-11,29.6,30.3,29.1,30.3,63
2011-08-12,30.8,31.0,29.8,30.4,318
2011-08-16,30.9,31.0,28.2,28.6,2291
2011-08-17,27.8,30.0,27.8,29.7,3719
2011-08-18,28.2,29.2,28.2,28.35,307
2011-08-19,26.6,28.2,26.6,27.8,573
2011-08-22,28.0,28.0,27.2,27.8,2704
2011-08-23,28.0,28.0,27.8,27.95,1065
2011-08-24,28.0,28.0,27.0,27.95,535
2011-08-25,26.4,28.0,26.0,26.7,863
2011-08-26,28.0,28.0,26.0,26.4,940
2011-08-29,27.0,28.0,26.4,27.85,2260
2011-08-30,25.4,28.0,25.4,27.85,2413
2011-09-02,27.3,29.0,26.45,28.0,1106
2011-09-05,26.7,28.0,26.0,26.8,4481
2011-09-06,27.2,28.0,27.0,27.85,483
2011-09-07,27.9,28.4,27.5,28.15,1402
2011-09-08,28.45,30.0,28.0,29.55,1210
2011-09-09,30.45,30.5,28.6,28.6,451
2011-09-12,28.6,29.4,28.2,29.4,290
2011-09-13,30.0,30.0,28.0,29.2,1361
2011-09-14,29.5,30.4,28.25,29.65,1695
2011-09-15,29.8,30.3,28.6,29.25,205
2011-09-16,30.0,30.2,28.8,29.2,2536
2011-09-19,30.0,30.0,29.6,29.7,451
2011-09-20,29.05,30.6,29.05,30.25,2418
2011-09-21,30.2,30.8,30.0,30.3,4276
2011-09-22,30.0,30.5,29.25,29.8,6340
2011-09-23,29.6,30.0,28.4,28.55,4100
2011-09-26,29.5,29.5,27.0,27.5,3493
2011-09-27,28.55,28.55,27.4,28.0,7060
2011-09-28,27.6,28.4,27.6,28.35,3140
2011-09-29,28.0,28.35,28.0,28.0,1346
2011-09-30,28.2,28.4,27.6,28.0,1750
2011-10-03,27.0,29.4,24.6,27.1,392
2011-10-04,27.9,28.0,27.0,27.2,890
2011-10-05,26.0,27.6,26.0,27.0,481
2011-10-07,27.0,27.8,25.35,27.0,2514
2011-10-10,27.8,28.0,27.0,27.45,1146
2011-10-11,27.0,27.9,26.6,27.55,1437
2011-10-12,26.6,27.95,26.15,27.55,370
2011-10-13,26.7,28.0,26.7,27.8,1759
2011-10-14,29.05,29.6,27.5,29.0,1790
2011-10-17,29.0,29.0,28.0,28.9,547
2011-10-18,28.0,28.4,27.2,28.25,2132
2011-10-19,27.3,29.3,27.3,29.1,2283
2011-10-20,28.0,29.0,28.0,28.85,1628
2011-10-21,29.7,29.7,28.0,28.9,3372
2011-10-24,28.9,29.8,28.0,29.5,1777
2011-10-25,27.75,29.8,27.75,29.55,1300
2011-10-26,30.2,30.2,30.2,30.2,4
2011-10-28,29.3,29.45,28.3,29.2,1724
2011-10-31,28.35,28.4,28.1,28.35,94
2011-11-01,28.2,29.1,28.0,28.85,1665
2011-11-02,28.8,31.8,28.65,30.8,6175
2011-11-03,30.9,33.7,30.4,32.6,7696
2011-11-04,32.6,37.0,31.2,35.3,13174
2011-11-08,34.05,34.6,32.6,33.25,3648
2011-11-09,32.3,34.8,31.4,33.35,3845
2011-11-11,33.0,33.2,32.0,32.75,2190
2011-11-14,33.9,35.7,28.0,32.85,7799
