Date,Open,High,Low,Close,Volume
1997-02-26,15.55,15.9,15.1,15.75,56000.0
1997-02-27,15.7,17.3,15.7,17.0,56400.0
1997-02-28,18.05,19.0,18.05,18.3,27900.0
1997-03-01,19.0,20.1,18.6,20.1,55600.0
1997-03-03,20.4,22.1,20.1,22.1,29300.0
1997-03-04,22.1,22.1,22.1,22.1,14900.0
1997-03-05,24.2,24.35,24.2,24.35,15400.0
1997-03-06,24.2,26.75,24.2,26.75,29700.0
1997-03-10,27.0,27.0,24.1,24.1,54000.0
1997-03-11,23.0,25.0,21.7,21.85,72800.0
1997-03-12,22.8,23.95,22.4,22.8,63100.0
1997-03-13,22.85,23.0,21.9,22.2,27000.0
1997-03-14,21.65,22.4,21.65,21.8,20100.0
1997-03-17,21.8,22.0,21.5,21.6,18800.0
1997-03-18,21.7,21.7,20.75,20.95,44200.0
1997-03-19,21.35,22.4,20.75,20.8,29800.0
1997-03-20,20.6,21.15,18.8,19.95,48900.0
1997-03-21,20.1,20.4,19.8,19.95,22200.0
1997-03-25,20.0,20.6,19.6,20.2,32500.0
1997-03-26,20.3,20.6,20.3,20.35,8500.0
1997-03-27,20.5,20.5,20.15,20.4,5800.0
1997-03-31,18.4,18.4,18.35,18.35,8400.0
1997-04-01,16.65,18.65,16.65,18.4,13700.0
1997-04-02,19.0,19.3,18.8,19.2,9700.0
1997-04-03,19.3,21.0,19.3,20.55,37300.0
1997-04-04,19.85,20.4,19.8,20.0,26900.0
1997-04-07,19.9,20.1,19.75,19.95,45300.0
1997-04-09,21.2,21.2,20.3,20.5,36200.0
1997-04-10,20.2,20.4,19.45,19.5,28200.0
1997-04-11,18.8,20.0,18.75,19.85,10300.0
1997-04-12,19.6,20.1,19.4,19.65,4000.0
1997-04-15,20.2,20.2,19.55,19.8,14000.0
1997-04-17,20.7,21.6,20.25,20.55,25500.0
1997-04-21,20.8,21.35,20.8,21.25,21700.0
1997-04-22,21.0,21.6,21.0,21.3,24600.0
1997-04-23,21.4,21.45,21.05,21.25,8600.0
1997-04-24,21.45,21.6,21.1,21.2,5300.0
1997-04-25,21.05,21.55,21.05,21.4,5500.0
1997-04-28,21.55,22.95,21.4,22.4,39500.0
1997-04-29,22.4,23.4,22.4,23.05,33100.0
1997-04-30,24.4,24.75,23.6,23.75,46500.0
1997-05-02,23.7,23.7,23.05,23.2,23200.0
1997-05-05,22.6,23.0,21.8,21.95,15600.0
1997-05-06,22.0,22.0,21.2,21.35,20700.0
1997-05-07,22.0,22.8,21.4,22.2,19700.0
1997-05-08,22.15,24.0,22.0,23.15,126100.0
1997-05-09,23.0,23.45,22.5,23.1,98300.0
1997-05-12,23.0,23.1,22.7,23.0,78500.0
1997-05-13,23.0,23.7,22.85,23.3,43400.0
1997-05-14,23.55,23.55,22.85,23.35,14100.0
1997-05-15,23.15,23.2,22.55,23.0,7300.0
1997-05-16,22.8,23.0,22.8,22.9,4800.0
1997-05-19,22.8,23.1,22.7,22.7,2600.0
1997-05-20,22.45,22.6,20.8,21.35,14000.0
1997-05-21,21.75,22.2,21.5,21.7,7100.0
1997-05-22,21.2,21.7,21.2,21.4,4200.0
1997-05-23,21.3,21.4,20.8,21.15,6200.0
1997-05-26,20.8,21.8,20.8,21.25,7700.0
1997-05-27,21.2,21.35,20.6,20.75,10400.0
1997-05-28,21.0,21.15,20.7,21.0,6100.0
1997-05-29,21.1,21.1,20.95,21.05,2200.0
1997-05-30,20.8,21.4,20.8,21.35,4700.0
1997-06-02,21.1,21.1,20.6,21.05,5100.0
1997-06-03,20.8,21.1,20.8,20.9,10700.0
1997-06-04,21.35,21.9,21.1,21.2,18500.0
1997-06-05,21.55,21.6,21.2,21.2,10200.0
1997-06-06,21.1,21.1,20.9,20.9,2500.0
1997-06-09,20.85,20.9,20.55,20.6,3900.0
1997-06-10,20.4,20.5,20.1,20.2,11700.0
1997-06-11,20.7,22.2,20.6,22.0,82200.0
1997-06-12,22.4,22.6,21.7,22.0,47100.0
1997-06-13,22.2,22.2,21.65,22.0,26500.0
1997-06-16,22.05,22.2,21.35,21.65,58700.0
1997-06-17,22.1,22.6,21.35,21.55,34600.0
1997-06-18,22.6,23.6,22.4,23.05,62500.0
1997-06-19,23.1,23.25,22.7,23.15,42500.0
1997-06-20,23.3,24.2,23.0,23.1,30500.0
1997-06-23,22.95,23.0,22.5,22.85,21800.0
1997-06-24,22.95,23.2,22.35,22.75,70700.0
1997-06-25,25.0,25.0,24.3,24.4,69100.0
1997-06-26,24.4,24.7,24.2,24.6,49400.0
1997-06-27,24.4,24.45,23.9,24.0,66800.0
1997-06-30,23.8,23.9,23.7,23.85,21300.0
1997-07-01,24.0,24.3,23.8,24.15,27800.0
1997-07-02,24.2,24.3,24.0,24.0,48400.0
1997-07-03,24.05,24.15,23.9,24.05,31400.0
1997-07-04,24.1,26.0,24.0,25.15,65400.0
1997-07-07,25.4,25.55,24.95,25.05,51400.0
1997-07-08,25.05,25.4,24.8,25.1,49700.0
1997-07-09,25.4,27.0,25.25,26.15,130000.0
1997-07-10,26.4,26.8,26.2,26.4,103200.0
1997-07-11,26.3,26.5,25.8,26.05,32800.0
1997-07-14,25.95,26.4,25.2,25.45,45000.0
1997-07-15,25.55,25.8,25.35,25.65,27100.0
1997-07-16,25.8,25.9,25.05,25.2,21500.0
1997-07-17,25.4,25.45,24.95,25.2,23100.0
1997-07-21,24.9,25.6,24.8,25.3,81300.0
1997-07-22,25.35,26.8,25.3,26.45,75700.0
1997-07-23,26.3,26.7,25.6,26.45,44700.0
1997-07-24,26.4,27.0,26.0,26.05,426100.0
1997-07-25,25.8,26.2,25.7,25.85,27200.0
1997-07-28,26.0,26.35,25.8,26.2,27500.0
1997-07-29,26.2,28.6,26.0,27.3,109000.0
1997-07-30,27.0,27.65,26.6,26.65,18500.0
1997-07-31,27.0,27.8,27.0,27.6,16300.0
1997-08-01,27.6,28.3,27.35,28.1,32700.0
1997-08-04,28.7,28.7,27.9,28.1,16800.0
1997-08-05,27.85,28.6,27.85,28.4,39800.0
1997-08-06,28.45,28.6,28.2,28.4,25900.0
1997-08-07,27.6,28.4,27.6,28.2,72500.0
1997-08-08,28.0,28.6,27.5,28.5,155800.0
1997-08-11,28.7,28.7,28.0,28.6,103400.0
1997-08-12,29.0,31.45,28.8,31.45,143300.0
1997-08-13,31.2,34.2,31.2,33.85,210500.0
1997-08-14,34.1,36.0,34.0,34.35,260200.0
1997-08-18,34.2,34.75,33.45,34.4,89600.0
