Date,O,H,L,C,V
1995-01-09,85.0,85.0,85.0,85.0,250
1995-01-16,77.5,77.5,77.5,77.5,200
1995-01-17,80.0,80.0,80.0,80.0,50
1995-01-18,81.0,81.0,81.0,81.0,50
1995-01-19,82.5,82.5,82.5,82.5,100
1995-01-20,82.5,82.5,82.5,82.5,50
1995-01-24,75.0,77.5,75.0,77.5,150
1995-01-25,75.5,75.5,75.5,75.5,100
1995-01-30,80.0,80.0,80.0,80.0,100
1995-01-31,79.0,80.0,79.0,80.0,150
1995-02-01,77.5,77.5,75.5,76.5,300
1995-02-17,73.25,73.25,73.25,73.25,300
1995-02-20,72.45,72.45,66.0,66.0,200
1995-02-21,72.4,72.5,65.0,65.0,900
1995-02-23,69.0,69.0,66.5,66.5,600
1995-02-24,72.5,72.5,72.5,72.5,200
1995-02-28,71.0,71.0,70.0,70.35,150
1995-03-01,72.5,76.25,72.5,76.25,200
1995-03-02,72.5,72.5,68.5,68.5,750
1995-03-03,70.05,70.05,70.0,70.0,150
1995-03-07,71.5,71.5,71.25,71.25,600
1995-03-09,70.5,70.5,70.0,70.0,1700
1995-03-10,67.5,67.5,67.5,67.5,1200
1995-03-14,68.5,68.5,66.0,66.0,400
1995-03-15,67.5,70.0,65.0,65.5,3300
1995-03-16,65.0,65.0,62.5,62.5,450
1995-03-20,65.0,65.0,63.5,63.5,350
1995-03-21,62.5,63.5,62.5,62.5,400
1995-03-22,65.0,65.0,65.0,65.0,100
1995-03-23,62.5,65.0,62.5,63.75,5800
1995-03-24,65.0,65.0,63.0,63.0,600
1995-03-27,62.5,63.5,62.5,62.65,400
1995-03-28,66.5,67.25,63.5,63.5,250
1995-03-29,65.0,65.0,62.5,62.5,300
1995-03-30,62.5,62.5,60.0,60.25,600
1995-03-31,62.5,62.5,60.0,60.5,1600
1995-04-03,64.0,64.0,60.75,60.75,1150
1995-04-04,64.5,64.5,61.5,61.5,750
1995-04-05,62.0,62.5,61.5,62.0,1150
1995-04-06,62.0,62.0,61.0,61.75,600
1995-04-07,60.6,61.0,60.6,61.0,200
1995-04-12,62.5,62.5,62.0,62.0,250
1995-04-17,60.5,61.0,60.5,61.0,150
1995-04-18,60.0,60.0,60.0,60.0,100
1995-04-19,60.0,60.0,58.75,58.75,550
1995-04-20,58.0,58.0,57.0,57.0,600
1995-04-21,59.0,59.0,59.0,59.0,100
1995-04-24,58.0,58.0,56.0,56.0,850
1995-04-25,58.0,58.0,58.0,58.0,1000
1995-04-26,58.1,60.0,57.5,59.0,2400
1995-04-27,58.0,59.25,58.0,59.2,2100
1995-04-28,58.0,58.0,58.0,58.0,200
1995-05-02,57.5,58.5,57.5,58.5,250
1995-05-03,56.25,57.5,55.5,55.5,750
1995-05-04,58.25,58.25,58.25,58.25,3900
1995-05-05,58.0,58.0,57.5,57.5,550
1995-05-09,57.5,58.5,57.5,58.5,100
1995-05-10,55.0,55.0,55.0,55.0,150
1995-05-15,55.0,55.0,55.0,55.0,100
1995-05-16,53.5,53.5,50.5,50.5,200
1995-05-17,53.75,55.0,53.5,53.75,400
1995-05-18,52.5,52.5,52.5,52.5,50
1995-05-19,53.0,53.0,52.5,52.5,550
1995-05-22,52.75,52.75,52.5,52.5,200
1995-05-23,52.5,53.0,52.5,53.0,150
1995-05-24,53.0,53.0,52.5,53.0,250
1995-05-25,52.0,52.5,52.0,52.0,300
1995-05-29,51.5,51.5,51.5,51.5,100
1995-05-31,51.5,51.5,51.0,51.0,200
1995-06-02,60.0,60.0,58.0,58.5,2300
1995-06-05,55.5,57.5,55.0,57.5,500
1995-06-06,57.5,57.5,57.5,57.5,750
1995-06-08,55.0,57.0,55.0,57.0,200
1995-06-09,55.0,56.25,55.0,56.25,250
1995-06-13,55.0,55.0,53.0,53.0,250
1995-06-14,52.5,52.5,52.5,52.5,200
1995-06-15,52.0,52.75,52.0,52.75,900
1995-06-16,52.5,52.5,52.0,52.25,250
1995-06-20,54.0,54.0,52.5,53.0,350
1995-06-21,52.5,52.5,51.5,51.5,400
1995-06-22,52.4,52.4,52.4,52.4,50
1995-06-23,51.5,52.0,51.25,51.45,650
1995-06-27,48.5,48.5,48.25,48.25,100
1995-06-28,47.75,48.0,47.25,48.0,850
1995-06-29,47.5,47.5,47.4,47.5,1000
1995-06-30,47.5,47.5,45.0,45.0,550
1995-07-03,49.0,49.0,47.5,47.5,300
1995-07-05,49.0,49.0,47.5,48.4,400
1995-07-10,51.0,51.5,50.0,50.0,350
1995-07-11,49.0,50.5,46.0,50.25,600
1995-07-12,52.5,52.5,51.0,51.0,2250
1995-07-14,52.0,55.5,52.0,55.5,1200
1995-07-17,56.5,56.5,55.5,55.5,1800
1995-07-18,55.0,56.25,52.5,52.5,900
1995-07-19,54.9,55.5,54.9,55.25,1000
1995-07-20,56.9,57.5,55.5,55.5,1900
1995-07-21,54.0,54.75,54.0,54.0,850
1995-07-24,53.5,54.0,53.5,54.0,200
1995-07-25,52.5,54.5,52.5,54.25,1800
1995-07-26,56.0,56.5,54.5,54.5,4050
1995-07-27,54.0,57.25,54.0,57.25,3400
1995-07-28,52.5,55.0,52.5,54.5,1600
1995-07-31,53.5,53.75,52.0,52.85,1000
1995-08-01,52.5,52.5,52.25,52.25,850
1995-08-03,54.0,54.0,54.0,54.0,150
1995-08-14,51.75,51.75,51.75,51.75,150
1995-08-16,53.5,53.5,52.5,52.5,450
1995-08-17,52.0,52.0,51.0,51.0,650
1995-08-18,51.5,52.0,51.5,52.0,200
1995-08-21,52.0,52.0,51.0,51.0,200
1995-08-22,52.0,52.0,51.5,51.5,600
1995-08-23,52.5,52.5,52.5,52.5,500
1995-08-24,52.0,52.0,52.0,52.0,200
1995-08-25,51.1,51.1,51.1,51.1,200
1995-08-28,50.0,50.0,50.0,50.0,100
1995-08-31,49.0,51.5,49.0,51.5,350
1995-09-01,50.0,50.0,50.0,50.0,250
1995-09-05,49.0,49.75,47.6,48.15,1050
1995-09-11,52.5,52.5,51.75,51.75,850
