Date,O,H,L,C,V
2016-09-02,6.0,6.3,5.7,6.3,28586
2016-09-06,6.4,6.4,6.4,6.4,1840
2016-09-07,6.7,6.7,6.7,6.7,1160
2016-09-08,6.75,7.05,6.75,7.05,1789
2016-09-09,7.2,7.4,7.2,7.4,7202
2016-09-12,7.5,7.75,7.05,7.2,13568
2016-09-14,7.5,7.5,6.85,7.3,8385
2016-09-15,7.25,7.25,6.9,7.25,2803
2016-09-16,7.1,7.2,7.0,7.1,1732
2016-09-19,7.2,7.3,7.2,7.2,8752
2016-09-20,7.5,8.65,7.2,8.65,95754
2016-09-21,8.9,10.3,8.4,9.6,199006
2016-09-22,9.2,9.7,9.0,9.1,60863
2016-09-23,9.0,9.35,8.5,8.95,25766
2016-09-26,8.75,10.7,8.75,10.7,290588
2016-09-27,10.65,10.7,9.65,9.65,154096
2016-09-28,9.6,9.95,9.2,9.2,44853
2016-09-29,9.2,9.4,8.3,8.5,46679
2016-09-30,8.35,9.35,7.95,9.15,66172
2016-10-03,9.1,9.75,8.75,9.2,29196
2016-10-04,9.3,9.4,9.1,9.2,33968
2016-10-05,9.2,10.1,9.2,10.05,59778
2016-10-06,10.15,10.4,10.0,10.05,51341
2016-10-07,10.1,10.8,10.0,10.4,55895
2016-10-10,10.6,11.3,10.6,11.0,51064
2016-10-13,11.1,12.0,11.0,11.75,77383
2016-10-14,12.05,12.35,12.0,12.25,66040
2016-10-17,12.4,12.85,12.1,12.85,102864
2016-10-18,12.9,13.4,12.4,13.3,97644
2016-10-19,13.3,13.8,13.1,13.75,104422
2016-10-20,13.75,14.1,13.7,13.95,60366
2016-10-21,14.3,14.5,13.75,14.4,74942
2016-10-24,14.8,14.9,14.3,14.4,149819
2016-10-25,14.5,14.9,13.7,14.15,188786
2016-10-26,14.2,14.55,13.8,13.9,58176
2016-10-27,14.1,14.1,13.5,13.6,80190
2016-10-28,13.4,13.6,12.9,12.9,33384
2016-10-30,12.3,12.3,12.3,12.3,990
2016-11-01,11.65,11.65,11.65,11.65,1369
2016-11-02,11.1,11.1,11.1,11.1,1725
2016-11-03,10.55,10.55,10.55,10.55,8256
2016-11-04,10.6,10.6,10.0,10.0,389
2016-11-07,9.6,10.2,9.5,9.6,104049
2016-11-08,9.15,10.1,9.15,10.1,27689
2016-11-09,9.6,9.6,9.6,9.6,740
2016-11-10,9.1,9.6,9.1,9.1,34167
2016-11-11,9.0,9.0,8.65,8.65,1712
2016-11-15,8.25,8.25,8.25,8.25,2773
2016-11-16,8.6,8.6,7.85,7.85,821
2016-11-17,7.45,7.45,7.45,7.45,29766
2016-11-18,7.05,7.6,7.05,7.15,68061
2016-11-21,6.85,7.4,6.85,7.0,7631
2016-11-22,7.3,7.3,7.0,7.25,1082
2016-11-23,7.6,7.6,7.2,7.45,7118
2016-11-24,7.65,7.65,7.25,7.35,6869
2016-11-25,7.35,7.7,7.35,7.7,3930
2016-11-28,7.8,8.1,7.8,8.1,4109
2016-11-29,8.4,8.5,8.2,8.45,11346
2016-11-30,8.7,8.9,8.4,8.75,9213
2016-12-01,9.2,9.2,8.85,9.05,7625
2016-12-02,8.8,9.0,8.75,8.85,5590
2016-12-05,9.0,9.25,8.85,9.25,9869
2016-12-06,9.2,9.7,9.2,9.7,6602
2016-12-07,9.8,10.2,9.7,9.85,6581
2016-12-08,10.0,10.2,9.9,10.0,5632
2016-12-09,10.3,10.3,9.9,9.9,8908
2016-12-12,10.1,10.1,9.7,9.7,7574
2016-12-13,10.1,10.15,9.3,9.4,18282
2016-12-14,9.8,9.8,9.5,9.5,13832
2016-12-15,9.6,9.95,9.5,9.95,13116
2016-12-16,9.95,10.45,9.9,10.4,19670
2016-12-19,10.45,10.55,10.2,10.3,12335
