Date,Open,High,Low,Close,Volume
2007-12-17,435.0,440.0,385.0,388.1,355781.0
2007-12-18,410.0,410.0,386.3,390.25,100918.0
2007-12-19,409.0,409.0,387.0,389.85,331542.0
2007-12-20,394.75,394.75,382.5,388.65,681903.0
2007-12-24,388.65,393.0,388.65,392.4,44752.0
2007-12-26,392.4,405.0,392.4,402.5,237112.0
2007-12-27,404.4,406.0,400.0,402.7,80943.0
2007-12-28,395.0,405.0,395.0,401.45,68086.0
2007-12-31,403.0,409.9,401.0,406.45,122694.0
2008-01-01,407.5,414.0,407.0,412.05,91509.0
2008-01-02,415.0,421.0,404.2,419.05,146084.0
2008-01-03,415.0,446.95,408.65,439.9,351569.0
2008-01-04,440.0,465.0,440.0,457.8,243134.0
2008-01-07,460.0,524.9,456.0,486.75,574470.0
2008-01-08,490.0,497.8,471.0,474.55,129687.0
2008-01-09,473.95,480.0,460.0,464.15,62218.0
2008-01-10,464.15,480.55,457.0,462.2,178077.0
2008-01-11,463.0,463.0,435.05,456.95,203367.0
2008-01-14,458.0,475.0,446.05,470.0,104588.0
2008-01-15,470.0,478.0,465.0,465.6,39444.0
2008-01-16,455.55,468.95,450.1,455.5,120861.0
2008-01-17,457.8,492.0,450.0,481.1,118971.0
2008-01-18,482.0,482.0,453.4,459.6,185443.0
2008-01-21,465.0,465.0,400.15,443.25,126810.0
2008-01-22,405.1,452.0,375.05,405.5,101719.0
2008-01-23,410.0,459.0,399.0,413.1,110691.0
2008-01-24,420.0,429.3,402.0,407.4,80468.0
2008-01-25,408.0,419.0,396.05,400.2,164440.0
2008-01-28,400.2,401.4,384.0,388.15,53654.0
2008-01-29,394.95,406.0,382.0,388.05,215955.0
2008-01-30,390.1,409.8,385.0,405.7,250123.0
2008-01-31,402.0,435.0,396.0,419.5,202143.0
2008-02-01,415.0,424.0,412.0,420.65,59488.0
2008-02-04,422.0,429.3,415.0,423.75,89287.0
2008-02-05,405.0,428.95,405.0,415.15,44204.0
2008-02-06,415.0,415.0,396.0,397.6,43293.0
2008-02-07,401.8,408.9,389.0,394.1,25811.0
2008-02-08,394.1,394.65,382.0,385.05,280246.0
2008-02-11,405.0,430.0,371.5,376.85,32764.0
2008-02-12,379.95,387.95,370.0,370.7,14528.0
2008-02-13,376.8,381.0,360.0,365.8,17175.0
2008-02-14,370.0,380.0,367.0,370.0,141753.0
2008-02-15,370.0,379.65,367.0,378.0,152987.0
2008-02-18,381.55,390.0,381.5,385.9,45979.0
2008-02-19,381.15,392.9,381.15,385.25,31531.0
2008-02-20,381.05,387.95,373.05,374.85,13179.0
2008-02-21,383.3,384.6,374.0,376.15,36952.0
2008-02-22,372.45,378.0,372.45,377.05,18928.0
2008-02-25,384.8,390.05,373.5,388.45,25678.0
2008-02-26,389.4,389.8,378.0,379.25,72734.0
2008-02-27,382.9,390.0,380.05,381.3,37846.0
2008-02-28,382.0,383.0,372.0,374.95,59293.0
2008-02-29,375.4,378.7,370.15,372.5,34199.0
2008-03-03,371.0,392.4,365.0,388.4,157389.0
2008-03-04,390.1,415.0,388.5,406.35,172466.0
2008-03-05,408.0,419.95,400.0,404.0,166095.0
2008-03-07,405.0,405.0,375.0,381.55,73642.0
2008-03-10,375.0,397.0,366.0,394.95,58551.0
2008-03-11,390.0,411.0,380.0,409.15,58010.0
2008-03-12,414.8,420.0,388.1,394.7,41871.0
2008-03-13,386.8,392.0,381.05,385.2,22010.0
2008-03-14,385.0,409.9,384.0,401.4,66512.0
2008-03-17,392.5,398.9,385.0,387.5,36839.0
2008-03-18,394.0,396.9,386.15,390.6,26147.0
2008-03-19,400.0,413.1,395.5,405.7,103665.0
2008-03-24,410.0,412.0,387.5,393.9,88982.0
2008-03-25,401.0,405.0,395.0,397.5,47397.0
2008-03-26,397.0,400.0,381.3,391.5,145354.0
2008-03-27,390.0,396.0,385.0,388.25,69107.0
2008-03-28,394.9,394.9,386.1,387.5,125389.0
2008-03-31,387.0,388.0,378.1,382.6,113239.0
2008-04-01,383.0,395.0,380.05,391.8,79289.0
2008-04-02,395.5,399.0,389.15,393.25,364941.0
2008-04-03,395.5,410.0,391.0,407.35,109566.0
2008-04-04,406.5,413.0,402.8,410.45,130377.0
2008-04-07,413.8,430.2,388.0,428.85,231144.0
2008-04-08,430.0,437.0,426.05,427.6,110575.0
2008-04-09,428.0,435.0,420.1,422.65,51139.0
2008-04-10,431.0,431.0,418.15,422.85,22026.0
2008-04-11,425.0,425.0,419.5,420.35,10888.0
2008-04-15,418.55,428.9,410.1,426.1,27159.0
2008-04-16,421.8,431.9,421.3,426.05,42860.0
