Date,O,H,L,C,V
2014-04-04,18.0,19.43,18.0,19.35,83506926
2014-04-07,19.45,19.73,19.18,19.36,13205437
2014-04-09,19.4,19.72,19.35,19.69,4651893
2014-04-10,19.78,19.88,19.5,19.82,6410765
2014-04-11,19.82,19.82,19.5,19.66,1724842
2014-04-15,18.9,19.69,18.9,19.59,3261107
2014-04-16,19.6,19.7,19.36,19.4,2136682
2014-04-17,19.4,19.76,19.36,19.7,2559602
2014-04-21,19.78,19.9,19.71,19.87,1810924
2014-04-22,20.0,20.22,19.75,20.05,3582889
2014-04-23,20.15,20.3,20.01,20.08,3403500
2014-04-25,20.3,20.3,19.91,19.99,2021184
2014-04-28,20.0,20.0,19.8,19.87,2688958
2014-04-29,19.8,19.95,19.69,19.77,3127546
2014-04-30,19.8,20.03,19.51,19.68,4697940
2014-05-02,19.78,19.92,19.68,19.85,3033304
2014-05-05,19.85,20.25,19.8,20.05,6429240
2014-05-06,19.85,20.3,19.85,20.18,3039086
2014-05-07,20.2,20.28,20.05,20.13,1130726
2014-05-08,20.1,20.17,20.02,20.08,649808
2014-05-09,20.4,20.85,19.98,20.72,4784156
2014-05-12,20.8,21.59,20.7,21.54,4987113
2014-05-13,21.8,22.39,21.6,22.1,3664323
2014-05-14,22.1,23.95,19.25,22.42,8963699
2014-05-15,22.15,22.74,22.15,22.59,6041377
2014-05-16,23.0,24.62,22.99,23.46,17301787
2014-05-19,23.65,25.85,23.65,25.62,6644639
2014-05-20,25.65,26.4,24.8,24.88,3597361
2014-05-21,24.88,25.25,24.56,24.79,3364740
2014-05-22,25.0,25.7,25.0,25.48,4319103
2014-05-23,27.75,29.82,25.63,25.82,5400545
2014-05-26,26.38,27.1,25.15,25.76,11651215
2014-05-27,26.0,26.0,24.61,24.84,2470986
2014-05-28,24.9,24.9,24.52,24.63,1563826
2014-05-29,24.5,24.8,24.16,24.22,2443175
2014-05-30,24.1,24.59,24.07,24.15,2411182
2014-06-02,24.22,25.9,24.0,25.0,5782200
2014-06-03,25.0,25.37,24.91,25.27,2577036
2014-06-04,25.01,25.4,24.52,25.15,1717017
2014-06-05,25.07,26.02,25.0,25.75,2640012
2014-06-06,25.95,27.05,25.8,26.93,4171479
2014-06-09,27.0,27.53,26.9,27.46,2879459
2014-06-10,27.52,27.54,26.6,27.04,2241959
2014-06-11,27.0,27.35,26.15,26.43,4148295
2014-06-12,25.5,27.0,25.5,26.25,2674237
