Date,O,H,L,C,V
2022-07-21,247.85,247.85,225.2,229.4,16272
2022-07-22,229.3,241.0,224.95,235.15,48683
2022-07-25,236.0,241.0,228.95,233.05,124136
2022-07-26,234.3,239.9,234.2,237.45,36728
2022-07-27,238.0,238.0,232.85,236.4,25691
2022-07-28,231.7,243.0,231.7,239.8,12550
2022-07-29,247.0,247.0,232.9,240.15,26507
2022-08-01,235.35,245.7,235.0,239.45,15812
2022-08-02,246.0,246.0,235.0,239.35,27881
2022-08-03,240.0,242.0,237.5,238.9,24345
2022-08-04,238.25,241.45,235.55,239.7,23347
2022-08-05,241.1,285.0,238.25,270.15,76471
2022-08-08,272.4,307.0,272.4,298.7,118640
2022-08-10,294.0,294.0,270.25,275.95,35085
2022-08-11,288.6,288.6,260.05,262.5,27372
2022-08-12,264.55,269.7,250.55,259.3,14738
2022-08-16,264.45,281.95,256.95,274.4,31188
2022-08-17,276.8,276.8,266.3,267.9,9830
2022-08-18,262.5,267.7,256.5,262.05,48759
2022-08-19,269.0,269.0,242.5,246.25,70337
2022-08-22,250.0,253.05,242.5,244.7,23306
2022-08-23,243.9,251.95,243.9,247.95,7901
2022-08-24,245.0,258.65,243.75,252.05,22844
2022-08-25,253.0,256.05,243.85,248.65,20513
2022-08-26,249.0,255.95,232.1,239.7,26837
2022-08-29,239.4,250.0,233.2,239.65,24016
2022-08-30,240.0,246.0,235.0,236.05,58821
2022-09-01,239.4,241.05,235.0,239.3,9616
2022-09-02,252.5,252.5,195.0,231.25,51917
2022-09-05,240.5,243.7,221.55,241.9,35569
2022-09-06,248.5,248.5,242.0,244.35,34205
2022-09-07,242.4,260.95,239.45,257.25,36561
2022-09-08,260.0,263.2,253.3,259.5,5981
2022-09-09,259.0,259.0,247.05,248.25,28219
