Date,Open,High,Low,Close,Volume
1998-09-09,23.15,23.15,20.05,21.3,53000.0
1998-09-10,19.85,21.1,19.65,19.95,40100.0
1998-09-11,20.25,21.6,18.4,20.3,40400.0
1998-09-14,20.7,20.7,18.75,18.85,56400.0
1998-09-15,19.2,19.2,18.6,18.9,14300.0
1998-09-16,19.3,19.65,18.9,19.05,41800.0
1998-09-17,19.25,20.2,19.25,19.5,21600.0
1998-09-18,19.1,19.65,19.1,19.5,9800.0
1998-09-21,19.35,19.45,18.9,19.2,6800.0
1998-09-22,19.4,19.4,18.9,19.1,16600.0
1998-09-23,18.85,19.1,18.75,18.85,15100.0
1998-09-24,18.05,19.3,18.05,18.5,15400.0
1998-09-25,18.4,18.6,17.75,17.85,22700.0
1998-09-28,18.2,18.2,16.65,16.9,19600.0
1998-09-29,16.75,17.1,15.75,16.15,39200.0
1998-09-30,12.45,17.35,12.45,16.65,7100.0
1998-10-05,15.75,16.15,15.3,15.35,10300.0
1998-10-06,14.45,15.7,14.45,15.3,12100.0
1998-10-07,16.15,16.9,15.95,16.75,7300.0
1998-10-08,16.85,17.2,15.7,15.7,6600.0
1998-10-09,15.7,15.75,15.1,15.4,7500.0
1998-10-12,15.25,15.7,15.25,15.6,5000.0
1998-10-13,15.5,15.55,12.4,13.45,12200.0
1998-10-14,13.4,15.65,13.4,15.25,7500.0
1998-10-15,14.85,15.35,14.85,15.2,2300.0
1998-10-16,14.25,15.7,14.25,15.35,13000.0
1998-10-19,15.05,15.05,14.75,14.95,1200.0
1998-10-20,14.45,14.45,13.65,13.75,11400.0
1998-10-22,14.8,14.8,14.25,14.75,3200.0
1998-10-23,14.85,15.7,14.85,15.25,9600.0
1998-10-26,15.85,16.4,15.4,15.5,14000.0
1998-10-27,15.25,15.7,15.05,15.55,8800.0
1998-10-28,12.8,15.65,12.8,15.25,4900.0
1998-10-29,15.1,15.6,15.1,15.6,1300.0
1998-10-30,15.65,15.7,15.25,15.35,5200.0
1998-10-31,15.7,15.7,15.4,15.45,800.0
1998-11-02,15.45,16.45,15.05,15.1,5400.0
1998-11-03,14.85,15.25,14.85,14.95,6300.0
1998-11-05,15.25,15.25,15.15,15.25,1400.0
1998-11-06,15.1,15.5,15.1,15.25,2900.0
1998-11-09,15.65,15.65,15.25,15.3,1900.0
1998-11-10,15.25,15.4,15.1,15.25,5700.0
1998-11-11,15.25,15.25,15.15,15.25,3100.0
1998-11-12,15.25,15.25,14.85,14.9,2600.0
1998-11-13,11.6,15.25,11.6,15.0,800.0
1998-11-16,14.95,15.1,14.7,15.1,1600.0
1998-11-17,14.85,15.05,14.05,14.25,7500.0
1998-11-18,14.75,15.7,14.45,14.45,18400.0
1998-11-19,14.55,14.7,14.15,14.25,12100.0
1998-11-20,14.45,14.45,14.25,14.25,5800.0
1998-11-21,14.25,14.45,14.25,14.3,2300.0
1998-11-23,14.25,14.25,13.65,13.65,8200.0
1998-11-24,13.55,13.75,13.25,13.5,10000.0
1998-11-26,13.8,13.9,13.25,13.25,4500.0
1998-11-27,13.15,13.6,13.15,13.6,3700.0
1998-11-28,13.55,13.65,13.45,13.45,1100.0
1998-11-30,13.65,13.65,13.25,13.55,1100.0
1998-12-01,13.4,13.85,13.35,13.85,900.0
1998-12-02,14.05,14.05,13.75,14.05,800.0
1998-12-03,14.2,14.2,13.85,13.85,800.0
1998-12-04,13.75,13.75,13.45,13.45,1100.0
1998-12-07,13.3,13.4,13.3,13.4,1900.0
1998-12-08,13.3,13.3,12.95,13.2,2200.0
1998-12-09,13.3,13.4,13.25,13.4,1400.0
1998-12-10,12.95,13.8,12.95,13.25,2000.0
1998-12-11,13.6,13.65,13.4,13.4,800.0
1998-12-14,13.4,13.4,13.25,13.3,1200.0
1998-12-15,13.05,13.55,13.05,13.55,3300.0
1998-12-16,13.25,13.4,13.05,13.4,1400.0
1998-12-17,13.25,14.85,13.05,13.4,9700.0
1998-12-18,14.05,14.05,13.45,13.45,400.0
1998-12-21,13.4,13.4,13.05,13.05,10200.0
1998-12-22,13.05,13.3,12.85,13.1,2200.0
1998-12-23,12.6,13.4,9.8,13.4,600.0
1998-12-24,13.25,13.4,13.25,13.4,800.0
1998-12-28,13.0,13.4,13.0,13.4,1000.0
1998-12-29,13.25,13.6,13.25,13.6,1400.0
1998-12-30,13.55,14.3,13.55,14.2,4600.0
1998-12-31,14.05,14.2,13.85,14.15,3800.0
1999-01-01,13.85,14.05,13.8,14.05,1300.0
1999-01-04,13.75,14.15,13.75,13.75,1700.0
1999-01-05,13.85,13.85,13.25,13.25,3600.0
1999-01-06,13.3,13.65,13.3,13.55,300.0
1999-01-07,13.8,14.55,13.8,14.45,4100.0
1999-01-08,14.45,14.85,14.3,14.85,4600.0
1999-01-11,14.85,15.05,14.55,14.55,3600.0
1999-01-12,14.25,14.75,14.2,14.75,2400.0
1999-01-13,14.85,15.25,14.05,14.05,600.0
1999-01-14,14.05,14.85,14.05,14.45,1800.0
1999-01-15,14.05,14.05,13.95,13.95,700.0
1999-01-18,14.3,14.45,14.05,14.1,1100.0
1999-01-19,14.15,14.15,13.45,13.95,3800.0
1999-01-21,14.05,14.25,13.5,13.85,1200.0
1999-01-22,13.55,14.05,13.5,13.7,2000.0
