Date,O,H,L,C,V
2021-08-16,126.0,132.3,126.0,132.3,4633233
2021-08-17,127.25,131.9,127.2,128.05,829394
2021-08-18,125.1,128.05,121.65,122.0,1422523
2021-08-20,122.0,123.9,120.0,122.95,761613
2021-08-23,125.1,125.8,122.0,122.05,220872
2021-08-24,122.0,124.0,122.0,122.45,397517
2021-08-25,122.0,125.0,122.0,123.85,213740
2021-08-26,123.0,126.0,123.0,124.8,224804
2021-08-27,125.0,131.0,125.0,131.0,517809
2021-08-30,137.55,137.55,137.55,137.55,94065
2021-08-31,144.0,145.0,131.6,136.5,2809605
2021-09-01,138.5,139.5,130.1,132.25,487443
2021-09-02,132.45,136.8,132.0,132.8,368404
2021-09-03,132.2,135.0,128.9,130.1,316473
2021-09-06,130.5,141.0,130.5,136.75,1064231
2021-09-07,136.8,140.5,133.3,136.55,944379
2021-09-08,136.9,148.0,136.05,141.0,1857872
2021-09-09,142.0,146.5,140.0,140.6,1120168
2021-09-13,141.4,155.45,141.15,154.05,2633212
2021-09-14,155.9,162.45,154.25,155.85,1800960
2021-09-15,156.1,168.3,156.1,162.65,1745431
2021-09-16,164.6,167.45,158.0,159.1,794113
2021-09-17,160.15,164.3,147.35,155.7,845803
2021-09-20,150.7,159.45,150.0,150.85,425660
2021-09-21,150.0,153.9,146.75,150.4,567972
2021-09-22,150.9,154.8,149.75,151.0,363552
2021-09-23,153.8,162.0,152.25,157.7,1094488
2021-09-24,159.1,160.85,153.9,156.75,639423
2021-09-27,157.9,158.75,152.7,153.7,426412
2021-09-28,154.5,159.25,153.05,155.75,587146
2021-09-29,152.55,156.55,152.55,154.75,268376
2021-09-30,157.4,159.35,155.0,155.7,451049
2021-10-01,153.5,155.7,152.05,152.85,234169
2021-10-04,154.2,156.0,152.5,153.0,270795
2021-10-05,153.0,156.0,152.5,152.8,265005
2021-10-06,153.5,153.6,148.0,148.2,341781
2021-10-07,149.7,151.2,146.85,147.45,197375
2021-10-08,148.5,156.0,143.3,151.85,718191
2021-10-11,152.5,166.3,151.45,160.15,1701489
2021-10-12,159.3,165.45,157.45,160.85,1282867
2021-10-13,161.25,165.5,157.0,159.65,736518
2021-10-14,160.65,161.25,157.2,157.6,285334
2021-10-18,158.05,172.7,156.7,162.55,2261824
2021-10-19,163.5,164.0,158.0,160.2,561216
2021-10-20,159.5,160.05,153.05,154.45,357933
2021-10-21,154.25,160.95,154.25,155.8,335551
2021-10-22,156.75,159.0,152.75,153.45,190984
2021-10-25,154.05,154.7,145.45,146.15,223872
2021-10-26,147.85,152.25,147.05,148.55,233538
2021-10-27,150.9,159.0,150.0,152.1,683011
2021-10-28,153.4,153.4,148.3,149.1,191112
2021-10-29,149.6,151.75,146.3,147.45,206114
2021-11-01,149.15,151.0,144.8,145.95,167692
2021-11-02,147.45,152.0,147.05,149.95,236203
2021-11-03,150.75,151.0,148.25,149.35,137286
2021-11-04,150.0,151.0,149.45,150.1,46239
2021-11-08,150.0,150.5,147.0,147.6,127380
2021-11-09,148.0,151.0,148.0,148.8,127630
2021-11-10,147.0,151.8,147.0,148.7,197052
2021-11-11,149.7,149.7,147.05,147.45,81171
2021-11-12,147.5,148.5,145.8,146.4,133039
2021-11-15,146.4,147.4,142.0,143.2,134441
2021-11-16,143.4,152.4,142.0,151.1,540313
2021-11-17,150.5,157.0,148.95,153.35,576259
2021-11-18,154.25,154.95,148.0,150.5,240357
2021-11-22,147.6,150.0,140.05,141.6,253831
2021-11-23,142.85,145.0,140.05,143.55,96725
2021-11-24,145.0,155.5,144.05,149.1,676963
2021-11-25,149.0,162.95,148.75,160.0,1805146
2021-11-26,157.0,158.7,148.1,150.9,377549
2021-11-29,146.55,148.8,141.8,142.7,272542
2021-11-30,144.0,147.5,139.1,141.35,659252
2021-12-01,142.0,148.85,141.1,145.6,576801
2021-12-02,146.0,150.8,145.0,146.95,291631
2021-12-03,148.9,152.1,146.35,147.15,315962
2021-12-06,149.0,149.8,143.7,144.55,162256
2021-12-07,145.95,150.0,145.3,147.3,249226
2021-12-08,148.0,154.5,147.9,150.4,416112
2021-12-09,151.8,151.9,146.95,147.45,136093
2021-12-10,147.15,152.0,146.8,149.35,199321
2021-12-13,151.35,152.35,147.85,148.2,142013
2021-12-14,147.7,153.8,146.75,149.85,276307
2021-12-15,150.35,152.9,148.0,148.65,234876
2021-12-16,149.0,150.95,145.6,146.5,164704
2021-12-17,146.0,146.9,141.9,142.9,178110
2021-12-20,142.9,142.9,135.15,135.8,159073
2021-12-21,137.95,142.45,135.55,140.75,194502
2021-12-22,141.9,148.0,139.4,145.9,311392
2021-12-23,146.75,149.0,144.15,145.25,266111
2021-12-24,145.95,145.95,142.4,142.75,89697
2021-12-27,143.0,144.0,139.75,142.85,75575
2021-12-28,144.0,146.45,143.0,143.4,117424
2021-12-29,143.8,146.0,142.1,143.7,98302
2021-12-30,144.4,144.85,142.0,142.3,51386
2021-12-31,142.5,145.7,142.25,144.5,106611
2022-01-03,143.0,147.4,142.9,144.05,221822
2022-01-04,143.8,145.25,142.5,143.05,82516
2022-01-05,143.1,143.8,141.25,141.85,77665
2022-01-06,141.35,142.9,140.4,141.05,112030
2022-01-07,142.4,142.7,139.0,140.05,108974
2022-01-10,140.05,142.35,140.05,141.25,75353
2022-01-11,142.0,143.3,140.4,140.6,94897
2022-01-12,141.65,142.0,140.0,140.8,74409
2022-01-13,141.8,141.8,138.9,139.95,91229
2022-01-14,140.45,142.05,137.75,138.75,147315
2022-01-17,139.25,143.05,139.2,141.65,150280
2022-01-18,142.65,146.85,140.3,141.2,334300
2022-01-19,141.65,143.0,139.35,140.9,124916
2022-01-20,141.45,142.15,139.85,140.4,73455
2022-01-21,139.5,140.55,137.9,138.2,79816
2022-01-24,137.0,139.65,128.45,130.3,138554
2022-01-25,129.0,132.25,126.55,131.05,128756
