Date,Open,High,Low,Close,Volume
2009-07-20,55.35,143.1,55.35,137.4,2857.0
2009-07-21,164.9,164.9,164.9,164.9,656.0
2009-07-22,197.9,197.9,197.9,197.9,466.0
2009-07-23,237.5,237.5,220.0,237.5,16044.0
2009-07-24,279.5,285.0,279.5,285.0,9071.0
2009-07-27,339.0,339.0,237.95,294.15,160318.0
2009-07-28,294.0,315.0,277.0,293.7,68039.0
2009-07-29,280.25,307.7,278.2,301.75,30571.0
2009-07-30,290.0,331.95,290.0,330.45,40199.0
2009-07-31,362.0,363.5,310.1,361.8,44565.0
2009-08-03,352.0,365.0,325.65,337.7,41675.0
2009-08-04,326.0,360.8,326.0,338.0,35708.0
2009-08-05,341.4,342.5,325.0,327.15,10531.0
2009-08-06,301.6,336.8,301.6,315.8,37727.0
2009-08-07,300.05,330.0,300.05,322.0,37005.0
2009-08-10,306.0,335.0,306.0,317.45,4338.0
2009-08-11,315.0,327.0,307.0,310.1,2845.0
2009-08-12,320.0,320.0,300.0,307.15,4382.0
2009-08-13,302.4,319.4,302.4,310.4,4734.0
2009-08-14,290.1,312.0,290.1,302.55,1262.0
2009-08-17,296.1,310.05,296.1,302.0,1264.0
2009-08-18,280.1,309.0,280.1,295.65,2541.0
2009-08-19,285.0,299.95,280.0,281.85,1660.0
2009-08-20,261.5,300.0,261.5,287.7,1959.0
2009-08-21,302.0,302.0,273.5,281.35,308.0
2009-08-24,271.0,290.0,271.0,281.4,2278.0
2009-08-25,271.0,283.9,269.0,276.0,416.0
2009-08-26,266.0,289.75,266.0,281.05,1001.0
2009-08-27,267.0,285.0,267.0,279.95,431.0
2009-08-28,280.0,286.0,271.0,281.0,409.0
2009-08-31,271.0,280.05,267.0,280.0,940.0
2009-09-01,266.0,294.0,266.0,278.5,707.0
2009-09-02,265.0,292.45,265.0,281.25,1421.0
2009-09-03,275.0,285.0,272.1,280.05,332.0
2009-09-04,267.0,292.0,267.0,279.05,272.0
2009-09-07,271.0,293.0,271.0,286.5,862.0
2009-09-08,287.0,300.0,287.0,295.1,1941.0
2009-09-09,284.9,308.0,284.9,291.95,238.0
2009-09-10,289.0,300.0,289.0,298.2,3236.0
2009-09-11,295.0,303.9,295.0,298.1,1010.0
2009-09-14,290.0,300.75,290.0,296.95,1922.0
2009-09-15,292.0,304.0,292.0,297.5,23868.0
2009-09-16,290.0,301.9,290.0,300.0,6458.0
2009-09-17,286.0,315.0,286.0,304.8,3122.0
2009-09-18,291.0,304.8,291.0,296.1,2439.0
2009-09-22,293.0,300.0,293.0,299.15,1484.0
2009-09-23,288.0,304.0,288.0,292.0,355.0
2009-09-24,278.0,302.0,278.0,301.7,310.0
2009-09-25,287.0,302.0,287.0,298.0,258.0
2009-09-29,284.2,310.0,284.2,295.1,413.0
2009-09-30,285.0,300.0,285.0,298.7,159.0
2009-10-01,288.0,300.0,288.0,291.0,347.0
2009-10-05,288.0,304.9,288.0,290.0,534.0
2009-10-06,289.0,300.0,289.0,299.5,11801.0
2009-10-07,284.8,300.0,284.8,299.1,1555.0
2009-10-08,285.0,300.0,285.0,290.1,882.0
2009-10-09,275.75,303.55,275.75,294.6,658.0
2009-10-12,284.4,300.0,284.4,299.65,343.0
2009-10-14,285.0,302.0,285.0,295.35,35674.0
2009-10-15,281.0,310.1,281.0,302.25,513.0
2009-10-16,287.25,300.0,287.25,295.0,444.0
2009-10-17,290.0,309.75,290.0,301.8,163.0
2009-10-20,290.0,307.7,290.0,301.25,106.0
2009-10-21,292.4,301.0,292.4,300.0,633.0
2009-10-22,290.0,300.0,290.0,298.0,326.0
2009-10-23,295.0,296.15,295.0,296.15,191.0
2009-10-26,306.9,311.0,296.0,298.4,2079.0
2009-10-27,290.0,300.0,290.0,295.0,603.0
2009-10-28,292.0,309.0,290.1,307.45,1341.0
2009-10-29,313.0,322.85,313.0,322.85,2103.0
2009-10-30,339.0,339.0,339.0,339.0,2718.0
2009-11-03,325.0,346.5,322.25,323.45,789.0
2009-11-04,330.0,339.65,321.75,335.25,317.0
2009-11-05,335.0,335.0,319.0,333.35,142.0
2009-11-06,319.5,325.0,318.6,321.3,7193.0
2009-11-09,320.0,335.0,310.0,322.05,586.0
2009-11-10,322.0,322.05,322.0,322.05,22.0
2009-11-11,329.0,329.0,321.0,325.0,1573.0
2009-11-12,325.0,335.0,320.0,333.5,82.0
2009-11-13,318.5,333.0,318.2,332.5,17.0
2009-11-16,333.0,333.0,318.0,325.0,257.0
2009-11-17,325.0,341.25,325.0,327.0,2919.0
2009-11-18,325.0,330.0,310.75,320.0,431.0
2009-11-19,314.0,331.0,314.0,322.5,85.0
2009-11-20,311.05,320.0,310.0,311.1,927.0
2009-11-23,326.0,326.0,311.0,311.0,171.0
2009-11-24,301.6,321.85,301.6,321.5,2175.0
2009-11-25,318.0,319.95,310.1,318.0,212.0
2009-11-26,302.4,319.0,302.4,307.0,36.0
2009-11-27,302.55,303.0,298.0,301.6,1097.0
2009-11-30,296.0,307.0,296.0,305.8,63.0
2009-12-01,302.0,314.8,302.0,306.65,209.0
2009-12-02,305.1,308.0,303.0,303.1,59.0
2009-12-03,303.0,303.0,300.0,300.25,212.0
2009-12-04,301.05,315.0,301.0,313.85,738.0
2009-12-07,305.0,315.0,305.0,315.0,249.0
2009-12-08,303.1,316.2,303.1,306.55,8900.0
2009-12-09,301.0,320.8,301.0,305.0,88.0
2009-12-10,305.0,307.25,305.0,306.95,171.0
2009-12-11,303.15,304.5,303.15,303.5,102.0
2009-12-14,303.1,304.75,302.0,302.0,102.0
2009-12-15,296.15,317.0,296.15,310.0,309.0
2009-12-16,301.2,309.9,301.15,301.25,68.0
2009-12-17,295.35,304.0,295.05,302.35,439.0
2009-12-18,302.0,312.0,300.6,300.6,177.0
2009-12-21,300.3,309.5,300.2,301.1,10471.0
2009-12-22,298.0,310.0,298.0,300.0,1056.0
2009-12-23,300.0,315.0,300.0,313.95,1863.0
2009-12-24,305.0,307.9,301.25,305.9,150.0
2009-12-29,298.05,314.0,298.05,305.4,100.0
2009-12-30,298.25,305.0,298.25,300.05,98.0
2009-12-31,310.0,315.0,302.0,309.9,518.0
2010-01-04,315.0,315.95,312.0,313.6,224.0
2010-01-05,307.0,315.0,307.0,311.0,433.0
2010-01-06,302.8,326.55,302.8,321.65,13122.0
2010-01-07,320.0,337.75,312.0,337.75,10963.0
2010-01-08,338.1,350.0,330.5,338.0,538.0
2010-01-11,330.05,330.3,325.55,327.7,499.0
