Date,O,H,L,C,V
2010-08-19,18.45,18.55,18.25,18.55,9499
2010-08-20,18.35,18.65,18.35,18.6,7000
2010-08-23,18.6,18.8,18.55,18.6,5732
2010-08-24,18.6,18.65,18.5,18.55,4637
2010-08-25,18.8,18.8,18.6,18.75,27646
2010-08-26,18.8,18.85,18.7,18.8,18802
2010-08-27,18.85,18.85,18.75,18.8,12212
2010-08-30,18.8,18.9,18.8,18.85,5020
2010-08-31,18.85,19.0,18.85,19.0,3325
2010-09-01,19.0,19.2,19.0,19.0,3099
2010-09-02,19.05,19.1,19.0,19.1,2241
2010-09-03,19.15,19.15,19.0,19.1,1580
2010-09-06,19.1,19.1,18.95,19.0,2974
2010-09-07,19.15,19.15,19.0,19.1,1477
2010-09-08,19.2,19.2,19.1,19.1,2529
2010-09-09,19.0,19.2,18.9,19.05,2222
2010-09-13,19.0,19.05,18.85,18.9,4383
2010-09-14,19.0,19.05,18.9,19.0,2568
2010-09-15,19.1,19.2,19.1,19.15,2222
2010-09-16,19.05,19.2,19.05,19.15,2494
2010-09-17,19.15,19.2,19.1,19.15,1605
2010-09-20,19.45,19.45,18.75,19.15,2814
2010-09-21,19.15,19.15,19.05,19.1,2908
2010-09-22,19.1,19.35,19.1,19.25,1480
2010-09-23,19.3,19.35,19.15,19.25,3135
2010-09-24,19.25,19.3,19.2,19.25,1172
2010-09-27,19.25,19.25,19.1,19.15,3493
2010-09-28,19.2,19.2,19.05,19.05,2258
2010-09-29,19.15,19.3,19.15,19.25,1468
2010-09-30,19.25,19.35,19.1,19.3,3141
2010-10-01,19.25,19.3,19.15,19.2,1481
2010-10-04,19.2,19.5,19.05,19.2,2560
2010-10-05,19.2,19.3,19.15,19.3,1637
2010-10-06,19.25,19.5,19.25,19.5,2648
2010-10-07,19.45,19.65,19.45,19.6,3539
2010-10-08,19.45,19.45,19.3,19.35,2187
2010-10-11,19.5,19.7,19.4,19.5,5683
2010-10-12,19.7,19.7,19.45,19.5,5576
2010-10-13,19.8,19.8,19.55,19.65,2187
2010-10-14,19.65,20.0,19.65,19.95,4339
2010-10-15,20.0,20.0,19.75,19.85,2191
2010-10-18,19.8,19.8,19.55,19.6,4497
2010-10-19,19.8,19.8,19.7,19.75,964
2010-10-20,19.6,19.6,19.35,19.45,1921
2010-10-21,19.55,19.65,19.45,19.55,1688
2010-10-22,19.4,19.45,19.25,19.3,3494
2010-10-25,19.55,19.65,19.4,19.45,1908
2010-10-26,19.55,19.55,19.35,19.45,3019
2010-10-27,19.5,19.5,19.35,19.4,1056
2010-10-28,19.35,19.4,19.25,19.3,882
2010-10-29,19.35,19.5,19.35,19.45,1119
2010-11-01,19.7,19.75,19.55,19.7,3022
2010-11-02,19.7,19.7,19.5,19.55,3051
2010-11-03,19.65,19.7,19.6,19.7,6496
2010-11-04,19.65,19.8,19.6,19.65,2971
2010-11-05,20.15,20.15,19.7,19.95,2225
2010-11-08,19.95,20.0,19.75,19.8,3871
2010-11-09,19.85,20.15,19.85,20.1,8002
2010-11-10,20.0,20.1,19.9,20.05,3001
2010-11-11,19.95,20.2,19.95,20.2,5102
2010-11-12,20.1,20.1,19.95,20.0,3727
2010-11-15,19.95,20.1,19.85,19.85,3159
2010-11-16,19.85,20.0,19.7,19.95,1095
2010-11-18,20.05,20.05,19.85,19.85,1463
2010-11-19,19.95,19.95,19.8,19.9,2017
2010-11-22,19.9,20.05,19.9,19.9,826
2010-11-23,20.05,20.15,19.9,20.1,5631
2010-11-24,20.1,20.4,20.1,20.35,4503
2010-11-25,20.35,20.35,20.15,20.2,1775
2010-11-26,20.3,20.3,20.1,20.15,2710
2010-11-29,20.25,20.25,20.05,20.2,1647
2010-11-30,20.25,20.35,20.15,20.3,2671
2010-12-01,20.35,20.5,20.35,20.45,2059
2010-12-02,20.45,20.5,20.35,20.35,2642
2010-12-03,20.4,20.4,20.2,20.3,2487
2010-12-06,20.45,20.6,20.45,20.55,1978
2010-12-07,20.6,20.65,20.55,20.6,1896
2010-12-08,20.5,20.5,20.25,20.4,1874
