Date,Open,High,Low,Close,Volume
2023-02-21,92.0,94.0,92.0,93.48,2565
2023-02-22,93.48,93.5,90.74,92.02,12207
2023-02-23,92.02,92.02,89.75,90.59,6153
2023-02-24,90.76,90.76,90.5,90.59,1944
2023-02-27,92.5,95.8,87.5,89.97,6801
2023-02-28,90.4,94.0,89.4,90.75,3536
2023-03-01,90.32,90.9,90.06,90.85,1933
2023-03-02,91.0,94.0,90.85,91.0,2454
2023-03-03,91.0,91.9,91.0,91.48,2347
2023-03-06,94.25,94.25,91.26,92.45,2805
2023-03-08,92.9,99.2,92.01,92.49,29541
2023-03-09,92.64,92.64,92.26,92.43,2639
2023-03-10,92.17,92.7,91.21,91.61,3992
2023-03-13,91.61,91.61,90.18,90.5,4617
2023-03-14,91.0,91.99,89.08,90.58,12261
2023-03-15,91.0,92.2,89.3,89.33,9360
2023-03-16,91.39,92.0,87.76,88.68,22564
2023-03-17,89.99,91.89,88.5,88.88,11255
2023-03-20,89.0,90.9,87.94,89.17,9389
2023-03-21,89.51,89.9,88.52,88.7,6597
2023-03-22,89.0,91.75,88.7,89.55,9276
2023-03-23,89.89,89.91,88.5,88.78,7999
2023-03-24,89.0,89.0,87.5,88.16,18434
2023-03-27,88.99,88.99,86.45,86.53,19905
2023-03-28,86.54,86.9,85.0,85.53,15036
2023-03-29,87.99,89.9,86.01,87.24,18735
2023-03-31,90.9,90.9,87.51,89.46,54474
2023-04-03,91.25,91.9,89.0,89.73,38577
2023-04-05,90.9,90.9,88.66,89.1,24297
2023-04-06,89.01,89.89,88.79,89.81,47625
2023-04-10,90.9,93.9,89.4,89.94,76375
2023-04-11,90.26,91.25,90.26,90.61,24051
2023-04-12,90.73,91.34,90.5,91.09,14596
2023-04-13,91.08,91.8,90.93,91.28,21482
