Date,O,H,L,C,V
2015-04-09,400.0,448.85,400.0,438.4,37276199
2015-04-10,441.9,452.0,433.5,439.6,4920286
2015-04-13,437.5,442.75,423.6,430.25,1636434
2015-04-15,430.25,464.4,422.5,439.15,4703486
2015-04-16,441.95,487.0,441.9,479.5,5612060
2015-04-17,475.4,494.4,466.3,473.9,3528516
2015-04-20,474.8,477.6,446.65,450.7,1418441
2015-04-21,453.4,459.0,436.6,440.8,1155631
2015-04-22,443.3,449.5,418.35,441.85,1177867
2015-04-23,445.0,455.8,434.1,436.35,823774
2015-04-24,438.35,439.5,415.0,420.4,752809
2015-04-27,423.3,431.5,402.6,417.55,1214104
2015-04-28,417.95,434.9,412.8,429.65,668062
2015-04-29,429.0,429.15,413.0,417.45,1125210
2015-04-30,416.3,428.8,416.15,426.35,525000
2015-05-04,426.7,436.65,423.0,432.7,323518
2015-05-05,428.15,432.0,419.35,423.15,212921
2015-05-06,422.55,422.55,400.1,404.95,387624
2015-05-07,402.0,414.3,401.0,406.15,367788
2015-05-08,410.0,425.0,410.0,417.75,357288
2015-05-11,418.0,442.4,418.0,434.6,522455
2015-05-12,436.0,437.25,421.0,423.55,319958
2015-05-13,429.0,458.95,428.8,452.15,1197426
2015-05-14,449.0,458.9,442.85,449.9,633351
2015-05-15,450.8,471.7,450.35,467.1,1116014
2015-05-18,482.4,482.5,445.1,448.7,1931454
2015-05-19,446.7,458.7,444.7,456.4,493880
2015-05-20,456.0,461.25,434.0,438.2,523768
2015-05-21,439.0,448.5,429.95,441.5,469992
2015-05-22,441.5,448.7,437.25,440.25,309097
2015-05-25,443.0,446.5,434.8,436.05,171174
2015-05-26,437.1,441.0,424.4,429.15,354564
2015-05-27,426.95,438.0,421.5,435.25,268430
2015-05-28,437.0,443.35,435.1,438.95,475036
2015-05-29,439.4,443.1,434.4,435.75,125541
2015-06-01,438.0,438.9,426.2,428.95,120112
2015-06-02,429.95,436.7,419.7,423.05,149221
2015-06-03,423.0,427.3,388.15,419.85,395358
2015-06-04,418.2,422.0,410.1,419.45,361777
2015-06-05,420.45,426.9,415.9,419.8,143022
2015-06-08,418.8,419.5,408.5,414.95,101058
2015-06-09,416.8,418.0,408.3,409.85,115158
2015-06-10,414.9,416.0,405.0,407.35,176276
2015-06-11,409.5,411.1,385.55,390.65,203821
2015-06-12,394.0,415.6,388.3,410.15,1000566
2015-06-15,411.9,421.75,403.4,413.35,327279
2015-06-16,410.85,415.9,410.1,411.95,86122
2015-06-17,415.1,418.0,411.0,413.7,214132
2015-06-18,414.65,427.9,413.5,419.05,373510
2015-06-19,423.0,433.4,416.0,428.75,724053
2015-06-22,433.6,438.5,426.1,428.65,239447
2015-06-23,432.3,433.9,423.45,426.35,141980
2015-06-24,424.0,433.6,400.55,412.45,203682
2015-06-25,411.0,428.0,411.0,425.8,176465
2015-06-26,427.05,436.0,424.6,428.6,214512
2015-06-29,411.55,428.15,411.55,423.2,130058
2015-06-30,427.9,431.0,421.0,422.9,113273
2015-07-01,424.0,431.3,422.15,425.65,110627
2015-07-02,439.0,450.95,433.0,435.85,402305
2015-07-03,432.1,454.0,432.1,443.05,467425
2015-07-06,438.0,465.5,436.1,464.05,533135
2015-07-07,468.4,472.3,458.6,462.85,427689
2015-07-08,457.0,461.7,440.0,445.75,234134
2015-07-09,447.9,458.85,445.0,448.15,169225
2015-07-10,451.0,454.0,446.0,451.95,85827
2015-07-13,450.1,466.0,450.1,463.45,164396
2015-07-14,468.0,468.6,453.0,454.9,139510
2015-07-15,458.55,459.9,450.05,453.2,98396
2015-07-16,455.0,456.0,447.15,448.85,66404
2015-07-17,447.2,455.9,445.05,446.2,146479
2015-07-20,448.55,451.0,444.0,447.4,55765
2015-07-21,449.5,450.05,427.95,431.2,129302
2015-07-22,435.6,441.0,431.0,436.35,171412
2015-07-23,438.95,439.0,427.45,430.45,77202
2015-07-24,432.0,443.7,418.5,422.35,276043
2015-07-27,422.35,440.0,422.35,437.0,498487
2015-07-28,440.85,440.9,416.0,417.8,657356
2015-07-29,420.0,423.0,407.65,414.0,568952
2015-07-30,415.9,421.0,410.05,413.55,140654
2015-07-31,418.95,420.0,414.0,417.65,227944
2015-08-03,420.1,420.1,413.0,414.55,101486
2015-08-04,418.0,418.0,409.7,411.25,140240
2015-08-05,415.0,420.7,412.0,415.65,155077
2015-08-06,416.0,418.0,412.5,413.8,108476
2015-08-07,414.75,415.85,403.4,406.45,176311
2015-08-10,410.0,410.35,387.0,390.2,258208
2015-08-11,392.9,406.0,389.55,400.3,175044
2015-08-12,400.0,405.75,390.0,391.4,94091
2015-08-13,391.4,398.0,371.4,374.7,265925
2015-08-14,379.9,404.05,375.05,399.45,351626
2015-08-17,401.4,401.5,389.7,395.8,88371
2015-08-18,398.0,402.95,393.4,398.15,82832
2015-08-19,399.95,404.7,395.0,400.7,100070
2015-08-20,400.35,409.45,391.2,394.4,91521
2015-08-21,390.8,390.8,380.25,386.15,134173
2015-08-24,378.5,378.5,336.25,342.45,162381
2015-08-25,346.0,358.25,315.05,346.75,310043
2015-08-26,345.0,352.0,335.6,343.3,193328
2015-08-27,348.0,360.0,345.75,355.9,121991
2015-08-28,363.95,393.8,358.0,359.0,278290
2015-08-31,361.75,369.0,358.0,366.05,56653
2015-09-01,364.9,388.0,360.05,374.3,298132
2015-09-02,383.7,385.05,376.1,380.15,104821
2015-09-03,385.95,389.45,380.0,382.3,86439
2015-09-04,382.0,384.0,370.0,377.1,71707
2015-09-07,377.0,381.0,361.1,364.5,64444
2015-09-08,366.05,375.0,359.75,372.3,98851
2015-09-09,379.2,402.8,374.1,392.35,413767
2015-09-10,385.8,385.8,375.1,380.5,94368
2015-09-11,384.0,389.2,373.2,375.4,80812
2015-09-14,377.3,382.8,372.2,376.2,373637
2015-09-15,376.0,380.0,370.1,373.45,301811
2015-09-16,374.45,378.0,372.1,376.0,110126
2015-09-18,380.0,380.0,371.0,371.95,54953
2015-09-21,363.05,372.0,363.05,369.55,50885
2015-09-22,371.0,376.0,362.15,363.45,59314
2015-09-23,360.0,363.8,356.15,357.65,81500
2015-09-24,360.75,362.95,354.0,357.45,56235
2015-09-28,354.0,369.9,347.0,349.1,72820
2015-09-29,346.05,354.8,341.1,346.5,148888
2015-09-30,346.2,362.3,343.3,358.8,345589
2015-10-01,364.4,365.0,353.95,356.6,281952
2015-10-05,360.0,365.0,357.5,361.4,51812
2015-10-06,362.0,371.5,350.0,367.5,1356910
2015-10-07,370.9,377.4,363.0,365.35,375799
2015-10-08,366.0,368.9,360.0,364.05,83243
2015-10-09,365.9,371.9,361.2,366.15,60535
2015-10-12,369.0,379.3,360.05,373.3,742301
2015-10-13,378.0,384.65,366.55,381.95,97914
2015-10-14,381.95,387.6,378.0,380.8,82390
2015-10-15,380.85,388.0,377.25,387.5,142968
2015-10-16,390.4,402.7,385.5,395.3,285428
2015-10-19,400.55,406.0,393.55,395.95,77713
2015-10-20,396.65,408.7,396.45,402.15,438106
2015-10-21,403.75,403.75,395.0,400.4,139439
2015-10-23,402.1,403.1,392.7,396.95,111097
2015-10-26,399.0,411.4,381.15,389.55,912233
2015-10-27,398.9,406.0,396.1,403.4,494638
2015-10-28,406.8,407.5,398.35,401.5,230150
2015-10-29,402.05,404.5,395.25,401.4,91862
2015-10-30,401.15,402.95,390.3,397.0,107791
2015-11-02,395.5,399.0,388.2,389.9,102866
2015-11-03,395.0,395.0,384.0,388.6,139342
2015-11-04,391.45,394.9,385.05,388.3,73257
2015-11-05,389.0,389.95,382.5,383.8,45685
2015-11-06,388.0,390.0,376.0,377.65,37342
2015-11-09,365.0,382.0,365.0,368.95,135409
2015-11-10,369.0,374.4,365.5,367.35,53324
2015-11-11,378.8,378.8,371.65,374.3,44283
2015-11-13,370.2,375.0,358.5,359.8,168955
2015-11-16,364.95,369.8,361.1,365.9,207910
2015-11-17,368.0,369.9,362.5,364.2,57277
2015-11-18,365.45,366.75,356.8,359.65,74311
2015-11-19,360.1,375.3,360.1,369.65,173819
2015-11-20,369.0,374.0,363.1,366.35,72622
2015-11-23,371.7,371.7,361.05,365.55,30690
2015-11-24,367.0,368.9,361.1,366.5,56183
2015-11-26,368.45,368.45,359.4,360.45,75466
2015-11-27,364.0,364.0,358.0,361.4,157518
2015-11-30,361.0,364.2,359.3,361.45,84466
2015-12-01,364.9,367.0,359.75,363.15,114519
2015-12-02,363.45,366.0,361.05,362.4,43642
2015-12-03,362.0,366.0,358.7,360.8,69833
2015-12-04,360.0,361.65,355.8,357.8,92647
2015-12-07,363.35,369.0,355.8,356.9,115452
2015-12-08,356.05,359.45,348.25,349.6,67423
2015-12-09,349.0,352.0,340.0,347.95,99643
2015-12-10,353.5,354.95,348.4,350.6,89791
2015-12-11,353.0,353.0,340.4,342.3,63568
2015-12-14,348.0,348.0,340.05,341.95,38589
2015-12-15,343.0,353.9,343.0,348.5,90417
2015-12-16,352.0,356.4,349.25,351.75,60857
2015-12-17,353.95,358.4,348.8,351.8,241100
2015-12-18,351.3,355.75,350.1,352.25,144061
2015-12-21,352.0,370.2,352.0,366.05,112100
2015-12-22,371.0,371.25,358.6,359.95,114654
2015-12-23,363.0,378.5,361.55,365.25,270792
2015-12-24,366.65,372.0,364.6,365.75,87500
2015-12-28,365.0,370.75,363.0,364.55,98802
2015-12-29,365.0,366.4,358.1,359.75,75083
2015-12-30,360.0,365.9,359.0,360.85,77634
2015-12-31,364.4,364.4,358.0,359.55,46341
2016-01-01,362.5,362.9,358.6,359.9,69435
2016-01-04,361.0,361.25,355.3,359.6,92958
2016-01-05,359.0,361.5,356.5,359.15,88295
2016-01-06,362.0,369.8,362.0,364.25,147153
2016-01-07,363.0,363.0,348.75,349.5,89895
2016-01-08,355.0,358.0,350.0,352.35,35551
2016-01-11,349.85,351.0,345.1,346.25,37486
2016-01-12,349.5,349.7,341.0,347.15,110246
2016-01-13,348.5,352.9,332.0,341.5,92720
2016-01-14,338.0,338.0,330.0,332.25,96280
2016-01-15,334.05,336.25,315.1,319.25,50860
2016-01-18,326.0,326.0,300.05,311.4,255981
2016-01-19,308.55,324.0,305.0,322.5,227195
2016-01-20,322.7,325.0,306.0,320.6,238622
2016-01-21,324.0,328.55,307.1,312.9,463733
2016-01-22,321.85,321.85,309.0,309.9,270211
