Date,Open,High,Low,Close,Volume
2023-01-24,180.1,189.1,171.1,189.1,669939
2023-01-25,198.55,198.55,187.0,198.55,506732
2023-01-27,207.95,208.45,188.65,188.65,411329
2023-01-30,179.25,185.0,179.25,179.65,82062
2023-01-31,172.05,188.6,170.7,171.65,222619
2023-02-01,169.0,175.0,163.1,163.1,68809
2023-02-02,156.05,160.8,154.95,154.95,83003
2023-02-03,154.7,154.7,147.2,147.2,57654
2023-02-06,139.85,154.55,139.85,154.55,135204
2023-02-07,158.85,162.25,149.0,151.3,125623
2023-02-08,154.4,164.7,145.7,162.5,616050
2023-02-09,167.7,177.2,158.35,170.6,357540
2023-02-10,172.9,178.0,168.3,169.15,63814
2023-02-13,171.3,171.4,150.8,152.9,282428
2023-02-14,152.65,158.25,146.3,147.5,332145
2023-02-15,146.8,150.4,145.7,147.55,43432
2023-02-16,147.55,159.0,141.35,145.8,127663
2023-02-17,148.5,156.05,145.9,146.85,391578
2023-02-20,147.0,150.4,140.0,142.4,104379
2023-02-21,145.8,152.55,145.0,148.2,132237
2023-02-22,145.3,150.35,142.5,143.3,37769
2023-02-23,143.5,151.75,143.5,146.6,57057
2023-02-24,147.9,150.0,138.2,143.4,79611
2023-02-27,143.4,150.15,140.1,140.75,113647
2023-02-28,144.0,144.1,131.0,133.9,134252
2023-03-01,133.0,141.6,133.0,138.6,134825
2023-03-02,134.4,139.75,134.4,137.4,31125
2023-03-03,135.25,154.15,135.25,150.0,173616
2023-03-06,154.0,169.8,152.5,165.35,419408
2023-03-08,171.0,198.4,171.0,197.6,1855211
2023-03-09,195.5,211.0,188.0,206.2,3687519
2023-03-10,204.0,216.7,197.3,210.85,1295552
2023-03-13,208.9,208.9,196.95,201.05,980773
2023-03-14,201.45,205.0,193.5,196.85,452278
2023-03-15,201.75,206.05,187.15,193.4,416270
2023-03-16,190.45,194.9,185.0,190.15,198842
2023-03-17,193.3,209.15,190.3,199.35,599773
2023-03-20,199.55,203.0,193.0,195.05,199014
2023-03-21,197.9,204.05,192.0,199.05,880322
2023-03-22,200.95,210.5,198.0,200.45,631887
2023-03-23,200.1,200.9,196.05,196.5,221726
2023-03-24,196.0,199.6,190.1,192.65,204355
2023-03-27,191.45,195.65,187.1,192.25,254755
2023-03-28,188.0,195.0,186.5,190.05,414969
2023-03-29,190.25,193.45,184.1,186.4,357309
2023-03-31,186.0,205.0,186.0,205.0,1035285
2023-04-03,205.9,210.0,195.4,206.65,745594
2023-04-05,208.9,227.3,205.45,227.25,1642732
2023-04-06,227.05,244.9,223.35,228.0,887908
