Date,O,H,L,C,V
2020-10-30,23.3,24.3,22.5,23.85,194552
2020-11-02,24.4,26.2,22.5,23.0,140738
2020-11-03,25.0,25.25,22.55,22.75,394448
2020-11-04,23.0,23.0,20.5,20.65,489720
2020-11-05,20.7,21.6,20.5,20.7,500851
2020-11-06,20.8,20.9,20.2,20.35,524923
2020-11-09,21.2,21.2,19.0,19.2,766461
2020-11-10,19.2,19.35,18.0,18.25,114050
2020-11-11,18.3,20.05,18.3,19.65,536783
2020-11-12,21.0,21.5,19.5,20.85,706916
2020-11-13,21.5,21.5,19.5,20.85,811739
2020-11-17,21.0,21.15,20.15,20.7,349929
2020-11-18,20.5,20.85,19.8,20.05,414474
2020-11-19,20.4,20.5,19.9,20.05,201925
2020-11-20,20.5,20.5,19.2,19.6,232799
2020-11-23,19.85,20.1,18.65,19.3,491184
2020-11-24,19.55,21.2,19.1,21.1,531049
2020-11-25,21.75,21.75,19.7,20.3,323790
2020-11-26,20.55,20.85,20.0,20.55,213981
2020-11-27,20.25,22.55,20.15,20.65,616391
2020-12-01,21.25,21.25,20.2,20.45,332832
2020-12-02,20.7,22.1,20.35,21.9,692725
2020-12-03,22.85,22.85,21.8,22.2,284607
2020-12-04,22.5,22.7,20.7,21.2,353545
2020-12-07,23.0,23.6,22.05,22.9,585053
2020-12-08,23.05,23.8,21.7,22.2,271297
2020-12-09,23.0,23.0,22.0,22.15,231877
2020-12-10,22.15,22.4,21.7,22.05,242461
2020-12-11,22.5,22.5,21.6,21.8,123158
2020-12-14,22.3,23.5,22.05,22.85,334750
2020-12-15,23.4,23.4,22.2,23.1,278461
2020-12-16,23.8,23.9,23.0,23.15,187141
2020-12-17,23.7,23.7,22.5,22.7,193494
2020-12-18,22.7,26.5,21.85,25.7,1582979
2020-12-21,26.45,28.2,24.0,24.95,2315088
2020-12-22,25.2,26.7,22.0,24.5,486588
2020-12-23,24.5,25.9,24.5,25.45,426277
2020-12-24,25.65,26.3,24.55,24.9,512923
2020-12-28,25.15,26.8,24.4,26.2,622557
2020-12-29,26.35,30.0,26.35,28.95,1834136
2020-12-30,29.85,29.95,27.95,28.4,1416528
2020-12-31,28.65,29.15,26.9,27.3,522939
2021-01-01,27.6,28.8,27.3,28.65,375712
2021-01-04,29.0,29.1,28.1,28.35,358596
2021-01-05,28.4,28.45,27.6,27.75,292711
2021-01-06,28.0,28.45,26.85,27.1,244393
2021-01-07,27.2,28.05,27.1,27.3,240122
2021-01-08,27.85,27.9,27.15,27.25,199245
2021-01-11,30.5,30.5,27.5,28.8,713227
2021-01-12,29.0,30.9,28.8,29.9,808109
2021-01-13,30.35,30.7,29.0,29.25,427056
2021-01-14,29.0,29.95,28.15,28.45,242916
2021-01-15,29.05,29.4,27.25,27.6,301259
2021-01-18,28.95,28.95,27.0,28.0,249343
2021-01-19,28.6,29.2,28.1,28.45,219861
2021-01-20,28.8,28.8,27.5,27.8,268050
2021-01-21,27.8,28.0,27.0,27.2,189177
2021-01-22,27.6,27.75,26.55,26.85,226041
2021-01-25,27.0,27.8,25.8,26.75,239292
2021-01-27,27.4,27.4,25.8,26.05,234714
2021-01-28,25.4,27.0,25.2,26.75,230257
2021-01-29,27.4,27.9,26.6,27.05,229015
2021-02-01,27.8,27.8,25.15,26.65,347198
2021-02-02,27.1,27.4,23.0,24.35,851785
2021-02-03,23.9,25.45,23.9,24.7,392045
2021-02-04,25.25,29.0,24.75,28.5,1630956
2021-02-05,28.65,29.4,26.6,27.2,389215
