Date,Open,High,Low,Close,Volume
2008-02-18,21.0,21.0,15.1,15.5,5446069.0
2008-02-19,15.5,16.3,14.8,14.9,1665399.0
2008-02-20,14.8,15.2,14.35,14.9,572854.0
2008-02-21,14.2,15.7,14.2,14.7,449704.0
2008-02-22,13.7,14.5,13.6,13.8,178643.0
2008-02-25,13.9,14.0,13.0,13.5,135504.0
2008-02-26,13.75,14.5,10.8,13.7,305662.0
2008-02-27,13.7,14.3,13.1,13.45,131350.0
2008-02-28,13.35,14.5,13.2,14.3,300575.0
2008-02-29,14.1,15.1,14.1,14.6,197009.0
2008-03-03,14.2,14.3,13.35,13.45,32056.0
2008-03-04,13.35,13.6,12.45,12.95,40294.0
2008-03-05,12.5,13.2,12.5,12.9,35279.0
2008-03-07,12.45,12.45,10.95,11.2,96747.0
2008-03-10,10.4,10.8,9.55,10.7,40124.0
2008-03-11,9.9,11.45,9.8,11.3,32950.0
2008-03-12,11.65,12.0,10.8,10.95,19948.0
2008-03-13,10.75,10.75,9.9,10.15,20231.0
2008-03-14,9.9,11.0,9.75,10.45,27233.0
2008-03-17,9.6,10.1,9.1,9.85,92221.0
2008-03-18,10.2,10.2,9.2,9.25,12157.0
2008-03-19,9.4,9.8,9.0,9.15,11277.0
2008-03-24,9.2,9.35,7.4,7.45,25311.0
2008-03-25,7.7,7.8,7.05,7.4,42636.0
2008-03-26,7.6,7.7,7.4,7.6,176907.0
2008-03-27,7.1,8.0,7.1,7.9,22933.0
2008-03-28,7.3,8.35,7.3,8.2,73959.0
2008-03-31,8.4,8.6,8.2,8.45,30449.0
2008-04-01,8.0,9.7,8.0,9.3,51293.0
2008-04-02,9.6,9.95,9.1,9.3,18046.0
2008-04-03,9.1,9.3,8.85,8.9,8286.0
2008-04-04,9.0,10.3,8.6,9.2,75011.0
2008-04-07,9.6,9.65,9.0,9.2,11316.0
2008-04-08,9.05,9.25,8.8,8.95,6945.0
2008-04-09,9.0,9.75,8.9,9.3,17464.0
2008-04-10,9.5,9.6,9.0,9.1,17340.0
2008-04-11,9.2,9.4,9.0,9.1,5667.0
2008-04-15,9.0,9.3,8.8,9.2,8278.0
2008-04-16,9.05,9.7,9.0,9.3,18339.0
2008-04-17,9.3,9.45,9.2,9.25,8486.0
2008-04-21,9.5,10.05,9.4,9.85,25564.0
2008-04-22,10.0,10.9,9.9,10.75,47232.0
2008-04-23,11.4,11.8,11.0,11.2,36825.0
2008-04-24,11.55,11.55,11.05,11.1,16015.0
2008-04-25,11.45,11.45,10.75,10.9,6789.0
2008-04-28,11.0,11.0,10.2,10.35,13284.0
2008-04-29,10.3,10.55,10.1,10.5,10151.0
2008-04-30,10.5,10.7,10.1,10.2,11479.0
2008-05-02,10.6,12.3,10.6,12.25,154994.0
2008-05-05,12.5,12.85,11.85,12.3,210543.0
2008-05-06,12.4,12.8,12.05,12.35,65704.0
2008-05-07,11.6,12.3,11.5,11.7,39043.0
2008-05-08,11.3,11.95,11.2,11.85,40178.0
2008-05-09,11.3,11.9,11.0,11.2,11706.0
2008-05-12,10.4,11.1,10.4,10.65,12813.0
2008-05-13,10.6,11.45,10.6,10.9,22227.0
2008-05-14,10.8,11.2,10.6,11.05,7433.0
2008-05-15,11.5,12.0,11.0,11.2,7897.0
2008-05-16,11.6,11.65,11.3,11.4,17245.0
2008-05-20,11.2,11.55,11.15,11.3,8903.0
2008-05-21,11.1,11.5,11.1,11.4,14542.0
2008-05-22,11.4,11.4,11.1,11.2,3653.0
2008-05-23,11.2,11.4,11.1,11.2,7658.0
2008-05-26,11.4,11.4,10.5,10.8,10161.0
2008-05-27,10.9,11.1,10.5,10.55,9665.0
2008-05-28,11.2,11.2,10.35,10.45,5329.0
2008-05-29,10.55,10.8,10.3,10.3,6111.0
2008-05-30,10.3,10.6,10.1,10.25,6821.0
2008-06-02,10.15,10.4,9.5,9.65,7442.0
2008-06-03,9.1,9.5,8.8,9.3,6855.0
2008-06-04,9.4,9.4,8.5,8.75,5169.0
2008-06-05,8.7,9.15,8.4,9.0,9882.0
2008-06-06,9.05,9.3,8.8,9.05,4202.0
2008-06-09,8.4,9.2,7.7,8.55,7775.0
2008-06-10,8.3,8.65,8.3,8.55,4468.0
2008-06-11,8.7,8.95,8.4,8.6,6973.0
2008-06-12,8.2,8.9,8.2,8.7,2503.0
2008-06-13,9.0,9.0,8.55,8.8,1926.0
2008-06-16,8.7,9.0,8.7,8.85,3650.0
2008-06-17,8.6,9.1,8.6,8.9,9744.0
2008-06-18,8.7,9.2,8.7,8.95,3365.0
2008-06-19,8.7,8.9,8.4,8.6,1896.0
2008-06-20,8.8,8.9,7.7,8.05,6834.0
2008-06-23,7.7,8.3,7.6,8.15,10923.0
2008-06-24,8.15,8.3,7.95,8.0,3722.0
2008-06-25,7.8,8.1,7.75,8.0,53786.0
2008-06-26,7.9,8.2,7.6,7.8,49768.0
2008-06-27,8.0,8.0,7.2,7.3,23466.0
2008-06-30,7.1,7.4,6.6,6.8,2900.0
2008-07-01,6.8,6.8,6.15,6.25,3048.0
2008-07-02,5.95,6.3,5.0,5.3,33851.0
2008-07-03,5.25,5.3,4.9,5.1,22604.0
2008-07-04,5.4,5.95,5.0,5.65,14732.0
2008-07-07,5.6,6.0,5.6,5.8,13617.0
2008-07-08,5.45,5.7,5.2,5.45,5710.0
2008-07-09,5.95,6.0,5.2,5.35,39309.0
2008-07-10,5.65,5.8,5.4,5.5,37099.0
2008-07-11,5.65,5.9,5.55,5.6,20075.0
2008-07-14,5.65,5.65,5.35,5.4,11148.0
2008-07-15,5.3,5.3,4.95,5.0,9598.0
2008-07-16,5.2,5.2,4.85,4.95,14001.0
2008-07-17,5.1,5.5,4.9,5.1,8028.0
2008-07-18,5.15,5.4,5.1,5.2,39512.0
2008-07-21,5.3,5.3,5.15,5.2,3955.0
2008-07-22,5.3,5.55,5.3,5.35,8860.0
2008-07-23,5.5,6.3,5.5,6.1,34429.0
2008-07-24,6.0,6.95,6.0,6.3,44563.0
2008-07-25,6.4,6.4,6.0,6.0,6335.0
2008-07-28,6.0,6.3,5.8,6.2,4069.0
2008-07-29,5.9,6.15,5.9,5.95,5317.0
2008-07-30,5.9,6.4,5.9,6.1,11295.0
2008-07-31,6.2,6.3,6.1,6.15,8727.0
2008-08-01,5.95,6.5,5.95,6.4,13020.0
2008-08-04,6.45,7.2,6.3,6.8,19311.0
2008-08-05,7.0,8.0,6.95,7.1,25334.0
2008-08-06,7.3,7.7,6.8,6.9,23279.0
2008-08-07,6.7,7.0,6.6,6.7,8123.0
2008-08-08,6.8,6.85,6.3,6.5,13762.0
2008-08-11,6.85,6.85,6.5,6.7,24462.0
2008-08-12,6.7,6.8,6.6,6.7,16572.0
2008-08-13,6.4,6.75,6.4,6.65,4202.0
2008-08-14,6.4,6.55,6.3,6.4,4350.0
2008-08-18,6.45,6.9,6.4,6.7,35210.0
2008-08-19,6.5,6.95,6.4,6.9,23481.0
2008-08-20,6.95,7.4,6.8,7.2,30609.0
2008-08-21,7.15,7.2,6.95,6.95,15056.0
2008-08-22,6.85,7.15,6.8,6.9,14124.0
2008-08-25,7.3,8.1,7.0,7.9,76736.0
2008-08-26,8.3,8.8,8.2,8.3,458218.0
2008-08-27,8.2,8.3,7.45,7.6,87244.0
2008-08-28,7.5,7.6,7.15,7.2,28315.0
2008-08-29,7.6,7.6,7.1,7.2,30794.0
2008-09-01,7.1,7.4,7.0,7.05,13432.0
2008-09-02,7.2,7.6,7.2,7.4,21334.0
2008-09-04,7.35,7.7,7.3,7.35,16112.0
2008-09-05,7.15,7.3,7.1,7.1,8365.0
2008-09-08,7.2,7.45,7.1,7.1,18058.0
2008-09-09,7.0,7.3,6.9,6.95,11481.0
2008-09-10,6.8,7.15,6.7,6.75,14193.0
2008-09-11,6.95,6.95,6.5,6.6,13515.0
2008-09-12,6.7,6.7,6.3,6.4,10321.0
2008-09-15,6.15,6.15,5.3,5.6,28444.0
2008-09-16,5.1,5.8,5.1,5.65,10114.0
2008-09-17,6.0,6.0,5.6,5.65,11361.0
2008-09-18,5.5,5.6,5.1,5.5,8175.0
2008-09-19,5.6,6.0,5.5,5.75,7298.0
2008-09-22,5.7,5.8,5.55,5.6,10162.0
2008-09-23,5.3,6.6,5.3,5.75,12706.0
2008-09-24,5.65,6.0,5.65,5.9,9212.0
2008-09-25,5.8,6.15,5.8,6.0,10381.0
2008-09-26,6.0,6.1,5.2,5.4,9649.0
2008-09-29,5.4,5.8,5.1,5.3,5378.0
2008-09-30,4.4,5.65,4.4,5.3,9721.0
2008-10-01,5.25,5.45,5.25,5.35,2581.0
2008-10-03,5.6,5.6,5.1,5.1,3939.0
2008-10-06,5.3,5.3,4.7,4.8,6435.0
2008-10-07,4.9,5.0,4.5,4.6,3189.0
2008-10-08,4.4,4.4,3.7,3.9,10804.0
2008-10-10,3.7,4.0,3.65,3.75,6585.0
2008-10-13,3.3,4.45,3.3,4.15,5898.0
2008-10-14,4.5,4.9,4.0,4.45,9925.0
2008-10-15,4.2,4.3,4.0,4.1,2454.0
2008-10-16,3.9,4.3,3.6,4.0,4538.0
2008-10-17,4.05,4.1,3.7,3.8,2391.0
2008-10-20,3.75,3.9,3.7,3.8,4150.0
2008-10-21,3.7,3.95,3.7,3.95,593.0
2008-10-22,3.7,4.15,3.7,3.8,974.0
2008-10-23,3.7,3.8,3.45,3.6,5026.0
2008-10-24,3.3,3.5,3.3,3.3,5473.0
2008-10-27,3.2,3.25,2.85,3.0,5314.0
2008-10-28,3.1,3.6,2.9,3.25,1332.0
2008-10-29,3.35,3.9,3.15,3.4,3469.0
