Date,Open,High,Low,Close,Volume
2022-08-16,19.4,21.0,19.02,19.59,62413.0
2022-08-17,20.17,20.17,19.23,19.52,2749.0
2022-08-18,19.7,19.85,19.35,19.7,1876.0
2022-08-19,19.75,20.5,19.51,19.55,2367.0
2022-08-22,19.55,20.39,18.84,19.0,5641.0
2022-08-23,19.1,19.8,18.7,19.4,4783.0
2022-08-24,19.4,19.5,19.01,19.5,510.0
2022-08-25,19.5,20.99,19.26,19.32,723.0
2022-08-26,19.5,20.29,19.4,19.47,2090.0
2022-08-29,20.05,20.65,19.3,19.51,2519.0
2022-08-30,19.6,21.1,19.53,19.65,1230.0
2022-09-01,19.07,23.0,19.07,19.7,6764.0
2022-09-02,23.72,23.72,19.24,19.74,2387.0
2022-09-05,20.33,20.33,19.5,19.69,2219.0
2022-09-06,19.6,19.65,19.33,19.55,1227.0
2022-09-07,19.55,20.29,19.5,19.5,1333.0
2022-09-08,20.08,20.08,19.56,19.67,2681.0
2022-09-09,20.48,20.48,19.67,19.7,2008.0
2022-09-12,19.7,20.0,19.7,19.8,4001.0
2022-09-13,20.39,20.39,19.8,20.0,1562.0
2022-09-14,20.18,20.18,19.9,19.9,12863.0
2022-09-15,19.7,20.37,19.7,20.17,13569.0
2022-09-16,20.5,20.5,19.61,19.69,25377.0
2022-09-19,19.72,19.84,19.66,19.68,15187.0
2022-09-20,20.38,20.38,19.35,19.8,6499.0
2022-09-21,20.38,20.38,19.36,19.99,29458.0
2022-09-22,20.38,20.38,19.72,20.07,4649.0
2022-09-23,20.09,20.09,19.9,19.91,599.0
2022-09-26,19.32,19.91,19.32,19.64,1166.0
2022-09-27,19.06,20.38,19.06,19.39,4299.0
2022-09-28,19.39,19.6,19.35,19.6,1964.0
2022-09-29,20.18,20.18,19.4,19.54,2216.0
2022-09-30,19.5,19.9,19.45,19.71,6626.0
2022-10-03,19.6,19.75,19.3,19.43,8022.0
2022-10-04,18.62,19.7,18.62,19.69,5356.0
2022-10-06,19.5,20.25,19.5,19.5,3172.0
2022-10-07,19.6,19.85,19.51,19.83,7361.0
2022-10-10,19.98,19.98,19.51,19.7,1879.0
2022-10-11,19.8,19.8,19.35,19.39,489.0
2022-10-12,19.4,19.5,19.2,19.5,3511.0
2022-10-13,19.45,19.5,19.3,19.5,1711.0
2022-10-14,19.6,19.65,19.4,19.54,2450.0
2022-10-17,19.54,19.54,19.35,19.47,476.0
2022-10-18,19.6,19.75,19.39,19.54,1659.0
2022-10-19,19.6,19.7,19.43,19.7,1186.0
2022-10-20,19.98,19.98,19.45,19.78,1572.0
2022-10-21,19.73,19.73,19.55,19.6,1490.0
2022-10-24,19.6,19.75,19.35,19.52,8707.0
2022-10-25,19.6,19.7,19.45,19.46,530.0
2022-10-27,19.98,19.98,19.32,19.49,4280.0
2022-10-28,19.6,19.7,19.39,19.69,7362.0
2022-10-31,19.69,20.0,19.69,19.9,3019.0
2022-11-01,20.48,20.48,19.8,20.0,1360.0
2022-11-02,20.05,20.05,19.85,19.85,574.0
2022-11-03,20.38,20.38,19.7,19.91,2618.0
2022-11-04,20.0,20.14,19.79,19.9,35.0
2022-11-07,20.49,20.49,20.04,20.2,2684.0
2022-11-09,20.2,20.37,19.6,20.11,6644.0
2022-11-10,20.11,20.25,19.91,19.98,16126.0
2022-11-11,20.1,20.49,19.98,20.11,8150.0
2022-11-14,20.1,20.3,19.92,20.16,8291.0
2022-11-15,20.25,20.25,20.09,20.14,2787.0
2022-11-16,20.16,20.18,20.01,20.01,651.0
2022-11-17,20.1,20.1,19.96,20.05,1212.0
2022-11-18,20.0,20.0,19.81,19.89,1201.0
2022-11-21,19.89,19.94,19.81,19.94,2965.0
2022-11-22,19.99,20.01,19.87,19.87,2279.0
2022-11-23,19.87,19.99,19.87,19.99,8.0
2022-11-24,20.02,20.05,19.93,19.99,1741.0
2022-11-25,20.01,20.1,19.98,20.01,3241.0
2022-11-28,20.01,20.2,19.7,20.13,356.0
2022-11-29,20.16,20.28,20.05,20.19,2015.0
2022-11-30,20.78,20.78,20.27,20.38,15902.0
2022-12-01,20.51,20.53,20.37,20.43,451.0
2022-12-02,20.98,20.98,20.39,20.49,1027.0
2022-12-05,21.38,21.38,20.33,20.35,1560.0
2022-12-06,20.4,24.51,20.32,21.33,11124.0
2022-12-07,20.49,20.81,20.41,20.46,58023.0
2022-12-08,20.5,20.6,20.4,20.41,53620.0
2022-12-09,20.98,20.98,20.25,20.43,15429.0
2022-12-12,21.04,21.04,20.45,20.6,6651.0
2022-12-13,20.69,20.69,20.51,20.51,2017.0
2022-12-14,20.62,20.63,20.45,20.57,3270.0
2022-12-15,20.48,20.7,20.25,20.7,838.0
2022-12-16,20.95,20.95,20.11,20.17,7790.0
2022-12-19,20.12,20.41,20.1,20.36,3105.0
2022-12-20,20.34,20.34,20.19,20.31,1338.0
2022-12-21,20.33,20.44,20.01,20.11,858.0
2022-12-22,20.18,20.18,19.9,19.96,38512.0
2022-12-23,19.9,20.09,19.46,19.68,40233.0
2022-12-26,19.63,19.82,19.63,19.7,10377.0
2022-12-27,19.75,19.91,19.68,19.8,69983.0
2022-12-28,20.0,20.0,19.72,19.75,4898.0
2022-12-29,19.84,19.92,19.64,19.79,7645.0
2022-12-30,19.7,19.94,19.6,19.79,22008.0
2023-01-02,19.88,19.88,19.66,19.83,9031.0
2023-01-03,19.79,19.85,19.67,19.79,5881.0
2023-01-04,19.79,19.79,19.57,19.67,19238.0
2023-01-05,19.77,19.86,19.7,19.79,3318.0
2023-01-06,19.9,20.2,19.74,19.79,3826.0
2023-01-09,19.96,20.0,19.83,19.84,650.0
2023-01-10,19.9,20.0,19.79,19.82,1393.0
2023-01-11,19.91,19.91,19.79,19.89,5241.0
2023-01-12,19.85,19.93,19.75,19.9,889.0
2023-01-13,19.89,19.99,19.85,19.85,1665.0
2023-01-16,19.99,19.99,19.7,19.82,2428.0
2023-01-17,20.38,20.38,19.75,19.98,2128.0
2023-01-18,19.65,20.01,19.65,20.0,2608.0
2023-01-19,20.07,20.07,19.85,19.95,95.0
2023-01-20,19.9,19.9,19.64,19.68,1957.0
2023-01-23,19.65,19.88,19.45,19.8,12866.0
2023-01-24,19.71,19.79,19.68,19.7,4000.0
2023-01-25,19.7,19.7,19.5,19.61,5308.0
2023-01-27,19.52,19.95,19.09,19.23,1574654.0
2023-01-30,19.3,19.34,19.0,19.06,5642.0
2023-01-31,19.06,19.45,19.06,19.4,1800.0
2023-02-01,19.5,19.57,19.0,19.1,1652.0
2023-02-02,19.45,19.45,19.23,19.43,9373.0
2023-02-03,19.43,19.9,19.27,19.46,5264.0
2023-02-06,19.57,19.61,19.39,19.6,3140.0
2023-02-07,19.6,19.64,19.44,19.64,6183.0
2023-02-08,19.64,19.9,19.47,19.55,9394.0
2023-02-09,19.53,19.69,19.5,19.54,7923.0
2023-02-10,19.6,19.64,19.45,19.64,1615.0
2023-02-13,20.0,20.0,19.26,19.51,2420.0
2023-02-14,19.5,19.53,19.38,19.52,39.0
2023-02-15,19.45,19.65,19.36,19.48,8268.0
2023-02-16,19.6,19.71,19.4,19.49,98739.0
2023-02-17,19.97,19.97,19.45,19.65,4322.0
2023-02-20,19.44,19.54,19.31,19.33,5359.0
2023-02-21,19.5,19.55,19.36,19.44,751.0
2023-02-22,19.4,19.43,19.19,19.27,2771.0
2023-02-23,19.2,19.33,19.18,19.22,282.0
2023-02-24,19.24,19.35,19.16,19.19,3859.0
2023-02-27,18.95,19.14,18.91,18.92,2893.0
2023-02-28,18.95,19.11,18.95,19.07,40.0
2023-03-01,19.1,19.28,19.05,19.26,139.0
2023-03-02,19.19,19.29,19.1,19.11,10458.0
2023-03-03,19.2,19.29,19.2,19.27,1083.0
2023-03-06,19.41,19.46,19.23,19.23,11186.0
2023-03-08,19.25,19.91,19.25,19.89,1231.0
2023-03-09,19.47,19.7,19.25,19.34,425.0
2023-03-10,19.24,19.3,19.12,19.29,3679.0
2023-03-13,19.25,19.35,18.97,19.01,777.0
2023-03-14,18.97,19.1,18.84,19.04,734.0
2023-03-15,19.08,19.08,18.86,18.89,729.0
2023-03-16,18.86,19.28,18.85,18.98,515.0
2023-03-17,19.0,20.09,18.96,19.88,1717.0
2023-03-20,19.08,20.48,18.76,18.86,184020.0
2023-03-21,19.0,19.09,18.9,18.92,5476.0
2023-03-22,19.0,19.09,18.91,18.92,1837.0
2023-03-23,18.94,19.06,18.93,19.03,48.0
2023-03-24,19.03,19.03,18.92,18.99,2586.0
2023-03-27,18.88,19.01,18.8,18.86,541.0
2023-03-28,18.86,19.05,18.72,18.95,10889.0
2023-03-29,18.89,19.3,18.78,18.82,7983.0
2023-03-31,19.2,19.2,18.89,19.1,6473.0
2023-04-03,18.85,19.35,18.85,19.27,715.0
2023-04-05,19.31,19.37,19.29,19.36,1647.0
2023-04-06,19.28,19.35,19.18,19.32,118.0
2023-04-10,19.32,19.4,19.14,19.28,1846.0
2023-04-11,19.29,19.45,19.2,19.4,4045.0
2023-04-12,19.34,19.47,19.28,19.39,386.0
2023-04-13,19.4,19.47,19.36,19.43,3782.0
2023-04-17,19.44,19.55,19.41,19.54,6527
2023-04-18,19.98,19.98,19.28,19.5,4408
2023-04-19,19.45,19.51,19.4,19.46,604
2023-04-20,19.47,19.52,19.33,19.41,1028
2023-04-21,19.29,19.42,19.16,19.35,1225
2023-04-24,19.11,19.37,19.11,19.36,772
2023-04-25,19.36,19.51,19.35,19.4,483
2023-04-26,19.45,19.69,19.35,19.68,1384
2023-04-27,19.2,19.71,19.2,19.7,117
2023-04-28,19.7,19.93,19.49,19.75,22273
2023-05-02,19.75,20.28,19.7,19.84,14893
2023-05-03,19.84,21.0,19.81,20.14,10814
2023-05-04,20.15,20.2,19.94,20.18,4262
2023-05-05,20.15,20.18,20.0,20.15,6226
2023-05-08,20.15,20.55,20.15,20.22,4583
2023-05-09,20.23,20.42,20.22,20.34,948
2023-05-10,20.34,21.5,20.32,20.34,1922
2023-05-11,20.35,20.6,20.35,20.39,4221
2023-05-12,20.39,20.69,20.39,20.65,4350
2023-05-15,20.65,20.71,20.45,20.5,1913
2023-05-16,20.71,20.74,20.5,20.56,4313
2023-05-17,20.53,20.73,20.48,20.48,3265
2023-05-18,20.54,20.9,20.54,20.88,505
2023-05-19,20.96,21.0,20.25,20.9,6531
2023-05-22,20.6,20.69,20.36,20.59,11467
