Date,O,H,L,C,V
2012-09-25,389.9,389.9,381.0,382.0,21
2012-09-26,382.5,384.0,382.5,384.0,46
2012-09-27,380.25,395.0,380.25,395.0,718
2012-09-28,390.0,405.0,390.0,392.35,3427
2012-10-01,390.3,407.0,390.2,401.55,507
2012-10-03,450.0,450.0,400.0,402.8,2956
2012-10-04,403.0,409.9,401.0,403.0,875
2012-10-05,400.05,410.0,400.05,407.0,615
2012-10-08,407.05,410.0,403.1,410.0,1684
2012-10-09,415.0,415.0,403.0,409.05,2317
2012-10-10,409.95,409.95,404.0,405.0,497
2012-10-11,405.0,405.0,398.0,402.0,1591
2012-10-12,400.0,406.0,396.0,396.95,345
2012-10-15,379.0,400.0,379.0,389.95,663
2012-10-16,392.0,395.0,385.1,387.6,532
2012-10-17,388.0,388.0,376.0,378.1,1371
2012-10-18,378.0,390.1,370.0,389.45,1689
2012-10-19,385.0,387.95,384.1,384.5,1142
2012-10-22,382.0,409.9,382.0,402.55,2091
2012-10-23,395.1,409.95,385.2,399.0,762
2012-10-25,395.1,409.95,390.05,400.9,2687
2012-10-26,421.0,447.85,411.0,431.3,61769
2012-10-29,426.0,444.0,426.0,436.9,7355
2012-10-30,440.0,455.0,432.0,450.95,12011
2012-10-31,454.0,460.0,440.1,458.3,12620
2012-11-01,459.0,474.9,459.0,468.95,11550
2012-11-02,472.95,479.9,462.05,467.0,8926
2012-11-05,467.0,475.0,453.0,456.4,5384
2012-11-06,456.55,456.55,420.0,445.25,9700
2012-11-07,444.0,460.0,444.0,452.0,5583
2012-11-08,450.0,465.0,450.0,460.0,10406
2012-11-09,467.0,475.6,443.0,448.6,11100
2012-11-12,451.2,465.7,451.1,457.8,9545
2012-11-13,462.0,469.0,458.0,465.6,5432
2012-11-15,466.1,468.05,460.75,464.7,5886
2012-11-16,460.0,469.9,460.0,464.25,4793
2012-11-19,464.0,475.0,464.0,465.75,10073
2012-11-20,459.0,481.35,457.45,469.85,7588
2012-11-21,467.0,469.85,450.0,461.8,5068
2012-11-22,461.9,467.0,456.1,462.5,1916
2012-11-23,469.0,469.0,451.95,457.05,3682
2012-11-26,459.85,472.4,458.55,468.05,2036
2012-11-27,468.0,468.05,458.0,461.85,2145
2012-11-29,457.35,470.0,457.35,460.95,2850
2012-11-30,465.0,472.45,458.1,463.7,2893
2012-12-03,465.0,470.0,460.05,462.1,1348
2012-12-04,460.55,487.95,457.0,480.6,22015
2012-12-05,480.0,507.0,478.2,487.3,12527
2012-12-06,497.95,505.0,488.0,490.35,6958
2012-12-07,495.1,499.0,482.1,486.15,4376
2012-12-10,485.0,488.95,474.0,482.5,2350
2012-12-11,485.0,487.85,471.2,473.25,1635
2012-12-12,470.5,480.0,470.5,472.75,1104
2012-12-13,472.75,478.6,462.2,466.2,3408
2012-12-14,473.05,478.0,462.0,463.4,1604
2012-12-17,467.05,469.6,460.4,465.4,3386
2012-12-18,469.0,474.7,463.0,471.65,1103
2012-12-19,460.0,478.0,460.0,472.15,2112
2012-12-20,470.25,478.95,470.25,472.85,1334
2012-12-21,471.5,474.9,470.15,470.95,2396
2012-12-24,473.5,473.5,465.55,467.4,2116
2012-12-26,464.0,468.85,462.0,465.05,1847
2012-12-27,460.0,479.0,460.0,473.65,1804
2012-12-28,474.7,483.0,468.5,476.5,1595
2012-12-31,474.95,482.0,472.3,479.9,4207
2013-01-01,482.0,482.0,475.15,479.85,3342
2013-01-02,480.0,491.2,477.05,484.9,6767
2013-01-03,480.0,487.0,461.0,476.95,1167
2013-01-04,477.05,484.75,473.0,476.5,527
2013-01-07,480.0,480.0,469.95,473.1,1372
2013-01-08,473.0,491.0,469.95,480.85,5699
2013-01-09,484.65,486.0,474.15,483.15,3066
2013-01-10,484.5,490.0,476.5,485.05,5370
2013-01-11,480.0,489.7,476.0,485.4,2952
2013-01-14,481.95,482.0,472.7,475.9,1471
2013-01-15,475.0,478.0,473.35,475.2,1452
2013-01-16,479.45,479.45,467.9,469.9,1918
2013-01-17,515.0,515.0,466.9,474.9,5322
2013-01-18,472.5,477.0,472.25,475.05,3107
2013-01-21,475.0,475.5,472.3,474.65,1334
2013-01-22,474.5,481.05,473.5,475.2,1679
2013-01-23,476.05,480.0,474.1,475.9,4447
2013-01-24,478.85,479.0,466.0,467.35,3507
2013-01-25,465.0,478.0,461.05,472.25,2963
2013-01-28,475.0,479.4,464.2,469.9,8688
2013-01-29,469.0,472.0,465.05,470.7,3161
2013-01-30,475.0,475.0,466.05,470.0,2764
2013-01-31,470.1,483.5,466.25,477.45,3738
2013-02-01,478.0,480.0,474.0,479.9,1358
2013-02-04,476.0,480.0,470.0,477.05,3200
2013-02-05,476.4,479.95,473.05,474.45,917
2013-02-06,473.25,476.7,473.0,475.35,1564
2013-02-07,470.35,480.0,467.1,478.4,4043
2013-02-08,483.0,483.0,475.0,478.35,2095
2013-02-11,485.0,485.0,474.0,480.8,2024
2013-02-12,459.9,474.95,453.6,465.3,6935
2013-02-13,466.3,468.0,461.0,465.7,2970
2013-02-14,455.55,465.1,452.1,462.4,8715
2013-02-15,460.0,460.0,436.95,444.45,6638
2013-02-18,448.05,449.5,432.95,434.8,2503
2013-02-19,437.0,439.9,422.2,427.95,1452
2013-02-20,431.95,439.45,429.05,435.6,540
2013-02-21,421.1,433.9,421.1,426.25,1492
2013-02-22,425.95,426.0,421.1,424.85,1596
2013-02-25,438.95,438.95,422.05,426.1,1299
2013-02-26,428.0,433.95,421.1,421.8,2477
2013-02-27,420.0,433.0,417.35,421.05,2635
2013-02-28,422.05,432.95,415.0,421.65,1388
2013-03-01,423.15,431.65,412.5,420.5,1484
2013-03-04,430.9,430.9,410.0,414.05,1374
2013-03-05,424.9,424.9,411.2,415.95,1782
2013-03-06,422.55,424.0,413.0,420.55,762
2013-03-07,422.95,425.0,419.1,423.95,911
2013-03-08,424.95,435.0,422.55,426.65,797
2013-03-11,426.35,438.7,426.35,434.9,3557
2013-03-12,435.0,440.0,433.4,435.5,1882
2013-03-13,445.0,450.0,431.0,435.0,3472
2013-03-14,435.0,438.95,432.2,434.0,1248
2013-03-15,431.0,440.0,431.0,435.15,546
2013-03-18,434.2,438.75,434.2,436.45,1773
2013-03-19,439.7,439.7,430.0,436.4,2617
2013-03-20,432.25,435.05,405.0,414.6,8110
2013-03-21,413.55,423.95,351.15,405.6,3124
2013-03-22,403.0,410.0,402.0,408.0,1204
2013-03-25,415.0,415.0,399.95,400.6,2415
2013-03-26,410.0,427.0,402.0,414.3,2796
2013-03-28,414.8,414.8,406.0,409.95,462
2013-04-01,425.0,485.0,402.05,406.8,3397
2013-04-02,406.8,415.0,402.1,412.15,2832
2013-04-03,413.0,420.0,408.8,410.6,2989
2013-04-04,410.0,415.0,405.0,410.95,1331
2013-04-05,410.0,414.0,407.1,411.5,619
2013-04-08,411.0,411.0,401.45,409.05,1212
2013-04-09,414.95,414.95,405.0,405.5,3807
2013-04-10,423.0,423.0,401.55,412.45,582
2013-04-11,410.0,424.8,406.3,420.05,12313
2013-04-12,410.0,416.9,400.0,406.1,834
2013-04-15,405.0,420.0,405.0,414.15,549
2013-04-16,413.0,417.65,410.1,415.8,697
2013-04-17,414.15,415.0,407.5,412.05,584
2013-04-18,407.0,419.95,407.0,410.15,318
2013-04-22,411.3,419.0,410.0,417.75,229
2013-04-23,419.0,427.4,413.15,423.3,865
2013-04-25,420.0,427.95,391.25,402.7,960
2013-04-26,406.0,417.9,392.1,411.4,720
2013-04-29,410.0,423.9,409.0,421.8,2045
2013-04-30,410.4,412.1,407.1,408.95,292
2013-05-02,415.0,418.0,409.9,410.3,2315
2013-05-03,410.0,415.0,409.8,411.2,165
2013-05-06,410.0,420.0,405.1,413.0,1470
2013-05-07,410.05,424.0,410.0,414.85,241
2013-05-08,415.0,424.95,414.0,419.6,191
2013-05-09,414.05,423.75,412.0,418.6,1391
2013-05-10,411.5,420.9,411.5,418.75,307
2013-05-11,412.0,412.0,412.0,412.0,2
2013-05-13,413.05,425.0,413.05,419.8,436
2013-05-14,420.0,425.0,417.0,419.55,294
2013-05-15,425.0,457.95,423.0,452.15,13238
2013-05-16,458.45,458.45,439.05,442.45,880
2013-05-17,436.3,444.0,436.1,441.05,390
2013-05-20,443.0,454.9,423.45,441.15,1339
2013-05-21,440.0,455.0,430.0,450.45,2038
2013-05-22,455.9,455.9,434.95,436.8,2050
2013-05-23,431.05,435.0,426.05,432.5,1591
2013-05-24,433.0,444.0,417.2,436.4,2817
2013-05-27,430.0,437.0,425.0,436.0,2252
2013-05-28,444.0,444.0,423.0,430.15,6779
2013-05-29,439.0,439.0,431.0,435.35,1462
2013-05-30,433.0,436.95,425.25,429.1,1647
2013-05-31,427.4,437.0,425.95,430.5,1126
2013-06-03,435.0,443.5,430.0,439.2,2222
2013-06-04,435.0,437.95,431.0,433.05,1806
2013-06-05,436.0,439.95,427.0,434.8,1039
2013-06-06,434.0,434.0,431.5,431.85,2480
2013-06-07,433.5,438.5,433.05,437.1,1883
2013-06-10,433.25,440.0,430.1,432.65,1142
2013-06-11,440.0,440.0,430.0,432.0,1757
2013-06-12,426.0,439.8,425.85,438.6,1341
2013-06-13,432.0,436.95,429.9,433.6,533
2013-06-14,425.0,437.7,425.0,434.05,754
2013-06-17,436.0,448.95,436.0,445.45,2007
2013-06-18,445.0,445.0,433.0,434.5,1864
2013-06-19,433.55,449.95,433.2,436.6,2603
2013-06-20,430.65,442.0,430.6,436.8,17719
2013-06-21,432.55,444.8,432.55,436.8,807
2013-06-24,434.0,437.95,433.2,435.85,779
2013-06-25,437.0,439.8,433.95,435.7,1527
2013-06-26,439.0,439.0,435.5,438.25,1665
2013-06-27,433.2,443.0,433.2,440.4,670
2013-06-28,435.0,439.0,432.35,432.8,1870
2013-07-01,430.0,438.5,426.6,434.1,1123
2013-07-02,438.95,438.95,432.1,433.65,602
2013-07-03,441.0,441.0,434.25,434.25,426
2013-07-04,430.25,433.85,421.45,429.1,703
2013-07-05,430.0,435.05,428.0,433.05,5134
2013-07-08,428.0,438.95,416.2,429.75,7506
2013-07-09,427.35,444.9,427.35,435.25,3029
2013-07-10,434.0,441.95,434.0,435.4,2105
2013-07-11,436.0,436.0,426.2,430.1,1318
2013-07-12,436.0,436.0,429.95,430.05,1544
2013-07-15,423.3,431.65,423.3,429.3,1016
2013-07-16,434.9,435.0,428.0,430.0,1667
2013-07-17,430.05,439.9,428.0,437.6,2216
2013-07-18,428.0,436.0,428.0,434.55,2108
2013-07-19,434.0,439.9,433.0,434.7,1776
2013-07-22,439.95,469.7,433.05,434.55,1726
2013-07-23,433.65,439.0,433.65,434.6,796
2013-07-24,434.0,434.0,423.0,426.25,1365
2013-07-25,430.0,441.85,427.0,436.8,1794
2013-07-26,440.0,440.0,420.95,422.85,1068
2013-07-29,425.0,430.5,415.0,423.9,1180
2013-07-30,422.6,428.45,415.5,417.75,1455
2013-07-31,427.9,430.0,406.1,423.3,1969
2013-08-01,421.05,431.5,420.6,423.6,4158
2013-08-02,415.05,425.0,411.05,419.95,1638
2013-08-05,499.0,499.0,420.35,422.9,755
2013-08-06,417.0,427.9,410.0,413.15,3099
2013-08-07,424.9,424.9,410.0,414.45,439
2013-08-08,410.5,423.0,410.5,419.3,773
2013-08-12,424.0,426.0,413.8,419.45,2565
2013-08-13,455.0,460.0,420.0,451.25,11040
2013-08-14,435.25,459.0,435.2,439.1,3910
2013-08-16,441.95,449.9,432.0,437.65,4462
2013-08-19,440.95,446.85,430.0,437.55,1667
2013-08-20,450.0,450.0,425.15,438.1,1221
2013-08-21,426.05,445.0,420.0,428.25,1008
2013-08-22,425.0,437.9,424.9,435.7,7039
2013-08-23,428.1,445.0,428.1,442.1,951
2013-08-26,430.0,441.1,429.0,438.9,943
2013-08-27,429.95,439.0,425.0,433.65,3246
2013-08-28,439.95,439.95,421.15,430.6,10900
2013-08-29,422.4,435.0,422.2,430.2,1303
2013-08-30,432.15,438.0,430.05,433.8,1977
2013-09-02,440.0,449.0,439.95,440.95,1601
2013-09-03,434.9,448.0,430.0,433.25,7469
2013-09-04,443.3,443.3,438.0,440.0,209
2013-09-05,431.35,449.0,431.35,444.6,2019
