Date,Open,High,Low,Close,Volume
2021-12-20,14.15,14.85,14.15,14.85,336126
2021-12-21,15.55,15.55,15.55,15.55,53182
2021-12-22,16.3,16.3,16.3,16.3,27939
2021-12-23,17.1,17.1,17.1,17.1,30576
2021-12-24,17.95,17.95,17.95,17.95,20008
2021-12-27,18.8,18.8,18.8,18.8,41210
2021-12-28,19.7,19.7,19.7,19.7,13647
2021-12-29,20.65,20.65,20.65,20.65,25842
2021-12-30,21.65,21.65,21.65,21.65,29373
2021-12-31,22.7,22.7,22.7,22.7,31333
2022-01-03,24.95,24.95,24.95,24.95,27799
2022-01-04,27.4,27.4,23.15,27.4,2631871
2022-01-05,30.1,30.1,30.1,30.1,116958
2022-01-06,31.6,31.6,31.6,31.6,43516
2022-01-07,33.15,33.15,33.15,33.15,44827
2022-01-10,34.8,34.8,34.8,34.8,16100
2022-01-11,36.5,36.5,36.5,36.5,23137
2022-01-12,38.3,38.3,34.7,35.0,3067569
2022-01-13,33.25,33.25,33.25,33.25,100664
2022-01-14,31.6,31.6,31.6,31.6,90057
2022-01-17,30.05,33.15,30.05,33.15,656064
2022-01-18,33.8,33.8,31.5,31.5,201520
2022-01-19,29.95,29.95,29.95,29.95,46053
2022-01-20,28.5,28.5,28.5,28.5,44723
2022-01-21,27.1,29.9,27.1,29.5,992249
2022-01-24,28.05,29.0,28.05,28.05,227812
2022-01-25,26.65,26.65,26.65,26.65,20576
2022-01-27,25.35,25.35,25.35,25.35,27395
2022-01-28,24.15,24.85,24.1,24.1,470338
2022-01-31,22.9,22.9,22.9,22.9,49101
2022-02-01,21.8,21.8,21.8,21.8,30966
2022-02-02,20.75,22.85,20.75,22.85,486282
2022-02-03,22.75,22.95,21.75,21.75,327564
2022-02-04,20.8,22.8,20.8,22.6,360357
2022-02-07,23.05,23.25,21.5,21.5,120683
2022-02-08,21.0,21.5,20.45,20.45,38808
2022-02-09,19.45,19.8,19.45,19.45,76672
2022-02-10,18.5,19.45,18.5,18.6,259851
2022-02-11,18.5,19.5,17.7,19.5,218413
2022-02-14,20.45,20.45,20.45,20.45,57802
2022-02-15,21.45,21.45,21.45,21.45,110167
2022-02-16,22.5,22.5,22.5,22.5,37907
2022-02-17,23.6,23.6,21.4,22.2,471843
2022-02-18,21.1,22.0,21.1,21.2,104518
2022-02-21,20.2,21.65,20.15,20.15,41653
2022-02-22,19.15,19.15,19.15,19.15,10998
2022-02-23,18.2,19.9,18.2,18.65,112883
2022-02-24,17.75,17.75,17.75,17.75,23346
2022-02-25,16.9,17.75,16.9,17.55,155313
2022-02-28,17.35,17.9,16.7,16.75,90716
2022-03-02,17.5,17.55,16.55,17.55,70440
2022-03-03,17.95,18.4,17.55,18.4,33371
2022-03-04,19.2,19.2,17.5,18.2,72610
2022-03-07,18.75,18.75,17.3,17.35,58773
2022-03-08,17.2,18.1,17.0,17.3,46109
2022-03-09,17.9,18.15,17.2,18.15,56117
2022-03-10,19.05,19.05,19.05,19.05,22031
2022-03-11,19.3,20.0,19.1,20.0,69669
2022-03-14,20.9,21.0,20.8,21.0,37751
2022-03-15,22.05,22.05,22.05,22.05,24712
2022-03-16,22.9,22.95,20.95,21.2,168531
2022-03-17,21.8,22.25,21.0,22.15,143439
2022-03-21,21.25,22.8,21.05,21.05,132603
2022-03-22,22.1,22.1,20.05,20.55,109179
2022-03-23,21.0,21.45,19.6,20.25,173531
2022-03-24,20.0,20.9,19.35,20.15,68641
2022-03-25,19.35,20.4,19.15,19.25,153055
2022-03-28,19.9,20.2,18.3,18.95,137242
2022-03-29,18.35,19.65,18.05,18.1,229982
2022-03-30,18.05,18.7,17.2,17.45,249049
2022-03-31,16.8,17.9,16.6,16.75,154074
2022-04-01,17.1,17.55,16.85,17.0,259313
2022-04-04,17.7,17.7,16.15,16.6,286098
2022-04-05,17.2,17.4,16.95,17.1,275731
2022-04-06,17.9,17.95,17.45,17.95,124154
2022-04-07,18.7,18.8,18.55,18.8,209770
2022-04-08,19.7,19.7,18.2,18.7,460659
2022-04-11,19.45,19.45,18.35,18.45,142905
2022-04-12,18.9,19.25,17.8,18.0,158081
2022-04-13,17.75,18.6,17.55,17.9,154963
2022-04-18,18.5,18.5,17.45,17.8,109296
2022-04-19,18.25,18.3,17.35,17.55,181624
2022-04-20,17.85,18.15,17.35,17.6,159104
2022-04-21,17.85,17.9,17.15,17.6,87083
2022-04-22,18.0,18.0,17.6,17.65,86860
2022-04-25,17.8,18.5,17.25,18.5,391168
2022-04-26,19.4,19.4,18.85,19.3,473014
2022-04-27,19.15,19.15,18.35,18.35,213436
2022-04-28,18.75,18.8,17.65,18.45,118952
2022-04-29,18.95,18.95,17.55,17.6,160610
2022-05-02,17.85,18.45,17.5,18.15,357744
2022-05-04,18.5,18.75,17.45,17.55,154797
2022-05-05,18.15,18.15,17.1,17.25,114381
2022-05-06,17.85,18.1,16.6,16.95,121044
2022-05-09,16.75,17.2,16.2,16.4,130933
2022-05-10,16.4,17.1,15.75,15.85,157490
2022-05-12,15.45,15.45,14.45,14.55,158262
2022-05-13,14.6,15.25,13.9,14.85,108255
2022-05-16,15.5,15.55,15.0,15.55,46729
2022-05-17,15.85,16.3,15.85,16.3,42384
2022-05-18,17.1,17.1,16.95,17.1,61918
2022-05-19,16.5,16.95,16.25,16.25,210134
2022-05-20,16.7,16.8,15.8,16.1,81775
2022-05-23,16.0,16.9,15.45,15.5,182570
2022-05-24,15.9,16.25,15.6,16.25,87612
2022-05-25,17.05,17.05,15.7,16.35,98457
2022-05-26,15.55,16.85,15.55,16.6,65648
2022-05-27,16.95,17.2,15.85,15.9,56654
2022-05-30,16.65,16.65,16.05,16.65,150099
2022-05-31,17.4,17.45,16.5,16.7,143599
2022-06-01,17.5,17.5,16.0,16.45,100350
2022-06-02,16.5,17.25,16.05,17.25,93887
2022-06-03,17.5,17.9,16.5,16.75,52438
2022-06-06,16.75,17.5,15.95,15.95,117357
2022-06-07,16.5,16.5,15.25,15.65,57028
2022-06-08,16.4,16.4,15.55,16.4,69445
2022-06-09,16.0,16.8,15.6,16.4,49378
2022-06-10,16.9,16.9,15.65,16.15,56038
2022-06-13,16.0,16.0,15.35,15.35,89124
2022-06-14,14.7,16.1,14.7,16.1,81383
2022-06-15,16.5,16.9,15.5,15.95,64097
2022-06-16,16.6,16.6,15.3,15.4,59510
2022-06-17,15.4,15.9,14.8,15.45,22828
2022-06-20,15.6,15.85,14.7,14.7,67433
2022-06-21,14.95,15.35,14.0,15.15,48629
2022-06-22,15.0,15.25,14.4,14.55,29837
2022-06-23,14.7,15.15,14.3,14.8,24073
2022-06-24,15.35,15.35,14.25,14.95,38189
2022-06-27,15.45,15.45,14.3,14.7,74303
2022-06-28,15.2,15.35,14.25,15.3,57086
2022-06-29,15.0,15.6,14.7,14.9,21191
2022-06-30,14.9,15.35,14.6,14.7,19201
2022-07-01,14.55,15.2,14.3,14.45,45334
2022-07-04,14.45,15.1,14.2,14.95,22579
2022-07-05,15.3,15.3,14.5,14.85,33331
2022-07-06,15.2,15.2,14.2,14.3,52974
2022-07-07,13.9,14.75,13.9,14.5,39145
2022-07-08,14.5,15.2,14.2,14.45,29754
2022-07-11,14.45,14.85,13.75,13.85,82940
2022-07-12,14.05,14.3,13.75,13.8,91069
2022-07-13,13.9,14.35,13.15,13.25,92198
2022-07-14,13.6,13.9,13.05,13.6,186901
2022-07-15,13.15,13.85,13.1,13.4,38455
2022-07-18,13.5,13.7,13.05,13.45,124838
2022-07-19,13.75,13.75,13.05,13.35,51833
2022-07-20,13.6,13.6,12.9,13.05,74899
2022-07-21,12.7,13.25,12.4,12.6,203856
2022-07-22,12.7,12.7,12.0,12.25,78443
2022-07-25,11.7,12.85,11.7,12.85,110739
2022-07-26,13.4,13.45,12.85,13.15,105625
2022-07-27,13.45,13.45,12.75,12.95,55505
2022-07-28,12.75,13.1,12.4,12.75,52098
2022-07-29,12.5,13.0,12.2,12.4,90112
2022-08-01,12.75,12.85,12.4,12.75,73185
2022-08-02,12.3,12.9,12.3,12.55,67017
2022-08-03,12.7,12.85,12.35,12.7,48326
2022-08-04,12.85,13.0,12.4,12.75,85701
2022-08-05,12.75,13.35,12.6,13.35,76027
2022-08-08,14.0,14.0,14.0,14.0,53828
2022-08-10,14.7,14.7,14.05,14.7,298005
2022-08-11,15.0,15.4,15.0,15.4,144950
2022-08-12,16.15,16.15,16.15,16.15,46168
2022-08-16,16.95,16.95,16.9,16.95,84767
2022-08-22,16.15,16.15,16.15,16.15,24158
2022-08-29,15.35,15.35,15.35,15.35,8789
2022-09-05,14.6,14.6,14.6,14.6,30286
2022-09-12,13.9,13.9,13.9,13.9,58441
2022-09-19,13.25,13.25,13.25,13.25,94734
2022-09-26,12.6,12.6,12.6,12.6,13975
2022-10-03,12.0,12.3,12.0,12.0,217640
2022-10-04,11.6,12.6,11.4,12.6,210443
2022-10-06,13.2,13.2,13.0,13.2,70096
2022-10-07,13.85,13.85,13.55,13.85,46569
2022-10-10,14.15,14.5,13.6,13.75,213875
2022-10-11,13.5,13.9,13.1,13.1,99660
2022-10-12,13.25,13.4,12.45,12.45,74545
2022-10-13,11.9,12.5,11.85,11.95,124548
2022-10-14,12.2,12.5,11.55,11.95,74293
2022-10-17,12.2,12.3,11.55,12.05,51801
2022-10-18,12.45,12.6,11.5,11.75,105206
2022-10-19,11.9,12.3,11.7,12.25,62145
2022-10-20,12.8,12.8,11.7,12.1,48453
2022-10-21,12.35,12.45,11.5,11.6,134046
2022-10-24,11.85,12.15,11.5,11.75,26735
2022-10-25,12.3,12.3,11.2,11.9,63571
2022-10-27,11.9,12.0,11.4,11.8,41631
2022-10-28,12.2,12.2,11.7,11.8,32181
2022-10-31,11.75,12.15,11.45,11.75,63092
2022-11-01,11.4,11.9,11.4,11.45,96905
2022-11-02,11.45,11.8,11.25,11.5,56539
2022-11-03,11.5,11.7,11.0,11.4,104349
2022-11-04,11.35,11.65,10.85,11.0,119331
2022-11-07,11.4,11.55,10.95,11.2,165839
2022-11-09,11.55,11.75,11.25,11.75,89503
2022-11-10,11.75,12.0,11.2,11.35,212516
