Date,Open,High,Low,Close,Volume
2011-03-15,97.5,98.5,94.5,96.9,904187.0
2011-03-16,97.5,99.0,94.95,96.35,351711.0
2011-03-17,95.85,95.85,92.65,95.25,542130.0
2011-03-18,96.6,96.6,94.35,96.15,370074.0
2011-03-21,95.5,96.5,93.3,95.2,410294.0
2011-03-22,96.4,99.0,94.7,97.5,1133696.0
2011-03-23,96.1,97.5,94.5,95.25,682535.0
2011-03-24,93.65,97.0,93.65,94.75,831816.0
2011-03-25,95.45,96.4,95.05,95.7,1453009.0
2011-03-28,95.7,99.95,95.7,99.2,933875.0
2011-03-29,99.4,102.4,99.4,100.05,1500814.0
2011-03-30,101.35,103.65,100.05,103.0,1330603.0
2011-03-31,103.8,105.8,99.65,100.8,2423290.0
2011-04-01,102.3,104.9,101.0,104.45,411965.0
2011-04-04,104.2,108.75,104.1,108.25,628299.0
2011-04-05,109.0,110.9,106.5,108.55,599203.0
2011-04-06,106.9,115.0,106.9,114.5,1509892.0
2011-04-07,115.0,116.6,113.7,116.0,892279.0
2011-04-08,117.45,117.45,109.4,111.15,804057.0
2011-04-11,112.0,112.8,108.7,110.0,959365.0
2011-04-13,110.0,112.35,108.8,111.85,481473.0
2011-04-15,111.5,112.8,109.2,111.75,683782.0
2011-04-18,111.05,113.9,109.6,109.95,355459.0
2011-04-19,109.1,111.8,107.35,110.95,272982.0
2011-04-20,113.45,113.45,110.0,111.45,603933.0
2011-04-21,112.0,113.5,109.85,110.15,834095.0
2011-04-25,111.45,111.45,108.0,109.5,231567.0
2011-04-26,107.65,111.4,105.15,107.35,1370949.0
2011-04-27,108.0,108.7,107.1,107.55,641179.0
2011-04-28,108.7,108.75,103.5,104.0,848152.0
2011-04-29,104.05,105.0,99.3,102.2,1160611.0
2011-05-02,104.5,104.5,98.95,99.8,849264.0
2011-05-03,100.1,100.85,95.7,98.0,9021130.0
2011-05-04,96.9,99.85,94.1,99.0,5261834.0
2011-05-05,100.1,100.8,96.7,97.7,4347883.0
2011-05-06,99.2,102.0,97.8,100.2,274701.0
2011-05-09,100.9,101.7,97.1,99.0,291404.0
2011-05-10,100.15,103.15,96.7,97.4,928471.0
2011-05-11,96.7,98.65,92.25,97.0,408863.0
2011-05-12,97.0,97.7,94.55,95.45,330209.0
2011-05-13,95.45,97.9,94.75,96.7,622733.0
2011-05-16,97.0,97.1,94.8,96.8,468793.0
2011-05-17,96.8,97.7,94.55,95.2,812607.0
2011-05-18,94.55,96.0,89.5,90.35,871230.0
2011-05-19,90.0,92.4,84.6,86.85,724124.0
2011-05-20,86.85,89.5,86.85,88.75,372294.0
2011-05-23,88.0,88.35,85.65,86.65,2441834.0
2011-05-24,83.0,87.45,82.35,85.3,309722.0
2011-05-25,86.15,86.4,81.4,82.8,657771.0
2011-05-26,82.8,87.25,82.5,86.15,687386.0
2011-05-27,86.9,89.5,85.55,86.4,702103.0
2011-05-30,89.0,89.3,79.3,83.45,674674.0
2011-05-31,84.9,87.7,83.05,85.8,753225.0
2011-06-01,85.8,87.4,85.55,86.8,473808.0
2011-06-02,85.8,88.0,84.65,87.1,353678.0
2011-06-03,88.0,88.5,84.0,84.8,464022.0
2011-06-06,84.1,85.4,83.1,83.55,494061.0
2011-06-07,84.0,86.75,83.2,85.45,600267.0
2011-06-08,85.05,87.15,84.5,85.3,932887.0
2011-06-09,85.75,86.2,84.55,85.1,639447.0
2011-06-10,85.8,85.8,84.25,84.75,266126.0
2011-06-13,84.9,85.8,83.25,84.75,399583.0
2011-06-14,86.0,86.0,84.25,84.7,260133.0
2011-06-15,84.15,84.8,83.8,84.2,128093.0
2011-06-16,82.5,85.45,82.3,84.25,263769.0
2011-06-17,83.15,85.2,81.1,82.95,407470.0
2011-06-20,83.0,83.05,77.4,79.95,644294.0
2011-06-21,80.05,81.95,77.3,78.3,305248.0
2011-06-22,79.95,81.3,77.65,79.45,1100326.0
2011-06-23,79.45,79.45,76.55,77.35,241732.0
2011-06-24,77.15,81.4,74.6,78.3,938965.0
2011-06-27,77.95,79.5,76.65,79.0,289060.0
2011-06-28,79.8,79.8,77.7,78.35,689662.0
2011-06-29,79.1,81.3,78.15,80.2,634089.0
2011-06-30,81.3,82.2,79.8,81.2,1193756.0
