Date,Open,High,Low,Close,Volume
2022-12-23,1.5,1.55,1.45,1.5,1312514.0
2022-12-26,1.55,1.55,1.45,1.55,1078284.0
2022-12-27,1.55,1.55,1.5,1.5,297882.0
2022-12-28,1.45,1.45,1.45,1.45,39245.0
2022-12-29,1.4,1.4,1.4,1.4,62186.0
2022-12-30,1.35,1.35,1.35,1.35,142844.0
2023-01-02,1.3,1.3,1.3,1.3,38073.0
2023-01-03,1.25,1.25,1.25,1.25,27597.0
2023-01-04,1.2,1.2,1.2,1.2,75941.0
2023-01-05,1.15,1.15,1.15,1.15,29294.0
2023-01-06,1.1,1.1,1.1,1.1,23932.0
2023-01-09,1.05,1.05,1.05,1.05,62834.0
2023-01-10,1.0,1.1,1.0,1.05,1762110.0
2023-01-11,1.1,1.1,1.1,1.1,1047911.0
2023-01-12,1.15,1.15,1.1,1.15,499782.0
2023-01-13,1.2,1.2,1.1,1.1,632836
2023-01-16,1.05,1.05,1.05,1.05,43252
2023-01-17,1.0,1.1,1.0,1.05,807821
2023-01-18,1.1,1.1,1.0,1.1,807841
2023-01-19,1.1,1.15,1.05,1.1,390997
2023-01-20,1.05,1.1,1.05,1.05,422880
2023-01-23,1.05,1.05,1.0,1.0,319142
2023-01-24,1.05,1.05,1.0,1.05,81496
2023-01-25,1.05,1.05,1.0,1.0,331004
2023-01-27,1.05,1.05,0.95,0.95,388050
2023-01-30,0.9,0.9,0.9,0.9,116576
2023-01-31,0.85,0.95,0.85,0.95,724411
2023-02-01,1.0,1.0,0.95,1.0,354919
2023-02-02,1.05,1.05,0.95,1.0,147317
2023-02-03,1.0,1.0,0.95,0.95,168766
2023-02-06,1.0,1.0,0.9,0.95,221208
