Date,O,H,L,C,V
1995-02-08,110.0,110.0,110.0,110.0,100
1995-02-09,107.5,108.0,107.5,108.0,600
1995-02-10,105.0,107.0,105.0,105.0,700
1995-02-13,105.0,106.0,105.0,106.0,300
1995-02-14,106.0,106.25,106.0,106.0,2000
1995-02-16,105.0,105.0,105.0,105.0,500
1995-02-21,100.0,100.0,100.0,100.0,300
1995-02-22,99.9,100.0,99.9,100.0,200
1995-03-08,100.5,100.5,100.5,100.5,100
1995-03-09,102.0,102.0,101.0,102.0,900
1995-03-20,92.0,92.0,92.0,92.0,10000
1995-03-21,98.75,98.75,98.75,98.75,10000
1995-03-22,98.0,98.0,98.0,98.0,500
1995-03-24,95.0,95.0,95.0,95.0,600
1995-03-27,95.0,95.0,95.0,95.0,400
1995-03-28,96.0,96.0,96.0,96.0,100
1995-03-30,96.0,96.0,96.0,96.0,1200
1995-03-31,95.0,95.0,95.0,95.0,100
1995-04-03,95.0,98.0,95.0,95.0,300
1995-04-04,97.0,97.0,96.25,96.25,200
1995-04-05,99.5,100.0,99.1,99.1,400
1995-04-06,100.1,100.15,100.0,100.0,500
1995-04-07,108.0,108.0,100.0,100.0,200100
1995-04-10,102.5,102.5,101.0,101.0,300
1995-04-11,101.0,101.25,101.0,101.2,500
1995-04-12,101.5,103.0,101.5,102.0,600
1995-04-17,102.0,102.0,102.0,102.0,400
1995-04-18,103.0,103.0,102.0,103.0,1000
1995-04-19,102.0,102.0,100.0,101.0,600
1995-04-24,102.0,102.0,100.0,100.0,1100
1995-04-25,102.0,103.5,102.0,103.5,900
1995-04-26,102.25,103.0,102.25,103.0,500
1995-04-27,102.0,103.0,101.75,102.9,1000
1995-04-28,100.0,100.0,100.0,100.0,200
1995-05-02,108.5,108.5,108.5,108.5,100
1995-05-05,96.0,96.0,96.0,96.0,500
1995-05-08,92.5,92.5,92.5,92.5,500
1995-05-10,92.5,92.5,92.5,92.5,100
1995-05-15,90.0,90.0,90.0,90.0,200
1995-05-16,90.0,90.0,88.0,88.0,200
1995-05-18,92.5,92.5,90.0,91.25,300
1995-05-19,94.0,94.0,94.0,94.0,200
1995-05-22,87.0,87.0,87.0,87.0,200
1995-05-23,83.0,83.75,80.0,82.25,400
1995-05-24,80.0,80.0,80.0,80.0,300
1995-05-26,75.0,77.0,75.0,77.0,300
1995-05-29,76.0,76.0,75.0,75.0,700
1995-05-30,78.0,78.0,76.0,76.0,400
1995-05-31,77.0,77.0,75.0,75.0,600
1995-06-01,75.5,75.5,75.5,75.5,100
1995-06-06,79.0,79.0,75.0,76.35,400
1995-06-07,82.0,85.0,82.0,85.0,1000
1995-06-08,81.0,81.0,81.0,81.0,100
1995-06-09,79.0,79.0,78.0,79.0,600
1995-06-13,79.5,79.5,79.5,79.5,100
1995-06-14,77.5,78.0,77.0,78.0,1200
1995-06-15,76.0,77.75,76.0,77.75,200
1995-06-16,76.0,76.0,73.0,73.0,800
1995-06-19,78.0,80.0,78.0,80.0,10800
1995-06-20,80.0,80.0,79.0,79.75,300
1995-06-21,77.5,77.5,77.5,77.5,200
1995-06-22,78.0,79.95,76.2,76.7,4100
1995-06-23,76.25,76.25,76.0,76.0,400
1995-06-26,77.95,79.45,77.95,78.45,300
1995-06-30,68.0,72.0,68.0,72.0,400
1995-07-03,70.0,70.0,70.0,70.0,500
1995-07-10,61.0,61.0,60.0,60.0,300
1995-07-11,59.0,59.0,58.0,58.0,700
1995-07-12,58.25,59.0,58.25,59.0,200
1995-07-21,90.0,90.0,90.0,90.0,100
1995-07-24,90.95,91.0,90.0,90.0,400
1995-07-25,85.0,85.0,85.0,85.0,400
1995-07-26,80.0,80.0,80.0,80.0,800
1995-07-27,84.9,84.9,84.9,84.9,100
1995-07-28,80.0,80.0,80.0,80.0,200
1995-08-01,72.0,72.0,72.0,72.0,500
1995-08-03,74.0,74.0,74.0,74.0,200
1995-08-11,74.0,89.0,74.0,80.5,500
1995-08-14,83.95,85.0,83.95,85.0,600
1995-08-16,89.0,92.0,85.05,89.55,1500
1995-08-17,85.0,85.0,85.0,85.0,1000
1995-08-21,80.05,80.05,80.05,80.05,100
1995-08-24,77.0,77.0,75.0,77.0,600
1995-08-25,74.0,77.5,74.0,77.5,600
1995-09-05,71.75,72.0,71.75,72.0,500
1995-09-11,71.5,71.5,71.3,71.3,500
1995-09-12,66.0,66.0,66.0,66.0,100
1995-09-13,66.75,66.75,64.0,64.0,200
1995-09-14,60.45,60.5,60.45,60.5,200
1995-09-15,62.0,64.0,61.0,61.0,600
1995-09-18,60.0,60.0,60.0,60.0,600
1995-09-19,60.0,60.0,60.0,60.0,100
1995-09-21,59.9,59.9,59.8,59.8,200
1995-09-22,63.0,63.0,62.0,62.0,300
1995-09-25,63.0,63.0,61.5,61.5,900
1995-09-26,63.0,65.0,62.0,62.0,400
1995-09-27,63.25,65.0,63.0,65.0,900
1995-09-28,64.0,65.0,64.0,65.0,300
1995-09-29,63.9,63.9,63.9,63.9,100
1995-10-11,67.0,67.0,67.0,67.0,100
1995-10-13,67.0,65.0,65.0,65.0,100
1995-10-16,59.0,59.0,59.0,59.0,100
1995-10-17,59.0,59.0,55.1,58.0,500
1995-10-18,57.5,57.5,57.5,57.5,100
1995-10-19,57.5,58.0,57.5,58.0,300
1995-10-20,58.25,58.25,58.25,58.25,200
1995-10-23,53.0,53.0,53.0,53.0,100
1995-10-24,60.0,60.0,55.75,55.75,400
1995-10-27,55.25,55.25,55.0,55.0,300
1995-10-30,55.0,56.0,54.5,54.5,1100
1995-10-31,55.0,55.0,55.0,55.0,200
1995-11-01,54.0,54.0,54.0,54.0,100
1995-11-10,49.0,49.0,48.0,48.0,500
1995-11-13,46.0,46.0,44.75,44.75,200
1995-11-14,43.0,43.0,43.0,43.0,100
1995-11-15,44.0,45.0,44.0,45.0,400
1995-11-16,42.0,45.0,42.0,43.0,1400
1995-11-17,43.0,43.0,42.5,42.5,6800
1995-11-20,43.1,43.1,43.1,43.1,100
1995-11-21,45.0,45.0,43.0,43.0,200
1995-11-22,40.0,40.0,40.0,40.0,100
1995-11-23,38.5,38.5,38.5,38.5,200
1995-11-24,40.0,41.0,40.0,41.0,600
1995-11-27,41.0,41.0,41.0,41.0,100
1995-11-28,44.0,44.0,44.0,44.0,500
1995-11-29,41.4,41.4,41.0,41.0,300
1995-11-30,41.0,41.5,41.5,41.5,800
1995-12-11,43.0,43.0,42.5,42.5,300
1995-12-12,43.0,43.0,42.0,42.0,300
1995-12-14,41.0,41.0,38.5,38.5,700
1995-12-15,41.0,41.0,41.0,41.0,600
1995-12-18,40.0,40.0,40.0,40.0,300
1995-12-19,40.0,40.0,38.0,38.0,1400
1995-12-20,38.5,39.0,38.5,38.55,700
1995-12-21,39.0,39.0,38.5,39.0,900
1995-12-22,40.0,40.0,36.05,36.05,1300
1995-12-26,36.25,38.45,36.0,38.45,1300
1995-12-27,38.5,38.5,38.5,38.5,100
1995-12-28,38.25,38.25,38.25,38.25,200
1995-12-29,37.0,37.0,37.0,37.0,100
1996-01-01,36.5,36.5,36.5,36.5,100
1996-01-02,36.5,36.5,36.5,36.5,500
1996-01-09,34.0,34.0,33.0,33.0,600
1996-01-10,34.85,35.0,33.75,33.75,500
1996-01-11,35.0,35.0,33.05,33.05,500
1996-01-12,33.0,33.1,32.0,32.7,600
1996-01-15,32.75,34.0,30.5,30.5,1300
1996-01-16,30.5,32.5,30.5,30.5,1400
1996-01-17,30.0,30.0,28.0,29.45,2200
1996-01-18,27.0,27.0,26.5,26.5,300
1996-01-19,26.25,27.95,26.0,27.5,2100
1996-01-22,25.6,27.0,25.5,25.55,1400
1996-01-23,25.1,25.8,24.0,25.15,8700
1996-01-24,26.0,26.25,25.0,25.95,1000
1996-01-25,25.8,26.5,25.8,26.5,2300
1996-01-29,28.0,28.0,28.0,28.0,300
1996-01-30,26.0,30.5,26.0,29.6,2500
1996-01-31,32.5,32.75,32.5,32.75,1100
1996-02-02,37.3,37.3,37.3,37.3,200
