Date,Open,High,Low,Close,Volume
2006-06-20,32.2,36.35,28.0,32.6,3249599.0
2006-06-21,32.5,34.6,31.5,33.2,770797.0
2006-06-22,33.2,34.8,32.55,32.95,281277.0
2006-06-23,32.75,32.9,31.55,31.9,103229.0
2006-06-25,32.65,32.65,31.6,31.8,16927.0
2006-06-26,31.5,31.9,28.55,29.1,100761.0
2006-06-27,28.8,30.3,27.5,29.4,83911.0
2006-06-28,28.6,29.6,27.5,29.15,55047.0
2006-06-29,28.45,30.0,28.0,28.4,22441.0
2006-06-30,29.0,29.2,28.45,28.8,24840.0
2006-07-03,25.1,33.2,25.1,31.95,714581.0
2006-07-04,32.2,32.5,30.7,31.45,371911.0
2006-07-05,30.1,32.9,30.1,32.4,143155.0
2006-07-06,31.9,34.2,31.8,32.75,209890.0
2006-07-07,32.5,33.45,32.1,32.45,66353.0
2006-07-10,31.8,32.9,31.8,32.35,68571.0
2006-07-11,32.75,33.9,31.7,33.6,159836.0
2006-07-12,32.0,34.8,30.5,34.45,150581.0
2006-07-13,34.1,39.1,34.1,36.3,476931.0
2006-07-14,35.55,37.4,35.2,36.7,120364.0
2006-07-17,36.95,38.1,35.85,36.7,105659.0
2006-07-18,36.6,38.2,36.3,37.2,78545.0
2006-07-19,38.0,39.0,35.0,37.55,218976.0
2006-07-20,37.2,38.0,35.05,35.6,54849.0
2006-07-21,35.0,35.0,32.2,32.75,33937.0
2006-07-24,33.2,33.2,30.5,32.1,39550.0
2006-07-25,32.7,33.3,32.0,32.65,16509.0
2006-07-26,32.4,33.85,31.8,33.25,23976.0
2006-07-27,33.4,33.7,32.5,32.95,12470.0
2006-07-28,30.1,33.4,30.1,32.9,6430.0
2006-07-31,32.5,33.6,32.5,32.55,7665.0
2006-08-01,30.9,33.3,30.9,32.6,6485.0
2006-08-02,32.25,32.65,32.2,32.25,2576.0
2006-08-03,32.5,34.9,32.35,33.4,14702.0
2006-08-04,33.6,34.0,33.25,33.4,5129.0
2006-08-07,32.8,32.95,31.3,32.25,5165.0
2006-08-08,34.6,34.6,32.5,32.7,3704.0
2006-08-09,33.1,33.65,33.1,33.35,4479.0
2006-08-10,33.3,33.9,33.0,33.15,2304.0
2006-08-11,33.6,37.2,33.15,35.7,52566.0
2006-08-14,35.7,36.5,35.0,35.05,6669.0
2006-08-16,33.75,36.5,32.65,34.9,5887.0
2006-08-17,33.0,35.8,32.05,34.05,3215.0
2006-08-18,34.7,35.9,33.1,34.35,9318.0
2006-08-21,34.9,35.2,34.1,34.4,2169.0
2006-08-22,34.8,36.7,34.5,35.25,13453.0
2006-08-23,34.55,35.4,34.0,34.2,2378.0
2006-08-24,34.1,34.8,33.5,34.4,2060.0
2006-08-25,34.4,35.1,34.0,34.3,4809.0
2006-08-28,34.2,35.1,33.0,33.65,2226.0
2006-08-29,34.0,34.0,32.9,33.1,1698.0
2006-08-30,33.2,33.8,32.8,32.85,1143.0
2006-08-31,32.5,33.1,31.8,31.9,1545.0
2006-09-01,31.6,32.9,31.6,32.05,1497.0
2006-09-04,32.0,32.95,32.0,32.5,1530.0
2006-09-05,32.2,33.0,32.1,32.2,1714.0
2006-09-06,32.8,32.8,31.9,32.1,2163.0
2006-09-07,32.5,33.3,32.5,32.6,2782.0
2006-09-08,32.9,32.9,32.1,32.35,841.0
2006-09-11,32.5,34.3,32.3,32.95,7393.0
2006-09-12,32.75,32.8,31.65,32.05,622.0
2006-09-13,32.1,32.8,32.0,32.1,1766.0
2006-09-14,32.7,34.4,32.1,32.9,6320.0
2006-09-15,32.2,32.9,32.2,32.25,1334.0
2006-09-18,32.4,32.85,32.3,32.45,2048.0
2006-09-19,32.35,33.3,32.35,32.5,4403.0
2006-09-20,32.65,34.5,32.1,33.5,140099.0
2006-09-21,34.9,34.9,32.7,33.0,7770.0
2006-09-22,32.7,33.4,32.55,32.6,1391.0
2006-09-25,32.4,32.9,32.3,32.45,868.0
2006-09-26,32.6,34.55,32.1,33.15,128070.0
2006-09-27,32.9,33.85,32.2,32.5,4868.0
2006-09-28,32.65,33.2,32.0,32.2,781.0
2006-09-29,32.6,32.8,32.2,32.25,1592.0
2006-10-03,32.4,32.7,32.3,32.35,1542.0
2006-10-04,32.2,32.65,31.9,32.1,1416.0
2006-10-05,31.8,34.5,31.8,34.15,72997.0
2006-10-06,34.5,34.8,33.05,33.5,76909.0
2006-10-09,32.6,33.5,32.6,32.85,2465.0
2006-10-10,33.5,33.5,32.5,32.65,3056.0
2006-10-11,33.0,33.0,32.2,32.3,3801.0
2006-10-12,31.8,32.9,31.8,32.45,850.0
2006-10-13,33.0,33.0,31.8,32.25,62053.0
2006-10-16,31.5,32.85,31.5,32.75,5119.0
