Date,O,H,L,C,V
2016-07-07,190.0,190.0,185.05,187.25,1707
2016-07-08,185.05,186.0,182.25,185.7,3287
2016-07-11,186.0,194.8,181.2,189.9,4059
2016-07-12,187.6,194.2,187.6,191.4,2648
2016-07-13,196.0,196.0,186.8,189.0,3662
2016-07-14,193.0,193.0,183.2,183.65,3608
2016-07-15,186.0,189.4,181.6,181.95,8926
2016-07-18,189.0,189.0,175.0,180.2,1951
2016-07-19,181.8,182.0,176.4,178.35,854
2016-07-20,177.0,182.4,177.0,177.85,4615
2016-07-21,177.0,178.0,175.0,175.75,921
2016-07-22,186.0,186.0,173.0,174.4,2759
2016-07-25,177.8,177.8,169.2,170.75,15893
2016-07-26,174.0,177.0,164.6,165.65,4834
2016-07-27,167.2,171.8,166.0,166.6,5303
2016-07-28,174.35,174.35,164.2,169.15,3422
2016-07-29,166.7,174.75,166.0,170.45,1925
2016-08-01,172.0,176.0,170.0,171.95,8840
2016-08-02,174.9,174.9,168.0,169.45,3802
2016-08-03,171.0,171.0,166.0,167.15,1523
2016-08-04,167.2,169.0,165.2,166.2,1148
2016-08-05,165.0,173.6,162.0,165.8,3613
2016-08-08,174.0,174.0,165.0,170.55,11972
2016-08-09,173.9,174.0,169.0,169.85,10120
2016-08-10,173.8,173.8,165.0,167.9,3062
2016-08-11,161.6,165.0,160.6,160.9,13297
2016-08-12,161.2,164.95,160.0,163.0,6579
2016-08-16,161.05,163.6,160.0,161.75,4303
2016-08-17,161.0,167.8,160.2,163.2,6071
2016-08-18,161.4,166.8,156.0,156.4,17921
2016-08-19,159.05,159.05,154.0,155.95,4018
2016-08-22,154.8,156.9,148.2,152.05,14575
2016-08-23,152.2,153.0,149.0,149.2,6889
2016-08-24,147.0,155.8,140.45,145.9,13170
2016-08-25,147.0,158.0,146.0,155.25,10718
2016-08-26,164.8,165.0,155.15,160.05,11459
2016-08-29,164.0,164.0,154.0,156.75,6222
2016-08-30,161.8,163.8,157.0,157.65,3832
2016-08-31,160.0,161.0,154.8,156.05,4583
2016-09-01,159.45,162.0,156.0,161.15,6044
2016-09-02,163.8,165.8,158.0,159.2,11792
2016-09-06,167.8,170.0,157.6,159.8,9126
2016-09-07,162.0,162.6,155.0,161.5,5850
2016-09-08,159.95,163.65,158.0,158.95,1467
2016-09-09,162.6,162.6,155.1,156.15,2088
2016-09-12,155.0,158.0,152.0,153.85,3848
2016-09-14,152.2,157.6,152.2,153.95,2511
2016-09-15,157.0,157.0,154.2,156.0,1640
2016-09-16,156.0,158.6,155.0,155.0,1441
2016-09-19,158.0,162.0,154.0,157.7,2129
2016-09-20,159.6,159.6,153.8,154.0,4365
2016-09-21,152.8,157.0,152.2,154.55,4155
2016-09-22,157.6,159.2,155.0,158.75,2108
2016-09-23,159.0,166.6,157.05,164.7,6754
2016-09-26,165.35,167.45,161.1,163.25,2521
2016-09-27,160.0,164.0,158.4,159.8,2201
2016-09-28,166.8,166.8,157.4,164.7,3695
2016-09-29,165.9,165.9,153.0,158.5,6086
2016-09-30,160.0,161.6,154.4,157.95,5156
2016-10-03,154.45,162.95,152.0,158.15,3906
2016-10-04,161.0,161.0,158.0,159.2,704
2016-10-05,160.8,160.8,155.0,155.6,2156
2016-10-06,156.0,161.0,151.0,154.5,2326
2016-10-07,157.05,157.05,151.0,154.5,1330
2016-10-10,159.0,159.0,153.6,154.0,2116
2016-10-13,159.0,159.0,148.0,150.2,5448
2016-10-14,155.75,155.75,150.2,151.85,529
2016-10-17,155.6,155.6,152.25,152.65,3453
2016-10-18,156.8,156.8,151.0,152.15,2627
2016-10-19,152.2,155.75,151.2,154.25,5235
2016-10-20,155.8,185.1,155.35,177.6,172316
2016-10-21,167.0,179.6,167.0,176.4,18131
2016-10-24,175.0,180.8,175.0,177.45,11091
2016-10-25,178.9,181.8,174.0,179.95,14260
2016-10-26,178.0,179.7,174.0,177.45,10290
2016-10-27,174.0,179.55,164.4,174.1,2629
2016-10-28,177.2,177.35,169.2,175.25,4939
2016-10-30,175.2,177.35,174.0,175.75,1118
2016-11-01,180.25,190.0,177.35,186.6,25760
2016-11-02,180.2,184.85,178.0,179.55,6016
