Date,O,H,L,C,V
2010-04-05,95.85,102.25,85.15,89.2,25022685
2010-04-06,90.0,90.6,84.4,84.95,3487862
2010-04-07,85.0,87.5,84.5,85.25,1551767
2010-04-08,85.1,87.9,83.8,84.5,1525750
2010-04-09,85.2,85.6,77.85,78.6,1132850
2010-04-12,78.85,78.85,73.75,74.6,714031
2010-04-13,74.7,78.05,74.1,75.15,528229
2010-04-15,75.85,82.05,75.4,76.9,1857412
2010-04-16,76.9,77.85,74.6,75.05,316380
2010-04-19,73.5,77.9,71.15,76.4,508303
2010-04-20,76.7,80.15,75.9,77.05,918499
2010-04-21,77.6,78.3,75.4,75.75,264130
2010-04-22,75.4,76.6,74.15,75.1,221589
2010-04-23,75.75,76.6,72.1,73.45,298274
2010-04-26,74.65,75.0,71.25,71.5,206037
2010-04-27,70.85,85.85,70.85,85.85,4576550
2010-04-28,83.75,90.25,75.0,76.1,9633696
2010-04-29,76.65,78.35,74.5,77.35,3128213
2010-04-30,78.1,80.0,77.45,78.05,1582603
2010-05-03,77.5,77.9,72.45,75.5,481732
2010-05-04,76.05,76.9,72.1,72.9,426444
2010-05-05,70.0,71.9,69.15,70.65,340019
2010-05-06,71.0,73.25,69.6,70.4,338187
2010-05-07,69.15,69.15,63.6,64.4,334948
2010-05-10,65.0,66.6,64.1,65.9,294334
2010-05-11,67.25,70.0,64.75,68.45,536518
2010-05-12,68.4,69.15,65.85,66.2,154849
2010-05-13,67.85,68.9,65.4,65.9,156149
2010-05-14,65.1,66.45,62.6,63.55,168475
2010-05-17,62.4,62.4,59.15,61.85,159735
2010-05-18,62.5,69.55,61.25,66.6,473890
2010-05-19,65.65,68.65,62.6,65.5,350118
2010-05-20,67.1,67.5,62.6,63.45,144256
2010-05-21,62.5,62.5,58.9,60.0,222364
2010-05-24,60.9,62.0,59.3,59.7,132254
2010-05-25,60.0,62.25,56.75,57.6,252534
2010-05-26,60.6,60.85,58.6,59.2,132599
2010-05-27,59.55,60.65,58.15,59.6,161058
2010-05-28,60.0,62.15,59.85,61.9,241535
2010-05-31,62.25,62.75,60.0,61.1,58821
2010-06-01,61.65,62.15,58.4,59.5,83721
2010-06-02,59.9,63.5,59.9,60.55,262767
2010-06-03,61.35,62.35,59.75,59.95,70156
2010-06-04,60.0,60.4,59.15,59.4,79374
2010-06-07,57.6,58.65,56.8,57.05,196489
2010-06-08,57.5,59.6,56.35,56.6,118678
2010-06-09,56.85,58.2,56.2,56.65,121597
2010-06-10,56.95,57.7,55.9,56.35,91909
2010-06-11,56.9,57.8,55.9,56.1,64727
2010-06-14,56.15,57.1,55.4,55.65,76354
2010-06-15,56.15,56.4,55.25,55.65,85829
2010-06-16,55.75,56.9,55.1,55.5,129490
2010-06-17,55.6,56.55,54.15,54.6,209564
2010-06-18,54.95,56.45,54.65,55.1,151107
2010-06-21,55.55,55.85,55.2,55.4,61638
2010-06-22,55.6,56.85,54.75,56.0,85084
2010-06-23,55.85,60.6,55.85,58.35,449548
2010-06-24,59.1,60.4,58.4,58.8,146657
2010-06-25,58.4,60.35,57.95,59.4,136973
2010-06-28,59.25,61.15,59.15,60.4,142095
2010-06-29,62.5,62.5,60.0,60.8,94276
2010-06-30,59.6,62.9,59.6,61.85,179702
2010-07-01,61.95,63.3,61.65,62.65,117483
2010-07-02,62.65,66.4,62.65,65.1,215376
2010-07-05,65.65,70.0,65.65,67.9,379737
2010-07-06,68.9,69.55,67.95,69.25,158925
