Date,O,H,L,C,V
2022-07-18,164.9,165.0,157.9,161.4,24795
2022-07-19,164.5,165.0,158.35,163.6,6749
2022-07-20,164.45,164.7,154.0,156.65,4765
2022-07-21,161.35,161.9,150.0,152.55,12613
2022-07-22,149.35,152.0,148.2,151.0,26316
2022-07-25,148.2,151.8,148.2,151.3,2328
2022-07-26,151.95,152.0,151.05,151.4,9474
2022-07-27,153.85,153.9,149.0,153.25,9031
2022-07-28,153.0,154.9,151.05,152.35,32169
2022-07-29,151.0,157.5,149.65,156.1,56118
2022-08-01,157.9,157.9,151.0,153.65,17331
2022-08-02,153.05,155.0,151.05,153.45,30043
2022-08-03,153.45,174.0,151.65,162.1,17076
2022-08-04,165.1,165.4,154.1,159.45,11471
2022-08-05,159.3,164.4,156.7,162.35,260797
2022-08-08,165.5,165.5,157.95,160.7,28649
2022-08-10,161.95,161.95,153.0,155.85,15195
2022-08-11,159.95,162.95,152.8,160.15,35782
2022-08-12,160.05,161.75,159.0,160.4,17607
2022-08-16,161.0,161.7,158.75,161.05,21396
2022-08-17,163.0,164.05,155.0,156.95,38868
2022-08-18,161.85,161.85,156.0,156.95,15729
2022-08-19,160.0,161.95,151.0,161.1,34243
2022-08-22,161.1,163.0,158.0,160.25,81961
2022-08-23,162.75,165.15,155.95,162.35,125254
2022-08-24,165.7,168.8,162.1,165.45,86928
2022-08-25,165.65,169.7,164.9,166.25,140697
2022-08-26,165.05,170.35,165.05,169.2,165896
2022-08-29,169.0,171.45,166.7,168.9,337241
2022-08-30,169.0,199.9,169.0,194.8,1257882
2022-09-01,189.0,194.8,167.0,178.55,327798
2022-09-02,180.0,183.0,171.2,175.35,83476
2022-09-05,178.0,180.0,171.4,177.25,146641
2022-09-06,180.0,182.0,177.7,180.75,152956
2022-09-07,180.8,183.0,179.45,181.9,72480
2022-09-08,183.5,183.55,176.75,178.9,103618
2022-09-09,178.7,179.95,168.7,170.95,48631
2022-09-12,174.65,174.65,170.05,171.65,28038
2022-09-13,171.65,178.75,170.05,174.6,77991
2022-09-14,172.95,179.05,170.5,177.35,67372
2022-09-15,178.9,178.9,167.2,168.9,29353
2022-09-16,172.3,172.3,161.0,162.75,42246
2022-09-19,168.7,168.7,161.35,165.45,10594
2022-09-20,170.0,170.0,163.25,165.5,11328
2022-09-21,166.15,167.9,160.0,162.8,57361
2022-09-22,160.1,166.0,160.1,163.0,12210
2022-09-23,170.65,170.65,160.2,161.45,10487
2022-09-26,160.0,160.0,147.45,150.0,36510
2022-09-27,150.0,154.9,148.2,150.8,80738
2022-09-28,154.7,159.5,150.05,156.0,22333
2022-09-29,156.0,158.0,151.0,153.0,12722
2022-09-30,153.0,171.65,150.15,169.75,126919
2022-10-03,169.75,170.05,160.0,162.55,180874
2022-10-04,164.8,168.0,162.8,164.9,20879
2022-10-06,165.05,169.4,163.65,165.95,14612
2022-10-07,165.95,169.15,163.0,164.15,73581
2022-10-10,164.15,168.2,162.05,163.7,15888
2022-10-11,166.2,166.2,153.8,157.65,8716
2022-10-12,163.0,163.0,158.1,159.4,29114
2022-10-13,159.7,163.4,158.5,160.05,16041
2022-10-14,163.0,163.2,157.1,159.15,13505
2022-10-17,151.15,158.8,151.1,156.35,4454
2022-10-18,170.4,179.0,154.05,158.0,22748
