Date,O,H,L,C,V
1995-05-25,12.0,12.0,12.0,12.0,100
1995-05-31,12.5,12.5,12.5,12.5,100
1995-06-02,13.5,13.5,13.5,13.5,300
1995-06-05,13.5,17.0,13.5,17.0,2800
1995-06-06,16.5,16.9,15.9,16.5,1500
1995-06-07,16.5,17.0,16.0,16.0,5500
1995-06-08,17.1,17.1,15.75,15.75,6600
1995-06-09,15.5,16.0,15.0,15.4,1300
1995-06-12,15.0,15.25,15.0,15.25,400
1995-06-15,14.0,14.0,14.0,14.0,500
1995-06-16,13.5,13.5,13.0,13.0,1500
1995-06-19,14.0,14.0,14.0,14.0,100
1995-06-20,14.0,14.0,13.75,14.0,800
1995-06-21,13.85,13.85,13.85,13.85,300
1995-06-29,13.0,13.0,13.0,13.0,100
1995-07-03,13.0,13.0,13.0,13.0,800
1995-07-05,13.0,13.0,13.0,13.0,200
1995-07-11,12.25,12.25,12.25,12.25,700
1995-07-12,12.5,12.6,12.5,12.6,300
1995-07-19,13.5,13.5,13.5,13.5,500
1995-07-20,13.55,14.5,13.55,14.5,500
1995-07-21,14.5,14.75,14.5,14.5,2000
1995-07-24,14.5,14.5,12.5,12.5,300
1995-07-25,13.2,13.25,13.2,13.25,1100
1995-07-26,13.0,14.0,13.0,14.0,1000
1995-07-27,14.0,14.0,12.5,12.5,1700
1995-07-28,11.0,11.0,11.0,11.0,1800
1995-07-31,13.0,13.0,12.5,12.5,1300
1995-08-01,12.5,12.5,12.0,12.0,3000
1995-08-03,12.5,12.8,12.5,12.8,300
1995-08-11,11.0,12.1,11.0,12.1,200
1995-08-14,12.0,12.0,12.0,12.0,600
1995-08-17,11.5,11.5,11.5,11.5,100
1995-08-21,12.25,12.25,12.0,12.0,1500
1995-08-22,11.0,11.0,11.0,11.0,400
1995-08-23,12.0,12.0,11.25,11.25,400
1995-08-28,11.15,11.15,11.15,11.15,100
1995-08-30,11.3,11.3,11.3,11.3,100
1995-08-31,11.3,11.5,11.3,11.5,1400
1995-09-11,11.25,11.25,11.25,11.25,200
1995-09-15,11.0,11.0,11.0,11.0,700
1995-09-18,11.0,11.7,11.0,11.7,600
1995-09-19,12.0,12.0,12.0,12.0,200
1995-09-26,11.0,12.0,11.0,11.5,400
1995-09-27,12.0,12.0,11.0,12.0,1100
1995-09-28,12.0,12.0,11.0,11.0,200
1995-09-29,11.0,11.0,10.95,10.95,200
1995-10-10,11.25,11.25,10.95,11.05,700
1995-10-11,10.5,11.0,10.5,11.0,2700
1995-10-12,11.0,11.0,10.5,10.5,400
1995-10-13,10.0,10.0,10.0,10.0,200
1995-10-16,10.0,10.25,10.0,10.0,800
1995-10-17,10.0,10.4,10.0,10.4,800
1995-10-18,10.1,10.1,10.0,10.0,1100
1995-10-19,10.0,10.0,10.0,10.0,500
1995-10-20,10.1,10.1,10.0,10.0,1000
1995-10-25,10.5,10.5,10.5,10.5,100
1995-10-26,10.5,10.5,10.5,10.5,200
1995-10-27,10.15,10.15,10.15,10.15,200
1995-10-30,9.65,9.65,9.55,9.6,3800
1995-10-31,9.5,10.0,9.25,9.5,2900
1995-11-01,9.5,9.65,9.25,9.25,2300
1995-11-10,9.5,9.5,8.75,8.75,2600
1995-11-13,9.25,9.25,9.0,9.0,300
1995-11-14,8.95,8.95,8.4,8.4,600
1995-11-15,8.4,9.25,8.4,9.25,900
1995-11-16,8.8,8.95,8.5,8.95,1500
1995-11-17,8.9,8.9,8.8,8.8,400
1995-11-20,8.75,8.9,8.5,8.9,1200
1995-11-21,8.9,8.9,8.6,8.6,4500
1995-11-22,8.3,8.3,8.3,8.3,100
1995-11-23,8.3,8.3,7.9,7.9,400
1995-11-24,8.0,8.0,7.95,7.95,300
1995-11-27,7.85,8.5,7.85,8.0,2400
1995-11-28,7.5,8.25,7.5,7.75,3100
1995-11-29,8.05,8.25,7.75,7.8,7000
1995-11-30,7.9,7.9,7.9,7.9,800
1995-12-01,8.0,8.0,7.5,7.9,2700
1995-12-08,8.0,8.5,8.0,8.5,1300
1995-12-11,8.25,9.0,8.25,9.0,2000
1995-12-12,9.25,9.25,8.25,8.45,1600
1995-12-13,8.5,9.0,8.5,8.55,2200
1995-12-14,8.4,8.5,8.0,8.1,1700
1995-12-15,8.0,8.0,7.75,8.0,900
1995-12-18,8.2,8.25,8.0,8.0,1200
1995-12-19,8.0,8.45,7.75,7.75,3900
1995-12-20,8.15,8.15,7.75,8.0,1000
1995-12-21,8.05,8.25,7.8,7.9,2300
1995-12-22,7.9,7.9,7.6,7.9,1700
1995-12-26,7.5,7.8,7.5,7.75,3000
1995-12-27,8.1,8.1,7.9,8.0,800
1995-12-28,8.0,8.0,7.5,7.5,2400
1995-12-29,7.5,7.5,7.5,7.5,200
1996-01-01,7.95,7.95,7.95,7.95,100
1996-01-02,7.5,7.6,7.5,7.5,1300
1996-01-09,7.0,7.25,7.0,7.15,5300
1996-01-10,7.0,7.1,7.0,7.0,2300
1996-01-11,7.0,7.75,7.0,7.75,500
1996-01-12,7.5,7.5,7.0,7.0,1000
1996-01-15,7.25,7.25,7.0,7.0,700
1996-01-16,7.0,7.0,6.85,6.95,1000
1996-01-17,7.0,7.0,6.95,6.95,500
1996-01-18,6.95,6.95,6.75,6.75,300
1996-01-19,6.5,6.5,6.3,6.3,600
1996-01-22,5.75,6.5,5.75,6.0,1100
1996-01-23,6.0,6.5,6.0,6.5,1400
1996-01-24,7.0,7.0,6.5,6.75,1000
1996-01-25,6.75,6.75,6.75,6.75,1200
1996-01-29,6.5,6.6,6.5,6.55,1100
1996-01-30,6.5,6.55,6.4,6.5,1100
1996-01-31,6.75,6.75,6.6,6.7,1100
1996-02-02,6.0,7.0,6.0,6.9,700
1996-02-12,7.25,7.7,7.25,7.7,2200
1996-02-13,7.25,7.5,7.0,7.45,5000
1996-02-14,7.45,8.0,7.4,8.0,3600
1996-02-15,7.55,8.0,7.55,8.0,2200
1996-02-16,8.0,8.0,7.25,7.45,5000
1996-02-19,8.0,8.0,7.6,7.75,4600
1996-02-20,7.75,8.4,7.9,8.4,1500
1996-02-22,9.0,9.0,7.6,8.1,20000
1996-02-23,8.0,8.9,8.0,8.35,5800
1996-02-26,8.35,8.85,8.1,8.4,2900
1996-02-27,8.4,8.85,8.0,8.6,2900
