Date,Open,High,Low,Close,Volume
2005-12-22,195.0,240.9,195.0,235.45,15101108.0
2005-12-23,242.1,252.4,239.65,242.85,5291329.0
2005-12-26,235.0,242.85,218.0,220.95,1528113.0
2005-12-27,220.0,228.4,214.35,224.4,2057071.0
2005-12-28,225.0,226.5,218.6,219.95,482320.0
2005-12-29,221.0,230.65,219.75,227.5,636145.0
2005-12-30,230.0,241.4,225.0,232.7,1127858.0
2006-01-02,233.5,234.95,222.55,223.9,292230.0
2006-01-03,225.35,227.95,223.75,225.5,132392.0
2006-01-04,221.0,233.0,220.1,223.65,255626.0
2006-01-05,225.0,229.0,219.55,221.4,121404.0
2006-01-06,222.5,225.95,215.0,216.7,59796.0
2006-01-09,218.25,232.0,218.0,230.9,300730.0
2006-01-10,232.0,248.2,227.7,236.7,730156.0
2006-01-12,232.55,245.7,230.1,238.15,388175.0
2006-01-13,239.0,243.0,228.2,230.45,139989.0
2006-01-16,232.5,234.5,223.1,224.25,71892.0
2006-01-17,226.0,244.8,226.0,235.5,503134.0
2006-01-18,234.5,237.7,227.0,230.45,218229.0
2006-01-19,232.9,236.5,231.15,232.25,94655.0
2006-01-20,232.3,242.4,232.3,236.3,181716.0
2006-01-23,235.15,283.6,235.0,283.6,1672663.0
2006-01-24,290.15,307.85,281.0,283.5,2746925.0
2006-01-25,284.0,289.9,255.5,261.9,1016104.0
2006-01-27,265.55,283.0,258.35,277.0,698023.0
2006-01-30,273.3,280.0,257.0,260.9,314536.0
2006-01-31,262.0,272.7,258.0,259.55,263313.0
2006-02-01,262.7,263.4,241.5,244.45,167715.0
2006-02-02,246.85,252.0,230.0,234.2,257858.0
2006-02-03,236.35,245.4,233.1,237.15,192785.0
2006-02-06,239.45,246.9,232.0,235.65,163595.0
2006-02-07,237.45,242.75,233.0,235.5,82491.0
2006-02-08,238.75,238.75,231.1,234.5,48334.0
2006-02-10,237.35,253.8,234.5,242.85,200186.0
2006-02-13,244.0,248.4,238.0,241.6,92867.0
2006-02-14,243.95,258.0,240.2,242.45,182717.0
2006-02-15,240.15,248.0,232.55,234.85,72539.0
2006-02-16,238.0,246.0,235.05,238.9,77387.0
2006-02-17,238.9,243.65,235.0,235.35,59792.0
2006-02-20,236.0,239.8,230.5,236.6,52700.0
2006-02-21,235.5,242.8,234.0,235.5,47643.0
2006-02-22,238.0,238.0,233.0,235.05,28209.0
2006-02-23,237.75,237.75,234.5,235.1,14719.0
2006-02-24,236.6,242.0,225.15,228.4,55444.0
2006-02-27,228.5,233.5,225.05,227.9,33992.0
2006-02-28,232.0,232.0,219.0,220.65,17900.0
2006-03-01,224.0,229.0,218.5,226.45,36502.0
2006-03-02,226.0,236.0,224.0,225.95,52187.0
2006-03-03,225.95,230.95,224.25,227.9,21733.0
2006-03-06,232.0,232.0,221.0,225.05,23494.0
2006-03-07,224.5,227.9,221.5,225.35,28556.0
2006-03-08,227.8,227.8,210.1,213.8,32375.0
2006-03-09,218.95,218.95,208.0,214.85,29763.0
2006-03-10,219.9,220.05,208.35,210.35,19556.0
2006-03-13,211.75,214.9,209.2,210.15,17090.0
2006-03-14,235.5,235.5,201.3,203.25,27692.0
2006-03-16,214.95,214.95,203.0,204.2,8556.0
2006-03-17,202.2,207.0,201.0,205.05,11689.0
2006-03-20,219.5,224.7,200.5,215.2,65578.0
2006-03-21,222.0,222.0,210.0,211.55,13442.0
2006-03-22,205.5,211.9,205.5,208.35,6418.0
2006-03-23,225.0,225.0,205.0,207.35,7608.0
2006-03-24,208.6,209.8,204.3,205.95,6347.0
2006-03-27,212.0,212.0,205.0,205.35,49454.0
2006-03-28,209.0,209.8,202.35,205.25,16390.0
2006-03-29,185.35,238.0,185.35,223.7,108188.0
2006-03-30,227.2,234.1,225.0,228.8,41336.0
2006-03-31,229.0,229.8,220.0,221.8,10227.0
2006-04-03,221.6,236.0,221.6,229.3,23465.0
2006-04-04,235.0,235.0,220.0,222.9,12109.0
2006-04-05,223.0,227.9,221.0,225.55,11553.0
2006-04-07,221.05,226.2,212.0,221.8,15758.0
2006-04-10,235.0,235.0,210.7,215.4,5981.0
2006-04-12,220.0,220.0,207.0,209.0,5421.0
2006-04-13,210.0,210.0,195.15,200.3,6459.0
2006-04-17,203.0,209.0,203.0,205.05,3335.0
2006-04-18,214.0,214.0,206.05,209.9,7702.0
2006-04-19,209.0,215.0,208.9,210.05,5432.0
2006-04-20,210.0,211.8,205.0,206.2,9083.0
2006-04-21,206.3,206.5,200.1,201.25,7040.0
2006-04-24,203.0,215.0,201.15,202.5,6945.0
2006-04-25,204.5,206.45,198.0,203.35,7374.0
2006-04-26,202.2,210.9,200.0,206.85,6238.0
2006-04-27,210.0,212.8,203.0,204.0,3514.0
2006-04-28,204.9,208.0,196.8,203.45,12909.0
2006-04-29,211.0,211.0,200.6,202.9,3230.0
2006-05-02,200.2,210.85,200.2,206.5,4988.0
2006-05-03,207.9,208.0,202.05,204.55,3105.0
2006-05-04,204.95,231.5,203.0,217.55,104480.0
2006-05-05,219.0,231.0,206.6,213.4,35130.0
2006-05-08,214.4,230.0,212.0,218.55,267217.0
2006-05-09,225.05,237.0,220.1,223.35,69192.0
2006-05-10,229.5,229.5,210.0,213.1,17602.0
2006-05-11,218.5,218.5,204.0,206.45,10721.0
2006-05-12,205.75,213.0,204.5,206.45,11694.0
2006-05-15,205.0,212.8,190.3,194.75,13765.0
2006-05-16,198.7,198.7,174.0,193.05,11549.0
2006-05-17,198.0,210.9,198.0,208.4,9553.0
2006-05-18,201.0,201.0,186.0,188.5,7351.0
2006-05-19,186.1,189.0,172.05,180.15,5181.0
