Date,O,H,L,C,V
2010-08-09,22.2,22.2,22.15,22.2,1910
2010-08-10,23.35,23.35,23.35,23.35,300
2010-08-11,24.55,24.55,22.2,22.45,5301
2010-08-12,21.35,23.5,21.35,21.5,503
2010-08-13,20.5,20.5,20.5,20.5,1
2010-08-16,20.75,20.75,20.6,20.6,2
2010-08-17,19.7,19.7,19.7,19.7,1
2010-08-19,20.7,20.7,20.7,20.7,2
2010-08-20,21.75,21.75,21.75,21.75,100
2010-08-23,22.8,22.8,22.8,22.8,100
2010-08-24,23.95,23.95,23.95,23.95,100
2010-08-25,25.15,25.15,23.6,24.3,1100
2010-08-26,25.55,25.55,25.55,25.55,52
2010-08-27,26.75,26.75,26.0,26.0,370
2010-08-30,27.15,27.15,25.2,25.2,2202
2010-08-31,26.5,26.5,24.6,25.8,1111
2010-09-01,27.0,27.0,27.0,27.0,41
2010-09-03,28.2,28.2,26.0,26.5,47
2010-09-06,25.5,27.8,25.5,27.05,1082
2010-09-07,28.35,28.4,28.2,28.4,102
2010-09-09,28.75,28.75,28.5,28.5,1150
2010-09-13,29.95,29.95,29.5,29.95,1315
2010-09-14,29.5,31.45,29.5,31.45,425
2010-09-15,30.05,30.05,30.0,30.0,650
2010-09-16,30.5,30.5,30.5,30.5,1
2010-09-17,29.0,29.0,29.0,29.0,100
2010-09-20,29.0,29.0,27.55,28.75,951
2010-09-21,27.6,27.6,27.6,27.6,609
2010-09-22,27.5,27.5,27.0,27.15,211
2010-09-23,26.1,27.5,26.1,27.5,644
2010-09-24,26.25,28.0,26.15,28.0,1565
2010-09-27,27.8,28.8,27.8,28.8,748
2010-09-29,28.5,28.5,28.5,28.5,100
2010-10-01,27.2,28.0,27.2,28.0,2202
2010-10-04,27.1,28.5,27.1,28.3,645
2010-10-05,27.2,27.2,27.2,27.2,5
2010-10-06,28.0,28.5,26.85,27.65,255
2010-10-11,26.5,26.5,26.5,26.5,50
2010-10-12,25.7,25.7,25.7,25.7,50
2010-10-13,27.0,27.0,27.0,27.0,1500
2010-10-18,27.5,27.5,26.0,26.75,5
2010-10-19,28.1,28.1,27.0,27.0,999
2010-10-20,27.1,28.35,27.0,27.0,640
2010-10-21,27.3,27.3,27.3,27.3,500
2010-10-22,27.05,27.05,26.2,26.2,251
2010-10-25,27.55,27.55,27.55,27.55,248
2010-10-26,28.95,28.95,28.95,28.95,475
2010-10-28,28.1,28.1,28.1,28.1,500
2010-11-02,29.55,29.55,29.55,29.55,708
2010-11-03,29.85,31.0,29.85,30.55,847
2010-11-15,40.75,41.0,35.1,38.7,57860
2010-11-16,39.9,39.9,36.8,36.8,4480
2010-11-18,35.15,37.4,35.0,35.05,2241
2010-11-19,33.3,35.0,33.3,33.55,321
2010-11-22,31.9,34.5,31.9,34.45,52
2010-11-23,32.75,32.75,32.75,32.75,750
2010-11-24,32.75,32.75,31.25,31.3,1214
2010-11-25,31.1,32.0,31.1,32.0,300
2010-11-26,33.6,33.6,33.6,33.6,100
2010-11-30,31.95,31.95,31.95,31.95,100
2010-12-01,32.25,33.55,31.1,32.2,573
2010-12-03,33.85,33.85,33.85,33.85,36
2010-12-06,32.55,32.55,32.55,32.55,25
2010-12-08,32.0,32.05,30.95,30.95,3718
2010-12-09,29.5,29.5,29.4,29.4,500
2010-12-10,30.9,30.9,30.9,30.9,1
2010-12-13,30.9,32.45,29.8,32.0,1525
2010-12-14,30.4,32.0,30.4,32.0,103
2010-12-16,30.4,30.4,30.4,30.4,461
2010-12-22,31.95,31.95,29.2,31.95,4225
2010-12-23,30.35,30.35,30.35,30.35,97
2010-12-24,29.0,29.0,29.0,29.0,100
2010-12-27,27.6,30.45,27.6,30.45,60
2010-12-28,30.45,30.45,30.45,30.45,20
2010-12-29,28.95,32.0,28.95,32.0,214
2010-12-30,32.8,32.8,32.8,32.8,1
2010-12-31,34.45,34.45,31.2,33.9,573
2011-01-03,35.0,35.0,35.0,35.0,1
2011-01-04,36.75,36.75,36.75,36.75,1
2011-01-14,34.95,34.95,34.95,34.95,100
2011-01-19,33.2,33.2,33.2,33.2,10
2011-01-21,31.55,31.55,31.55,31.55,1
2011-01-24,33.15,33.15,33.15,33.15,1
2011-01-25,31.5,31.5,31.5,31.5,10
2011-01-27,30.6,30.6,30.6,30.6,1
2011-02-01,32.0,32.0,32.0,32.0,1
2011-02-03,30.7,33.0,30.7,32.0,1169
2011-02-04,30.4,30.4,30.4,30.4,973
2011-02-07,31.9,31.9,30.5,30.5,615
2011-02-08,31.85,31.85,31.85,31.85,1
2011-02-10,30.3,30.3,30.3,30.3,1
2011-02-15,31.4,31.4,31.4,31.4,200
2011-02-16,31.95,31.95,31.95,31.95,1
2011-02-18,33.55,33.55,33.55,33.55,500
2011-03-10,27.65,33.7,27.65,28.05,433
2011-03-14,26.6,26.6,26.25,26.5,1500
2011-03-15,26.8,26.8,26.8,26.8,50
2011-03-22,25.6,25.6,25.6,25.6,500
2011-03-25,26.9,26.9,26.9,26.9,200
2011-03-28,25.8,25.8,25.8,25.8,25
2011-03-31,24.6,24.6,24.6,24.6,1500
2011-04-06,25.85,25.85,25.85,25.85,300
2011-04-08,27.15,27.15,27.15,27.15,5000
2011-04-19,28.65,31.5,28.6,31.5,305
2011-04-25,30.15,30.6,30.15,30.6,1105
2011-04-26,32.0,32.1,32.0,32.1,20
2011-04-27,32.5,33.75,32.15,32.5,775
2011-04-28,31.05,32.0,31.05,32.0,1038
2011-04-29,31.95,31.95,31.45,31.45,81
2011-05-02,31.0,31.05,31.0,31.05,2
2011-05-03,31.1,31.1,30.8,30.8,3037
2011-05-04,30.7,30.8,30.0,30.45,451
2011-05-05,30.45,30.85,29.5,29.6,1752
2011-05-06,29.6,29.75,28.0,28.0,635
2011-05-09,28.05,29.0,28.05,28.5,1510
2011-05-10,28.55,28.95,28.55,28.85,206
2011-05-11,28.05,28.05,27.75,27.8,285
2011-05-12,27.8,27.8,27.6,27.6,6
2011-05-13,27.6,27.6,27.6,27.6,199
2011-05-17,27.05,27.25,26.75,26.75,3224
2011-05-18,26.95,27.45,26.8,27.3,986
2011-05-19,27.35,27.35,27.35,27.35,2775
2011-05-20,27.35,27.5,27.35,27.5,6
2011-05-23,26.9,26.9,25.8,25.8,530
2011-05-24,25.9,26.05,25.15,25.4,649
2011-05-26,25.15,27.45,23.05,24.5,751
2011-05-27,25.9,25.9,24.55,25.1,604
2011-05-30,25.0,25.0,23.15,24.0,1619
2011-06-01,23.75,24.2,23.75,23.95,110
2011-06-03,24.2,24.2,24.15,24.2,15
2011-06-06,24.0,24.0,24.0,24.0,10
2011-06-07,24.1,24.1,24.1,24.1,1
2011-06-08,24.2,24.2,22.8,24.15,1360
2011-06-09,23.95,24.45,22.55,23.4,423
2011-06-10,24.95,25.0,23.8,24.0,2057
2011-06-14,24.5,24.5,24.5,24.5,3
2011-06-15,24.9,24.9,23.05,24.9,378
2011-06-16,24.0,24.7,22.65,24.3,6
2011-06-17,21.9,24.0,21.9,22.1,5
2011-06-20,21.05,21.05,21.05,21.05,3
2011-06-21,20.3,22.15,20.3,22.15,2
2011-06-22,20.15,23.5,20.15,23.5,31
2011-06-24,24.0,24.0,23.0,23.0,3
2011-06-28,23.1,23.1,23.1,23.1,50
2011-06-30,23.25,23.25,22.55,23.0,1128
2011-07-08,23.0,23.0,23.0,23.0,1
2011-07-12,23.0,23.0,22.05,22.05,500
2011-07-13,22.0,25.9,22.0,22.0,510
2011-07-14,22.75,22.75,22.75,22.75,192
2011-07-15,22.85,23.25,22.8,23.15,19
2011-07-18,23.1,23.1,22.05,22.05,4
2011-07-19,19.0,22.8,19.0,21.25,8330
2011-07-20,22.15,22.95,21.35,22.95,442
2011-07-22,20.65,25.0,20.65,21.5,855
2011-07-26,21.05,21.95,21.05,21.5,215
2011-07-27,22.95,22.95,21.1,21.1,2
2011-07-28,25.3,25.3,25.3,25.3,50
2011-07-29,22.5,22.5,22.0,22.0,297
2011-08-03,21.5,21.5,20.5,21.0,806
2011-08-05,18.05,25.2,18.0,19.5,6362
2011-08-08,19.0,23.0,16.0,17.5,5583
2011-08-09,16.0,16.0,16.0,16.0,75
2011-08-11,16.95,16.95,16.95,16.95,19
