Date,Open,High,Low,Close,Volume
2021-09-24,811.5,841.95,801.0,818.55,12520012.0
2021-09-27,847.95,860.0,832.3,846.8,3813046.0
2021-09-28,853.9,855.0,803.5,815.65,1071633.0
2021-09-29,814.85,814.85,795.1,802.3,489332.0
2021-09-30,801.5,816.55,800.0,806.1,307693.0
2021-10-01,800.0,821.0,792.0,810.45,359134.0
2021-10-04,807.0,816.25,803.1,806.3,205226.0
2021-10-05,806.3,809.4,796.35,804.25,187609.0
2021-10-06,801.1,809.0,785.0,795.3,189694.0
2021-10-07,805.0,806.0,791.5,804.65,219406.0
2021-10-08,801.3,814.6,798.15,804.9,147354.0
2021-10-11,803.6,810.85,797.0,799.05,198366.0
2021-10-12,796.1,799.85,787.05,790.85,104124.0
2021-10-13,792.0,832.9,791.0,820.95,419915.0
2021-10-14,825.0,829.0,801.5,810.3,98794.0
2021-10-18,804.0,820.0,802.0,803.6,107722.0
2021-10-19,803.65,824.0,800.0,810.9,185196.0
2021-10-20,802.1,809.4,779.1,789.9,134511.0
2021-10-21,790.05,809.45,771.0,775.05,266559.0
2021-10-22,784.0,784.0,735.0,746.6,128218.0
2021-10-25,753.0,753.0,709.05,730.95,149014.0
2021-10-26,730.0,758.25,724.0,753.05,208149.0
2021-10-27,753.05,759.0,732.65,743.1,47539.0
2021-10-28,738.1,745.0,723.25,740.3,74808.0
2021-10-29,728.0,741.15,682.0,707.4,187890.0
2021-11-01,695.0,717.2,694.65,715.1,71628.0
2021-11-02,719.5,740.0,713.0,735.4,43916.0
2021-11-03,748.8,748.8,718.4,725.4,34751.0
2021-11-04,725.4,738.95,725.4,733.0,8600.0
2021-11-08,733.0,734.0,715.0,725.65,44610.0
2021-11-09,731.0,735.0,722.25,724.45,26035.0
2021-11-10,725.0,735.0,715.1,720.3,83496.0
2021-11-11,774.0,815.0,774.0,801.95,964117.0
2021-11-12,793.5,825.5,793.5,820.4,346732.0
2021-11-15,820.1,835.0,797.6,818.05,191548.0
2021-11-16,807.0,829.9,803.0,825.6,126812.0
2021-11-17,814.0,889.0,814.0,845.8,562072.0
2021-11-18,854.0,881.0,820.25,850.7,313657.0
2021-11-22,864.5,864.5,782.6,795.2,211258.0
2021-11-23,795.0,804.0,771.9,792.65,185424.0
2021-11-24,794.1,828.0,787.05,796.25,323868.0
2021-11-25,799.95,808.9,786.35,788.7,52199.0
2021-11-26,789.95,815.0,763.55,776.8,116477.0
2021-11-29,791.75,812.0,748.8,793.45,149131.0
2021-11-30,793.45,805.0,761.5,784.4,160756.0
2021-12-01,800.0,814.1,761.0,775.75,176491.0
2021-12-02,775.75,807.0,775.75,792.6,151528.0
2021-12-03,797.95,805.0,773.25,783.6,76632.0
2021-12-06,783.6,796.85,760.0,762.7,108347.0
2021-12-07,782.4,782.4,762.5,770.45,143156.0
2021-12-08,778.75,778.8,751.5,763.95,138922.0
2021-12-09,773.85,780.0,762.1,776.1,152909.0
2021-12-10,777.95,784.95,771.2,776.2,84775.0
2021-12-13,776.2,787.0,766.0,772.55,127046.0
2021-12-14,768.55,775.7,756.0,761.45,125141.0
2021-12-15,769.7,769.7,752.2,761.2,48137.0
2021-12-16,756.1,775.0,746.25,763.0,134167.0
2021-12-17,755.25,793.4,755.25,788.3,208435.0
2021-12-20,775.0,775.0,748.8,754.05,66896.0
2021-12-21,754.0,766.95,741.0,754.4,50664.0
2021-12-22,750.1,769.75,750.1,755.2,26024.0
2021-12-23,757.0,768.7,752.15,755.65,33271.0
2021-12-24,755.65,761.45,747.0,750.3,40601.0
2021-12-27,762.0,762.0,738.5,749.0,52670.0
2021-12-28,752.0,758.85,750.65,753.9,27793.0
2021-12-29,750.1,774.0,750.1,769.25,96602.0
2021-12-30,772.0,792.3,772.0,788.2,208724.0
2021-12-31,788.0,802.9,772.0,776.55,55864.0
2022-01-03,787.75,787.75,774.0,777.5,26479.0
2022-01-04,787.4,787.4,770.25,774.5,31544.0
2022-01-05,769.1,777.25,769.1,774.95,27793.0
2022-01-06,770.0,774.95,758.0,765.0,28447.0
2022-01-07,765.0,802.7,765.0,779.2,90547.0
2022-01-10,784.0,784.0,751.4,769.9,102436.0
2022-01-11,768.45,774.15,760.7,762.35,19701.0
2022-01-12,771.0,771.0,760.0,762.85,39355.0
2022-01-13,761.0,763.75,756.0,758.45,20361.0
2022-01-14,764.75,809.0,756.1,795.55,138614.0
2022-01-17,800.0,806.85,770.0,778.9,115404.0
2022-01-18,775.0,786.45,764.65,767.05,45964.0
2022-01-19,770.0,783.9,766.4,780.0,37991.0
2022-01-20,789.75,789.75,772.95,778.1,27130.0
2022-01-21,774.0,780.4,752.25,760.6,23831.0
2022-01-24,750.25,758.35,733.1,745.1,39496.0
2022-01-25,745.0,750.0,726.3,746.35,44749.0
2022-01-27,731.0,750.2,731.0,745.25,30943.0
2022-01-28,740.0,754.0,738.0,749.95,31765.0
2022-01-31,755.0,757.65,740.1,745.8,15481.0
2022-02-01,750.0,754.75,738.1,740.7,21818.0
2022-02-02,749.7,765.0,742.85,747.5,24597.0
2022-02-03,746.1,753.95,744.75,747.25,17559.0
2022-02-04,754.75,754.9,743.85,749.25,12896.0
2022-02-07,749.0,764.8,743.05,745.05,16505.0
2022-02-08,696.0,715.95,681.0,704.25,159345.0
2022-02-09,713.0,713.0,682.5,688.85,243737.0
2022-02-10,698.75,698.75,686.0,686.95,19981.0
2022-02-11,695.75,695.75,675.0,678.0,20473.0
2022-02-14,676.75,684.95,651.55,680.1,25490.0
2022-02-15,693.7,693.7,653.0,666.75,187859.0
2022-02-16,692.75,696.0,669.05,683.2,33019.0
2022-02-17,684.4,689.0,665.0,667.1,16053.0
2022-02-18,665.0,672.0,647.0,657.7,23553.0
2022-02-21,673.0,673.0,644.0,648.05,18453.0
2022-02-22,640.0,658.95,624.0,640.0,68579.0
2022-02-23,636.0,649.2,636.0,645.9,22950.0
2022-02-24,642.0,668.95,615.0,662.7,81205.0
2022-02-25,671.75,674.0,650.1,656.3,19959.0
2022-02-28,656.3,670.4,621.85,658.95,53580.0
2022-03-02,658.0,662.15,648.5,652.55,15349.0
2022-03-03,661.7,662.0,648.0,652.0,21751.0
2022-03-04,641.0,648.25,635.0,638.35,10790.0
2022-03-07,635.0,635.0,610.45,620.55,45438.0
2022-03-08,629.75,629.75,600.0,604.8,38576.0
2022-03-09,617.0,617.0,597.55,610.2,53181.0
2022-03-10,616.0,644.95,603.0,608.0,73578.0
2022-03-11,609.5,623.3,594.95,600.05,46526.0
2022-03-14,614.0,614.0,596.0,602.8,17902.0
2022-03-15,609.75,609.75,595.0,596.45,19525.0
2022-03-16,605.0,605.0,594.0,597.0,18481.0
2022-03-17,604.95,604.95,589.0,591.3,80633.0
2022-03-21,598.75,598.75,588.0,590.6,121930.0
2022-03-22,590.85,594.9,580.05,586.05,30271.0
2022-03-23,586.5,597.55,582.35,585.25,30936.0
2022-03-24,595.0,595.0,574.3,576.0,186402.0
2022-03-25,582.95,582.95,562.25,563.15,39025.0
2022-03-28,552.5,592.4,548.55,579.25,61698.0
2022-03-29,579.25,605.0,567.05,600.15,60804.0
2022-03-30,600.0,632.7,598.95,630.5,316252.0
2022-03-31,610.0,699.9,610.0,672.0,240176.0
2022-04-01,690.0,726.85,681.15,708.9,155280.0
2022-04-04,715.0,716.0,680.1,689.6,55715.0
2022-04-05,699.35,699.35,678.0,690.15,56265.0
2022-04-06,695.0,696.05,676.2,690.1,27181.0
2022-04-07,690.1,697.65,672.0,676.65,60425.0
2022-04-08,683.15,683.15,676.0,677.75,17515.0
2022-04-11,690.0,697.9,681.2,689.85,30853.0
2022-04-12,690.0,692.15,679.0,682.25,10411.0
2022-04-13,682.0,682.0,669.3,675.6,40842.0
2022-04-18,660.0,673.45,657.35,670.0,28808.0
2022-04-19,676.65,689.0,660.05,671.25,19040.0
2022-04-20,661.2,736.0,661.2,708.5,138563.0
2022-04-21,710.0,740.0,710.0,738.7,91180.0
2022-04-22,721.1,755.9,721.1,742.15,202085.0
2022-04-25,739.0,749.9,711.95,735.1,41296.0
2022-04-26,740.0,768.85,740.0,749.2,87998.0
2022-04-27,750.0,774.0,736.75,762.2,104521.0
2022-04-28,800.0,827.95,769.3,780.8,205693.0
2022-04-29,786.0,800.0,764.75,793.35,108593.0
2022-05-02,791.0,808.9,770.25,779.45,73211.0
2022-05-04,785.0,786.0,741.0,749.95,48517.0
2022-05-05,792.0,792.0,735.0,753.6,39432.0
2022-05-06,735.0,746.95,721.3,729.9,87751.0
2022-05-09,749.75,749.75,712.3,732.0,40085.0
2022-05-10,739.25,744.0,698.1,705.8,93275.0
2022-05-12,700.0,717.0,676.45,700.5,63746.0
2022-05-13,717.75,718.75,670.05,683.3,46229.0
2022-05-16,665.1,682.55,665.1,676.75,18597.0
2022-05-17,677.05,695.0,661.65,678.1,296251.0
2022-05-18,695.0,699.25,683.55,692.2,23507.0
2022-05-19,677.0,688.95,670.0,682.0,22018.0
2022-05-20,697.75,699.0,686.6,696.3,10228.0
2022-05-23,698.0,745.2,691.7,730.8,20937.0
2022-05-24,744.0,744.0,694.85,699.9,504642.0
2022-05-25,709.0,716.0,673.95,699.75,58442.0
2022-05-26,699.9,706.0,679.25,700.15,42112.0
2022-05-27,695.0,714.0,690.55,697.6,28672.0
2022-05-30,692.05,709.0,691.25,693.25,26414.0
2022-05-31,694.0,699.95,681.7,691.35,49279.0
2022-06-01,699.95,708.5,687.0,695.35,47016.0
2022-06-02,694.85,703.2,687.55,695.6,37822.0
2022-06-03,693.2,701.8,681.25,687.0,18551.0
2022-06-06,688.0,688.0,675.65,682.95,114777.0
2022-06-07,689.9,701.0,678.1,697.75,476549.0
2022-06-08,697.75,704.25,687.1,698.5,132597.0
2022-06-09,688.0,701.0,681.85,696.55,30209.0
2022-06-10,691.0,696.85,683.9,690.3,21962.0
2022-06-13,685.15,689.65,668.05,680.85,30414.0
2022-06-14,689.75,689.75,671.5,685.2,45287.0
2022-06-15,687.25,692.75,671.0,679.85,17788.0
2022-06-16,688.75,688.75,660.0,672.1,21770.0
2022-06-17,665.1,680.0,649.45,670.55,23431.0
2022-06-20,671.0,680.0,651.8,668.55,16324.0
2022-06-21,670.1,678.0,636.0,653.6,30777.0
2022-06-22,644.1,667.6,641.0,654.2,25462.0
2022-06-23,653.3,673.0,648.05,670.5,75725.0
2022-06-24,670.5,677.1,651.55,659.75,26851.0
2022-06-27,669.75,670.0,656.1,665.0,20322.0
2022-06-28,660.5,683.95,659.8,673.45,11860.0
2022-06-29,678.75,678.75,662.9,671.9,22773.0
2022-06-30,671.75,671.75,655.7,663.3,52928.0
2022-07-01,668.75,668.75,654.0,657.05,12973.0
2022-07-04,662.75,683.5,656.0,675.7,13313.0
2022-07-05,668.6,709.9,666.8,688.7,23692.0
2022-07-06,699.25,708.9,684.8,699.05,66419.0
2022-07-07,705.0,708.8,681.7,694.0,44981.0
2022-07-08,696.55,701.85,694.8,697.55,47747.0
