Date,O,H,L,C,V
2018-08-29,66.0,75.9,62.5,65.0,37482
2018-08-30,62.55,63.45,55.5,56.7,34351
2018-08-31,55.0,56.0,49.0,51.4,48431
2018-09-03,49.1,53.0,49.1,51.25,22843
2018-09-04,51.0,51.0,48.6,49.25,24877
2018-09-05,47.55,48.4,46.05,46.6,12437
2018-09-06,45.0,46.85,44.0,44.55,30001
2018-09-07,44.5,44.5,41.2,41.9,33416
2018-09-10,41.35,49.0,37.1,47.6,72234
2018-09-11,49.9,52.8,47.8,50.35,78883
2018-09-12,51.0,53.2,49.0,50.95,23983
2018-09-14,52.0,53.0,49.6,50.85,24326
2018-09-17,49.8,52.45,48.0,50.8,10655
2018-09-18,50.5,52.2,50.5,50.7,5181
2018-09-19,50.55,51.0,49.5,50.8,9136
2018-09-21,52.0,52.0,45.1,50.25,17726
2018-09-24,50.0,50.0,45.55,46.15,8601
2018-09-25,47.2,50.0,40.1,42.2,9114
2018-09-26,41.3,43.3,41.2,41.8,75600
2018-09-27,44.4,44.4,41.15,41.85,5277
2018-09-28,41.85,43.5,40.2,40.25,9814
2018-10-01,34.0,40.5,34.0,38.35,9684
2018-10-03,38.4,40.9,36.2,39.35,5582
2018-10-04,39.0,40.0,35.65,38.9,4415
2018-10-05,39.0,40.0,38.5,39.0,4395
2018-10-08,37.0,39.0,34.95,35.25,10474
2018-10-09,35.8,36.0,32.5,33.05,10400
2018-10-10,33.0,36.0,31.5,35.1,7401
2018-10-11,34.0,37.5,33.9,35.75,7189
2018-10-12,36.1,38.9,36.0,38.1,9500
2018-10-15,40.0,42.0,39.05,40.8,11319
2018-10-16,41.75,44.1,41.75,43.5,7119
2018-10-17,44.25,45.0,40.55,40.95,18938
2018-10-19,39.25,43.4,36.5,39.55,18046
2018-10-22,39.6,42.0,38.8,40.05,7216
2018-10-23,41.0,41.0,38.15,39.05,19534
2018-10-24,39.6,41.2,39.4,39.7,4556
2018-10-25,39.5,40.0,38.5,38.8,11181
2018-10-26,39.0,39.95,38.0,38.65,13178
2018-10-29,38.65,39.0,38.1,38.95,5684
2018-10-30,38.25,41.85,38.25,38.65,1618
2018-10-31,38.35,38.85,38.15,38.25,853
2018-11-01,39.0,39.0,37.05,37.55,3784
2018-11-02,37.5,39.0,37.0,38.45,9461
2018-11-05,37.75,39.0,37.7,38.8,3909
2018-11-06,38.85,38.9,38.2,38.75,1590
2018-11-07,39.2,40.8,38.75,38.8,1764
2018-11-09,39.5,39.95,37.5,38.65,10449
2018-11-12,39.0,45.6,39.0,39.9,6535
2018-11-13,39.4,40.05,38.05,38.7,3250
2018-11-14,39.0,39.0,37.0,38.4,4783
2018-11-15,37.55,39.0,37.1,37.3,939
2018-11-16,38.8,38.8,37.25,37.3,1758
2018-11-19,37.4,38.2,36.95,37.05,3477
2018-11-20,37.4,40.0,37.1,37.9,7272
2018-11-21,38.0,38.0,37.6,37.65,1980
2018-11-22,37.8,38.0,37.65,37.8,1619
2018-11-26,38.3,38.95,37.1,38.1,2674
2018-11-27,37.25,37.45,37.05,37.45,2250
2018-11-28,37.3,37.3,35.55,36.8,5987
2018-11-29,37.6,37.6,36.0,36.9,3602
2018-11-30,36.4,37.0,35.0,37.0,3442
2018-12-03,39.0,39.0,35.6,36.75,4361
2018-12-04,36.1,37.0,36.1,36.5,4415
2018-12-05,36.5,36.5,35.7,36.1,2497
2018-12-06,36.6,38.0,35.95,36.45,8768
2018-12-07,34.5,36.7,34.5,36.0,4513
2018-12-10,35.9,36.5,32.5,35.65,2859
2018-12-11,35.8,38.0,35.7,36.55,2506
2018-12-12,37.0,37.5,36.45,37.35,3016
2018-12-13,37.0,37.9,36.5,37.0,2108
2018-12-14,36.9,37.4,36.9,37.0,7639
2018-12-17,37.6,41.9,37.1,40.9,20837
2018-12-18,40.05,41.7,40.05,41.1,7500
2018-12-19,41.1,42.9,41.0,41.85,11295
2018-12-20,41.4,42.0,41.0,41.25,4438
2018-12-21,41.0,41.7,41.0,41.5,7383
2018-12-24,41.7,41.7,40.9,40.95,1918
2018-12-26,40.45,41.8,40.4,40.9,3451
2018-12-27,40.5,42.0,36.6,40.9,10580
2018-12-28,41.6,41.8,40.6,41.15,7086
2018-12-31,40.5,42.2,39.05,41.35,19091
2019-01-01,40.0,44.0,40.0,42.9,5579
2019-01-02,44.9,44.9,42.0,43.5,5401
2019-01-03,43.5,44.75,41.6,43.55,11206
2019-01-04,43.0,43.95,42.75,42.8,2562
2019-01-07,44.5,44.5,42.0,42.65,1898
2019-01-08,42.65,43.8,41.6,41.95,826
2019-01-09,42.7,42.85,41.7,41.7,2731
2019-01-10,43.5,43.5,38.2,41.7,6102
2019-01-11,42.9,43.0,41.4,42.7,9510
2019-01-14,42.7,43.9,41.9,42.4,5312
2019-01-15,42.35,43.0,41.95,41.95,1248
2019-01-16,41.35,43.0,41.35,42.5,2378
2019-01-17,42.5,43.05,41.85,41.9,8998
2019-01-18,42.0,42.9,42.0,42.45,3890
2019-01-21,42.8,49.0,41.8,46.35,99097
2019-01-22,47.5,48.4,42.15,46.75,18229
2019-01-23,46.75,47.25,45.7,46.5,5129
2019-01-24,46.5,46.6,44.3,45.45,8767
2019-01-25,44.4,54.0,44.4,48.25,263127
2019-01-28,48.35,49.4,46.15,48.4,35293
2019-01-29,47.85,49.8,47.05,47.8,12068
2019-01-30,47.65,48.7,46.3,47.2,10619
2019-01-31,47.7,47.7,46.5,46.8,5891
2019-02-01,47.4,50.05,44.6,45.5,14275
2019-02-04,45.5,45.5,41.35,44.1,8615
2019-02-05,43.05,44.0,41.35,42.4,6536
2019-02-06,42.0,42.4,39.1,40.45,9221
2019-02-07,40.15,42.75,39.65,41.8,4317
2019-02-08,41.0,42.25,39.9,40.3,5161
2019-02-11,39.95,40.85,39.65,40.0,3691
2019-02-12,40.0,40.0,38.1,39.6,3887
2019-02-13,41.5,42.95,40.1,40.9,4879
2019-02-14,40.85,41.0,37.2,39.7,5460
