Date,O,H,L,C,V
2021-02-05,498.0,498.0,435.0,445.95,10755080
2021-02-08,445.0,458.0,407.0,452.3,2286527
2021-02-09,454.0,479.3,440.0,459.15,1392947
2021-02-10,460.95,473.85,456.0,468.35,618854
2021-02-11,466.0,486.8,464.15,484.0,643117
2021-02-12,488.9,545.45,484.0,506.5,2172685
2021-02-15,512.0,533.0,507.0,516.45,463536
2021-02-16,520.95,521.85,470.3,482.3,477863
2021-02-17,485.4,520.05,480.05,493.55,463621
2021-02-18,496.2,508.35,475.0,479.55,258497
2021-02-19,480.0,483.45,455.0,458.4,287211
2021-02-22,461.9,473.25,441.8,464.2,476463
2021-02-23,471.0,495.0,471.0,486.9,502942
2021-02-24,520.0,535.85,471.0,473.9,1103723
2021-02-25,477.0,497.6,477.0,487.75,315521
2021-02-26,484.0,507.0,472.3,497.8,472558
2021-03-01,502.15,518.0,498.25,513.7,324890
2021-03-02,514.7,519.8,501.2,504.15,317207
2021-03-03,508.0,547.85,505.5,513.7,513288
2021-03-04,508.1,538.9,507.0,530.6,358442
2021-03-05,524.2,542.7,500.45,503.1,397464
2021-03-08,508.0,515.8,492.4,502.15,170771
2021-03-09,508.0,522.0,493.4,499.7,318961
2021-03-10,503.7,510.9,490.1,495.2,146707
2021-03-12,500.0,501.65,483.0,485.15,144675
2021-03-15,488.9,488.9,464.25,469.8,208677
2021-03-16,473.3,479.0,458.0,459.85,151099
2021-03-17,461.9,463.95,445.0,446.15,140124
2021-03-18,447.0,456.2,430.3,434.5,142549
2021-03-19,430.0,444.6,406.1,440.3,320242
2021-03-22,445.0,453.0,427.7,435.25,412256
2021-03-23,439.9,494.9,438.05,471.35,786027
2021-03-24,467.0,474.0,452.0,457.35,219809
2021-03-25,459.5,461.6,442.7,454.2,283044
2021-03-26,464.0,464.0,447.0,455.6,248623
2021-03-30,461.0,467.45,451.25,457.1,132451
2021-03-31,457.9,464.9,446.4,458.25,127484
2021-04-01,462.6,483.95,459.4,479.75,235525
2021-04-05,481.0,490.0,455.4,482.05,177166
2021-04-06,481.9,491.35,472.0,485.05,157304
2021-04-07,485.0,514.0,481.1,507.65,336347
2021-04-08,511.4,521.0,501.7,504.25,186698
2021-04-09,504.6,518.8,495.6,514.65,141258
2021-04-12,509.9,509.9,474.3,478.1,151866
2021-04-13,480.1,487.05,471.25,482.05,71275
2021-04-15,477.5,490.65,467.2,477.85,97532
2021-04-16,479.3,489.9,476.6,483.6,56720
2021-04-19,465.0,485.65,459.0,469.7,90293
2021-04-20,475.0,487.85,462.85,467.1,115656
2021-04-22,464.1,474.55,460.0,462.6,76478
2021-04-23,463.0,474.5,461.2,466.65,41866
2021-04-26,467.5,476.8,467.5,471.35,55897
2021-04-27,474.0,475.0,466.6,469.85,85123
2021-04-28,470.85,473.5,460.05,461.75,88130
2021-04-29,466.9,472.1,462.3,464.8,63697
2021-04-30,463.4,463.7,455.5,457.15,139373
2021-05-03,458.0,468.0,456.15,462.65,58007
2021-05-04,468.0,468.0,455.05,458.1,76017
2021-05-05,455.05,505.55,450.95,496.35,318596
2021-05-06,496.0,496.0,475.0,479.75,111870
2021-05-07,484.95,513.0,483.0,502.35,355922
2021-05-10,508.85,511.75,494.1,494.7,125379
2021-05-11,495.0,498.55,480.0,483.0,92006
2021-05-12,487.85,508.9,484.9,499.25,161536
2021-05-14,495.0,495.95,484.95,488.95,42366
2021-05-17,486.0,495.55,483.7,491.55,50920
2021-05-18,492.0,518.0,490.0,510.65,137337
2021-05-19,519.0,612.75,511.75,581.35,2129826
2021-05-20,593.4,608.0,575.0,588.05,612131
2021-05-21,595.0,653.95,592.05,614.05,774857
2021-05-24,619.0,646.3,603.95,633.0,270258
2021-05-25,634.9,683.7,625.0,655.9,449439
2021-05-26,640.0,669.0,628.3,633.8,551004
2021-05-27,635.0,639.6,593.15,597.75,349229
2021-05-28,604.7,624.0,590.0,603.2,326146
2021-05-31,606.4,616.95,596.0,603.6,136649
2021-06-01,609.4,609.4,581.2,586.15,130107
2021-06-02,588.0,604.7,584.6,596.55,201385
2021-06-03,600.35,609.9,597.25,602.75,162572
2021-06-04,607.0,607.7,590.0,591.75,103662
2021-06-07,594.55,606.8,593.75,598.45,116952
2021-06-08,599.0,603.9,589.25,593.0,67283
2021-06-09,596.7,622.7,585.5,591.0,245633
2021-06-10,590.6,606.2,590.6,600.8,75102
2021-06-11,604.0,604.0,590.65,595.85,65444
2021-06-14,595.0,595.0,583.05,587.5,66468
2021-06-15,589.0,596.3,582.0,587.3,50615
2021-06-16,587.3,590.0,566.1,571.05,99466
2021-06-17,568.0,568.0,552.75,553.85,112366
2021-06-18,551.0,593.0,547.0,559.15,174750
2021-06-21,554.65,620.0,550.0,615.45,454542
2021-06-22,620.0,634.9,609.0,613.55,277394
2021-06-23,616.1,626.0,602.1,604.85,102560
2021-06-24,608.0,615.0,594.7,597.6,59577
2021-06-25,600.0,620.0,592.2,599.7,139966
2021-06-28,604.9,617.65,600.7,611.7,65299
2021-06-29,611.0,734.0,609.05,716.5,1408162
2021-06-30,750.0,786.65,728.85,734.85,1334647
2021-07-01,740.0,774.85,725.45,738.95,475223
2021-07-02,746.95,759.8,725.2,732.75,195987
2021-07-05,732.0,760.9,725.0,739.8,252041
2021-07-06,743.0,777.0,733.25,736.65,276716
2021-07-07,740.65,748.5,729.0,736.75,108503
2021-07-08,737.4,754.0,705.25,716.5,147188
2021-07-09,721.9,743.85,716.65,724.4,127513
2021-07-12,732.8,741.3,709.3,713.5,123548
2021-07-13,715.5,813.9,715.5,781.85,1048576
2021-07-14,782.8,792.8,750.0,754.0,421367
2021-07-15,756.7,775.6,752.25,759.15,380666
2021-07-16,758.75,770.0,750.55,753.15,376128
2021-07-19,748.95,753.0,730.0,731.8,463757
2021-07-20,734.5,750.9,730.0,731.85,440032
2021-07-22,738.8,755.0,738.0,748.0,355943
2021-07-23,754.0,778.0,742.2,748.65,508431
2021-07-26,749.5,765.75,748.7,754.5,194286
2021-07-27,763.0,784.25,753.1,757.25,492437
2021-07-28,763.3,766.35,734.0,757.05,178600
2021-07-29,763.4,777.65,745.0,769.95,317292
2021-07-30,772.0,811.25,766.0,772.95,633384
2021-08-02,783.9,794.2,777.25,787.3,351642
2021-08-03,790.6,850.0,780.0,829.05,949310
2021-08-04,835.9,844.0,788.1,793.85,244793
2021-08-05,793.85,823.0,768.1,807.3,375304
2021-08-06,816.45,821.7,803.25,811.45,136965
2021-08-09,817.95,819.7,789.0,792.0,116932
2021-08-10,797.0,804.95,743.65,773.2,158508
2021-08-11,773.0,792.0,733.2,764.55,236454
2021-08-12,773.95,809.0,773.95,797.55,205561
2021-08-13,803.5,816.0,795.0,800.75,219083
2021-08-16,798.3,808.8,786.8,793.7,97565
2021-08-17,800.0,805.0,778.0,786.05,113716
2021-08-18,784.8,798.0,775.0,784.75,207132
2021-08-20,774.0,782.95,750.0,753.25,135346
2021-08-23,751.0,779.35,734.0,764.8,155252
2021-08-24,768.8,838.0,760.0,806.35,576183
2021-08-25,799.9,806.0,780.45,785.65,118374
2021-08-26,788.0,825.0,785.95,819.65,276367
2021-08-27,828.0,875.0,820.0,864.3,784559
2021-08-30,887.8,1017.7,876.0,993.9,2244788
2021-08-31,995.85,999.35,954.9,963.8,848750
2021-09-01,963.0,970.0,940.0,958.9,196448
2021-09-02,951.05,974.0,940.0,949.1,169966
2021-09-03,950.0,1005.0,950.0,973.85,377034
2021-09-06,982.9,1001.3,961.0,973.85,157508
2021-09-07,970.0,970.0,917.55,931.4,2149800
2021-09-08,945.0,950.0,915.0,923.45,143756
2021-09-09,932.8,977.15,915.0,968.6,479378
2021-09-13,971.5,971.5,947.85,951.7,121548
2021-09-14,957.45,967.0,932.2,939.4,127404
2021-09-15,949.8,957.7,931.0,935.05,165366
2021-09-16,938.95,1004.0,935.0,991.95,592882
2021-09-17,999.0,1010.4,935.45,949.1,303937
2021-09-20,929.65,947.35,929.65,931.95,125732
2021-09-21,932.05,978.0,932.05,963.65,357154
2021-09-22,969.0,995.0,959.5,970.3,149708
2021-09-23,977.0,984.8,961.1,963.8,72455
2021-09-24,963.9,971.5,948.0,951.45,72966
2021-09-27,959.0,964.6,939.95,943.25,83241
2021-09-28,947.95,1064.1,947.95,1029.1,2134850
2021-09-29,1033.0,1067.7,1014.1,1049.2,798983
2021-09-30,1048.0,1058.45,1021.0,1025.65,151089
2021-10-01,1023.85,1084.0,1006.1,1068.15,496460
2021-10-04,1080.0,1080.0,1054.0,1061.95,134920
2021-10-05,1062.0,1111.0,1052.0,1082.9,436539
2021-10-06,1083.1,1104.95,1057.1,1072.75,158627
2021-10-07,1081.3,1105.0,1072.85,1084.0,124179
