Date,Open,High,Low,Close,Volume
1997-07-01,7.25,7.25,7.25,7.25,1100
1997-07-22,6.9,7.0,6.9,6.9,6000
1997-07-23,6.75,6.9,6.5,6.85,2400
1997-07-24,6.85,6.9,6.75,6.75,1200
1997-07-25,7.0,7.0,6.45,6.45,700
1997-07-28,6.4,7.45,6.4,7.45,3200
1997-07-29,8.5,8.55,7.5,8.0,2700
1997-07-30,8.0,8.45,7.8,8.2,2900
1997-07-31,9.25,9.45,9.25,9.25,2900
1997-08-01,9.1,9.5,9.0,9.5,3100
1997-08-04,10.0,10.35,10.0,10.05,3000
1997-08-05,10.5,10.5,9.5,9.5,2200
1997-08-07,9.0,9.1,9.0,9.1,500
1997-08-08,9.15,9.15,9.0,9.0,1500
1997-08-11,8.75,8.75,8.75,8.75,200
1997-08-13,8.0,8.0,8.0,8.0,900
1997-08-14,7.75,7.75,7.55,7.65,500
1997-08-19,7.25,7.25,7.25,7.25,100
1997-08-20,7.15,8.0,7.1,8.0,1500
1997-08-21,8.0,8.0,8.0,8.0,100
1997-08-25,8.0,8.0,7.9,7.9,200
1997-08-28,7.5,7.5,7.5,7.5,200
1997-09-03,6.5,6.5,6.5,6.5,700
1997-09-05,6.0,6.0,6.0,6.0,600
1997-09-09,6.0,6.0,6.0,6.0,1000
1997-09-10,6.2,6.2,6.2,6.2,500
1997-09-16,7.0,7.0,7.0,7.0,100
1997-11-17,4.0,4.0,4.0,4.0,200
1997-11-19,3.5,3.5,3.5,3.5,1000
1997-11-20,4.0,4.0,3.9,3.95,500
1997-11-21,3.95,4.45,3.95,4.45,4000
1997-11-24,4.05,4.05,4.05,4.05,100
1997-11-25,4.45,4.5,4.45,4.5,500
1997-11-26,4.45,4.5,4.45,4.5,1000
1997-11-27,4.0,4.5,3.95,4.5,900
1997-11-28,4.7,4.7,4.7,4.7,100
1997-12-02,4.65,4.65,4.65,4.65,300
1997-12-05,4.4,4.4,4.4,4.4,500
1997-12-10,4.6,4.6,4.35,4.35,5100
1997-12-11,4.5,4.5,4.5,4.5,600
1997-12-12,4.8,4.9,4.5,4.5,3600
1997-12-15,4.5,4.75,4.5,4.75,6000
1997-12-16,5.0,5.0,5.0,5.0,700
1997-12-17,5.0,5.0,5.0,5.0,200
1997-12-22,4.75,4.75,4.75,4.75,100
1997-12-23,5.1,5.1,4.9,4.9,300
1997-12-24,5.0,5.0,4.8,4.8,900
1997-12-26,5.5,5.5,5.5,5.5,100
