Date,O,H,L,C,V
2001-12-03,169.9,176.0,169.5,172.7,5637
2001-12-04,172.0,172.0,168.0,168.95,5227
2001-12-05,168.0,170.9,161.0,161.6,20074
2001-12-06,165.0,171.0,159.0,160.2,6738
2001-12-07,160.0,165.0,155.05,158.9,6910
2001-12-10,156.45,158.6,153.0,154.65,6603
2001-12-11,155.0,164.95,153.0,163.0,14236
2001-12-12,166.8,173.9,164.05,165.0,13263
2001-12-13,165.0,165.0,140.0,155.6,10949
2001-12-14,157.0,165.0,153.5,160.7,3094
2001-12-18,160.55,161.0,157.0,158.3,3694
2001-12-19,155.25,156.05,150.0,150.25,4341
2001-12-20,150.0,151.0,142.1,146.0,23069
2001-12-21,144.0,144.5,140.3,140.9,9671
2001-12-24,138.9,148.0,131.55,145.15,16107
2001-12-26,141.0,155.0,141.0,151.15,8056
2001-12-27,154.0,155.0,150.05,154.0,19297
2001-12-28,153.0,163.0,150.25,160.0,21728
2001-12-31,163.0,163.9,160.0,161.35,2317
2002-01-01,161.05,171.0,161.0,161.65,14870
2002-01-02,165.0,165.55,162.0,165.0,9097
2002-01-03,167.0,177.0,166.95,174.85,21433
2002-01-04,181.5,184.3,177.0,180.8,24821
2002-01-07,184.9,194.0,182.0,187.85,21128
2002-01-08,185.0,192.0,185.0,187.55,9141
2002-01-09,185.1,191.45,184.1,185.2,10118
2002-01-10,192.2,194.05,186.0,190.95,13599
2002-01-11,195.0,202.8,195.0,199.4,171430
2002-01-14,200.0,218.9,200.0,217.8,105303
2002-01-15,219.9,231.9,215.0,218.15,52730
2002-01-16,220.0,226.0,217.0,220.65,49820
2002-01-17,222.95,234.0,222.95,233.25,130709
2002-01-18,237.0,256.9,228.4,248.65,199479
2002-01-21,254.0,260.0,243.0,246.2,73321
2002-01-22,249.75,254.65,243.0,251.05,84151
2002-01-23,253.1,254.9,249.0,252.0,75579
2002-01-24,253.0,254.0,247.0,251.75,38351
2002-01-25,248.1,254.9,245.75,251.7,88115
2002-01-28,232.25,254.8,232.25,252.75,91226
2002-01-29,241.0,278.65,241.0,268.6,116587
2002-01-30,260.0,270.0,258.25,267.75,30321
2002-01-31,267.9,270.0,264.0,268.25,20520
2002-02-01,267.05,279.0,264.95,272.55,31470
2002-02-04,283.7,283.7,270.0,272.75,12275
2002-02-05,275.0,275.9,270.0,271.05,12795
2002-02-06,275.5,312.5,267.7,294.0,21855
2002-02-07,305.0,319.0,279.0,306.1,45345
2002-02-08,310.0,317.0,300.0,310.45,23640
2002-02-11,316.0,328.8,301.0,306.95,17231
2002-02-12,308.0,315.0,296.0,297.65,11667
2002-02-13,291.0,315.0,290.0,312.75,22899
2002-02-14,305.0,315.0,305.0,309.65,7876
2002-02-15,307.1,311.0,304.25,305.0,4207
2002-02-18,310.0,318.95,310.0,314.3,12584
2002-02-19,313.1,320.0,313.1,317.8,25803
2002-02-20,310.0,349.0,310.0,342.1,30954
2002-02-21,345.0,354.9,336.0,339.3,31305
2002-02-22,340.0,363.0,340.0,358.55,49932
2002-02-25,355.0,367.25,355.0,361.1,28716
2002-02-26,353.0,373.0,352.5,361.85,37000
2002-02-27,367.0,369.0,354.1,356.6,26625
2002-02-28,357.0,359.0,317.05,331.15,45050
2002-03-01,340.0,350.0,339.25,348.85,24828
2002-03-04,359.0,370.0,345.2,349.25,38039
2002-03-05,350.0,352.0,342.5,345.85,14793
2002-03-06,342.0,352.0,342.0,347.5,18325
2002-03-07,349.9,349.95,345.0,346.65,10364
2002-03-08,345.0,348.0,343.1,345.95,15023
2002-03-11,368.0,368.0,342.0,344.15,52476
2002-03-12,340.0,350.0,327.6,343.25,10656
2002-03-13,330.1,347.0,330.1,344.6,6448
2002-03-14,345.0,354.0,340.0,346.45,7337
2002-03-15,350.0,351.75,345.0,345.75,2030
2002-03-18,350.0,358.0,345.0,345.5,7904
2002-03-19,346.0,347.75,337.0,340.05,9083
2002-03-20,341.1,350.0,341.1,345.55,21402
2002-03-21,407.0,407.0,348.0,371.85,23659
2002-03-22,362.15,376.95,362.15,370.95,14121
2002-03-26,380.0,382.0,360.0,363.85,72418
2002-03-27,365.0,379.95,360.0,370.65,12254
2002-03-28,341.0,384.0,341.0,378.05,14011
2002-04-01,375.0,380.0,370.0,371.45,4880
2002-04-02,384.85,384.85,370.0,374.7,9222
2002-04-03,372.1,381.0,368.0,370.25,6514
2002-04-04,370.0,372.0,360.1,365.8,4456
2002-04-05,367.0,369.0,359.75,360.65,1344
2002-04-08,368.0,372.0,363.15,363.55,2374
2002-04-09,369.8,371.0,356.05,357.05,2753
2002-04-10,364.05,370.0,364.05,368.2,5294
2002-04-11,370.0,381.0,365.15,378.8,12187
2002-04-12,399.0,399.0,371.55,375.05,2709
2002-04-15,382.5,385.0,372.0,375.45,4752
2002-04-16,375.05,377.75,367.0,369.0,8759
2002-04-17,370.0,425.0,368.65,393.8,18757
2002-04-18,395.0,415.0,390.0,394.85,13391
2002-04-19,380.0,400.0,380.0,398.0,5109
2002-04-22,410.0,410.0,392.0,393.95,3944
2002-04-23,393.0,396.65,390.0,393.3,1631
2002-04-24,385.0,404.8,385.0,399.85,5821
2002-04-25,400.0,434.0,400.0,425.65,49116
2002-04-26,425.0,500.0,425.0,470.6,140186
2002-04-29,480.0,484.0,455.0,463.1,32924
2002-04-30,462.1,466.75,452.0,459.65,10457
2002-05-02,475.0,487.0,452.2,459.7,30924
2002-05-03,460.0,467.0,453.5,457.35,12124
2002-05-06,460.0,464.0,445.0,447.3,12397
2002-05-07,452.0,465.0,448.0,461.45,18174
2002-05-08,460.0,463.25,451.1,455.2,10389
2002-05-09,460.0,460.0,445.0,449.35,4300
2002-05-10,447.0,460.0,437.0,446.2,8848
2002-05-13,458.0,460.0,445.0,451.25,6194
2002-05-14,455.0,460.0,448.5,451.85,4207
2002-05-15,451.1,451.1,434.0,436.75,6611
2002-05-16,412.1,440.0,412.1,433.8,4444
2002-05-17,351.0,437.0,351.0,421.55,5073
2002-05-20,428.0,428.0,391.15,411.95,10950
2002-05-21,421.0,421.0,380.25,410.6,15329
2002-05-22,404.0,415.0,398.0,403.55,10832
2002-05-23,417.05,429.5,399.5,417.4,11830
2002-05-24,421.05,425.0,410.0,418.6,17626
2002-05-27,415.0,420.0,405.0,408.15,4987
2002-05-28,417.0,417.0,395.0,400.15,2984
2002-05-29,414.0,414.0,400.0,407.65,3546
2002-05-30,418.85,418.85,405.05,408.6,2330
2002-05-31,414.35,414.35,404.05,405.1,3076
2002-06-03,416.0,419.0,406.1,410.1,8720
2002-06-04,331.0,414.0,331.0,404.9,6282
2002-06-05,379.0,435.0,379.0,420.5,24552
2002-06-06,430.0,440.0,414.0,435.2,14537
2002-06-07,431.95,431.95,414.0,420.1,5335
2002-06-10,440.0,463.0,429.0,458.35,21387
2002-06-11,433.0,479.0,433.0,471.05,26015
2002-06-12,430.0,467.9,430.0,462.0,5659
2002-06-13,440.0,480.0,440.0,476.45,11176
2002-06-14,446.0,499.0,446.0,474.75,27619
2002-06-17,455.0,485.0,451.05,479.7,8559
2002-06-18,470.0,483.4,465.0,467.15,2929
2002-06-19,458.0,490.0,458.0,486.65,11617
2002-06-20,470.0,492.0,469.0,489.45,8994
2002-06-21,489.0,490.0,479.0,485.2,4903
2002-06-24,465.0,485.85,465.0,479.65,3466
2002-06-25,465.0,481.0,465.0,479.15,12580
2002-06-26,425.1,490.0,425.1,479.1,6509
2002-06-27,475.0,485.0,475.0,475.3,1737
2002-06-28,473.0,512.0,472.3,507.35,45144
2002-07-01,511.15,523.0,510.0,518.15,19117
2002-07-02,524.0,534.95,516.15,520.75,33615
2002-07-03,521.0,531.0,520.3,526.75,26868
2002-07-04,529.25,545.0,526.0,536.6,14864
2002-07-05,541.0,547.0,537.0,545.2,11112
2002-07-08,454.0,558.0,454.0,547.05,8056
2002-07-09,544.3,554.9,540.0,546.1,6275
2002-07-10,534.1,549.0,527.0,529.4,4766
2002-07-11,535.0,546.0,530.0,542.45,7205
2002-07-12,542.7,549.0,535.1,546.55,4797
2002-07-15,469.0,560.0,469.0,531.05,4901
2002-07-16,500.0,532.5,500.0,516.75,6503
2002-07-17,514.95,515.0,488.0,502.35,11344
2002-07-18,514.95,519.0,502.35,504.9,4870
2002-07-19,502.0,510.0,495.0,498.9,3642
2002-07-22,499.5,499.5,480.0,487.1,6632
2002-07-23,470.0,502.0,470.0,498.45,3205
2002-07-24,490.0,503.75,481.0,485.95,5829
2002-07-25,490.0,494.0,472.0,484.6,9642
2002-07-26,390.9,475.9,390.9,469.1,12067
2002-07-29,463.0,479.0,412.3,451.8,14248
2002-07-30,489.0,489.0,411.0,415.55,33143
