Date,Open,High,Low,Close,Volume
1995-02-14,42.0,42.0,42.0,42.0,100.0
1995-03-13,35.0,35.0,35.0,35.0,100.0
1995-03-14,35.25,35.25,35.25,35.25,100.0
1995-03-15,34.5,34.5,34.5,34.5,100.0
1995-03-16,33.5,34.0,33.5,34.0,500.0
1995-03-21,32.0,32.0,32.0,32.0,100.0
1995-03-23,32.0,32.0,32.0,32.0,700.0
1995-03-27,32.5,33.0,32.0,32.0,1500.0
1995-03-28,33.0,34.5,33.0,34.0,800.0
1995-03-29,34.0,34.0,34.0,34.0,100.0
1995-03-30,34.0,34.0,34.0,34.0,300.0
1995-04-03,32.0,32.0,31.25,31.25,300.0
1995-04-04,31.0,31.0,31.0,31.0,1600.0
1995-04-05,32.75,33.0,32.75,33.0,300.0
1995-04-06,33.0,34.0,33.0,34.0,1200.0
1995-04-07,34.0,34.0,32.05,32.05,700.0
1995-04-10,34.0,34.0,33.0,33.0,200.0
1995-04-11,33.5,33.5,33.5,33.5,500.0
1995-04-12,33.0,33.0,33.0,33.0,100.0
1995-04-17,33.5,34.0,33.5,34.0,1200.0
1995-04-18,34.0,34.0,34.0,34.0,400.0
1995-04-20,30.25,30.25,30.0,30.0,4100.0
1995-04-21,28.0,29.0,27.5,27.5,3100.0
1995-04-24,29.25,29.25,25.0,25.55,6600.0
1995-04-25,26.0,27.5,26.0,27.5,2300.0
1995-04-26,27.5,27.5,26.0,26.0,1300.0
1995-04-27,26.0,26.0,25.0,25.0,3300.0
1995-04-28,25.95,25.95,25.0,25.1,800.0
1995-05-02,26.0,26.0,25.0,25.0,500.0
1995-05-03,25.0,25.0,25.0,25.0,300.0
1995-05-04,25.0,25.0,24.5,24.5,3900.0
1995-05-05,25.5,25.5,24.0,24.0,3400.0
1995-05-08,25.0,25.0,25.0,25.0,200.0
1995-05-09,24.0,24.5,24.0,24.25,1200.0
1995-05-10,24.25,24.25,24.0,24.2,3400.0
1995-05-12,24.05,24.05,20.0,20.0,1000.0
1995-05-16,22.0,22.0,22.0,22.0,100.0
1995-05-17,24.0,24.0,24.0,24.0,900.0
1995-05-18,24.0,24.25,23.5,24.05,5400.0
1995-05-19,24.5,24.5,24.25,24.25,5300.0
1995-05-22,24.5,24.5,24.25,24.25,600.0
1995-05-23,24.2,24.2,24.2,24.2,100.0
1995-05-24,24.0,24.5,24.0,24.0,2000.0
1995-05-26,23.5,23.5,23.5,23.5,500.0
1995-05-29,24.0,24.25,24.0,24.0,1300.0
1995-05-30,24.25,24.25,24.0,24.0,3500.0
1995-05-31,24.2,24.2,24.2,24.2,600.0
1995-06-01,24.0,24.0,23.5,23.5,700.0
1995-06-02,24.05,24.05,23.0,23.5,1800.0
1995-06-05,23.5,23.5,23.5,23.5,700.0
1995-06-06,23.5,23.5,23.5,23.5,900.0
1995-06-07,23.5,24.0,23.5,24.0,400.0
1995-06-08,24.25,24.25,22.5,22.5,1100.0
1995-06-09,22.0,22.5,22.0,22.5,400.0
1995-06-12,23.0,23.0,22.25,22.25,1400.0
1995-06-13,22.0,22.0,20.25,20.25,600.0
1995-06-14,20.5,22.0,20.5,22.0,600.0
1995-06-15,20.75,20.75,20.75,20.75,100.0
1995-06-16,20.5,20.5,20.5,20.5,500.0
1995-06-19,20.5,20.5,20.0,20.0,500.0
1995-06-20,20.95,20.95,20.95,20.95,200.0
1995-06-21,21.0,21.0,20.75,20.75,1600.0
1995-06-22,21.5,22.0,21.5,21.5,300.0
1995-06-23,21.25,21.25,21.25,21.25,100.0
1995-06-27,20.0,20.0,20.0,20.0,800.0
1995-06-28,21.0,21.0,20.0,21.0,1000.0
1995-06-29,20.05,20.05,20.0,20.0,600.0
1995-06-30,19.0,19.0,17.5,18.5,1100.0
1995-07-03,18.0,18.0,18.0,18.0,800.0
1995-07-05,16.5,16.5,16.0,16.0,1400.0
1995-07-10,17.0,17.0,17.0,17.0,700.0
1995-07-11,17.0,17.0,16.5,16.5,4200.0
1995-07-12,17.0,17.5,17.0,17.25,800.0
1995-07-13,17.5,17.5,16.0,16.0,2900.0
1995-07-14,17.0,17.5,17.0,17.5,1600.0
1995-07-17,17.5,17.5,17.5,17.5,600.0
1995-07-18,17.5,18.5,17.5,17.7,3300.0
1995-07-19,18.5,20.5,17.5,17.7,2800.0
1995-07-20,18.6,18.6,17.5,17.5,2500.0
1995-07-21,18.0,18.0,16.25,16.25,5500.0
1995-07-24,17.6,17.75,17.25,17.4,3800.0
1995-07-25,17.5,17.75,16.5,17.65,12100.0
1995-07-26,17.0,17.0,16.0,16.0,8800.0
1995-07-27,16.5,17.0,16.0,16.15,5100.0
1995-07-28,16.0,16.5,15.0,15.5,2100.0
1995-07-31,15.5,15.5,14.5,15.0,4300.0
1995-08-01,14.0,15.25,14.0,15.0,3600.0
1995-08-03,15.0,15.5,14.25,15.25,2800.0
1995-08-11,13.5,16.5,13.5,16.25,4500.0
1995-08-14,15.25,16.0,15.25,16.0,1900.0
1995-08-16,16.5,17.2,16.5,17.2,5200.0
1995-08-17,18.0,19.0,17.0,18.7,3200.0
1995-08-18,17.55,18.5,17.5,18.5,800.0
1995-08-21,17.55,17.55,17.5,17.5,2900.0
1995-08-22,17.0,17.0,16.75,16.9,2800.0
1995-08-23,17.0,17.0,16.25,16.45,2000.0
1995-08-24,16.5,16.5,16.25,16.25,1600.0
1995-08-25,16.45,16.5,16.25,16.25,400.0
1995-08-28,16.5,16.5,16.3,16.3,1200.0
1995-08-30,16.3,16.3,16.3,16.3,100.0
1995-09-05,15.5,15.5,15.0,15.0,1400.0
1995-09-11,14.0,14.0,14.0,14.0,100.0
1995-09-12,15.0,15.0,15.0,15.0,100.0
1995-09-13,15.55,16.0,15.5,16.0,700.0
1995-09-14,16.0,16.0,15.75,15.75,200.0
1995-09-15,16.0,16.0,16.0,16.0,100.0
1995-09-18,16.25,16.25,16.0,16.0,300.0
1995-09-19,16.0,16.0,16.0,16.0,200.0
1995-09-22,17.0,17.0,14.75,14.75,600.0
1995-09-26,14.75,14.75,14.55,14.55,600.0
1995-10-11,15.25,15.6,15.25,15.6,1400.0
1995-10-12,15.6,15.6,15.6,15.6,500.0
1995-10-13,15.6,15.6,15.6,15.6,200.0
1995-10-16,16.0,16.0,15.65,15.65,1300.0
1995-10-17,15.5,15.75,15.5,15.75,700.0
1995-10-19,15.3,15.3,15.3,15.3,100.0
1995-10-20,15.75,15.75,15.3,15.3,2700.0
1995-10-26,16.0,16.0,16.0,16.0,500.0
1995-10-27,15.5,15.5,15.5,15.5,400.0
1995-10-30,14.1,15.0,14.05,15.0,500.0
1995-10-31,14.5,14.95,14.0,14.25,2500.0
1995-11-01,14.25,14.25,14.25,14.25,700.0
1995-11-10,13.95,14.0,13.95,14.0,900.0
1995-11-13,13.25,13.25,13.0,13.0,600.0
1995-11-14,12.5,12.5,12.5,12.5,1000.0
1995-11-15,12.5,12.5,11.5,12.5,1600.0
1995-11-16,12.5,12.75,12.25,12.3,4000.0
1995-11-17,12.3,13.0,12.25,12.5,600.0
1995-11-20,12.4,12.5,12.0,12.0,800.0
1995-11-21,12.25,12.25,11.75,11.75,2200.0
1995-11-22,11.75,11.75,11.0,11.4,3000.0
1995-11-23,12.25,12.25,11.0,11.2,700.0
1995-11-24,11.2,11.75,11.0,11.0,3400.0
1995-11-27,12.0,12.0,11.4,11.45,400.0
1995-11-28,11.5,11.5,11.4,11.5,2600.0
1995-11-29,11.5,12.5,11.5,11.5,2600.0
1995-11-30,11.5,11.5,11.1,11.5,2900.0
1995-12-01,11.5,12.0,11.5,12.0,1100.0
1995-12-08,11.75,11.9,11.2,11.9,4900.0
1995-12-11,11.5,11.5,11.0,11.0,5700.0
1995-12-12,11.1,11.5,11.0,11.15,7500.0
1995-12-13,11.0,11.25,11.0,11.0,2900.0
1995-12-14,11.0,11.1,10.5,10.85,2200.0
1995-12-15,11.0,11.0,11.0,11.0,1700.0
1995-12-18,10.1,10.5,10.1,10.5,600.0
1995-12-19,10.5,10.5,10.0,10.25,2700.0
1995-12-20,10.5,10.5,10.0,10.0,4200.0
1995-12-21,10.0,10.1,10.0,10.1,6600.0
1995-12-22,10.25,10.25,9.75,9.9,6900.0
1995-12-26,10.1,10.3,10.0,10.3,1400.0
1995-12-27,10.1,10.1,10.1,10.1,800.0
1995-12-28,10.1,10.5,10.0,10.0,2200.0
1995-12-29,10.1,10.1,10.0,10.0,600.0
1996-01-01,10.0,10.0,10.0,10.0,100.0
1996-01-02,10.0,10.5,10.0,10.0,1000.0
1996-01-09,9.8,9.8,9.05,9.4,900.0
1996-01-10,9.4,10.0,9.4,10.0,300.0
1996-01-11,10.0,10.0,9.75,10.0,2900.0
1996-01-12,10.0,10.0,10.0,10.0,700.0
1996-01-15,10.0,10.1,10.0,10.1,600.0
1996-01-16,9.65,9.65,9.2,9.2,1100.0
1996-01-17,10.0,10.0,9.65,9.8,400.0
1996-01-18,9.95,9.95,9.05,9.7,2500.0
1996-01-19,9.35,9.85,9.15,9.35,5100.0
1996-01-22,9.35,9.35,8.95,8.95,2300.0
1996-01-23,8.95,8.75,8.4,8.45,700.0
1996-01-24,8.5,8.5,8.5,8.5,100.0
1996-01-25,8.5,8.5,8.5,8.5,500.0
1996-01-29,8.5,8.5,7.65,7.65,700.0
1996-01-30,8.0,8.4,8.0,8.35,1200.0
1996-01-31,8.9,9.15,8.9,8.9,1100.0
1996-02-02,9.3,9.35,9.3,9.35,1500.0
1996-02-12,8.4,9.0,8.4,8.75,3200.0
1996-02-13,8.75,8.7,8.45,8.5,3400.0
1996-02-14,8.75,8.75,8.0,8.0,3900.0
1996-02-15,8.0,8.75,8.25,8.75,3600.0
1996-02-16,8.5,8.5,8.3,8.4,3400.0
1996-02-19,8.4,9.2,8.5,8.5,1300.0
1996-02-20,8.5,9.25,8.5,8.7,3400.0
1996-02-22,9.1,9.1,8.55,9.1,3000.0
1996-02-23,9.0,9.0,8.5,8.5,1000.0
1996-02-26,8.5,9.25,8.75,9.0,2900.0
1996-02-27,9.0,8.75,8.5,8.5,800.0
1996-02-28,8.5,9.0,8.25,8.9,1800.0
1996-02-29,8.6,8.6,8.4,8.6,800.0
1996-03-01,8.6,8.6,8.6,8.6,200.0
1996-03-11,8.5,8.5,7.25,7.25,5700.0
1996-03-12,8.0,8.0,7.25,7.25,1100.0
1996-03-13,7.25,7.25,7.25,7.25,600.0
1996-03-14,7.1,7.1,7.0,7.0,800.0
1996-03-15,6.95,6.95,6.5,6.5,400.0
1996-03-18,6.5,6.65,6.5,6.5,1400.0
1996-03-21,6.75,7.1,6.75,7.1,400.0
1996-03-22,7.1,7.15,6.7,7.0,1000.0
1996-03-25,6.5,6.55,6.5,6.5,2100.0
1996-03-26,6.6,7.0,6.5,6.8,2400.0
1996-03-27,6.6,6.75,6.6,6.75,300.0
1996-03-28,6.75,6.95,6.25,6.95,300.0
1996-03-29,6.6,6.6,6.25,6.5,3400.0
1996-04-01,6.5,6.5,6.5,6.5,100.0
1996-04-02,6.25,6.5,6.25,6.5,1100.0
1996-04-03,6.5,6.5,6.25,6.5,1000.0
1996-04-04,6.25,6.75,6.25,6.75,800.0
1996-04-08,7.0,7.0,6.5,6.6,1500.0
1996-04-09,6.6,7.0,6.5,6.8,1400.0
1996-04-10,7.3,7.3,7.1,7.1,600.0
1996-04-11,7.15,7.7,7.05,7.1,1400.0
1996-04-15,7.25,7.25,7.25,7.25,100.0
1996-04-16,7.25,7.55,7.25,7.5,1600.0
1996-04-18,8.0,8.0,8.0,8.0,100.0
1996-04-19,8.1,8.1,8.1,8.1,1000.0
1996-04-22,8.35,8.35,8.25,8.3,400.0
1996-04-23,8.3,8.2,7.55,8.2,400.0
1996-04-25,8.0,8.0,8.0,8.0,1600.0
1996-04-26,8.0,8.0,7.5,7.5,2200.0
1996-04-29,7.9,7.9,7.75,7.75,2500.0
1996-04-30,7.75,8.5,7.05,7.05,600.0
1996-05-01,7.05,7.5,7.15,7.45,400.0
1996-05-02,7.5,7.5,7.1,7.3,2200.0
1996-05-03,7.0,7.25,7.0,7.2,1100.0
1996-05-06,7.45,7.5,7.4,7.5,400.0
1996-05-07,7.0,8.0,7.0,7.9,1000.0
1996-05-09,7.2,7.6,7.2,7.6,200.0
1996-05-10,7.15,7.6,7.05,7.6,1800.0
1996-05-13,7.6,7.75,7.0,7.4,1500.0
1996-05-14,7.4,7.4,6.85,6.85,1900.0
1996-05-15,6.65,6.75,6.65,6.75,500.0
1996-05-16,6.75,7.0,6.75,6.75,800.0
1996-05-17,6.75,7.25,7.0,7.25,2500.0
1996-05-20,7.25,7.25,7.0,7.0,900.0
1996-05-21,7.25,7.25,7.0,7.0,1500.0
1996-05-22,6.8,7.15,6.8,7.15,400.0
1996-05-23,7.0,7.1,6.5,7.0,600.0
1996-05-24,7.0,7.0,6.9,6.9,900.0
1996-05-27,6.9,6.8,6.8,6.8,500.0
1996-05-28,6.8,6.75,6.75,6.75,400.0
1996-05-29,6.75,6.75,6.75,6.75,100.0
1996-05-30,6.75,6.5,6.5,6.5,300.0
1996-05-31,6.5,7.0,6.5,7.0,300.0
1996-06-03,6.6,6.6,6.6,6.6,400.0
1996-06-04,7.0,7.0,7.0,7.0,200.0
1996-06-05,6.5,6.95,6.5,6.95,1000.0
1996-06-06,6.4,6.4,6.25,6.3,1300.0
1996-06-07,5.75,6.0,5.75,5.75,600.0
1996-06-10,6.15,6.15,5.75,5.8,2800.0
1996-06-11,5.8,5.8,5.25,5.25,900.0
1996-06-12,5.25,5.25,4.75,4.95,7600.0
1996-06-13,5.0,5.0,4.9,5.0,2000.0
1996-06-14,5.45,5.45,4.95,5.0,7600.0
1996-06-17,5.0,5.25,4.95,5.0,10000.0
1996-06-18,5.5,5.5,4.9,5.0,7500.0
1996-06-19,5.15,5.15,5.0,5.0,8000.0
1996-06-20,5.0,5.0,4.9,5.0,5900.0
1996-06-21,5.45,5.5,4.6,4.6,9500.0
1996-06-24,4.75,5.0,4.75,5.0,3900.0
1996-06-25,5.0,5.0,4.75,4.75,6100.0
1996-06-26,5.0,5.0,4.25,4.25,1700.0
1996-06-27,4.25,4.5,4.25,4.5,700.0
1996-06-28,4.85,4.85,4.5,4.5,9000.0
1996-07-01,4.85,4.85,4.45,4.45,6000.0
1996-07-02,4.0,4.5,4.0,4.4,3300.0
1996-07-03,4.45,4.45,4.15,4.2,2700.0
1996-07-05,4.5,4.5,4.45,4.45,400.0
1996-07-08,4.5,4.5,4.2,4.2,2800.0
1996-07-09,4.5,4.65,4.45,4.45,3100.0
1996-07-10,4.45,4.5,4.0,4.4,2600.0
