Date,O,H,L,C,V
2010-12-20,101.0,101.0,15.0,19.65,9875059
2010-12-21,20.65,20.65,18.7,20.65,817692
2010-12-22,21.7,21.7,21.7,21.7,571687
2010-12-23,22.8,22.8,22.0,22.8,1969630
2010-12-24,23.95,23.95,23.1,23.95,1433621
2010-12-27,25.15,25.15,25.15,25.15,1009625
2010-12-28,26.45,26.45,26.45,26.45,865744
2010-12-29,27.8,27.8,25.15,27.8,3023202
2010-12-30,29.2,29.2,26.45,26.5,1778647
2010-12-31,27.4,27.85,25.2,27.5,1139990
2011-01-03,28.7,32.3,28.5,29.6,5444968
2011-01-04,30.2,31.3,28.2,29.05,2526893
2011-01-05,29.85,29.9,27.0,27.35,1951376
2011-01-06,27.5,27.7,25.25,25.6,2451459
2011-01-07,25.1,26.7,24.4,24.65,2768950
2011-01-10,25.25,27.55,24.75,25.55,2282175
2011-01-11,25.95,27.3,25.1,25.5,1882873
2011-01-12,26.0,26.4,25.0,25.85,1523678
2011-01-13,26.6,26.7,24.1,24.75,2000289
2011-01-14,25.0,25.0,22.7,23.0,1356532
2011-01-17,23.4,23.5,21.6,21.85,1194009
2011-01-18,22.0,24.7,20.6,23.8,4052520
2011-01-19,24.9,27.4,23.2,26.8,4370060
2011-01-20,26.05,26.85,25.5,25.75,2380214
2011-01-21,25.8,27.5,25.5,26.5,2296261
2011-01-24,26.9,27.2,26.0,26.25,952947
2011-01-25,26.65,27.2,25.7,26.05,1005530
2011-01-27,26.0,26.5,24.35,24.7,1710524
2011-01-28,25.05,25.05,22.8,23.3,1124568
2011-01-31,22.75,23.05,21.7,22.65,1554288
2011-02-01,23.0,23.0,21.65,21.85,1122535
2011-02-02,22.1,23.2,21.65,22.0,1274131
2011-02-03,22.5,22.7,21.7,22.3,753180
2011-02-04,22.1,23.2,21.65,21.9,929844
2011-02-07,22.3,22.75,21.8,21.9,619647
2011-02-08,22.0,22.15,20.25,20.45,823412
2011-02-09,20.5,20.7,18.45,18.7,2006148
2011-02-10,18.7,19.1,18.0,18.45,964148
2011-02-11,18.95,21.7,18.3,21.15,1449275
2011-02-14,21.5,22.4,21.35,22.2,788321
2011-02-15,22.0,22.45,21.3,21.5,737774
2011-02-16,21.6,21.8,21.1,21.2,563248
2011-02-17,21.5,25.45,21.3,25.45,5776640
2011-02-18,25.6,26.7,23.3,23.6,4332300
2011-02-21,23.7,24.0,21.65,23.75,2391916
2011-02-22,23.8,25.6,23.15,24.65,3572298
2011-02-23,24.7,25.9,24.45,24.65,1773189
2011-02-24,24.5,24.95,22.8,23.1,1595577
2011-02-25,23.95,24.0,22.6,23.25,1260177
