Date,TTL_TRD_QNTY,NO_OF_TRADES,QTY_PER_TRADE,DELIV_QTY
2019-09-30,29459,372,79.19,14218
2019-10-01,29683,573,51.8,17610
2019-10-03,24437,329,74.28,10136
2019-10-04,45772,920,49.75,28207
2019-10-07,32552,447,72.82,22453
2019-10-09,33681,657,51.26,23735
2019-10-10,17434,223,78.18,12117
2019-10-11,19035,213,89.37,7617
2019-10-14,35859,344,104.24,26143
2019-10-15,14693,156,94.19,10537
2019-10-16,16738,142,117.87,13495
2019-10-17,15825,219,72.26,6384
2019-10-18,13667,183,74.68,10042
2019-10-22,22434,423,53.04,9915
2019-10-23,13018,172,75.69,9649
2019-10-24,7191,115,62.53,5702
2019-10-25,59862,362,165.36,46083
2019-10-29,45009,252,178.61,42345
2019-10-30,79468,1019,77.99,36479
2019-10-31,59741,581,102.82,44835
2019-11-01,39480,289,136.61,31741
2019-11-04,30798,319,96.55,20663
2019-11-05,169093,1460,115.82,105050
2019-11-06,329396,2569,128.22,177487
2019-11-07,66392,561,118.35,43188
2019-11-08,101367,886,114.41,61245
2019-11-11,25870,348,74.34,16792
2019-11-13,31886,504,63.27,18317
2019-11-14,24275,566,42.89,19002
2019-11-15,18102,233,77.69,14217
2019-11-18,43425,492,88.26,32300
2019-11-19,45243,381,118.75,32083
2019-11-20,15616,298,52.4,8993
2019-11-21,37922,419,90.51,26726
2019-11-22,48791,535,91.2,35334
2019-11-25,18473,262,70.51,14613
2019-11-26,20516,344,59.64,8062
2019-11-27,61280,380,161.26,49274
2019-11-28,25836,464,55.68,7909
2019-11-29,37909,621,61.05,16359
2019-12-02,23479,232,101.2,11404
2019-12-03,10724,263,40.78,5924
2019-12-04,39382,557,70.7,17350
2019-12-05,15464,203,76.18,5502
2019-12-06,14291,208,68.71,5854
2019-12-09,9555,188,50.82,4633
2019-12-10,31818,292,108.97,20919
2019-12-11,20018,305,65.63,10422
2019-12-12,11755,282,41.68,5688
2019-12-13,19111,360,53.09,10477
2019-12-16,9268,301,30.79,6034
2019-12-17,15159,398,38.09,9495
2019-12-18,13814,112,123.34,7995
