Date,TTL_TRD_QNTY,NO_OF_TRADES,QTY_PER_TRADE,DELIV_QTY
2019-09-30,90838,719,126.34,45675
2019-10-01,1212,49,24.73,1160
2019-10-03,2290,104,22.02,1538
2019-10-04,3514,53,66.3,2475
2019-10-07,1125,22,51.14,664
2019-10-09,3555,155,22.94,2766
2019-10-10,1384,97,14.27,847
2019-10-11,2145,68,31.54,1922
2019-10-14,4414,124,35.6,3587
2019-10-15,5215,46,113.37,3549
2019-10-16,3344,248,13.48,2267
2019-10-17,2928,155,18.89,1884
2019-10-18,4992,89,56.09,3265
2019-10-22,3992,158,25.27,2762
2019-10-23,2561,80,32.01,1966
2019-10-24,4032,303,13.31,2764
2019-10-25,1052,63,16.7,623
2019-10-29,6752,241,28.02,4054
2019-10-30,1457,97,15.02,1316
2019-10-31,10477,201,52.12,8671
2019-11-01,7534,222,33.94,5764
2019-11-04,1557,75,20.76,1125
2019-11-05,5361,337,15.91,4795
2019-11-06,6078,154,39.47,5378
2019-11-07,7150,120,59.58,5125
2019-11-08,4421,129,34.27,3203
2019-11-11,1716,69,24.87,1175
2019-11-13,8678,171,50.75,5483
2019-11-14,5352,230,23.27,4228
2019-11-15,10492,252,41.63,6950
2019-11-18,4220,278,15.18,1867
2019-11-19,1088,70,15.54,403
2019-11-20,4079,211,19.33,3245
2019-11-21,5061,200,25.3,3815
2019-11-22,3884,127,30.58,2829
2019-11-25,2343,91,25.75,1468
2019-11-26,1180,42,28.1,842
2019-11-27,8555,329,26.0,5907
2019-11-28,4022,168,23.94,3342
2019-11-29,8286,202,41.02,6351
2019-12-02,9872,604,16.34,5751
2019-12-03,4931,193,25.55,3484
2019-12-04,1818,75,24.24,1513
2019-12-05,2162,103,20.99,1260
2019-12-06,1303,61,21.36,911
2019-12-09,2070,104,19.9,1646
2019-12-10,6379,201,31.74,5904
2019-12-11,4872,206,23.65,2436
2019-12-12,1757,120,14.64,1418
2019-12-13,5404,247,21.88,3813
2019-12-16,3797,86,44.15,1701
2019-12-17,6050,80,75.62,2902
2019-12-18,4216,239,17.64,3175
2019-12-19,2470,161,15.34,1219
