Date,TTL_TRD_QNTY,NO_OF_TRADES,QTY_PER_TRADE,DELIV_QTY
2019-09-30,11799,79,149.35,8350
2019-10-01,17996,46,391.22,17896
2019-10-03,4859,42,115.69,4459
2019-10-04,17036,62,274.77,16225
2019-10-07,14239,43,331.14,12439
2019-10-09,1292,10,129.2,1267
2019-10-10,8732,57,153.19,8519
2019-10-11,6281,45,139.58,5265
2019-10-14,14133,50,282.66,8218
2019-10-15,23964,98,244.53,20860
2019-10-16,40563,149,272.23,35728
2019-10-17,21638,64,338.09,18704
2019-10-18,4973,39,127.51,4351
2019-10-22,11455,43,266.4,7669
2019-10-23,7025,38,184.87,5012
2019-10-24,6130,109,56.24,5247
2019-10-25,6757,21,321.76,5717
2019-10-29,4707,15,313.8,3707
2019-10-30,931,5,186.2,931
2019-10-31,1488,7,212.57,1488
2019-11-01,26517,18,1473.17,26517
2019-11-04,3305,5,661.0,3305
2019-11-05,64034,111,576.88,50820
2019-11-06,6313,39,161.87,6069
2019-11-07,3261,26,125.42,2411
2019-11-08,5259,18,292.17,4930
2019-11-11,2953,14,210.93,1780
2019-11-13,5509,13,423.77,5509
2019-11-14,10079,34,296.44,10069
2019-11-15,15928,21,758.48,10823
2019-11-18,83901,169,496.46,59048
2019-11-19,28015,124,225.93,19759
2019-11-20,10814,60,180.23,8148
2019-11-21,3415,18,189.72,2911
2019-11-22,8704,18,483.56,6604
2019-11-25,4499,45,99.98,3534
2019-11-26,18253,106,172.2,15371
2019-11-27,14853,38,390.87,13349
2019-11-28,53990,68,793.97,50120
2019-11-29,6623,18,367.94,6350
2019-12-02,13447,50,268.94,12061
2019-12-03,31309,24,1304.54,30308
2019-12-04,12227,55,222.31,10793
2019-12-05,5217,18,289.83,4717
2019-12-06,2157,13,165.92,2157
2019-12-09,1602,9,178.0,1602
2019-12-10,1191,6,198.5,1191
2019-12-11,4403,18,244.61,4303
2019-12-12,2369,14,169.21,1359
2019-12-13,13745,43,319.65,8921
2019-12-16,6455,25,258.2,5263
2019-12-17,534,13,41.08,534
2019-12-18,1993,11,181.18,1993
2019-12-19,18827,39,482.74,14780
2019-12-20,19485,50,389.7,16473
2019-12-23,23235,41,566.71,16710
2019-12-24,14174,37,383.08,14065
2019-12-26,38979,78,499.73,32355
2019-12-27,18945,106,178.73,14312
2019-12-30,29326,189,155.16,24085
2019-12-31,11011,75,146.81,9096
2020-01-01,34356,59,582.31,24275
2020-01-02,23809,32,744.03,19931
2020-01-03,25196,124,203.19,18898
2020-01-06,19369,36,538.03,16168
2020-01-07,23643,29,815.28,14431
2020-01-08,11386,29,392.62,8386
2020-01-09,12240,38,322.11,8802
2020-01-10,8915,60,148.58,7917
2020-01-13,1723,30,57.43,1271
2020-01-14,8511,37,230.03,7353
