Date,TTL_TRD_QNTY,NO_OF_TRADES,QTY_PER_TRADE,DELIV_QTY
2020-07-13,8015,15,534.33,8015
2020-07-14,20540,36,570.56,20540
2020-07-15,24441,28,872.89,24441
2020-07-16,2649,13,203.77,2649
2020-07-17,10345,20,517.25,10345
2020-07-20,3960,11,360.0,3960
2020-07-21,7467,16,466.69,7467
2020-07-22,1796,11,163.27,1796
2020-07-23,7457,28,266.32,7457
2020-07-24,904,5,180.8,904
2020-07-27,137,3,45.67,137
2020-07-28,3022,4,755.5,3022
2020-07-29,130,3,43.33,130
2020-07-30,1,1,1.0,1
2020-07-31,458,3,152.67,458
2020-08-03,1570,15,104.67,1570
2020-08-04,10993,13,845.62,10993
2020-08-05,3193,8,399.12,3193
2020-08-06,12341,15,822.73,12341
2020-08-07,317,10,31.7,317
2020-08-10,1410,4,352.5,1410
2020-08-11,3594,8,449.25,3594
2020-08-12,924,10,92.4,924
2020-08-13,1100,5,220.0,1100
2020-08-14,1003,4,250.75,1003
2020-08-17,6368,10,636.8,6368
2020-08-18,532,41,12.98,532
2020-08-19,2020,5,404.0,2018
2020-08-20,2451,6,408.5,2451
2020-08-21,6400,6,1066.67,6400
2020-08-24,10509,7,1501.29,10509
2020-08-25,904,8,113.0,904
2020-08-26,340,3,113.33,340
2020-08-27,356,5,71.2,356
2020-08-28,3005,4,751.25,3005
2020-08-31,4500,8,562.5,4500
2020-09-01,364,3,121.33,364
2020-09-02,204,2,102.0,204
2020-09-03,4208,5,841.6,4208
2020-09-04,4859,8,607.38,4859
2020-09-07,400,1,400.0,400
2020-09-08,1650,4,412.5,1650
2020-09-09,3233,4,808.25,3233
2020-09-10,21080,26,810.77,21080
2020-09-11,7801,24,325.04,7801
2020-09-14,6377,10,637.7,6377
2020-09-15,1100,4,275.0,1100
2020-09-16,82176,77,1067.22,82176
2020-09-17,458,6,76.33,458
2020-09-18,11721,41,285.88,11721
2020-09-21,11015,17,647.94,11015
2020-09-22,4407,9,489.67,4407
2020-09-23,12368,7,1766.86,12368
2020-09-24,23253,60,387.55,23253
2020-09-25,16344,69,236.87,16344
2020-09-29,4488,23,195.13,4488
2020-09-30,1333,17,78.41,1333
2020-10-01,8757,21,417.0,8757
2020-10-05,14905,31,480.81,14905
2020-10-06,12925,24,538.54,12925
2020-10-07,41851,155,270.01,41851
2020-10-08,40643,89,456.66,40643
2020-10-09,22638,78,290.23,22638
2020-10-12,11894,60,198.23,11894
2020-10-13,18262,21,869.62,18262
2020-10-14,5054,28,180.5,5054
2020-10-15,10853,36,301.47,10853
2020-10-16,18956,46,412.09,18956
2020-10-19,12815,20,640.75,12815
2020-10-20,2574,19,135.47,2574
2020-10-21,7503,38,197.45,7503
2020-10-22,156,6,26.0,156
2020-10-23,16082,14,1148.71,16082
2020-10-26,7500,7,1071.43,7500
2020-10-27,6158,19,324.11,6158
2020-10-28,582,6,97.0,582
2020-10-29,2461,11,223.73,2461
2020-10-30,12551,28,448.25,12551
2020-11-02,14667,20,733.35,14667
2020-11-03,8361,18,464.5,8361
2020-11-04,2015,4,503.75,2015
2020-11-05,1871,17,110.06,1871
2020-11-06,1910,16,119.38,1910
2020-11-09,2195,12,182.92,2195
2020-11-10,19975,77,259.42,16999
2020-11-11,4721,11,429.18,4021
2020-11-12,1808,29,62.34,1570
2020-11-13,4322,49,88.2,4211
2020-11-17,6301,48,131.27,4996
2020-11-18,2349,24,97.88,1519
2020-11-19,30107,39,771.97,18934
2020-11-20,8021,54,148.54,6588
2020-11-23,5985,65,92.08,4166
2020-11-24,11410,32,356.56,8883
2020-11-25,6371,24,265.46,6371
2020-11-26,9892,29,341.1,7143
2020-11-27,10415,43,242.21,9194
2020-12-01,7873,21,374.9,6486
2020-12-02,4216,53,79.55,2513
2020-12-03,7131,32,222.84,5206
2020-12-04,4080,37,110.27,3512
2020-12-07,23726,455,52.15,17500
2020-12-08,16656,79,210.84,15515
2020-12-09,10225,85,120.29,7919
2020-12-10,19597,452,43.36,17183
2020-12-11,14669,64,229.2,11596
2020-12-14,19466,67,290.54,16385
2020-12-15,9690,97,99.9,7083
2020-12-16,12234,79,154.86,9740
2020-12-17,2783,79,35.23,2079
2020-12-18,8815,62,142.18,6483
2020-12-21,37114,147,252.48,20408
2020-12-22,20812,56,371.64,13886
2020-12-23,45009,201,223.93,39098
2020-12-24,68915,80,861.44,68915
2020-12-28,33682,74,455.16,25969
2020-12-29,93195,307,303.57,80687
2020-12-30,129059,202,638.91,118527
2020-12-31,143192,705,203.11,135546
2021-01-01,99276,246,403.56,64772
2021-01-04,105445,278,379.3,60412
2021-01-05,66997,129,519.36,49161
2021-01-06,76466,146,523.74,61642
2021-01-07,58404,141,414.21,47933
