Date,TTL_TRD_QNTY,NO_OF_TRADES,QTY_PER_TRADE,DELIV_QTY
2019-09-30,26332,624,42.2,4234
2019-10-01,36538,487,75.03,36538
2019-10-03,48912,643,76.07,48912
2019-10-04,19541,451,43.33,19541
2019-10-07,43836,488,89.83,43836
2019-10-09,32662,437,74.74,32662
2019-10-10,22614,295,76.66,22614
2019-10-11,14480,429,33.75,14480
2019-10-14,52200,622,83.92,52200
2019-10-15,45765,464,98.63,45765
2019-10-16,30540,485,62.97,30540
2019-10-17,77710,1230,63.18,77710
2019-10-18,29638,458,64.71,29638
2019-10-22,36059,658,54.8,36059
2019-10-23,24710,482,51.27,24710
2019-10-24,21966,386,56.91,21966
2019-10-25,18016,345,52.22,18016
2019-10-29,25971,543,47.83,25971
2019-10-30,19564,415,47.14,19564
2019-10-31,29716,553,53.74,29716
2019-11-01,25345,394,64.33,25345
2019-11-04,135284,868,155.86,135284
2019-11-05,33006,398,82.93,33006
2019-11-06,45790,559,81.91,45790
2019-11-07,95731,497,192.62,95731
2019-11-08,71370,550,129.76,71370
2019-11-11,25340,328,77.26,25340
2019-11-13,61579,443,139.0,61579
2019-11-14,75908,535,141.88,75908
2019-11-15,117760,619,190.24,117760
2019-11-18,96944,408,237.61,96944
2019-11-19,117467,433,271.29,117467
2019-11-20,189911,859,221.08,189911
2019-11-21,48646,442,110.06,48646
2019-11-22,28683,397,72.25,28683
2019-11-25,34980,438,79.86,34980
2019-11-26,21497,322,66.76,21497
2019-11-27,14702,207,71.02,14702
2019-11-28,8739,190,45.99,8739
2019-11-29,19613,218,89.97,19613
2019-12-02,34792,244,142.59,34792
2019-12-03,10327,146,70.73,10327
2019-12-04,7558,267,28.31,7558
2019-12-05,30620,207,147.92,30620
2019-12-06,18495,214,86.43,18495
2019-12-09,9918,82,120.95,9918
2019-12-10,29169,240,121.54,22467
2019-12-11,15499,258,60.07,12638
2019-12-12,14999,232,64.65,10698
2019-12-13,22393,363,61.69,14313
2019-12-16,32560,2547,12.78,18813
2019-12-17,14804,217,68.22,7238
2019-12-18,11494,511,22.49,8157
2019-12-19,12070,961,12.56,8935
2019-12-20,13361,454,29.43,8544
2019-12-23,10582,179,59.12,5969
2019-12-24,40606,627,64.76,29488
2019-12-26,40636,333,122.03,27658
2019-12-27,19135,83,230.54,19135
2019-12-30,142913,2026,70.54,61400
2019-12-31,174291,1115,156.31,97882
2020-01-01,141271,602,234.67,59770
2020-01-02,64151,577,111.18,43433
2020-01-03,38310,398,96.26,25363
2020-01-06,50135,279,179.7,39166
2020-01-07,57809,352,164.23,21370
2020-01-08,41084,300,136.95,19824
2020-01-09,46930,305,153.87,29573
2020-01-10,25052,132,189.79,25042
2020-01-13,74908,717,104.47,61617
2020-01-14,148226,696,212.97,119250
2020-01-15,124746,1154,108.1,51671
2020-01-16,282666,2099,134.67,152793
2020-01-17,73430,709,103.57,47990
2020-01-20,78208,343,228.01,71401
2020-01-21,66362,375,176.97,53037
2020-01-22,107707,878,122.67,76453
2020-01-23,72011,513,140.37,54432
2020-01-24,93140,1032,90.25,46156
2020-01-27,32559,415,78.46,15175
2020-01-28,107329,889,120.73,67517
2020-01-29,29181,415,70.32,17670
2020-01-30,12277,191,64.28,7555
2020-01-31,17167,169,101.58,11055
2020-02-03,16867,396,42.59,10637
2020-02-04,35469,328,108.14,14163
2020-02-05,21006,253,83.03,12590
2020-02-06,29203,323,90.41,17430
2020-02-07,33793,396,85.34,16899
2020-02-10,22557,371,60.8,14135
2020-02-11,18065,284,63.61,11242
2020-02-12,9227,137,67.35,6813
2020-02-13,36075,538,67.05,17475
2020-02-14,28983,363,79.84,19863
2020-02-17,159592,1473,108.34,92462
2020-02-18,570479,2755,207.07,210619
2020-02-19,872268,4925,177.11,279191
2020-02-20,175366,836,209.77,106812
2020-02-24,5296,60,88.27,5296
2020-02-25,71034,304,233.66,44139
2020-02-26,108362,527,205.62,43082
2020-02-27,37536,188,199.66,33354
2020-02-28,55246,275,200.89,44740
2020-03-02,130812,606,215.86,85537
2020-03-03,42409,427,99.32,24175
2020-03-04,17832,451,39.54,9549
2020-03-05,57221,522,109.62,27961
2020-03-06,59519,886,67.18,31566
2020-03-09,14798,222,66.66,11929
2020-03-11,52271,834,62.68,30441
2020-03-12,6850,88,77.84,6647
2020-03-13,47645,298,159.88,35864
2020-03-16,42215,635,66.48,35381
2020-03-17,25992,540,48.13,16197
2020-03-18,24827,570,43.56,21307
2020-03-19,16688,263,63.45,14409
2020-03-20,73608,803,91.67,62260
2020-03-23,8375,83,100.9,8323
2020-03-24,13507,173,78.08,12470
2020-03-25,214635,1891,113.5,161454
2020-03-26,55171,831,66.39,41655
2020-03-27,65666,1116,58.84,49242
2020-03-30,34504,397,86.91,27513
2020-03-31,11946,113,105.72,11079
2020-04-01,26935,331,81.37,20407
2020-04-03,39116,826,47.36,27207
2020-04-07,27762,340,81.65,21746
2020-04-08,20395,231,88.29,18744
2020-04-09,42869,287,149.37,37371
2020-04-15,44422,246,180.58,40635
2020-04-16,42147,393,107.24,29990
2020-04-17,37662,335,112.42,25279
2020-04-20,61738,290,212.89,48355
2020-04-21,101743,704,144.52,67574
2020-04-22,30877,189,163.37,30867
2020-04-23,7597,51,148.96,7597
2020-04-24,12499,52,240.37,12499
2020-04-27,77835,342,227.59,74565
2020-04-28,49129,325,151.17,46529
2020-04-29,14810,125,118.48,12540
2020-04-30,46039,361,127.53,45738
2020-05-04,150951,1099,137.35,130704
2020-05-05,87395,748,116.84,73411
2020-05-06,69737,333,209.42,35598
2020-05-07,85769,833,102.96,57134
2020-05-08,36803,206,178.66,26956
2020-05-11,8384,66,127.03,8384
2020-05-12,12704,162,78.42,12704
2020-05-13,11860,108,109.81,11860
2020-05-14,243697,2410,101.12,144901
2020-05-15,81876,1374,59.59,35996
2020-05-18,227691,2014,113.05,83542
2020-05-19,67949,806,84.3,35186
2020-05-20,67443,690,97.74,36441
2020-05-21,65127,689,94.52,28304
2020-05-22,66830,664,100.65,31261
