Date,TTL_TRD_QNTY,NO_OF_TRADES,QTY_PER_TRADE,DELIV_QTY
2022-03-10,250,12,20.83,245
2022-03-11,651,34,19.15,372
2022-03-14,108,7,15.43,102
2022-03-15,639,43,14.86,435
2022-03-16,263,16,16.44,42
2022-03-17,679,19,35.74,105
2022-03-21,83,32,2.59,58
2022-03-22,786,19,41.37,194
2022-03-23,60,14,4.29,37
2022-03-24,151,29,5.21,145
2022-03-25,138,14,9.86,71
2022-03-28,1349,22,61.32,1327
2022-03-29,60,17,3.53,42
2022-03-30,49,18,2.72,29
2022-03-31,45,29,1.55,30
2022-04-01,33,15,2.2,22
2022-04-04,1622,23,70.52,1616
2022-04-05,463,31,14.94,276
2022-04-06,316,34,9.29,283
2022-04-07,317,29,10.93,80
2022-04-08,1201,45,26.69,628
2022-04-11,1109,60,18.48,419
2022-04-12,61,27,2.26,56
2022-04-13,2681,36,74.47,456
2022-04-18,422,50,8.44,348
2022-04-19,991,44,22.52,54
2022-04-20,114,47,2.43,85
2022-04-21,504,47,10.72,266
2022-04-22,178,55,3.24,131
2022-04-25,1184,85,13.93,1086
2022-04-26,284,60,4.73,104
2022-04-27,1359,74,18.36,1283
2022-04-28,786,53,14.83,633
2022-04-29,109,63,1.73,73
2022-05-02,790,115,6.87,693
2022-05-04,381,86,4.43,168
2022-05-05,84,59,1.42,69
2022-05-06,116,67,1.73,82
2022-05-09,723,83,8.71,48
2022-05-10,2125,74,28.72,1060
2022-05-12,244,69,3.54,177
2022-05-13,255,57,4.47,42
2022-05-16,287,37,7.76,250
2022-05-17,113,34,3.32,77
2022-05-18,48,31,1.55,33
2022-05-19,107,30,3.57,56
2022-05-20,82,25,3.28,72
2022-05-23,87,28,3.11,72
2022-05-24,90,26,3.46,47
2022-05-25,109,20,5.45,81
2022-05-26,307,28,10.96,97
2022-05-27,19,15,1.27,6
2022-05-30,1317,37,35.59,824
2022-05-31,197,29,6.79,136
2022-06-01,386,32,12.06,337
2022-06-02,172,30,5.73,143
2022-06-03,70,20,3.5,66
2022-06-06,1317,32,41.16,708
2022-06-07,214,20,10.7,105
2022-06-08,182,16,11.38,173
2022-06-09,223,16,13.94,208
2022-06-10,76,13,5.85,68
2022-06-13,468,24,19.5,206
2022-06-14,112,12,9.33,102
2022-06-15,293,23,12.74,259
2022-06-16,8,7,1.14,6
2022-06-17,246,18,13.67,232
2022-06-20,359,41,8.76,173
2022-06-21,43,18,2.39,26
2022-06-22,65,18,3.61,31
2022-06-23,57,17,3.35,35
2022-06-24,27,8,3.38,15
2022-06-27,57,15,3.8,31
2022-06-28,9,9,1.0,1
2022-06-29,102,14,7.29,23
2022-06-30,1625,16,101.56,114
2022-07-01,3,3,1.0,1
2022-07-04,685,25,27.4,339
2022-07-05,32,7,4.57,17
2022-07-06,44,25,1.76,28
2022-07-07,49,13,3.77,31
2022-07-08,1208,18,67.11,923
2022-07-11,273,19,14.37,262
2022-07-12,122,21,5.81,79
2022-07-13,457,17,26.88,149
2022-07-14,36,12,3.0,29
2022-07-15,191,19,10.05,121
2022-07-18,89,15,5.93,30
2022-07-19,1039,8,129.88,1026
2022-07-20,15966,63,253.43,15129
2022-07-21,383,17,22.53,374
2022-07-22,1014,12,84.5,1006
2022-07-25,260,18,14.44,242
2022-07-26,1168,23,50.78,1143
2022-07-27,1209,23,52.57,1017
2022-07-28,333,8,41.62,324
2022-07-29,196,20,9.8,184
2022-08-01,6079,73,83.27,5793
2022-08-02,7137,196,36.41,6560
2022-08-03,4017,40,100.42,3979
2022-08-04,984,28,35.14,963
2022-08-05,879,21,41.86,861
2022-08-10,149,23,6.48,144
2022-08-11,2475,22,112.5,2467
2022-08-12,393,15,26.2,222
2022-08-16,218,9,24.22,103
2022-08-17,90,10,9.0,89
2022-08-18,479,26,18.42,455
2022-08-19,1151,40,28.78,1006
2022-08-22,968,38,25.47,384
2022-08-23,44,14,3.14,26
2022-08-24,1029,20,51.45,614
2022-08-25,120,11,10.91,119
2022-08-26,26,6,4.33,26
2022-08-29,137,10,13.7,126
2022-08-30,1292,33,39.15,621
2022-09-01,334,11,30.36,332
2022-09-02,101,14,7.21,98
2022-09-05,929,33,28.15,371
2022-09-06,198,14,14.14,177
2022-09-07,482,21,22.95,458
2022-09-08,2288,27,84.74,2234
2022-09-09,85,14,6.07,68
2022-09-12,341,20,17.05,253
2022-09-13,290,15,19.33,254
2022-09-14,513,23,22.3,240
2022-09-15,1959,32,61.22,1738
2022-09-16,4436,43,103.16,254
2022-09-19,2076,41,50.63,1295
2022-09-20,2707,29,93.34,2275
2022-09-21,11190,27,414.44,10048
2022-09-22,2815,20,140.75,1118
2022-09-23,368,28,13.14,318
2022-09-26,1465,35,41.86,925
2022-09-27,1127,16,70.44,1122
2022-09-28,24,8,3.0,24
2022-09-29,11506,43,267.58,9921
2022-09-30,1804,25,72.16,741
2022-10-03,261,19,13.74,144
2022-10-04,370,24,15.42,221
2022-10-06,117,16,7.31,113
2022-10-07,147,16,9.19,103
