Date,TTL_TRD_QNTY,NO_OF_TRADES,QTY_PER_TRADE,DELIV_QTY
2019-09-30,7643,1063,7.19,2991
2019-10-01,2429,512,4.74,970
2019-10-03,1752,335,5.23,781
2019-10-04,3791,414,9.16,1751
2019-10-07,2932,483,6.07,1930
2019-10-09,8217,1510,5.44,3178
2019-10-10,8945,473,18.91,3216
2019-10-11,11719,877,13.36,4754
2019-10-14,6884,542,12.7,1003
2019-10-15,8741,758,11.53,2883
2019-10-16,7626,690,11.05,4428
2019-10-17,8481,489,17.34,5415
2019-10-18,2729,309,8.83,1813
2019-10-22,6954,588,11.83,5143
2019-10-23,7774,390,19.93,4076
2019-10-24,2906,393,7.39,1531
2019-10-25,1899,220,8.63,1277
2019-10-29,3481,354,9.83,2022
2019-10-30,2336,106,22.04,2038
2019-10-31,8152,802,10.16,4755
2019-11-01,48503,462,104.98,46578
2019-11-04,20483,505,40.56,17749
2019-11-05,4262,230,18.53,2001
2019-11-06,4318,448,9.64,2569
2019-11-07,2773,206,13.46,1422
2019-11-08,4260,247,17.25,2417
2019-11-11,1996,121,16.5,1800
2019-11-13,56328,2267,24.85,14400
2019-11-14,13153,647,20.33,8916
2019-11-15,10210,1079,9.46,6149
2019-11-18,7598,806,9.43,4576
2019-11-19,5617,481,11.68,3451
2019-11-20,8394,400,20.98,6709
2019-11-21,1727,283,6.1,1070
2019-11-22,3201,353,9.07,1736
2019-11-25,2944,532,5.53,1609
2019-11-26,3719,499,7.45,2108
2019-11-27,4856,448,10.84,2174
2019-11-28,4596,915,5.02,2536
2019-11-29,2861,232,12.33,2498
2019-12-02,4447,443,10.04,3057
2019-12-03,3964,384,10.32,3296
2019-12-04,6633,767,8.65,4582
2019-12-05,4851,441,11.0,2569
2019-12-06,9333,1662,5.62,6365
2019-12-09,3701,665,5.57,2256
2019-12-10,3305,677,4.88,2056
2019-12-11,127303,7099,17.93,37111
2019-12-12,20028,1108,18.08,10964
2019-12-13,19785,1663,11.9,9495
2019-12-16,12647,1075,11.76,6044
2019-12-17,15868,1401,11.33,6784
2019-12-18,9233,943,9.79,4675
2019-12-19,9407,788,11.94,6694
2019-12-20,9898,575,17.21,6434
2019-12-23,4944,501,9.87,3413
2019-12-24,5833,458,12.74,3843
2019-12-26,6993,570,12.27,3740
2019-12-27,4151,309,13.43,1944
2019-12-30,51009,3927,12.99,19661
2019-12-31,8067,1326,6.08,5276
2020-01-01,12560,1169,10.74,7908
2020-01-02,11677,975,11.98,5107
2020-01-03,7652,487,15.71,4195
2020-01-06,26292,1908,13.78,10279
2020-01-07,5868,456,12.87,3063
2020-01-08,6824,945,7.22,3334
2020-01-09,18351,869,21.12,10438
2020-01-10,40674,4563,8.91,16861
2020-01-13,322766,15791,20.44,51554
2020-01-14,56743,2770,20.48,22539
2020-01-15,26275,1589,16.54,12108
2020-01-16,18421,974,18.91,10319
2020-01-17,62805,3572,17.58,27446
2020-01-20,12847,765,16.79,9045
2020-01-21,13298,514,25.87,9852
2020-01-22,19248,1552,12.4,10149
2020-01-23,11106,655,16.96,7241
2020-01-24,7400,555,13.33,3452
2020-01-27,8105,388,20.89,5148
2020-01-28,10501,544,19.3,7118
2020-01-29,39756,2699,14.73,13246
2020-01-30,14387,1060,13.57,9067
2020-01-31,8504,639,13.31,2604
2020-02-03,7917,1023,7.74,4130
2020-02-04,12975,801,16.2,7860
2020-02-05,16454,1060,15.52,9259
2020-02-06,19730,766,25.76,13549
2020-02-07,151256,5977,25.31,52355
2020-02-10,48476,1920,25.25,23543
2020-02-11,77006,3727,20.66,31282
2020-02-12,39527,1709,23.13,20628
2020-02-13,14267,1060,13.46,7670
2020-02-14,14150,1117,12.67,8425
2020-02-17,14239,775,18.37,9009
2020-02-18,8381,725,11.56,3994
2020-02-19,11621,1098,10.58,6333
2020-02-20,11623,724,16.05,6667
2020-02-24,9171,935,9.81,4567
2020-02-25,15419,961,16.04,9474
2020-02-26,12593,668,18.85,9273
2020-02-27,13103,958,13.68,7871
2020-02-28,13193,1064,12.4,7677
2020-03-02,11053,664,16.65,4891
2020-03-03,6892,610,11.3,3013
2020-03-04,6346,583,10.89,3900
2020-03-05,13369,952,14.04,4371
2020-03-06,10591,1116,9.49,5081
2020-03-09,22851,1458,15.67,13929
2020-03-11,16579,1089,15.22,9789
2020-03-12,21933,1442,15.21,12478
2020-03-13,37020,1604,23.08,21323
2020-03-16,23054,2210,10.43,11964
2020-03-17,14121,1145,12.33,7462
2020-03-18,20860,1216,17.15,14506
2020-03-19,54109,2761,19.6,23291
2020-03-20,20295,1165,17.42,12305
2020-03-23,21609,676,31.97,19792
2020-03-24,58186,1255,46.36,42821
2020-03-25,12188,573,21.27,6771
2020-03-26,14361,640,22.44,7527
2020-03-27,21090,571,36.94,16422
2020-03-30,12799,687,18.63,5943
2020-03-31,13414,601,22.32,5678
2020-04-01,10366,422,24.56,8049
2020-04-03,14818,371,39.94,11755
2020-04-07,28203,376,75.01,26344
2020-04-08,8645,372,23.24,6249
2020-04-09,25045,374,66.97,21069
2020-04-15,23164,365,63.46,19405
2020-04-16,15051,362,41.58,11599
2020-04-17,19765,489,40.42,14502
2020-04-20,28060,1501,18.69,13683
2020-04-21,9872,430,22.96,8090
2020-04-22,8397,501,16.76,4782
2020-04-23,8836,341,25.91,6128
2020-04-24,13103,519,25.25,7610
2020-04-27,10232,371,27.58,6683
2020-04-28,39829,997,39.95,15601
2020-04-29,7490,274,27.34,5153
2020-04-30,16119,412,39.12,13760
2020-05-04,14031,724,19.38,8942
2020-05-05,5041,234,21.54,3044
2020-05-06,3570,186,19.19,2167
2020-05-07,6455,269,24.0,4392
2020-05-08,4297,238,18.05,2970
2020-05-11,3431,189,18.15,2203
2020-05-12,6526,298,21.9,4436
2020-05-13,7156,221,32.38,5461
2020-05-14,6336,363,17.45,4491
2020-05-15,8463,427,19.82,6298
2020-05-18,12504,518,24.14,8484
2020-05-19,22267,958,23.24,13806
2020-05-20,10929,770,14.19,7240
2020-05-21,12296,609,20.19,9379
2020-05-22,4541,346,13.12,1504
2020-05-26,10370,727,14.26,5143
2020-05-27,89272,1296,68.88,69432
2020-05-28,120142,3288,36.54,58751
2020-05-29,30970,1617,19.15,20986
2020-06-01,37732,1398,26.99,24235
2020-06-02,39244,1521,25.8,29920
2020-06-03,33999,1597,21.29,23846
2020-06-04,29859,1768,16.89,20639
2020-06-05,166294,7110,23.39,60373
2020-06-08,63894,2396,26.67,36749
2020-06-09,30657,1368,22.41,16442
2020-06-10,26270,1293,20.32,15334
2020-06-11,46607,2793,16.69,26132
2020-06-12,76483,2468,30.99,55778
2020-06-15,948384,32715,28.99,166801
2020-06-16,419622,18487,22.7,137040
2020-06-17,557050,22921,24.3,135473
2020-06-18,147079,5559,26.46,58614
2020-06-19,90177,3584,25.16,49847
2020-06-22,119986,7702,15.58,44803
2020-06-23,213313,8533,25.0,70515
2020-06-24,100552,4471,22.49,53352
2020-06-25,105495,5478,19.26,35010
2020-06-26,274435,8337,32.92,115115
2020-06-29,98108,4373,22.43,45868
2020-06-30,71207,4301,16.56,36715
2020-07-01,134135,5313,25.25,44090
2020-07-02,56162,2750,20.42,27369
2020-07-03,38665,2431,15.9,18090
2020-07-06,82338,3910,21.06,35266
2020-07-07,665489,21370,31.14,53873
2020-07-08,458118,13730,33.37,55018
2020-07-09,242170,11762,20.59,76448
2020-07-10,112916,6230,18.12,32605
2020-07-13,56555,4023,14.06,22885
2020-07-14,73237,3201,22.88,35863
2020-07-15,67058,4479,14.97,26636
2020-07-16,40342,3082,13.09,14892
2020-07-17,36493,2014,18.12,15392
2020-07-20,79285,3392,23.37,27164
2020-07-21,109590,3960,27.67,46453
2020-07-22,233304,8080,28.87,61824
2020-07-23,282068,8515,33.13,61494
2020-07-24,101271,5455,18.56,28690
2020-07-27,31318,2114,14.81,13454
2020-07-28,23537,1240,18.98,12765
2020-07-29,39393,2186,18.02,19108
2020-07-30,28795,1914,15.04,14896
2020-07-31,63061,3506,17.99,36407
