Date,TTL_TRD_QNTY,NO_OF_TRADES,QTY_PER_TRADE,DELIV_QTY
2019-09-30,807466,221,3653.69,665512
2019-10-01,1171484,288,4067.65,718647
2019-10-03,665317,221,3010.48,463773
2019-10-04,669027,266,2515.14,410327
2019-10-07,1569517,519,3024.12,1059347
2019-10-09,1025704,249,4119.29,551242
2019-10-10,384973,113,3406.84,384973
2019-10-11,707435,130,5441.81,707434
2019-10-14,4435168,615,7211.66,2840016
2019-10-15,602946,178,3387.34,602946
2019-10-16,3116470,954,3266.74,2179954
2019-10-17,990811,218,4545.0,742849
2019-10-18,1715428,467,3673.29,1025429
2019-10-22,2026638,538,3766.99,1344181
2019-10-23,501503,267,1878.29,447794
2019-10-24,825397,254,3249.59,488031
2019-10-25,763309,233,3276.0,570177
2019-10-29,288174,201,1433.7,261850
2019-10-30,255463,190,1344.54,182422
2019-10-31,534755,297,1800.52,417444
2019-11-01,995674,344,2894.4,595746
2019-11-04,257028,190,1352.78,236431
2019-11-05,622208,385,1616.12,454096
2019-11-06,1762631,315,5595.65,1495663
2019-11-07,3330600,279,11937.63,2259248
2019-11-08,641551,194,3306.96,521759
2019-11-11,2809056,483,5815.85,1730882
2019-11-13,621079,344,1805.46,460659
2019-11-14,2129526,490,4345.97,1383133
2019-11-15,483318,216,2237.58,350975
2019-11-18,3471396,875,3967.31,2064497
2019-11-19,2335041,695,3359.77,1421464
2019-11-20,1338485,470,2847.84,793238
2019-11-21,1858998,537,3461.82,1097180
2019-11-22,494799,202,2449.5,282625
2019-11-25,680681,232,2933.97,380746
2019-11-26,150032,99,1515.47,150032
2019-11-27,206409,140,1474.35,206399
2019-11-28,2844251,1039,2737.49,2023941
2019-11-29,1706674,282,6052.04,1198588
2019-12-02,260463,133,1958.37,260443
2019-12-03,270016,97,2783.67,270016
2019-12-04,522151,113,4620.81,522151
2019-12-05,241000,99,2434.34,241000
2019-12-06,941092,184,5114.63,941092
2019-12-09,5246994,1589,3302.07,3399423
2019-12-10,1134918,447,2538.97,1071215
2019-12-11,5255505,1173,4480.4,2688374
2019-12-12,825386,403,2048.1,467323
2019-12-13,311853,200,1559.26,311851
2019-12-16,4653254,1770,2628.96,2171976
2019-12-17,1882938,900,2092.15,1185147
2019-12-18,11479707,2142,5359.34,6521101
2019-12-19,3427764,917,3738.02,2631594
2019-12-20,1617768,684,2365.16,1106198
2019-12-23,146239,212,689.81,146019
2019-12-24,140777,135,1042.79,140777
2019-12-26,119910,194,618.09,119910
2019-12-27,89094,159,560.34,89094
2019-12-30,69935,134,521.9,69934
2019-12-31,170986,187,914.36,170986
2020-01-01,1751769,367,4773.21,1561652
2020-01-02,306890,265,1158.08,306890
2020-01-03,659915,356,1853.69,659914
2020-01-06,262513,261,1005.8,262513
2020-01-07,452676,340,1331.4,452676
2020-01-08,495421,285,1738.32,495421
2020-01-09,1030913,400,2577.28,1030913
2020-01-10,7978628,1363,5853.73,5610893
2020-01-13,1260708,410,3074.9,929021
2020-01-14,1820667,369,4934.06,1644845
2020-01-15,2180775,691,3155.97,1661561
2020-01-16,2712135,541,5013.19,1565593
2020-01-17,3154781,831,3796.37,1807396
2020-01-20,5098594,819,6225.39,2868356
2020-01-21,4113081,843,4879.1,2588354
2020-01-22,3483130,754,4619.54,1835223
2020-01-23,1606190,357,4499.13,1200611
2020-01-24,3005316,640,4695.81,1768033
2020-01-27,2298585,783,2935.61,1425710
2020-01-28,1514079,320,4731.5,768805
2020-01-29,1468201,526,2791.26,895887
2020-01-30,1376167,707,1946.49,944491
2020-01-31,2288390,657,3483.09,1737893
2020-02-03,3166144,900,3517.94,1618524
2020-02-04,1288949,1052,1225.24,942336
2020-02-05,1751869,618,2834.74,1550082
2020-02-06,2858242,1314,2175.22,1560725
2020-02-07,2802071,536,5227.74,1494222
2020-02-10,1586182,1322,1199.84,1152039
2020-02-11,2165691,572,3786.17,1190145
2020-02-12,451370,216,2089.68,304028
2020-02-13,1897097,479,3960.54,1110082
2020-02-14,1954526,414,4721.08,1531111
2020-02-17,1301659,357,3646.1,842964
2020-02-18,2363942,568,4161.87,1378224
2020-02-19,3057058,506,6041.62,1929215
2020-02-20,813864,252,3229.62,667299
