Date,TTL_TRD_QNTY,NO_OF_TRADES,QTY_PER_TRADE,DELIV_QTY
2019-09-30,60460,1238,48.84,25422
2019-10-01,61972,1517,40.85,26142
2019-10-03,40398,850,47.53,20546
2019-10-04,33476,842,39.76,16300
2019-10-07,167587,2830,59.22,31380
2019-10-09,383532,6580,58.29,78728
2019-10-10,115876,2547,45.5,45131
2019-10-11,74996,1560,48.07,27517
2019-10-14,57855,1049,55.15,29630
2019-10-15,51932,972,53.43,16566
2019-10-16,133978,2178,61.51,29373
2019-10-17,156529,3069,51.0,49983
2019-10-18,385721,5856,65.87,93516
2019-10-22,503487,6483,77.66,174493
2019-10-23,937899,10792,86.91,207212
2019-10-24,96147,1750,54.94,39045
2019-10-25,217324,3480,62.45,40637
2019-10-29,106112,1730,61.34,32648
2019-10-30,487882,7193,67.83,133655
2019-10-31,157348,3048,51.62,71504
2019-11-01,92604,2085,44.41,38283
2019-11-04,1375955,17030,80.8,259947
2019-11-05,106007,2398,44.21,44877
2019-11-06,85157,1311,64.96,34813
2019-11-07,321153,4830,66.49,78159
2019-11-08,1568799,20792,75.45,257716
2019-11-11,1390157,15997,86.9,271027
2019-11-13,337806,5282,63.95,142956
2019-11-14,388255,6588,58.93,64911
2019-11-15,141128,2392,59.0,49005
2019-11-18,140572,2297,61.2,30329
2019-11-19,98431,1644,59.87,25212
2019-11-20,302752,4975,60.85,43332
2019-11-21,91772,1536,59.75,34854
2019-11-22,63587,1141,55.73,23567
2019-11-25,528136,8134,64.93,213817
2019-11-26,1048378,12653,82.86,228372
2019-11-27,120100,1999,60.08,53147
2019-11-28,230166,3235,71.15,79431
2019-11-29,164307,1849,88.86,65214
2019-12-02,829012,10904,76.03,136526
2019-12-03,307523,5259,58.48,57584
2019-12-04,108695,1977,54.98,37457
2019-12-05,96125,2231,43.09,27238
2019-12-06,93563,1738,53.83,31273
2019-12-09,126550,2335,54.2,40391
2019-12-10,219819,3824,57.48,47054
2019-12-11,79386,1710,46.42,27097
2019-12-12,64948,969,67.03,21799
2019-12-13,539496,7141,75.55,166822
2019-12-16,2342646,24172,96.92,361267
2019-12-17,329966,5036,65.52,73314
2019-12-18,179590,2856,62.88,92678
2019-12-19,167202,3004,55.66,42870
2019-12-20,108624,1754,61.93,28714
2019-12-23,200733,3452,58.15,52348
2019-12-24,601444,7151,84.11,186464
2019-12-26,623467,7747,80.48,185257
2019-12-27,300544,4258,70.58,65491
2019-12-30,227967,3133,72.76,56318
2019-12-31,103889,1580,65.75,33865
2020-01-01,71293,1114,64.0,32068
2020-01-02,666740,7407,90.01,149762
2020-01-03,116771,1988,58.74,48218
2020-01-06,108700,2053,52.95,56566
2020-01-07,114772,1961,58.53,43132
2020-01-08,274902,3831,71.76,62489
2020-01-09,362883,4430,81.91,111710
2020-01-10,950366,10827,87.78,237195
2020-01-13,1582566,14452,109.5,310972
2020-01-14,529393,6510,81.32,177039
2020-01-15,1838130,20888,88.0,387799
2020-01-16,305488,5026,60.78,98775
2020-01-17,674267,9486,71.08,213070
2020-01-20,136887,2722,50.29,56268
2020-01-21,127496,2532,50.35,37839
