Date,TTL_TRD_QNTY,NO_OF_TRADES,QTY_PER_TRADE,DELIV_QTY
2019-09-30,35270,81,435.43,31586
2019-10-01,7436,30,247.87,7087
2019-10-03,15464,67,230.81,14913
2019-10-04,38981,55,708.75,32855
2019-10-07,5948,27,220.3,5760
2019-10-09,65056,75,867.41,55170
2019-10-10,23635,57,414.65,23304
2019-10-11,7236,28,258.43,5883
2019-10-14,14350,31,462.9,9209
2019-10-15,25999,39,666.64,25604
2019-10-16,50826,271,187.55,36211
2019-10-17,70716,65,1087.94,68782
2019-10-18,28997,63,460.27,20784
2019-10-22,21395,32,668.59,19104
2019-10-23,15936,9,1770.67,15936
2019-10-24,2349,9,261.0,2349
2019-10-25,11784,16,736.5,11784
2019-10-29,34300,55,623.64,32288
2019-10-30,30506,108,282.46,17358
2019-10-31,14424,64,225.38,12327
2019-11-01,22866,49,466.65,19721
2019-11-04,27593,57,484.09,25429
2019-11-05,36859,85,433.64,33323
2019-11-06,26209,50,524.18,23209
2019-11-07,18247,51,357.78,14449
2019-11-08,45107,64,704.8,44854
2019-11-11,76736,74,1036.97,69264
2019-11-13,19313,50,386.26,18420
2019-11-14,21690,55,394.36,19590
2019-11-15,8758,18,486.56,8758
2019-11-18,4207,8,525.88,4207
2019-11-19,5003,10,500.3,5003
2019-11-20,22819,38,600.5,22810
2019-11-21,49228,1831,26.89,36291
2019-11-22,35527,50,710.54,34872
2019-11-25,26759,40,668.98,15430
2019-11-26,39996,74,540.49,29305
2019-11-27,11544,36,320.67,8540
2019-11-28,59021,37,1595.16,59020
2019-11-29,34743,63,551.48,25773
2019-12-02,42741,56,763.23,32783
2019-12-03,16243,48,338.4,11968
2019-12-04,8403,31,271.06,5588
2019-12-05,13666,32,427.06,13654
2019-12-06,3974,20,198.7,3615
2019-12-09,2431,19,127.95,2302
2019-12-10,6107,35,174.49,4796
2019-12-11,14557,28,519.89,11452
2019-12-12,15860,33,480.61,14153
2019-12-13,9161,30,305.37,8661
2019-12-16,9093,39,233.15,7083
2019-12-17,10508,22,477.64,10482
2019-12-18,14778,33,447.82,13630
2019-12-19,35055,63,556.43,32701
2019-12-20,8345,14,596.07,8345
2019-12-23,12155,23,528.48,11653
2019-12-24,8916,16,557.25,8916
2019-12-26,50113,95,527.51,38308
2019-12-27,25167,49,513.61,21114
2019-12-30,2850,18,158.33,2850
2019-12-31,15341,29,529.0,15241
2020-01-01,14204,47,302.21,13349
2020-01-02,9050,37,244.59,7376
2020-01-03,14677,32,458.66,11677
2020-01-06,23332,38,614.0,20414
2020-01-07,10696,39,274.26,7791
2020-01-08,8198,25,327.92,6245
2020-01-09,44301,65,681.55,40953
2020-01-10,7383,21,351.57,7383
2020-01-13,16835,29,580.52,14084
2020-01-14,5729,23,249.09,4683
2020-01-15,23842,40,596.05,19497
2020-01-16,18309,18,1017.17,18209
2020-01-17,33994,42,809.38,31627
2020-01-20,37215,47,791.81,28461
2020-01-21,38465,61,630.57,37875
2020-01-22,12765,30,425.5,11150
2020-01-23,15859,31,511.58,14100
2020-01-24,19666,48,409.71,18510
2020-01-27,14206,23,617.65,14181
2020-01-28,16165,32,505.16,15976
2020-01-29,31119,122,255.07,19788
2020-01-30,28017,66,424.5,28013
2020-01-31,48984,71,689.92,38809
2020-02-03,19967,38,525.45,15467
2020-02-04,18419,51,361.16,14753
2020-02-05,26700,51,523.53,19200
2020-02-06,12144,41,296.2,11420
2020-02-07,20784,59,352.27,18147
2020-02-10,39464,53,744.6,31891
2020-02-11,33149,55,602.71,29283
2020-02-12,53309,71,750.83,33179
2020-02-13,13362,36,371.17,13037
2020-02-14,10351,34,304.44,6661
2020-02-17,3627,21,172.71,2927
2020-02-18,20380,43,473.95,16255
2020-02-19,112459,153,735.03,83414
2020-02-20,74057,64,1157.14,56765
2020-02-24,30483,65,468.97,17548
2020-02-25,19801,29,682.79,14801
2020-02-26,24030,68,353.38,23530
2020-02-27,10907,29,376.1,6896
2020-02-28,6789,16,424.31,6789
2020-03-02,34453,60,574.22,29400
2020-03-03,13252,31,427.48,8352
2020-03-04,12506,65,192.4,10908
2020-03-05,26050,26,1001.92,22094
2020-03-06,8605,18,478.06,8605
2020-03-09,7511,142,52.89,7503
2020-03-11,15828,36,439.67,14327
2020-03-12,3435,12,286.25,3435
2020-03-13,13965,27,517.22,13965
2020-03-16,22757,22,1034.41,22757
2020-03-17,20563,44,467.34,19805
2020-03-18,12968,39,332.51,10903
2020-03-19,52824,58,910.76,46826
2020-03-20,74931,69,1085.96,64647
2020-03-23,133682,51,2621.22,133682
2020-03-24,2044,15,136.27,2044
2020-03-25,11141,21,530.52,11141
2020-03-26,31116,51,610.12,30950
2020-03-27,50092,87,575.77,44092
2020-03-30,10488,43,243.91,6806
2020-03-31,10811,38,284.5,10811
2020-04-01,17477,65,268.88,13089
2020-04-03,23027,62,371.4,20228
2020-04-07,20059,33,607.85,20057
2020-04-08,15536,36,431.56,15336
2020-04-09,1450,6,241.67,1450
2020-04-15,3201,14,228.64,3201
2020-04-16,19475,28,695.54,19475
2020-04-17,926,5,185.2,926
2020-04-20,10756,20,537.8,10696
2020-04-21,3544,11,322.18,3544
2020-04-22,12451,20,622.55,12451
2020-04-23,5635,15,375.67,5635
2020-04-24,7479,14,534.21,7479
2020-04-27,9256,14,661.14,9256
2020-04-28,16172,28,577.57,16172
2020-04-29,29972,53,565.51,29840
2020-04-30,13633,41,332.51,13633
2020-05-04,8637,18,479.83,8637
2020-05-05,4549,12,379.08,4549
2020-05-06,5212,25,208.48,5212
2020-05-07,4514,18,250.78,4514
2020-05-08,5672,18,315.11,5672
2020-05-11,2929,10,292.9,2929
2020-05-12,1970,16,123.12,1970
2020-05-13,1955,12,162.92,1955
2020-05-14,4482,10,448.2,4482
2020-05-15,765,10,76.5,765
2020-05-18,8100,8,1012.5,8100
2020-05-19,7445,14,531.79,7445
2020-05-20,5408,8,676.0,5408
2020-05-21,237,6,39.5,237
2020-05-22,4722,10,472.2,4722
