Date,TTL_TRD_QNTY,NO_OF_TRADES,QTY_PER_TRADE,DELIV_QTY
2019-09-30,102,3,34.0,102
2019-10-01,21319,446,47.8,10052
2019-10-03,1668,12,139.0,1419
2019-10-04,5094,12,424.5,5009
2019-10-07,5141,9,571.22,5018
2019-10-09,15340,78,196.67,15270
2019-10-10,176098,14,12578.43,176048
2019-10-11,15020,5,3004.0,5005
2019-10-14,5186,13,398.92,5055
2019-10-15,86,7,12.29,83
2019-10-16,112,4,28.0,101
2019-10-17,16,5,3.2,10
2019-10-18,210,8,26.25,106
2019-10-22,4905,1016,4.83,2505
2019-10-23,5136,6,856.0,5136
2019-10-24,75,3,25.0,15
2019-10-25,59,4,14.75,59
2019-10-29,7473,876,8.53,7097
2019-10-30,176491,740,238.5,176318
2019-10-31,10075,6,1679.17,10005
2019-11-01,270040,17,15884.71,270020
2019-11-04,395,18,21.94,352
2019-11-05,1324,7,189.14,1100
2019-11-06,12029,994,12.1,12029
2019-11-07,5002,2,2501.0,5002
2019-11-08,138,6,23.0,121
2019-11-11,76,5,15.2,72
2019-11-13,7,1,7.0,7
2019-11-14,51458,65,791.66,51207
2019-11-15,109631,2141,51.21,105337
2019-11-18,293,10,29.3,250
2019-11-19,2239,40,55.98,2069
2019-11-20,12677,260,48.76,10189
2019-11-21,7,1,7.0,7
2019-11-22,461,16,28.81,305
2019-11-25,2571,519,4.95,2078
2019-11-26,2286,347,6.59,2041
2019-11-27,71,3,23.67,71
2019-11-28,515,26,19.81,443
2019-11-29,302,104,2.9,200
2019-12-02,95,9,10.56,53
2019-12-03,55,11,5.0,50
2019-12-04,20825,1612,12.92,8182
2019-12-05,484,47,10.3,235
2019-12-06,518,36,14.39,285
2019-12-09,2479,272,9.11,2267
2019-12-10,140,7,20.0,122
2019-12-11,2010,4,502.5,2010
2019-12-12,208,20,10.4,108
2019-12-13,6,2,3.0,6
2019-12-16,522,60,8.7,307
2019-12-17,143,7,20.43,100
2019-12-18,157,7,22.43,145
2019-12-19,2163,440,4.92,2101
2019-12-20,119,7,17.0,97
2019-12-23,1011,91,11.11,593
2019-12-24,83,8,10.38,83
2019-12-26,152,8,19.0,150
2019-12-27,10472,101,103.68,10226
2019-12-30,510,11,46.36,420
2019-12-31,2363,66,35.8,2241
2020-01-01,532,15,35.47,215
2020-01-02,1367,11,124.27,1351
2020-01-03,776,18,43.11,346
2020-01-06,972,87,11.17,771
2020-01-07,5772,27,213.78,5246
2020-01-08,10727,76,141.14,10361
2020-01-09,1402,18,77.89,1088
2020-01-10,617,16,38.56,420
2020-01-13,34,5,6.8,29
2020-01-14,888,34,26.12,597
2020-01-15,10258,24,427.42,10252
2020-01-16,1044,60,17.4,993
2020-01-17,965,23,41.96,841
2020-01-20,1774,201,8.83,1534
2020-01-21,1122,25,44.88,1116
2020-01-22,7531,1215,6.2,5193
2020-01-23,2638,232,11.37,1916
2020-01-24,11958,17,703.41,10405
2020-01-27,2343,171,13.7,2233
2020-01-28,3246,220,14.75,2618
2020-01-29,27812,196,141.9,27311
2020-01-30,1049,32,32.78,738
2020-01-31,17158,1499,11.45,12762
2020-02-03,27438,235,116.76,26746
2020-02-04,3857,134,28.78,2340
2020-02-05,12758,19,671.47,10111
2020-02-06,634,96,6.6,359
2020-02-07,1223,21,58.24,689
2020-02-10,603,101,5.97,600
2020-02-11,2359,490,4.81,2054
2020-02-12,802,20,40.1,730
2020-02-13,195,7,27.86,190
2020-02-14,4712,284,16.59,2311
2020-02-17,706,47,15.02,479
2020-02-18,12889,56,230.16,11718
2020-02-19,335,19,17.63,178
2020-02-20,502,81,6.2,502
2020-02-24,4558,382,11.93,4265
2020-02-25,1252,168,7.45,442
2020-02-26,3622,301,12.03,2440
2020-02-27,6059,288,21.04,5626
2020-02-28,19299,286,67.48,14257
2020-03-02,34685,130,266.81,12458
2020-03-03,2407,84,28.65,766
2020-03-04,2772,117,23.69,2212
2020-03-05,19797,437,45.3,3716
2020-03-06,36374,192,189.45,33281
2020-03-09,51799,543,95.39,22692
2020-03-11,515050,1414,364.25,336790
2020-03-12,165678,318,521.0,119818
2020-03-13,199426,461,432.59,128135
2020-03-16,9238,308,29.99,6353
2020-03-17,49062,226,217.09,6646
2020-03-18,251809,976,258.0,65731
2020-03-19,203626,890,228.79,152708
2020-03-20,72861,194,375.57,29784
2020-03-23,52868,379,139.49,49471
2020-03-24,6857,105,65.3,3898
2020-03-25,8761,125,70.09,5912
2020-03-26,34599,359,96.38,30395
2020-03-27,47065,122,385.78,46298
2020-03-30,10728,168,63.86,9675
2020-03-31,2592,45,57.6,2138
2020-04-01,19607,159,123.31,19200
2020-04-03,9996,172,58.12,9078
2020-04-07,74687,905,82.53,73177
2020-04-08,4538,54,84.04,3059
2020-04-09,4022,39,103.13,3299
2020-04-15,29509,470,62.79,26876
2020-04-16,3000,29,103.45,2891
2020-04-17,4060,37,109.73,1902
2020-04-20,3171,57,55.63,1471
2020-04-21,14472,98,147.67,13094
2020-04-22,2074,46,45.09,1151
2020-04-23,4461,27,165.22,3416
2020-04-24,2432,63,38.6,897
2020-04-27,6579,29,226.86,6480
2020-04-28,1181,31,38.1,577
2020-04-29,2249,41,54.85,2064
2020-04-30,5452,81,67.31,4723
2020-05-04,5841,94,62.14,5647
2020-05-05,1964,61,32.2,1311
2020-05-06,2203,73,30.18,1852
2020-05-07,1297,22,58.95,1284
2020-05-08,10089,19,531.0,9679
2020-05-11,872,21,41.52,801
2020-05-12,12159,57,213.32,9387
2020-05-13,5074,44,115.32,4736
2020-05-14,7960,112,71.07,7918
2020-05-15,7091,57,124.4,6790
2020-05-18,8674,202,42.94,7989
2020-05-19,4238,21,201.81,4178
2020-05-20,1625,11,147.73,1625
2020-05-21,890,20,44.5,890
2020-05-22,69779,222,314.32,28689
2020-05-26,12431,25,497.24,11070
2020-05-27,498,16,31.12,446
2020-05-28,6111,49,124.71,6027
2020-05-29,1279,17,75.24,1176
2020-06-01,42066,61,689.61,41173
2020-06-02,2607,21,124.14,2585
2020-06-03,4433,36,123.14,4336
2020-06-04,757,16,47.31,682
2020-06-05,3247,21,154.62,3246
2020-06-08,21808,42,519.24,21156
2020-06-09,1442,24,60.08,928
2020-06-10,1312,22,59.64,1261
2020-06-11,378,20,18.9,253
2020-06-12,59308,282,210.31,44630
2020-06-15,2603,40,65.08,2450
2020-06-16,19204,71,270.48,15101
2020-06-17,701,10,70.1,642
2020-06-18,1965,29,67.76,1831
2020-06-19,1173,16,73.31,879
2020-06-22,21408,18,1189.33,20804
2020-06-23,900,28,32.14,826
2020-06-24,63039,61,1033.43,62804
2020-06-25,66094,82,806.02,66079
2020-06-26,20212,10,2021.2,20212
2020-06-29,750,11,68.18,640
2020-06-30,127,9,14.11,111
2020-07-01,42264,13,3251.08,42264
2020-07-02,3162,24,131.75,3156
2020-07-03,1731,38,45.55,1505
2020-07-06,27313,32,853.53,26695
2020-07-07,2312,19,121.68,2273
2020-07-08,31095,99,314.09,30842
2020-07-09,15586,21,742.19,15582
2020-07-10,1032,16,64.5,865
2020-07-13,668,26,25.69,601
2020-07-14,3778,67,56.39,1866
2020-07-15,46621,61,764.28,5356
2020-07-16,548,14,39.14,460
2020-07-17,22473,23,977.09,22464
2020-07-20,827,18,45.94,735
2020-07-21,2326,25,93.04,2292
2020-07-22,6512,21,310.1,6493
2020-07-23,6626,13,509.69,6063
2020-07-24,13505,24,562.71,10748
2020-07-27,467,18,25.94,446
2020-07-28,22506,33,682.0,20267
2020-07-29,416,15,27.73,339
2020-07-30,12111,41,295.39,11709
2020-07-31,6376,88,72.45,5426
2020-08-03,2072,42,49.33,1443
2020-08-04,336,11,30.55,329
2020-08-05,316,13,24.31,228
2020-08-06,25138,70,359.11,25032
2020-08-07,335,5,67.0,330
2020-08-10,4048,35,115.66,3048
2020-08-11,11675,17,686.76,11500
2020-08-12,5634,62,90.87,5451
2020-08-13,201309,25,8052.36,201289
2020-08-14,1395,19,73.42,1342
2020-08-17,801,23,34.83,661
2020-08-18,2161,17,127.12,1926
2020-08-19,1094,32,34.19,954
2020-08-20,1592,31,51.35,1065
