Date,TTL_TRD_QNTY,NO_OF_TRADES,QTY_PER_TRADE,DELIV_QTY
2019-09-30,35056,678,51.71,18742
2019-10-01,65968,1401,47.09,30970
2019-10-03,69236,980,70.65,52689
2019-10-04,459810,850,540.95,436782
2019-10-07,195061,848,230.02,174083
2019-10-09,59198,957,61.86,32509
2019-10-10,202280,994,203.5,172701
2019-10-11,189472,773,245.11,168012
2019-10-14,236317,2043,115.67,183754
2019-10-15,61769,1517,40.72,19594
2019-10-16,31050,755,41.13,12640
2019-10-17,300473,1759,170.82,240655
2019-10-18,400771,3238,123.77,276124
2019-10-22,111286,1575,70.66,51820
2019-10-23,213376,1033,206.56,183719
2019-10-24,158927,990,160.53,127759
2019-10-25,188046,1842,102.09,145224
2019-10-29,2238510,29510,75.86,560283
2019-10-30,574054,8611,66.67,208991
2019-10-31,237287,4057,58.49,109589
2019-11-01,3491365,43000,81.19,755902
2019-11-04,2669034,33885,78.77,706956
2019-11-05,723726,10295,70.3,285656
2019-11-06,772061,8545,90.35,378806
2019-11-07,1344272,16334,82.3,369130
2019-11-08,1610060,22127,72.76,379891
2019-11-11,1048572,7030,149.16,710752
2019-11-13,1586815,21998,72.13,365335
2019-11-14,675732,10508,64.31,228759
2019-11-15,292432,4861,60.16,88202
2019-11-18,640008,8431,75.91,188631
2019-11-19,394554,5029,78.46,149642
2019-11-20,480275,6470,74.23,157467
2019-11-21,285317,3894,73.27,125483
2019-11-22,450866,6378,70.69,154091
2019-11-25,558288,9461,59.01,202640
2019-11-26,324436,4307,75.33,133236
2019-11-27,324919,3881,83.72,122401
2019-11-28,257597,4181,61.61,97126
2019-11-29,741986,8355,88.81,219013
2019-12-02,275088,3964,69.4,78571
2019-12-03,287206,3841,74.77,104565
2019-12-04,784474,6154,127.47,493893
2019-12-05,231598,3435,67.42,73763
2019-12-06,556318,7069,78.7,233806
2019-12-09,336705,4905,68.65,122899
2019-12-10,203301,3432,59.24,100402
2019-12-11,304822,5483,55.59,114540
2019-12-12,410457,4448,92.28,230388
2019-12-13,780450,5246,148.77,520590
2019-12-16,422011,7459,56.58,255992
2019-12-17,286120,4131,69.26,95724
2019-12-18,460843,3095,148.9,298380
2019-12-19,562082,5438,103.36,235361
2019-12-20,377295,4479,84.24,145989
2019-12-23,824072,7627,108.05,337096
2019-12-24,1504974,13674,110.06,414407
2019-12-26,390716,5137,76.06,106364
2019-12-27,281970,2910,96.9,119593
2019-12-30,375680,3979,94.42,142894
2019-12-31,243097,2910,83.54,97457
2020-01-01,196821,2363,83.29,78536
2020-01-02,1274221,10761,118.41,467372
2020-01-03,445640,4084,109.12,223932
2020-01-06,346790,4098,84.62,187739
2020-01-07,353562,4164,84.91,175734
2020-01-08,557818,5520,101.05,216199
2020-01-09,2833676,31044,91.28,782609
2020-01-10,1036741,12205,84.94,356261
2020-01-13,414986,4780,86.82,125852
2020-01-14,773609,10220,75.7,308118
2020-01-15,710517,8208,86.56,283694
2020-01-16,411180,4115,99.92,188535
2020-01-17,522046,4758,109.72,278764
2020-01-20,471284,4604,102.36,200591
2020-01-21,285626,3684,77.53,167826
2020-01-22,278932,3317,84.09,120929
2020-01-23,268151,2722,98.51,156567
2020-01-24,253664,3567,71.11,119079
2020-01-27,296615,3368,88.07,137079
2020-01-28,227146,12142,18.71,133011
2020-01-29,364602,4810,75.8,116004
2020-01-30,228148,3402,67.06,100099
2020-01-31,200779,2935,68.41,93155
2020-02-03,222817,3555,62.68,113302
2020-02-04,222295,2949,75.38,80238
2020-02-05,409887,4962,82.61,142575
2020-02-06,180316,2590,69.62,67897
2020-02-07,303369,3620,83.8,96633
2020-02-10,174923,2653,65.93,69383
2020-02-11,606695,6652,91.2,217857
2020-02-12,564218,7232,78.02,176584
2020-02-13,2924931,32874,88.97,1020052
2020-02-14,1331137,18229,73.02,535237
2020-02-17,6840705,67021,102.07,1768274
2020-02-18,7433690,92911,80.01,1844370
2020-02-19,1384977,22197,62.39,332323
2020-02-20,4868638,73240,66.48,917757
2020-02-24,2213536,34864,63.49,528219
2020-02-25,1851206,33123,55.89,364407
2020-02-26,852903,15235,55.98,246935
2020-02-27,6278808,78464,80.02,1192284
2020-02-28,9661881,141727,68.17,1704724
2020-03-02,4674294,80910,57.77,781968
2020-03-03,4639044,78334,59.22,595027
2020-03-04,2823486,50261,56.18,459146
2020-03-05,1704059,50567,33.7,468120
2020-03-06,2664925,45870,58.1,553856
2020-03-09,1630060,29887,54.54,447851
2020-03-11,1617652,30034,53.86,483629
2020-03-12,2163711,47608,45.45,612883
2020-03-13,2411033,49176,49.03,563803
2020-03-16,1365463,32208,42.4,347019
2020-03-17,1822711,35742,51.0,284964
2020-03-18,1074264,28520,37.67,341883
2020-03-19,1247075,28879,43.18,289830
2020-03-20,1747538,24102,72.51,848499
2020-03-23,798245,18632,42.84,300857
2020-03-24,705700,19183,36.79,160769
2020-03-25,483335,11974,40.37,123545
2020-03-26,953391,19512,48.86,250168
2020-03-27,1640543,35033,46.83,486624
2020-03-30,485555,10337,46.97,137674
2020-03-31,484102,10396,46.57,126601
2020-04-01,244450,6057,40.36,82735
2020-04-03,299136,6892,43.4,76589
2020-04-07,1600370,26821,59.67,398908
2020-04-08,2546508,45205,56.33,472935
2020-04-09,823887,16192,50.88,252577
2020-04-15,1032755,20850,49.53,280446
2020-04-16,1861366,30550,60.93,359135
2020-04-17,1938957,31911,60.76,449108
2020-04-20,608207,13501,45.05,241912
2020-04-21,552016,11507,47.97,162901
2020-04-22,546050,10969,49.78,147129
2020-04-23,598959,13021,46.0,245712
2020-04-24,404449,7764,52.09,135879
2020-04-27,370476,7294,50.79,129761
2020-04-28,269714,4723,57.11,82743
2020-04-29,1620568,21810,74.3,395377
2020-04-30,1997624,29416,67.91,503134
2020-05-04,458777,10587,43.33,223501
2020-05-05,430412,7930,54.28,112098
2020-05-06,369163,7261,50.84,104814
2020-05-07,729467,14780,49.36,147103
2020-05-08,335411,7185,46.68,101775
2020-05-11,425531,8992,47.32,142248
2020-05-12,328888,5897,55.77,92191
2020-05-13,731578,13693,53.43,227398
2020-05-14,243186,4688,51.87,90196
2020-05-15,1265690,19102,66.26,397827
2020-05-18,4360615,70517,61.84,1073053
2020-05-19,875530,13168,66.49,271425
2020-05-20,645246,11616,55.55,274915
2020-05-21,792050,13151,60.23,409734
2020-05-22,764432,14266,53.58,304866
2020-05-26,1618990,22297,72.61,381127
2020-05-27,1069708,17718,60.37,397001
2020-05-28,969968,14475,67.01,346595
2020-05-29,1367552,14029,97.48,793966
2020-06-01,2308262,28092,82.17,686174
2020-06-02,658355,11471,57.39,290485
2020-06-03,1586392,26717,59.38,455876
2020-06-04,770140,13077,58.89,313481
2020-06-05,970600,16487,58.87,388619
2020-06-08,3411425,44697,76.32,1048176
2020-06-09,1998381,21482,93.03,1086811
2020-06-10,1936414,20709,93.51,1342777
2020-06-11,666369,10243,65.06,300449
2020-06-12,894578,12338,72.51,374291
2020-06-15,537590,11777,45.65,198285
2020-06-16,3424181,32664,104.83,1342480
2020-06-17,2044507,22093,92.54,776428
2020-06-18,3433346,37811,90.8,1141282
2020-06-19,1834114,21065,87.07,543359
2020-06-22,5019586,53409,93.98,1199111
2020-06-23,1181809,16415,72.0,441855
2020-06-24,1021052,15106,67.59,409879
2020-06-25,915100,10110,90.51,324151
2020-06-26,1260090,14404,87.48,281335
2020-06-29,888088,12260,72.44,426539
2020-06-30,4713012,57762,81.59,1039824
2020-07-01,2042838,27353,74.68,737541
2020-07-02,3854785,39591,97.37,719136
2020-07-03,2059970,26290,78.36,546229
2020-07-06,1514967,18768,80.72,491558
2020-07-07,2296566,29034,79.1,829163
2020-07-08,1863158,21749,85.67,601878
2020-07-09,2299508,24028,95.7,611641
2020-07-10,991299,12290,80.66,386269
2020-07-13,1173285,14685,79.9,299378
2020-07-14,745798,11851,62.93,262925
2020-07-15,506533,7907,64.06,200651
2020-07-16,565948,9416,60.1,184183
2020-07-17,595236,9460,62.92,154416
2020-07-20,396961,5914,67.12,177159
2020-07-21,953965,12730,74.94,282090
2020-07-22,1183147,18805,62.92,256293
2020-07-23,1723837,17663,97.6,514328
2020-07-24,627398,8556,73.33,197729
2020-07-27,681713,9138,74.6,353037
2020-07-28,637461,9499,67.11,293221
2020-07-29,924367,13380,69.09,417668
2020-07-30,414054,6384,64.86,136292
2020-07-31,503418,8367,60.17,175118
2020-08-03,452059,6335,71.36,124546
2020-08-04,1882244,32966,57.1,441210
2020-08-05,921216,15896,57.95,292671
2020-08-06,729384,10755,67.82,215738
2020-08-07,601895,6856,87.79,169322
2020-08-10,1083602,13566,79.88,544166
2020-08-11,1494681,16428,90.98,484032
2020-08-12,564578,8741,64.59,240870
2020-08-13,805937,11255,71.61,261781
2020-08-14,536790,8568,62.65,203813
2020-08-17,530669,10718,49.51,204962
2020-08-18,535851,7016,76.38,192360
2020-08-19,545646,6939,78.63,282819
2020-08-20,584044,8518,68.57,225900
2020-08-21,461933,5909,78.17,210311
2020-08-24,5402163,57878,93.34,1632285
2020-08-25,1912597,22995,83.17,602540
2020-08-26,4929970,49699,99.2,1255139
2020-08-27,1033317,13477,76.67,416952
2020-08-28,1246087,15019,82.97,476012
2020-08-31,1436584,21618,66.45,577187
2020-09-01,563226,9312,60.48,173788
2020-09-02,758822,10630,71.38,151264
2020-09-03,354768,6156,57.63,113024
2020-09-04,339388,5939,57.15,101929
2020-09-07,324329,5964,54.38,106170
2020-09-08,498546,8302,60.05,142111
2020-09-09,959582,16016,59.91,373995
2020-09-10,851653,13023,65.4,233559
2020-09-11,371811,6789,54.77,121436
2020-09-14,1018979,16737,60.88,333628
2020-09-15,592533,9038,65.56,178848
2020-09-16,297356,4961,59.94,79568
2020-09-17,304063,5451,55.78,84728
2020-09-18,371603,9080,40.93,132472
2020-09-21,359313,9736,36.91,135674
2020-09-22,376472,8813,42.72,91281
2020-09-23,363057,8512,42.65,74889
2020-09-24,303324,6421,47.24,127717
2020-09-25,283579,6136,46.22,66352
2020-09-29,331751,6319,52.5,91302
2020-09-30,237315,4582,51.79,75727
2020-10-01,183033,6770,27.04,74203
2020-10-05,148410,3421,43.38,64939
2020-10-06,133706,2897,46.15,62797
2020-10-07,149630,3746,39.94,71843
2020-10-08,155262,3755,41.35,70865
2020-10-09,144254,3221,44.79,58986
2020-10-12,184469,3831,48.15,63380
2020-10-13,184627,4405,41.91,65937
2020-10-14,503046,15767,31.9,309194
2020-10-15,456799,10163,44.95,234893
2020-10-16,351583,7090,49.59,172420
2020-10-19,623059,9269,67.22,351564
2020-10-20,291910,5310,54.97,109206
2020-10-21,1190227,8042,148.0,795553
2020-10-22,184249,3509,52.51,86063
2020-10-23,271262,4792,56.61,97738
2020-10-26,248433,4580,54.24,72517
2020-10-27,301222,4909,61.36,135749
2020-10-28,165566,3167,52.28,70924
2020-10-29,167411,3881,43.14,46308
2020-10-30,112192,2503,44.82,48736
2020-11-02,362142,8016,45.18,146013
2020-11-03,153286,3847,39.85,60497
2020-11-04,90382,2447,36.94,32200
2020-11-05,268321,5041,53.23,104624
2020-11-06,690075,11167,61.8,202737
2020-11-09,250701,4048,61.93,83382
2020-11-10,191795,3632,52.81,83924
2020-11-11,713268,9885,72.16,238731
2020-11-12,178986,2944,60.8,78538
2020-11-13,295322,4844,60.97,127842
2020-11-17,704244,9411,74.83,284898
2020-11-18,424457,5828,72.83,173087
2020-11-19,415046,5728,72.46,153847
2020-11-20,648596,7903,82.07,172403
2020-11-23,579529,7531,76.95,238729
2020-11-24,208709,3845,54.28,97287
2020-11-25,481003,7390,65.09,156699
2020-11-26,279484,4641,60.22,103550
2020-11-27,265281,4109,64.56,114827
2020-12-01,216860,3249,66.75,107639
2020-12-02,309327,4348,71.14,121758
2020-12-03,426536,6824,62.51,184477
2020-12-04,275741,4459,61.84,125158
2020-12-07,1104749,17978,61.45,510095
2020-12-08,560851,9412,59.59,268860
2020-12-09,511041,7926,64.48,218025
2020-12-10,377965,5962,63.4,129255
