Date,TTL_TRD_QNTY,NO_OF_TRADES,QTY_PER_TRADE,DELIV_QTY
2019-09-30,22756,137,166.1,13613
2019-10-01,4679,86,54.41,2323
2019-10-03,8676,188,46.15,6202
2019-10-04,3301,55,60.02,2435
2019-10-07,1167,43,27.14,700
2019-10-09,6152,63,97.65,4363
2019-10-10,1443,25,57.72,1408
2019-10-11,4005,85,47.12,2366
2021-01-11,11585,33,351.06,11585
2021-01-12,8728,45,193.96,8728
2021-01-13,9857,31,317.97,9857
2021-01-14,7459,29,257.21,7459
2021-01-15,5184,18,288.0,5184
2021-01-18,3331,15,222.07,3331
2021-01-19,3039,16,189.94,3039
2021-01-20,17312,42,412.19,17312
2021-01-21,1391,20,69.55,1391
2021-01-22,5,1,5.0,5
2021-01-25,463,5,92.6,463
2021-01-27,2022,20,101.1,2022
2021-01-28,402,3,134.0,402
2021-01-29,1501,15,100.07,1501
2021-02-01,125,5,25.0,125
2021-02-02,23341,61,382.64,17006
2021-02-03,7749,40,193.72,6383
2021-02-04,16803,62,271.02,10764
2021-02-05,5310,51,104.12,2766
2021-02-08,10888,51,213.49,8823
2021-02-09,29916,129,231.91,18136
2021-02-10,11606,36,322.39,11581
2021-02-11,36226,121,299.39,34775
2021-02-12,28668,106,270.45,24231
2021-02-15,8275,41,201.83,6560
2021-02-16,14336,153,93.7,13188
2021-02-17,16581,59,281.03,14807
2021-02-18,32500,104,312.5,28913
2021-02-19,9299,79,117.71,8802
2021-02-22,5485,38,144.34,4603
2021-02-23,8420,34,247.65,7403
2021-02-24,5290,19,278.42,5280
2021-02-25,9465,102,92.79,8840
2021-02-26,41510,450,92.24,37306
2021-03-01,5571,37,150.57,4333
2021-03-02,5917,39,151.72,3735
2021-03-03,7404,28,264.43,5816
2021-03-04,4356,20,217.8,4316
2021-03-05,5134,20,256.7,3302
2021-03-08,4566,31,147.29,3082
2021-03-09,7029,30,234.3,5294
2021-03-10,24269,71,341.82,18659
2021-03-12,24849,50,496.98,23794
2021-03-15,26170,56,467.32,22060
2021-03-16,30000,187,160.43,25793
2021-03-17,44435,79,562.47,40132
2021-03-18,26304,34,773.65,24928
2021-03-19,31144,57,546.39,22357
2021-03-22,25202,155,162.59,22656
2021-03-23,23140,67,345.37,21639
2021-03-24,13339,76,175.51,11295
2021-03-25,13883,53,261.94,9408
2021-03-26,13583,59,230.22,10619
2021-03-30,15120,57,265.26,9806
2021-03-31,1861,24,77.54,1628
2021-04-01,5450,27,201.85,5365
2021-04-05,10842,33,328.55,10107
2021-04-06,4054,26,155.92,3909
2021-04-07,16361,60,272.68,11110
2021-04-08,11513,35,328.94,8221
2021-04-09,8890,30,296.33,5802
2021-04-12,6083,23,264.48,5865
2021-04-13,2865,31,92.42,2614
2021-04-15,5063,20,253.15,4757
2021-04-16,5561,31,179.39,5048
2021-04-19,4394,33,133.15,3693
2021-04-20,6290,27,232.96,4516
2021-04-22,1385,23,60.22,1352
2021-04-23,1798,27,66.59,1601
2021-04-26,3943,25,157.72,3682
2021-04-27,3240,15,216.0,3085
2021-04-28,5604,19,294.95,4108
2021-04-29,11496,57,201.68,8978
2021-04-30,36078,66,546.64,22050
2021-05-03,17155,35,490.14,15585
2021-05-04,5135,20,256.75,5135
2021-05-05,9196,22,418.0,7196
2021-05-06,7037,39,180.44,2220
2021-05-07,9277,35,265.06,7297
2021-05-10,13217,45,293.71,11665
2021-05-11,17369,49,354.47,9832
2021-05-12,3993,36,110.92,3796
2021-05-14,6634,38,174.58,4847
2021-05-17,2285,22,103.86,1543
2021-05-18,22002,53,415.13,20326
2021-05-19,25151,41,613.44,21317
2021-05-20,5030,24,209.58,4603
2021-05-21,26606,70,380.09,12544
2021-05-24,14251,55,259.11,10435
