Date,TTL_TRD_QNTY,NO_OF_TRADES,QTY_PER_TRADE,DELIV_QTY
2019-09-30,226987,16720,13.58,163655
2019-10-01,583671,10075,57.93,211687
2019-10-03,173642,7778,22.32,138557
2019-10-04,256231,5950,43.06,229529
2019-10-07,277972,8043,34.56,176329
2019-10-09,264606,19980,13.24,211863
2019-10-10,408474,16616,24.58,320195
2019-10-11,377223,22769,16.57,313689
2019-10-14,107137,7672,13.96,68804
2019-10-15,114430,4807,23.8,96317
2019-10-16,45483,4458,10.2,27465
2019-10-17,49462,3905,12.67,36734
2019-10-18,187638,7940,23.63,108791
2019-10-22,108447,10979,9.88,68847
2019-10-23,183316,9869,18.57,155277
2019-10-24,340867,10783,31.61,220241
2019-10-25,122543,10655,11.5,73598
2019-10-29,100150,9888,10.13,60788
2019-10-30,203000,7647,26.55,166294
2019-10-31,299095,16683,17.93,237549
2019-11-01,59602,3458,17.24,37415
2019-11-04,74942,6477,11.57,39056
2019-11-05,168201,8716,19.3,139967
2019-11-06,63133,3881,16.27,40658
2019-11-07,58656,4633,12.66,25129
2019-11-08,100609,7710,13.05,56577
2019-11-11,81044,8662,9.36,50708
2019-11-13,143355,6146,23.32,115296
2019-11-14,78354,5991,13.08,48080
2019-11-15,129296,10783,11.99,80069
2019-11-18,758777,10989,69.05,689164
2019-11-19,107320,10438,10.28,74767
2019-11-20,111307,7689,14.48,86273
2019-11-21,114983,12046,9.55,76171
2019-11-22,474983,22262,21.34,299112
2019-11-25,154970,8017,19.33,63341
2019-11-26,144288,13750,10.49,101736
2019-11-27,1069634,10314,103.71,1002838
2019-11-28,247582,8134,30.44,151988
2019-11-29,131681,7653,17.21,83156
2019-12-02,225320,25558,8.82,71561
2019-12-03,170725,28790,5.93,116516
2019-12-04,105926,6960,15.22,56667
2019-12-05,104463,10907,9.58,71405
2019-12-06,308098,14251,21.62,224177
2019-12-09,78382,6296,12.45,47598
2019-12-10,62057,5956,10.42,36295
2019-12-11,132421,8981,14.74,79160
2019-12-12,132663,10607,12.51,84118
2019-12-13,101712,6205,16.39,58508
2019-12-16,206311,13650,15.11,158387
2019-12-17,107549,5847,18.39,84338
2019-12-18,122718,6570,18.68,96894
2019-12-19,40777,2743,14.87,23387
2019-12-20,400304,14758,27.12,299429
2019-12-23,120484,6048,19.92,77911
2019-12-24,33755,2052,16.45,13892
2019-12-26,87514,4684,18.68,48446
2019-12-27,156287,10916,14.32,88654
2019-12-30,90869,5314,17.1,50360
2019-12-31,211177,11669,18.1,138830
2020-01-01,131875,16551,7.97,13461
2020-01-02,360884,7501,48.11,298811
2020-01-03,235166,23846,9.86,156224
2020-01-06,99636,4797,20.77,74312
2020-01-07,781520,7042,110.98,743624
2020-01-08,151534,8771,17.28,60454
2020-01-09,388633,9504,40.89,354542
2020-01-10,43647,4914,8.88,26721
2020-01-13,104195,5242,19.88,49517
2020-01-14,787576,24776,31.79,365457
2020-01-15,75668,6721,11.26,46974
2020-01-16,99901,11894,8.4,73311
2020-01-17,85568,10711,7.99,52382
2020-01-20,57759,8381,6.89,30378
2020-01-21,731989,8185,89.43,700853
2020-01-22,289067,5889,49.09,244957
2020-01-23,178428,8024,22.24,121908
2020-01-24,340980,5054,67.47,311318
2020-01-27,56764,5436,10.44,34591
2020-01-28,567745,12486,45.47,485829
2020-01-29,140355,7413,18.93,51586
2020-01-30,43631,2772,15.74,22932
2020-01-31,51751,3550,14.58,32179
2020-02-03,598456,14641,40.88,511228
2020-02-04,82392,7357,11.2,39172
2020-02-05,48743,2534,19.24,36908
2020-02-06,169633,8781,19.32,92132
2020-02-07,1380903,17921,77.06,1220133
2020-02-10,193759,8355,23.19,165052
2020-02-11,86789,16235,5.35,57245
2020-02-12,132362,19443,6.81,92259
2020-02-13,81925,8551,9.58,49713
2020-02-14,180005,15604,11.54,130635
2020-02-17,82913,7286,11.38,53512
2020-02-18,115579,8275,13.97,81862
2020-02-19,52228,7030,7.43,29806
2020-02-20,236728,8794,26.92,203539
2020-02-24,30909,2508,12.32,17452
2020-02-25,174600,4064,42.96,155749
2020-02-26,549141,15854,34.64,434419
