Date,TTL_TRD_QNTY,NO_OF_TRADES,QTY_PER_TRADE,DELIV_QTY
2019-09-30,3319,77,43.1,2877
2019-10-01,8488,121,70.15,6689
2019-10-03,6737,93,72.44,6393
2019-10-04,5776,85,67.95,2991
2019-10-07,6095,251,24.28,3348
2019-10-09,27098,130,208.45,5452
2019-10-10,2693,53,50.81,2483
2019-10-11,7696,140,54.97,5561
2019-10-14,24079,180,133.77,21076
2019-10-15,4663,54,86.35,4044
2019-10-16,1849,63,29.35,948
2019-10-17,33901,219,154.8,28514
2019-10-18,8427,258,32.66,5020
2019-10-22,2619,57,45.95,2130
2019-10-23,3322,75,44.29,1966
2019-10-24,2649,79,33.53,2182
2019-10-25,6143,62,99.08,4657
2019-10-29,5190,83,62.53,3457
2019-10-30,2866,69,41.54,2067
2019-10-31,19120,509,37.56,12777
2019-11-01,4497,182,24.71,3469
2019-11-04,12640,203,62.27,9418
2019-11-05,7952,147,54.1,4251
2019-11-06,2273,83,27.39,1563
2019-11-07,5226,149,35.07,3891
2019-11-08,9197,194,47.41,7525
2019-11-11,7909,95,83.25,7017
2019-11-13,48810,836,58.39,34687
2019-11-14,13282,306,43.41,8706
2019-11-15,8557,141,60.69,6473
2019-11-18,5516,149,37.02,4743
2019-11-19,5840,59,98.98,4497
2019-11-20,5935,201,29.53,4144
2019-11-21,7093,145,48.92,5096
2019-11-22,210589,192,1096.82,207204
2019-11-25,27110,295,91.9,23514
2019-11-26,5759,139,41.43,3559
2019-11-27,6264,73,85.81,5230
2019-11-28,5924,161,36.8,2976
2019-11-29,4423,130,34.02,2736
2019-12-02,12099,145,83.44,10574
2019-12-03,4069,131,31.06,3274
2019-12-04,3414,116,29.43,2059
2019-12-05,5632,131,42.99,3719
2019-12-06,6413,89,72.06,4780
2019-12-09,9230,963,9.58,8538
2019-12-10,4687,128,36.62,2975
2019-12-11,16289,164,99.32,11507
2019-12-12,5473,93,58.85,4349
2019-12-13,4362,55,79.31,4096
2019-12-16,3487,20,174.35,3388
2019-12-17,4538,34,133.47,3496
2019-12-18,5058,72,70.25,3896
