Date,TTL_TRD_QNTY,NO_OF_TRADES,QTY_PER_TRADE,DELIV_QTY
2019-10-01,13623,737,18.48,9233
2019-10-03,4610,233,19.79,2757
2019-10-04,3634,260,13.98,3165
2019-10-07,2563,111,23.09,2048
2019-10-09,2650,72,36.81,2054
2019-10-10,1548,59,26.24,1398
2019-10-11,2259,75,30.12,1702
2019-10-14,2214,63,35.14,1657
2019-10-15,1042,82,12.71,470
2019-10-16,763,35,21.8,508
2019-10-17,2418,83,29.13,1924
2019-10-18,3392,172,19.72,2036
2019-10-22,2504,62,40.39,1807
2019-10-23,4204,113,37.2,1048
2019-10-24,1872,74,25.3,1262
2019-10-25,794,20,39.7,363
2019-10-29,2422,49,49.43,2143
2019-10-30,5994,386,15.53,3831
2019-10-31,990,89,11.12,680
2019-11-01,1688,43,39.26,1249
2019-11-04,1103,42,26.26,837
2019-11-05,3108,200,15.54,1238
2019-11-06,477,42,11.36,324
2019-11-07,5238,250,20.95,3836
2019-11-08,3442,54,63.74,2753
2019-11-11,4391,112,39.21,2686
2019-11-13,6745,217,31.08,4269
2019-11-14,3774,90,41.93,2316
2019-11-15,3126,87,35.93,2698
2019-11-18,7748,264,29.35,3810
2019-11-19,6599,250,26.4,2949
2019-11-20,9765,134,72.87,9151
2019-11-21,1835,19,96.58,1585
2019-11-22,2527,142,17.8,1859
2019-11-25,4097,88,46.56,3116
2019-11-26,1740,75,23.2,1465
2019-11-27,3081,228,13.51,2488
2019-11-28,523,25,20.92,382
2019-11-29,1726,65,26.55,1665
2019-12-02,1609,90,17.88,1320
2019-12-03,1360,68,20.0,939
2019-12-04,5208,610,8.54,2681
2019-12-05,2148,74,29.03,1590
2019-12-06,7287,132,55.2,5430
2019-12-09,2246,156,14.4,1238
2019-12-10,447,50,8.94,396
2019-12-11,3581,188,19.05,3179
2019-12-12,1785,69,25.87,1543
2019-12-13,2472,59,41.9,1308
2019-12-16,1004,84,11.95,807
2019-12-17,1922,147,13.07,1314
2019-12-18,6088,163,37.35,5213
2019-12-19,1326,32,41.44,1130
2019-12-20,590,48,12.29,378
2019-12-23,1135,141,8.05,736
2019-12-24,25450,207,122.95,21386
2019-12-26,788,41,19.22,652
2019-12-27,2032,64,31.75,1201
2019-12-30,3195,72,44.38,1623
2019-12-31,2293,66,34.74,1557
2020-01-01,3407,130,26.21,2607
2020-01-02,5049,246,20.52,3802
2020-01-03,3713,104,35.7,2503
2020-01-06,2574,111,23.19,1924
2020-01-07,3255,501,6.5,2555
2020-01-08,3847,119,32.33,2384
2020-01-09,2637,82,32.16,1860
2020-01-10,6561,210,31.24,4592
2020-01-13,4283,245,17.48,3044
2020-01-14,6009,202,29.75,4288
2020-01-15,6879,336,20.47,5784
2020-01-16,16470,708,23.26,10292
2020-01-17,4345,165,26.33,4118
2020-01-20,5549,424,13.09,3316
2020-01-21,7813,246,31.76,5167
2020-01-22,7938,473,16.78,4858
2020-01-23,3153,134,23.53,2219
2020-01-24,1558,124,12.56,1129
2020-01-27,4851,317,15.3,3155
2020-01-28,5158,510,10.11,3615
2020-01-29,4602,533,8.63,3722
2020-01-30,2882,233,12.37,2500
2020-01-31,4736,192,24.67,4081
2020-02-03,1419,125,11.35,865
2020-02-04,1842,68,27.09,1315
2020-02-05,5108,238,21.46,2599
2020-02-06,8581,429,20.0,5742
2020-02-07,2992,188,15.91,2126
2020-02-10,2294,106,21.64,1916
2020-02-11,3649,127,28.73,2769
2020-02-12,996,77,12.94,680
2020-02-13,2867,107,26.79,2200
2020-02-14,3139,71,44.21,2438
2020-02-17,1735,101,17.18,1279
2020-02-18,3179,74,42.96,2555
2020-02-19,3899,143,27.27,2647
2020-02-20,2555,55,46.45,2016
2020-02-24,3618,361,10.02,2781
2020-02-25,908,78,11.64,573
2020-02-26,7660,353,21.7,4672
2020-02-27,2931,100,29.31,1862
2020-02-28,3719,135,27.55,2213
2020-03-02,1513,39,38.79,1460
2020-03-03,2006,87,23.06,1198
2020-03-04,1436,36,39.89,1297
2020-03-05,2545,97,26.24,1730
2020-03-06,8396,230,36.5,6060
2020-03-09,10934,366,29.87,7309
2020-03-11,3810,70,54.43,3297
2020-03-12,13464,243,55.41,12311
2020-03-13,6789,105,64.66,6136
2020-03-16,4523,178,25.41,2675
2020-03-17,10317,345,29.9,5530
2020-03-18,3936,125,31.49,3376
2020-03-19,4964,134,37.04,4238
2020-03-20,6097,112,54.44,4557
2020-03-23,3611,137,26.36,2669
2020-03-24,3640,115,31.65,2483
2020-03-25,2934,118,24.86,1613
2020-03-26,1113,106,10.5,745
2020-03-27,11314,174,65.02,7271
2020-03-30,1526,79,19.32,1171
