Date,TTL_TRD_QNTY,NO_OF_TRADES,QTY_PER_TRADE,DELIV_QTY
2019-09-30,3286,42,78.24,2231
2019-10-01,1586,17,93.29,1196
2019-10-03,653,9,72.56,650
2019-10-04,570,7,81.43,500
2019-10-07,765,12,63.75,463
2019-10-09,247,14,17.64,247
2019-10-10,70,3,23.33,70
2019-10-11,1329,24,55.38,1039
2019-10-14,2591,56,46.27,1924
2019-10-15,8090,82,98.66,4653
2019-10-16,3365,39,86.28,2162
2019-10-17,1051,14,75.07,733
2019-10-18,710,12,59.17,710
2019-10-22,592,12,49.33,592
2019-10-23,1550,8,193.75,1550
2019-10-24,1485,11,135.0,1485
2019-10-25,4159,58,71.71,3298
2019-10-29,3557,183,19.44,3096
2019-10-30,17800,224,79.46,14562
2019-10-31,3958,58,68.24,3216
2019-11-01,613,13,47.15,613
2019-11-04,12614,309,40.82,9159
2019-11-05,6786,72,94.25,5554
2019-11-06,9237,124,74.49,5328
2019-11-07,2496,23,108.52,2496
2019-11-08,692,12,57.67,692
2019-11-11,2690,20,134.5,2690
2019-11-13,517,7,73.86,517
2019-11-14,1650,9,183.33,1650
2019-11-15,541,9,60.11,541
2019-11-18,2705,17,159.12,2705
2019-11-19,1125,18,62.5,1125
2019-11-20,578,8,72.25,578
2019-11-21,3734,33,113.15,3734
2019-11-22,1573,19,82.79,1573
2019-11-25,1022,13,78.62,1022
2019-11-26,1904,29,65.66,1904
2019-11-27,44,3,14.67,44
2019-11-28,545,8,68.12,545
2019-11-29,949,17,55.82,949
2019-12-02,483,6,80.5,483
2019-12-03,850,6,141.67,850
2019-12-04,169,10,16.9,169
2019-12-05,1448,22,65.82,1448
2019-12-06,801,9,89.0,801
2019-12-09,280,7,40.0,280
2019-12-10,449,13,34.54,257
2019-12-11,3167,25,126.68,2984
2019-12-12,1866,43,43.4,1496
2019-12-13,3384,29,116.69,3190
2019-12-16,7674,62,123.77,5628
2019-12-17,1737,46,37.76,1043
2019-12-18,6394,32,199.81,5447
2019-12-19,2354,129,18.25,2352
2019-12-20,1380,12,115.0,1180
2019-12-23,3831,21,182.43,3831
2019-12-24,3871,28,138.25,2781
2019-12-26,6426,56,114.75,4790
2019-12-27,1351,79,17.1,701
2019-12-30,1079,25,43.16,992
2019-12-31,304,18,16.89,269
2020-01-01,3290,188,17.5,1606
2020-01-02,1156,12,96.33,1135
2020-01-03,2265,25,90.6,1874
2020-01-06,1569,82,19.13,1482
2020-01-07,867,35,24.77,518
2020-01-08,7227,23,314.22,6761
2020-01-09,560,88,6.36,394
2020-01-10,273,58,4.71,229
2020-01-13,564,319,1.77,458
2020-01-14,1700,26,65.38,1599
2020-01-15,1500,44,34.09,821
2020-01-16,1132,21,53.9,1127
2020-01-17,263,12,21.92,191
2020-01-20,3190,36,88.61,2944
2020-01-21,1852,86,21.53,1291
2020-01-22,2108,76,27.74,1652
2020-01-23,2091,20,104.55,1358
2020-01-24,2452,19,129.05,1892
2020-01-27,2128,18,118.22,2127
2020-01-28,5639,30,187.97,3858
2020-01-29,2009,55,36.53,1403
2020-01-30,523,53,9.87,402
2020-01-31,4771,416,11.47,3992
2020-02-03,564,115,4.9,436
2020-02-04,4156,30,138.53,2866
2020-02-05,172,4,43.0,172
2020-02-06,4123,76,54.25,3563
2020-02-07,1692,30,56.4,1682
2020-02-10,3984,69,57.74,3984
2020-02-11,1703,53,32.13,1643
2020-02-12,1863,116,16.06,1622
2020-02-13,2511,97,25.89,2309
2020-02-14,3747,32,117.09,3547
2020-02-17,6772,45,150.49,5972
2020-02-18,6743,65,103.74,6105
2020-02-19,707,12,58.92,477
2020-02-20,832,11,75.64,820
2020-02-24,783,13,60.23,400
2020-02-25,1614,14,115.29,1306
2020-02-26,400,10,40.0,215
2020-02-27,793,11,72.09,793
2020-02-28,2200,16,137.5,2119
2020-03-02,1437,15,95.8,1056
2020-03-03,541,4,135.25,541
2020-03-04,80,1,80.0,80
2020-03-05,612,12,51.0,525
2020-03-06,1563,13,120.23,1563
2020-03-09,2364,17,139.06,2164
2020-03-11,1028,17,60.47,970
2020-03-12,1594,14,113.86,1442
2020-03-13,6371,14,455.07,6219
2020-03-16,1736,16,108.5,1736
2020-03-17,749,26,28.81,699
2020-03-18,1048,12,87.33,1048
2020-03-19,1686,9,187.33,1686
2020-03-20,554,80,6.92,495
2020-03-23,8157,21,388.43,8157
2020-03-24,609,7,87.0,609
2020-03-25,850,8,106.25,850
2020-03-26,1735,16,108.44,1718
2020-03-27,2640,14,188.57,2491
2020-03-30,1951,27,72.26,1951
2020-03-31,8496,10,849.6,8496
2020-04-01,100,3,33.33,75
2020-04-03,700,4,175.0,500
2020-04-07,1517,32,47.41,1016
2020-04-08,1075,17,63.24,720
2020-04-09,1475,13,113.46,955
2020-04-15,579,8,72.38,329
2020-04-16,1678,20,83.9,1678
2020-04-17,1125,32,35.16,826
2020-04-20,687,101,6.8,612
2020-04-21,1363,40,34.08,1205
2020-04-22,176,4,44.0,176
2020-04-23,5,2,2.5,5
2020-04-24,2092,8,261.5,2092
2020-04-27,485,8,60.62,485
2020-04-28,3913,25,156.52,3663
2020-04-29,115,3,38.33,115
2020-04-30,2157,15,143.8,1985
2020-05-04,6693,19,352.26,6491
2020-05-05,1640,9,182.22,1040
2020-05-06,1681,54,31.13,1423
2020-05-07,837,7,119.57,803
2020-05-08,571,2,285.5,571
2020-05-11,200,1,200.0,200
2020-05-12,834,6,139.0,834
2020-05-13,687,9,76.33,687
2020-05-14,2986,31,96.32,1941
2020-05-15,1924,15,128.27,1904
2020-05-18,1233,3,411.0,1233
2020-05-19,1050,7,150.0,1050
2020-05-20,750,3,250.0,500
2020-05-21,1305,20,65.25,1160
2020-05-22,577,8,72.12,577
2020-05-26,233,7,33.29,213
2020-05-27,272,7,38.86,160
2020-05-28,7933,72,110.18,6120
2020-05-29,1951,12,162.58,1851
2020-06-01,11096,71,156.28,10096
2020-06-02,1574,25,62.96,1421
2020-06-03,8056,23,350.26,7289
2020-06-04,1884,44,42.82,1304
2020-06-05,1005,14,71.79,659
2020-06-08,2673,17,157.24,2673
2020-06-09,3328,31,107.35,3227
2020-06-10,963,8,120.38,933
2020-06-11,2843,15,189.53,2843
2020-06-12,2522,14,180.14,1701
2020-06-15,1394,22,63.36,1250
2020-06-16,2207,22,100.32,2207
2020-06-17,2584,26,99.38,2584
2020-06-18,3643,20,182.15,3643
2020-06-19,2862,15,190.8,2862
2020-06-22,1488,16,93.0,1488
2020-06-23,1744,25,69.76,1744
2020-06-24,5080,23,220.87,5080
2020-06-25,2152,8,269.0,2152
2020-06-26,4770,29,164.48,4770
2020-06-29,3342,27,123.78,3342
2020-06-30,10105,48,210.52,10105
2020-07-01,23404,26,900.15,23404
2020-07-02,21923,24,913.46,21923
2020-07-03,17874,41,435.95,17874
2020-07-06,38088,66,577.09,38088
2020-07-07,27797,37,751.27,27797
2020-07-08,36356,33,1101.7,36356
2020-07-09,22315,57,391.49,22315
2020-07-10,26602,89,298.9,26602
2020-07-13,4990,45,110.89,4990
2020-07-14,5148,32,160.88,5148
2020-07-15,446,11,40.55,446
2020-07-16,2110,13,162.31,2110
2020-07-17,3636,28,129.86,3636
2020-07-20,1701,22,77.32,1701
2020-07-21,6265,27,232.04,6265
2020-07-22,6076,25,243.04,6076
2020-07-23,1692,17,99.53,1692
2020-07-24,573,7,81.86,573
2020-07-27,1978,12,164.83,1978
2020-07-28,1232,15,82.13,1232
2020-07-29,5051,33,153.06,5051
2020-07-30,2372,22,107.82,2372
2020-07-31,714,15,47.6,714
2020-08-03,6661,33,201.85,6661
2020-08-04,2938,25,117.52,2938
2020-08-05,906,10,90.6,906
2020-08-06,3965,26,152.5,3965
2020-08-07,2225,35,63.57,2225
2020-08-10,43244,28,1544.43,43244
2020-08-11,7437,48,154.94,7437
2020-08-12,2788,17,164.0,2788
2020-08-13,3029,17,178.18,3029
2020-08-14,1618,12,134.83,1618
2020-08-17,2376,28,84.86,2376
2020-08-18,12316,51,241.49,10945
2020-08-19,5447,28,194.54,4419
2020-08-20,8969,49,183.04,7009
2020-08-21,19614,78,251.46,15449
2020-08-24,11755,57,206.23,10958
2020-08-25,6129,46,133.24,5619
2020-08-26,2463,32,76.97,2345
2020-08-27,5671,49,115.73,4471
2020-08-28,14748,45,327.73,13348
2020-08-31,24334,309,78.75,15053
2020-09-01,2245,22,102.05,2215
2020-09-02,3277,51,64.25,2880
2020-09-03,2989,16,186.81,2989
2020-09-04,3961,97,40.84,3037
2020-09-07,8414,85,98.99,6789
2020-09-08,15918,90,176.87,12452
2020-09-09,11380,100,113.8,9947
2020-09-10,20742,51,406.71,20742
2020-09-11,3492,33,105.82,3492
2020-09-14,11905,72,165.35,11905
2020-09-15,20220,83,243.61,20220
2020-09-16,3692,49,75.35,3692
2020-09-17,9709,38,255.5,9709
2020-09-18,2044,26,78.62,2044
2020-09-21,2863,32,89.47,2863
2020-09-22,1300,6,216.67,1300
2020-09-23,1968,26,75.69,1968
2020-09-24,203,3,67.67,203
2020-09-25,1198,26,46.08,1198
2020-09-29,1851,21,88.14,1851
2020-09-30,1156,27,42.81,1156
2020-10-01,2998,36,83.28,2998
2020-10-05,1307,10,130.7,1307
2020-10-06,8141,8,1017.62,8141
2020-10-07,15349,30,511.63,15349
2020-10-08,1501,16,93.81,1501
2020-10-09,20086,89,225.69,20086
2020-10-12,4193,52,80.63,4193
2020-10-13,8899,41,217.05,8899
2020-10-14,4943,37,133.59,4943
2020-10-15,4189,26,161.12,4189
2020-10-16,1021,17,60.06,1021
2020-10-19,1737,32,54.28,1737
2020-10-20,6726,48,140.12,6726
2020-10-21,4865,39,124.74,4865
2020-10-22,1677,19,88.26,1677
2020-10-23,1142,16,71.38,1142
2020-10-26,944,13,72.62,944
2020-10-27,333,5,66.6,333
2020-10-28,805,8,100.62,805
2020-10-29,563,13,43.31,563
2020-10-30,528,5,105.6,528
2020-11-02,1902,14,135.86,1902
2020-11-03,919,10,91.9,919
2020-11-04,1186,13,91.23,1186
2020-11-05,3483,24,145.12,3483
2020-11-06,603,11,54.82,603
2020-11-09,1355,18,75.28,1355
2020-11-10,3271,29,112.79,1973
2020-11-11,1393,15,92.87,1273
2020-11-12,926,19,48.74,906
2020-11-13,8832,67,131.82,6952
2020-11-17,8564,83,103.18,7076
2020-11-18,8175,158,51.74,6862
2020-11-19,15313,37,413.86,15313
2020-11-20,9229,122,75.65,7836
2020-11-23,22824,137,166.6,19285
2020-11-24,40739,247,164.94,30888
2020-11-25,27044,286,94.56,23425
2020-11-26,38678,343,112.76,25187
2020-11-27,14332,201,71.3,11268
2020-12-01,11140,126,88.41,9255
2020-12-02,50707,277,183.06,35265
2020-12-03,16414,242,67.83,12458
2020-12-04,2438,32,76.19,2438
2020-12-07,3101,106,29.25,3101
2020-12-08,7146,71,100.65,7146
2020-12-09,10107,69,146.48,10107
2020-12-10,5253,52,101.02,5253
2020-12-11,6134,37,165.78,6134
2020-12-14,3150,24,131.25,3150
2020-12-15,20421,126,162.07,20421
2020-12-16,29416,105,280.15,29416
2020-12-17,20281,108,187.79,20281
2020-12-18,3958,47,84.21,3958
2020-12-21,4668,63,74.1,4668
2020-12-22,9738,56,173.89,9738
2020-12-23,5805,65,89.31,5805
2020-12-24,7186,58,123.9,7186
2020-12-28,8558,72,118.86,8558
2020-12-29,17411,110,158.28,17411
2020-12-30,4211,41,102.71,4211
2020-12-31,5647,66,85.56,5647
2021-01-01,3520,46,76.52,3520
2021-01-04,8762,89,98.45,8762
2021-01-05,6191,72,85.99,6191
2021-01-06,7399,57,129.81,7399
2021-01-07,8673,60,144.55,8673
2021-01-08,13362,85,157.2,13362
2021-01-11,8636,64,134.94,8636
2021-01-12,14971,93,160.98,14971
2021-01-13,20036,103,194.52,20036
