Date,TTL_TRD_QNTY,NO_OF_TRADES,QTY_PER_TRADE,DELIV_QTY
2021-10-01,2132033,29411,72.49,2132033
2021-10-04,229666,668,343.81,229666
2021-10-05,598641,9358,63.97,598641
2021-10-06,87885,1101,79.82,87885
2021-10-07,20927,433,48.33,20927
2021-10-08,18805,474,39.67,18805
2021-10-11,12686,334,37.98,12686
2021-10-12,772602,34034,22.7,772602
2021-10-13,132969,9378,14.18,132969
2021-10-14,862242,19144,45.04,862242
2021-10-18,3670817,157553,23.3,994193
2021-10-19,1666350,61150,27.25,630599
2021-10-20,6155927,289160,21.29,1251157
2021-10-21,4177670,169241,24.68,688634
2021-10-22,266248,9117,29.2,178694
2021-10-25,1008261,49725,20.28,572318
2021-10-26,81234,6748,12.04,66435
2021-10-27,816381,25471,32.05,421727
2021-10-28,47113,5401,8.72,47106
2021-10-29,49548,4814,10.29,41546
2021-11-01,48211,5523,8.73,48211
2021-11-02,57116,5804,9.84,57116
2021-11-03,4860471,229523,21.18,1427422
2021-11-04,4860471,229523,21.18,1427422
2021-11-08,632449,31314,20.2,404966
2021-11-09,3269902,132333,24.71,809361
2021-11-10,1533686,91739,16.72,586916
2021-11-11,733024,39728,18.45,277133
2021-11-12,388347,24619,15.77,170706
2021-11-15,585353,33410,17.52,275500
2021-11-16,403141,24737,16.3,176913
2021-11-17,487805,34596,14.1,263529
2021-11-18,477613,31643,15.09,218509
2021-11-22,445313,31365,14.2,211162
2021-11-23,1191991,49495,24.08,294160
2021-11-24,220563,7081,31.15,124543
2021-11-25,850837,16233,52.41,237138
2021-11-26,1755992,79710,22.03,504479
2021-11-29,337765,11440,29.52,142216
2021-11-30,451495,25936,17.41,198110
2021-12-01,221037,12452,17.75,83818
2021-12-02,300986,8585,35.06,162257
2021-12-03,894779,32965,27.14,273466
2021-12-06,402790,18594,21.66,146493
2021-12-07,423878,19368,21.89,105740
2021-12-08,262965,12991,20.24,96235
2021-12-09,182438,8694,20.98,77565
2021-12-10,201610,12012,16.78,89676
2021-12-13,256213,12179,21.04,78395
2021-12-14,195892,9278,21.11,58131
2021-12-15,171611,10595,16.2,83036
2021-12-16,208623,13921,14.99,98470
2021-12-17,215324,16515,13.04,84565
2021-12-20,261026,18835,13.86,105547
2021-12-21,196643,11449,17.18,67537
2021-12-22,246478,11795,20.9,70374
2021-12-23,117659,6354,18.52,48398
2021-12-24,166385,10773,15.44,51407
2021-12-27,461883,23365,19.77,144787
2021-12-28,1257184,71308,17.63,307185
2021-12-29,301684,14364,21.0,98182
