Date,TTL_TRD_QNTY,NO_OF_TRADES,QTY_PER_TRADE,DELIV_QTY
2019-09-30,1264,32,39.5,1179
2019-10-01,1733,342,5.07,530
2019-10-03,994,140,7.1,243
2019-10-04,2373,263,9.02,748
2019-10-07,1651,249,6.63,950
2019-10-09,1608,142,11.32,905
2019-10-10,730,134,5.45,236
2019-10-11,1802,164,10.99,1116
2019-10-14,695,120,5.79,204
2019-10-15,718,102,7.04,281
2019-10-16,3138,209,15.01,2345
2019-10-17,3376,229,14.74,1861
2019-10-18,2706,102,26.53,2054
2019-10-22,618,108,5.72,262
2019-10-23,3204,209,15.33,2773
2019-10-24,1421,81,17.54,1221
2019-10-25,4277,372,11.5,924
2019-10-29,2551,112,22.78,1265
2019-10-30,6272,385,16.29,5036
2019-10-31,11563,802,14.42,9268
2019-11-01,14532,412,35.27,11945
2019-11-04,2087,229,9.11,1182
2019-11-05,1130,197,5.74,661
2019-11-06,1280,126,10.16,637
2019-11-07,2048,232,8.83,840
2019-11-08,1218,192,6.34,607
2019-11-11,864,166,5.2,393
2019-11-13,481,111,4.33,165
2019-11-14,2082,237,8.78,687
2019-11-15,777,78,9.96,262
2019-11-18,2091,210,9.96,1193
2019-11-19,771,76,10.14,561
2019-11-20,2044,114,17.93,1593
2019-11-21,1551,451,3.44,542
2019-11-22,2356,438,5.38,261
2019-11-25,940,136,6.91,427
2019-11-26,2126,185,11.49,1406
2019-11-27,6531,380,17.19,4054
2019-11-28,4342,365,11.9,2541
2019-11-29,3213,284,11.31,1948
2019-12-02,5305,346,15.33,4222
2019-12-03,5745,454,12.65,3284
2019-12-04,4637,372,12.47,1447
2019-12-05,2008,170,11.81,1137
2019-12-06,4720,529,8.92,2370
2019-12-09,753,238,3.16,207
2019-12-10,2434,169,14.4,1509
2019-12-11,49300,131,376.34,40775
2019-12-12,4477,413,10.84,2097
2019-12-13,8265,149,55.47,7477
2019-12-16,873,141,6.19,287
2019-12-17,1888,66,28.61,1618
2019-12-18,2157,222,9.72,1185
2019-12-19,1735,181,9.59,888
2019-12-20,2897,214,13.54,1911
2019-12-23,1116,63,17.71,707
2019-12-24,2260,311,7.27,850
2019-12-26,1172,69,16.99,655
2019-12-27,713,76,9.38,362
2019-12-30,1155,171,6.75,434
2019-12-31,1074,155,6.93,128
2020-01-01,2514,190,13.23,1340
2020-01-02,2716,151,17.99,1271
2020-01-03,628,118,5.32,187
2020-01-06,3627,429,8.45,1363
2020-01-07,996,116,8.59,653
