Date,TTL_TRD_QNTY,NO_OF_TRADES,QTY_PER_TRADE,DELIV_QTY
2019-09-30,106927,1250,85.54,40469
2019-10-01,384,15,25.6,384
2019-10-03,2078,40,51.95,2078
2019-10-04,1132,33,34.3,1132
2019-10-07,544,25,21.76,544
2019-10-09,19288,273,70.65,11733
2019-10-10,4617,88,52.47,4607
2019-10-11,3962,57,69.51,3962
2019-10-14,3807,65,58.57,3806
2019-10-15,5365,58,92.5,5365
2019-10-16,6407,95,67.44,6407
2019-10-17,181579,2321,78.23,77162
2019-10-18,76091,705,107.93,50286
2019-10-22,68610,790,86.85,43241
2019-10-23,66873,1238,54.02,28523
2019-10-24,30735,648,47.43,17710
2019-10-25,33197,759,43.74,18489
2019-10-29,30926,360,85.91,22850
2019-10-30,62961,839,75.04,27617
2019-10-31,35716,564,63.33,18793
2019-11-01,42760,452,94.6,22132
2019-11-04,6256,91,68.75,6038
2019-11-05,48175,594,81.1,28066
2019-11-06,21770,193,112.8,18160
2019-11-07,4230,45,94.0,4230
2019-11-08,62921,639,98.47,37778
2019-11-11,14952,114,131.16,9885
2019-11-13,117489,1294,90.8,61514
2019-11-14,9701,66,146.98,9701
2019-11-15,1604,37,43.35,1604
2019-11-18,2262,32,70.69,2262
2019-11-19,5735,72,79.65,5733
2019-11-20,3922,68,57.68,3909
2019-11-21,81887,670,122.22,40158
2019-11-22,2636,45,58.58,2636
2019-11-25,172764,2374,72.77,84145
2019-11-26,156446,2569,60.9,41400
2019-11-27,79123,1649,47.98,32434
2019-11-28,164031,2092,78.41,71321
2019-11-29,379222,5226,72.56,113828
2019-12-02,90670,1924,47.13,32238
2019-12-03,41355,1102,37.53,26463
2019-12-04,40330,1391,28.99,10085
2019-12-05,110469,1160,95.23,48618
2019-12-06,85029,1811,46.95,43442
2019-12-09,74673,1885,39.61,22066
2019-12-10,170661,3498,48.79,31942
2019-12-11,92452,2347,39.39,26981
2019-12-12,109195,2666,40.96,31493
2019-12-13,165053,2952,55.91,57521
2019-12-16,70068,1484,47.22,40951
2019-12-17,52469,2215,23.69,15625
2019-12-18,28757,1029,27.95,10227
2019-12-19,82808,1714,48.31,22446
2019-12-20,129927,2498,52.01,43540
2019-12-23,57369,1819,31.54,30362
2019-12-24,78826,1536,51.32,24271
2019-12-26,39948,1105,36.15,18980
