Date,TTL_TRD_QNTY,NO_OF_TRADES,QTY_PER_TRADE,DELIV_QTY
2020-09-23,25224,73,345.53,23121
2020-09-24,17304,169,102.39,5952
2020-09-25,14010,106,132.17,3145
2020-09-29,8568,73,117.37,2410
2020-09-30,3605,15,240.33,530
2020-10-01,17634,50,352.68,9028
2020-10-05,7726,32,241.44,1028
2020-10-06,6619,35,189.11,1352
2020-10-07,3469,65,53.37,224
2020-10-08,6638,18,368.78,2229
2020-10-09,6136,17,360.94,936
2020-10-12,6819,47,145.09,1862
2020-10-13,25663,48,534.65,8111
2020-10-14,3258,16,203.62,210
2020-10-15,3671,14,262.21,362
2020-10-16,4125,20,206.25,1328
2020-10-19,7715,15,514.33,3010
2020-10-20,6405,14,457.5,2005
2020-10-21,5622,15,374.8,2110
2020-10-22,7713,20,385.65,205
2020-10-23,6962,20,348.1,60
2020-10-26,6244,30,208.13,309
2020-10-27,9304,35,265.83,4002
2020-10-28,5265,25,210.6,155
2020-10-29,16560,138,120.0,4140
2020-10-30,9036,46,196.43,1442
2020-11-02,6527,26,251.04,9
2020-11-03,7908,34,232.59,398
2020-11-04,7291,38,191.87,855
2020-11-05,5462,28,195.07,902
2020-11-06,8047,53,151.83,821
2020-11-09,5044,25,201.76,309
2020-11-10,5696,31,183.74,421
2020-11-11,4179,16,261.19,173
2020-11-12,3692,29,127.31,1082
2020-11-13,5083,19,267.53,178
2020-11-17,3886,29,134.0,208
2020-11-18,4123,42,98.17,415
2020-11-19,5401,14,385.79,200
2020-11-20,15976,130,122.89,5571
2020-11-23,7805,67,116.49,2933
2020-11-24,3623,17,213.12,102
2020-11-25,3775,57,66.23,2016
2020-11-26,3079,25,123.16,1119
2020-11-27,7796,65,119.94,2965
2020-12-01,3269,24,136.21,1316
2020-12-02,3094,34,91.0,1104
2020-12-03,3860,24,160.83,711
2020-12-04,14360,89,161.35,1403
2020-12-07,3250,8,406.25,1750
2020-12-08,2532,13,194.77,1000
2020-12-09,3390,25,135.6,739
2020-12-10,2124,12,177.0,132
2020-12-11,3550,20,177.5,232
2020-12-14,3538,21,168.48,192
2020-12-15,3496,38,92.0,1331
2020-12-16,7577,43,176.21,3482
2020-12-17,17341,189,91.75,8581
2020-12-18,2594,29,89.45,2430
2020-12-21,12444,54,230.44,8119
2020-12-22,1323,14,94.5,1201
2020-12-23,2953,54,54.69,863
2020-12-24,5816,33,176.24,4060
2020-12-28,10201,61,167.23,4170
2020-12-29,9822,65,151.11,7058
2020-12-30,9016,36,250.44,7410
2020-12-31,5831,158,36.91,4050
2021-01-01,2685,29,92.59,2174
2021-01-04,6535,67,97.54,4826
2021-01-05,23817,90,264.63,9367
2021-01-06,8045,64,125.7,5709
2021-01-07,181,9,20.11,175
2021-01-08,4308,28,153.86,250
2021-01-11,3532,27,130.81,3002
2021-01-12,3953,26,152.04,3217
2021-01-13,4110,25,164.4,3768
2021-01-14,763,20,38.15,427
2021-01-15,7561,60,126.02,5407
2021-01-18,130,16,8.12,62
2021-01-19,1911,45,42.47,992
2021-01-20,372,8,46.5,344
2021-01-21,246,11,22.36,186
2021-01-22,243,8,30.38,189
2021-01-25,78,4,19.5,52
2021-01-27,1327,16,82.94,1000
2021-01-28,228,15,15.2,132
2021-01-29,27947,339,82.44,18902
2021-02-01,308409,2643,116.69,90242
2021-02-02,12513,182,68.75,12513
2021-02-03,17553,94,186.73,17553
2021-02-04,22397,132,169.67,22397
2021-02-05,10260,67,153.13,10260
2021-02-08,7616,70,108.8,7616
2021-02-09,3092,33,93.7,3092
2021-02-10,2318,19,122.0,2318
2021-02-11,3406,30,113.53,3406
2021-02-12,998,22,45.36,998
2021-02-15,2860,16,178.75,2860
2021-02-16,2495,35,71.29,2495
2021-02-17,521,15,34.73,521
2021-02-18,688,12,57.33,688
2021-02-19,1337,28,47.75,1337
2021-02-22,8118,38,213.63,8118
2021-02-23,2500,27,92.59,2500
2021-02-24,984,19,51.79,984
2021-02-25,2535,25,101.4,2535
2021-02-26,1825,24,76.04,1825
2021-03-01,2388,34,70.24,2388
2021-03-02,1862,18,103.44,1862
2021-03-03,171,9,19.0,171
2021-03-04,1790,31,57.74,1790
2021-03-05,1087,16,67.94,1087
2021-03-08,1356,19,71.37,1356
2021-03-09,522,13,40.15,522
2021-03-10,94,8,11.75,94
2021-03-12,446,12,37.17,446
2021-03-15,67,6,11.17,67
2021-03-16,1792,40,44.8,1792
2021-03-17,100,5,20.0,100
2021-03-18,498,11,45.27,498
2021-03-19,484,8,60.5,484
2021-03-22,1544,25,61.76,1544
2021-03-23,755,19,39.74,755
2021-03-24,474,19,24.95,474
2021-03-25,196,10,19.6,196
2021-03-26,1826,22,83.0,1826
2021-03-30,1200,25,48.0,1200
2021-03-31,609,13,46.85,609
2021-04-01,2156,17,126.82,2156
2021-04-05,336,6,56.0,336
2021-04-06,1522,15,101.47,1522
2021-04-07,9028,16,564.25,9028
2021-04-08,1810,7,258.57,1810
2021-04-09,2571,17,151.24,2571
2021-04-12,153,3,51.0,153
2021-04-13,16,3,5.33,16
2021-04-15,197,6,32.83,197
2021-04-16,900,1,900.0,900
2021-04-19,124,14,8.86,124
2021-04-20,363,11,33.0,363
2021-04-22,373,10,37.3,373
2021-04-23,33,4,8.25,33
2021-04-26,45,2,22.5,45
2021-04-27,125,6,20.83,125
2021-04-28,1706,15,113.73,1706
2021-04-29,120,4,30.0,120
2021-04-30,155,6,25.83,155
2021-05-03,580,24,24.17,580
2021-05-04,46,4,11.5,46
2021-05-05,372,8,46.5,372
2021-05-06,176,7,25.14,176
2021-05-07,530,14,37.86,530
2021-05-10,581,9,64.56,581
2021-05-11,1314,11,119.45,1314
2021-05-12,445,6,74.17,445
2021-05-14,1295,12,107.92,1295
2021-05-17,1687,27,62.48,1687
2021-05-18,2076,20,103.8,2076
2021-05-19,138,9,15.33,138
2021-05-20,471,10,47.1,471
2021-05-21,1573,17,92.53,1573
2021-05-24,589,14,42.07,589
2021-05-25,522,10,52.2,522
2021-05-26,418,9,46.44,418
2021-05-27,332,8,41.5,332
2021-05-28,330,10,33.0,330
2021-05-31,80,1,80.0,80
2021-06-01,904,8,113.0,904
2021-06-02,585,10,58.5,585
2021-06-03,666,9,74.0,666
