Date,TTL_TRD_QNTY,NO_OF_TRADES,QTY_PER_TRADE,DELIV_QTY
2019-09-30,112062,755,148.43,77133
2019-10-01,593,37,16.03,460
2019-10-03,2374,81,29.31,2273
2019-10-04,266,14,19.0,258
2019-10-07,1222,11,111.09,1132
2019-10-09,3888,60,64.8,2507
2019-10-10,13989,121,115.61,9683
2019-10-11,1790,22,81.36,1591
2019-10-14,5987,68,88.04,4951
2019-10-15,5178,98,52.84,1553
2019-10-16,7542,85,88.73,3714
2019-10-17,1885,27,69.81,1552
2019-10-18,5484,8,685.5,5482
2019-10-22,14121,152,92.9,8196
2019-10-23,4641,39,119.0,4186
2019-10-24,4442,67,66.3,4092
2019-10-25,6299,29,217.21,5849
2019-10-29,2626,26,101.0,2511
2019-10-30,3024,58,52.14,2650
2019-10-31,5387,34,158.44,5271
2019-11-01,6856,30,228.53,6035
2019-11-04,6722,41,163.95,5540
2019-11-05,6091,23,264.83,5401
2019-11-06,1098,17,64.59,1083
2019-11-07,3152,36,87.56,2250
2019-11-08,3376,31,108.9,3175
2019-11-11,2698,20,134.9,2031
2019-11-13,600,9,66.67,591
2019-11-14,2255,50,45.1,1803
2019-11-15,3592,24,149.67,3336
2019-11-18,5509,57,96.65,4713
2019-11-19,1206,15,80.4,1091
2019-11-20,4235,18,235.28,4136
2019-11-21,886,18,49.22,568
2019-11-22,2261,27,83.74,1421
2019-11-25,1887,22,85.77,1856
2019-11-26,3506,38,92.26,2788
2019-11-27,441,10,44.1,434
2019-11-28,1768,24,73.67,1761
2019-11-29,6191,38,162.92,4165
2019-12-02,924,25,36.96,785
2019-12-03,3598,24,149.92,2835
2019-12-04,503,6,83.83,502
2019-12-05,1699,19,89.42,1643
2019-12-06,1202,15,80.13,1101
2019-12-09,1713,20,85.65,1429
2019-12-10,1944,25,77.76,1802
2019-12-11,2298,13,176.77,2296
2019-12-12,485,16,30.31,303
2019-12-13,207,9,23.0,117
2019-12-16,11439,75,152.52,10042
2019-12-17,1073,13,82.54,672
2019-12-18,600,2,300.0,600
2019-12-19,938,31,30.26,692
2019-12-20,2775,22,126.14,2542
2019-12-23,1234,23,53.65,1116
2019-12-24,1444,21,68.76,1394
2019-12-26,4504,33,136.48,4273
2019-12-27,2050,19,107.89,1996
2019-12-30,72511,81,895.2,70506
2019-12-31,2859,38,75.24,2355
2020-01-01,412,16,25.75,227
2020-01-02,1151,35,32.89,801
2020-01-03,798,20,39.9,724
2020-01-06,1091,10,109.1,1091
2020-01-07,249,19,13.11,122
2020-01-08,357,13,27.46,336
2020-01-09,1142,32,35.69,806
2020-01-10,792,15,52.8,672
2020-01-13,287,15,19.13,264
2020-01-14,5398,32,168.69,3220
2020-01-15,4721,47,100.45,4047
2020-01-16,2469,49,50.39,1051
2020-01-17,138,3,46.0,138
2020-01-20,44,12,3.67,39
2020-01-21,1630,37,44.05,1207
2020-01-22,8965,63,142.3,8293
2020-01-23,1699,31,54.81,989
2020-01-24,1932,19,101.68,1331
2020-01-27,4154,83,50.05,2049
2020-01-28,9870,81,121.85,6631
2020-01-29,1947,40,48.68,1723
2020-01-30,2937,30,97.9,2402
2020-01-31,1240,14,88.57,1236
2020-02-03,216,34,6.35,165
2020-02-04,391,19,20.58,370
2020-02-05,2012,12,167.67,1807
2020-02-06,1777,26,68.35,1522
2020-02-07,1043,25,41.72,322
2020-02-10,10336,107,96.6,9026
2020-02-11,3607,24,150.29,2896
2020-02-12,15730,126,124.84,13465
2020-02-13,23536,113,208.28,20341
2020-02-14,6307,55,114.67,4221
2020-02-17,10478,46,227.78,9983
2020-02-18,1162,21,55.33,986
2020-02-19,4729,35,135.11,4215
2020-02-20,446,17,26.24,335
2020-02-24,78,11,7.09,71
2020-02-25,8168,43,189.95,5325
2020-02-26,16533,60,275.55,16243
2020-02-27,2660,31,85.81,2038
2020-02-28,8676,67,129.49,6020
2020-03-02,4942,28,176.5,4737
2020-03-03,14167,103,137.54,12791
2020-03-04,17556,93,188.77,13309
2020-03-05,6097,73,83.52,4249
2020-03-06,12665,48,263.85,11477
2020-03-09,22056,154,143.22,11958
2020-03-11,146944,134,1096.6,145728
2020-03-12,29883,64,466.92,27505
2020-03-13,57049,96,594.26,52569
2020-03-16,12814,52,246.42,12470
2020-03-17,4484,43,104.28,4421
2020-03-18,32962,129,255.52,21141
2020-03-19,35428,233,152.05,32094
2020-03-20,4433,29,152.86,4013
2020-03-23,18847,81,232.68,10564
2020-03-24,3934,40,98.35,3362
2020-03-25,26150,55,475.45,25019
2020-03-26,8447,32,263.97,5354
2020-03-27,1517,23,65.96,1515
2020-03-30,863,19,45.42,861
2020-03-31,16738,28,597.79,16738
2020-04-01,5625,35,160.71,5093
2020-04-03,5048,41,123.12,4248
2020-04-07,6133,40,153.32,4648
2020-04-08,11775,25,471.0,11295
2020-04-09,1803,37,48.73,1275
2020-04-15,4437,42,105.64,1864
2020-04-16,1430,32,44.69,720
2020-04-17,3718,28,132.79,3604
