Date,TTL_TRD_QNTY,NO_OF_TRADES,QTY_PER_TRADE,DELIV_QTY
2019-09-30,14365,1785,8.05,8369
2019-10-01,2165,370,5.85,1484
2019-10-03,2917,429,6.8,1808
2019-10-04,15739,2626,5.99,7407
2019-10-07,8919,1477,6.04,4206
2019-10-09,9480,1354,7.0,4194
2019-10-10,1436,232,6.19,950
2019-10-11,2498,371,6.73,1686
2019-10-14,6051,969,6.24,2580
2019-10-15,3359,395,8.5,2209
2019-10-16,3784,798,4.74,1661
2019-10-17,4292,632,6.79,2834
2019-10-18,5097,757,6.73,3222
2019-10-22,12522,1203,10.41,10035
2019-10-23,5276,853,6.19,3008
2019-10-24,2207,567,3.89,1481
2019-10-25,5802,1020,5.69,4142
2019-10-29,9015,1678,5.37,6511
2019-10-30,8379,2131,3.93,5875
2019-10-31,28316,2571,11.01,24050
2019-11-01,4915,826,5.95,2502
2019-11-04,2477,523,4.74,2047
2019-11-05,4974,916,5.43,3069
2019-11-06,6382,770,8.29,4050
2019-11-07,2922,723,4.04,1903
2019-11-08,3109,513,6.06,2374
2019-11-11,31009,4580,6.77,7973
2019-11-13,33938,5001,6.79,16284
2019-11-14,27624,2625,10.52,20495
2019-11-15,17036,1538,11.08,11927
2019-11-18,7986,971,8.22,5762
2019-11-19,6282,931,6.75,4378
2019-11-20,7790,942,8.27,6021
2019-11-21,26251,2436,10.78,16261
2019-11-22,29659,3402,8.72,23140
2019-11-25,48282,4459,10.83,22767
2019-11-26,29506,3615,8.16,16374
2019-11-27,16310,1735,9.4,9428
2019-11-28,25146,2380,10.57,14478
2019-11-29,32854,3937,8.34,19271
2019-12-02,12299,1448,8.49,8761
2019-12-03,10838,1474,7.35,5655
2019-12-04,8704,1429,6.09,6462
2019-12-05,7742,1348,5.74,5085
2019-12-06,18006,1937,9.3,12951
2019-12-09,24889,2546,9.78,16384
2019-12-10,6620,1236,5.36,3926
2019-12-11,16776,2524,6.65,6190
2019-12-12,11754,2146,5.48,8312
2019-12-13,10757,1335,8.06,6379
2019-12-16,12563,1723,7.29,6249
2019-12-17,16704,2309,7.23,10616
2019-12-18,7285,1153,6.32,4341
2019-12-19,8541,780,10.95,6684
2019-12-20,10342,1132,9.14,6873
2019-12-23,7434,1033,7.2,4544
2019-12-24,6572,646,10.17,3662
2019-12-26,6459,892,7.24,2072
2019-12-27,6094,943,6.46,3490
2019-12-30,14476,2561,5.65,11393
2019-12-31,9129,1993,4.58,6458
2020-01-01,10150,1018,9.97,7350
2020-01-02,19379,1636,11.85,11682
2020-01-03,16602,2167,7.66,10952
2020-01-06,7940,1155,6.87,5818
2020-01-07,11344,1221,9.29,7907
2020-01-08,5108,718,7.11,2405
2020-01-09,23416,1852,12.64,16941
2020-01-10,20954,3124,6.71,16361
2020-01-13,9103,718,12.68,8057
2020-01-14,21219,2077,10.22,16981
2020-01-15,12746,1463,8.71,7697
2020-01-16,39607,4171,9.5,26551
2020-01-17,41179,2925,14.08,33019
2020-01-20,22194,3396,6.54,13814
2020-01-21,38991,5538,7.04,23377
2020-01-22,121813,3330,36.58,106968
2020-01-23,42702,4497,9.5,20592
2020-01-24,32097,2721,11.8,15412
2020-01-27,36576,3806,9.61,29753
2020-01-28,32718,5545,5.9,24420
2020-01-29,30685,2796,10.97,25747
2020-01-30,25790,2832,9.11,20424
2020-01-31,14468,2549,5.68,10736
2020-02-03,11924,2843,4.19,8474
2020-02-04,13089,1215,10.77,9832
2020-02-05,12001,1436,8.36,8862
2020-02-06,17064,2228,7.66,8327
2020-02-07,457648,28289,16.18,87764
2020-02-10,82248,8914,9.23,40975
2020-02-11,22357,5730,3.9,13908
2020-02-12,19216,4016,4.78,10861
2020-02-13,95144,2558,37.19,85176
2020-02-14,93175,5764,16.16,44669
2020-02-17,112097,11886,9.43,50652
2020-02-18,35357,4227,8.36,20820
2020-02-19,36154,3545,10.2,19927
2020-02-20,175186,3973,44.09,134018
2020-02-24,37029,4076,9.08,16181
2020-02-25,25958,4588,5.66,13414
2020-02-26,16039,3156,5.08,8103
2020-02-27,24943,3532,7.06,12509
2020-02-28,93965,5039,18.65,80326
2020-03-02,37540,4040,9.29,23721
2020-03-03,28953,3697,7.83,15792
2020-03-04,23550,3936,5.98,13543
2020-03-05,10440,1596,6.54,5146
2020-03-06,7641,1335,5.72,4173
2020-03-09,17612,1953,9.02,11585
2020-03-11,12719,1829,6.95,7358
2020-03-12,51615,4898,10.54,28476
2020-03-13,38919,5577,6.98,19179
2020-03-16,36993,6698,5.52,19873
2020-03-17,14129,3798,3.72,7850
2020-03-18,142234,11352,12.53,108582
2020-03-19,39513,4741,8.33,25225
2020-03-20,24281,5494,4.42,12677
2020-03-23,32539,3439,9.46,19791
2020-03-24,26227,4596,5.71,13482
2020-03-25,23468,2995,7.84,11476
2020-03-26,113004,3219,35.11,99670
2020-03-27,56072,5263,10.65,40374
2020-03-30,15230,1891,8.05,8634
2020-03-31,16882,2041,8.27,10822
2020-04-01,7349,1013,7.25,4905
2020-04-03,11066,3168,3.49,6798
2020-04-07,43942,3616,12.15,35487
2020-04-08,30978,2401,12.9,20558
2020-04-09,25853,3375,7.66,17530
2020-04-15,26710,2987,8.94,14906
2020-04-16,80170,5603,14.31,33422
2020-04-17,198003,16566,11.95,99216
2020-04-20,60404,8967,6.74,30018
2020-04-21,44807,7355,6.09,20557
2020-04-22,51580,6792,7.59,23624
2020-04-23,31610,5676,5.57,16142
2020-04-24,24181,4179,5.79,13664
2020-04-27,55605,8283,6.71,29621
2020-04-28,57952,6239,9.29,21877
