Date,TTL_TRD_QNTY,NO_OF_TRADES,QTY_PER_TRADE,DELIV_QTY
2019-09-30,2819901,30766,91.66,599605
2019-10-01,2178536,25060,86.93,541423
2019-10-03,833692,10380,80.32,493544
2019-10-04,310699,4552,68.26,98207
2019-10-07,719279,9004,79.88,372426
2019-10-09,931390,17646,52.78,335165
2019-10-10,339863,3707,91.68,162586
2019-10-11,431626,7793,55.39,179408
2019-10-14,717285,9444,75.95,426884
2019-10-15,506229,8862,57.12,260889
2019-10-16,969679,10985,88.27,644028
2019-10-17,859560,8667,99.18,419108
2019-10-18,1605715,19236,83.47,1011839
2019-10-22,709634,14269,49.73,293210
2019-10-23,601896,8019,75.06,188650
2019-10-24,1328963,12646,105.09,512330
2019-10-25,538926,6349,84.88,109619
2019-10-29,528812,9548,55.38,232558
2019-10-30,619648,8416,73.63,346368
2019-10-31,735664,9926,74.11,423595
2019-11-01,1066374,9604,111.03,348585
2019-11-04,1444896,13616,106.12,410380
2019-11-05,949080,16098,58.96,407303
2019-11-06,6581062,58657,112.2,1138143
2019-11-07,1910889,18116,105.48,680571
2019-11-08,2575007,22155,116.23,427733
2019-11-11,2237290,19837,112.78,1067574
2019-11-13,1786512,17515,102.0,344166
2019-11-14,470438,5823,80.79,116567
2019-11-15,373287,4598,81.18,116551
2019-11-18,1240060,10723,115.64,341395
2019-11-19,754382,10762,70.1,335632
2019-11-20,783735,11418,68.64,179774
2019-11-21,666527,8411,79.24,198756
2019-11-22,975354,9217,105.82,457952
2019-11-25,948156,7829,121.11,456650
2019-11-26,1192193,9589,124.33,707596
2019-11-27,914430,6730,135.87,654444
2019-11-28,1112486,4559,244.02,557578
2019-11-29,1474982,15262,96.64,713882
2019-12-02,865984,8284,104.54,352065
2019-12-03,819879,12107,67.72,348073
2019-12-04,1055373,8371,126.07,347477
2019-12-05,1190984,18708,63.66,633903
2019-12-06,589579,7723,76.34,221372
2019-12-09,808510,11827,68.36,345717
2019-12-10,988308,3403,290.42,661906
2019-12-11,770310,4505,170.99,389163
2019-12-12,457811,3707,123.5,208495
2019-12-13,387143,3348,115.63,123676
2019-12-16,281871,4274,65.95,73548
2019-12-17,648471,6107,106.18,111786
2019-12-18,932713,12627,73.87,374053
2019-12-19,924704,9563,96.7,277874
2019-12-20,2315022,35927,64.44,885905
2019-12-23,1232406,9964,123.69,435182
2019-12-24,1194922,9277,128.8,164819
2019-12-26,359693,3542,101.55,127743
2019-12-27,1035653,8731,118.62,265684
2019-12-30,584330,5124,114.04,129723
2019-12-31,352944,3531,99.96,82348
2020-01-01,263594,2535,103.98,42934
2020-01-02,438931,4466,98.28,100109
2020-01-03,1799065,16139,111.47,354388
2020-01-06,377435,3735,101.05,85397
2020-01-07,378887,4138,91.56,66559
2020-01-08,790527,6641,119.04,398792
2020-01-09,1686167,15741,107.12,479474
2020-01-10,1265967,11914,106.26,388197
2020-01-13,871797,9608,90.74,190333
2020-01-14,650736,6136,106.05,158610
2020-01-15,1019876,8461,120.54,184700
2020-01-16,1307957,14694,89.01,332475
2020-01-17,2457425,21566,113.95,322138
2020-01-20,1370305,13842,99.0,221489
2020-01-21,1184498,11901,99.53,365791
2020-01-22,2855704,27479,103.92,525763
2020-01-23,755295,12288,61.47,201528
2020-01-24,1416492,32713,43.3,450169
2020-01-27,1121878,16269,68.96,318488
2020-01-28,974154,16766,58.1,240062
2020-01-29,821496,8198,100.21,150004
2020-01-30,646769,6623,97.65,143497
2020-01-31,1109871,12056,92.06,538863
2020-02-03,287913,4813,59.82,47766
2020-02-04,1109780,10129,109.56,657019
2020-02-05,2256587,18713,120.59,711163
2020-02-06,1367568,9906,138.05,570264
2020-02-07,779732,9861,79.07,319651
2020-02-10,356384,4733,75.3,89769
2020-02-11,1299915,10518,123.59,301783
2020-02-12,778356,15159,51.35,199306
2020-02-13,10279321,77901,131.95,1009944
2020-02-14,2613447,20832,125.45,860387
2020-02-17,2533917,19396,130.64,997119
2020-02-18,2666620,19772,134.87,526937
2020-02-19,1072964,11136,96.35,187397
2020-02-20,1808533,17445,103.67,560019
2020-02-24,936902,13249,70.71,326465
2020-02-25,933492,12537,74.46,373634
2020-02-26,816525,9337,87.45,339041
2020-02-27,1499828,20643,72.66,456837
2020-02-28,1871232,18775,99.67,519669
2020-03-02,1992380,17213,115.75,935753
2020-03-03,1668834,15180,109.94,432620
2020-03-04,1532681,14749,103.92,297632
2020-03-05,1027384,10129,101.43,228396
2020-03-06,974178,10673,91.27,382229
2020-03-09,1798464,15159,118.64,922479
2020-03-11,1646289,25443,64.7,887575
