Date,TTL_TRD_QNTY,NO_OF_TRADES,QTY_PER_TRADE,DELIV_QTY
2021-12-23,51795,1133,45.71,33749
2021-12-24,76084,748,101.72,53634
2021-12-27,84528,1064,79.44,57674
2021-12-28,85445,1091,78.32,61488
2021-12-29,89930,990,90.84,59348
2021-12-30,98545,1049,93.94,76734
2021-12-31,138113,1348,102.46,91855
2022-01-03,489895,3526,138.94,300545
2022-01-04,286845,1913,149.95,180636
2022-01-05,523518,2875,182.09,252078
2022-01-06,343326,1975,173.84,230542
2022-01-07,2051115,8362,245.29,678301
2022-01-10,655383,4170,157.17,401935
2022-01-11,528807,3736,141.54,246221
2022-01-12,295676,2194,134.77,187325
2022-01-13,204645,1526,134.11,144746
2022-01-14,510329,2494,204.62,280346
2022-01-17,537342,3282,163.72,278519
2022-01-18,352130,2506,140.51,259479
2022-01-19,266454,2004,132.96,178020
2022-01-20,193096,1848,104.49,116771
2022-01-21,202151,1729,116.92,126668
2022-01-24,447000,3336,133.99,306595
2022-01-25,166783,1859,89.72,103171
2022-01-27,308105,2109,146.09,195317
2022-01-28,337685,4127,81.82,205129
2022-01-31,169823,1775,95.67,126466
2022-02-01,458670,4032,113.76,197870
2022-02-02,147907,1614,91.64,98665
2022-02-03,108446,1246,87.04,76295
2022-02-04,178434,1585,112.58,112931
2022-02-07,154363,1687,91.5,108990
2022-02-08,102765,1149,89.44,75952
2022-02-09,96728,1092,88.58,67151
2022-02-10,156810,1394,112.49,99350
2022-02-11,120194,1271,94.57,91829
2022-02-14,302816,2925,103.53,201192
2022-02-15,221160,2373,93.2,135645
2022-02-16,131467,1556,84.49,94940
2022-02-17,129973,1427,91.08,86355
2022-02-18,108483,1174,92.4,72701
2022-02-21,131846,1345,98.03,91057
2022-02-22,238367,2299,103.68,153882
2022-02-23,124233,1368,90.81,77569
2022-02-24,425862,3215,132.46,298446
2022-02-25,324626,2435,133.32,218706
2022-02-28,186025,1420,131.0,134317
2022-03-02,184916,1595,115.93,106664
2022-03-03,169497,1543,109.85,114894
2022-03-04,115767,1230,94.12,63150
2022-03-08,217217,2088,104.03,132930
2022-03-09,246026,1645,149.56,164289
2022-03-10,183097,1404,130.41,119322
2022-03-11,99704,953,104.62,66934
2022-03-14,130672,1257,103.96,100074
2022-03-15,157531,1190,132.38,108914
2022-03-16,225038,1735,129.7,116841
2022-03-17,182643,1428,127.9,129287
2022-03-21,224904,1463,153.73,157424
2022-03-22,108975,978,111.43,86350
2022-03-23,123934,1047,118.37,72416
2022-03-24,94726,715,132.48,69208
2022-03-25,174056,959,181.5,137129
2022-03-28,457716,4673,97.95,357950
2022-03-29,854654,7685,111.21,608830
2022-03-30,640123,9732,65.78,356467
2022-03-31,402987,2457,164.02,234452
2022-04-01,317267,1895,167.42,233779
2022-04-04,589942,3642,161.98,320148
2022-04-05,329673,2914,113.13,209202
2022-04-06,376248,2137,176.06,261796
2022-04-07,371622,2579,144.1,241667
2022-04-08,311405,2130,146.2,191233
2022-04-11,2347765,11645,201.61,1144561
2022-04-12,715508,5417,132.09,354382
2022-04-13,602443,3842,156.8,383879
2022-04-18,321889,2425,132.74,202423
2022-04-19,319391,2576,123.99,183053
2022-04-20,250124,2133,117.26,148062
2022-04-21,287886,1815,158.61,197066
2022-04-22,217626,1601,135.93,157635
2022-04-25,221543,1844,120.14,144335
2022-04-26,203206,1419,143.2,109546
2022-04-27,204203,1352,151.04,109464
2022-04-28,142481,1265,112.63,76492
2022-04-29,114105,1092,104.49,66160
2022-05-02,195599,1766,110.76,120380
2022-05-04,199727,1609,124.13,131533
2022-05-05,115477,1172,98.53,75429
2022-05-06,259403,1934,134.13,182270
2022-05-09,196026,1268,154.59,143813
2022-05-10,125864,1121,112.28,79295
