Date,TTL_TRD_QNTY,NO_OF_TRADES,QTY_PER_TRADE,DELIV_QTY
2019-09-30,29508,122,241.87,21522
2019-10-01,26897,116,231.87,25243
2019-10-03,54660,179,305.36,37062
2019-10-04,27195,109,249.5,19082
2019-10-07,37832,161,234.98,28803
2019-10-09,110423,257,429.66,90111
2019-10-10,25199,130,193.84,17567
2019-10-11,90790,273,332.56,62067
2019-10-14,107681,244,441.32,75679
2019-10-15,132736,1417,93.67,100243
2019-10-16,65213,1179,55.31,51157
2019-10-17,81221,1370,59.29,44634
2019-10-18,54376,1233,44.1,28609
2019-10-22,43384,956,45.38,31348
2019-10-23,24379,1170,20.84,13858
2019-10-24,20036,102,196.43,15261
2019-10-25,25632,61,420.2,19108
2019-10-29,108158,484,223.47,70532
2019-10-30,21458,159,134.96,12255
2019-10-31,229255,633,362.17,165288
2019-11-01,439337,1231,356.89,237959
2019-11-04,504599,663,761.08,218753
2019-11-05,518784,1488,348.65,242068
2019-11-06,170427,810,210.4,99170
2019-11-07,40158,149,269.52,40158
2019-11-08,64999,197,329.94,64999
2019-11-11,33458,138,242.45,33458
2019-11-13,63380,188,337.13,63380
2019-11-14,66782,100,667.82,66782
2019-11-15,119764,151,793.14,119764
2019-11-18,54990,97,566.91,54990
2019-11-19,203586,302,674.13,203586
2019-11-20,342691,425,806.33,342691
2019-11-21,92099,94,979.78,92099
2019-11-22,13523,31,436.23,13523
2019-11-25,17005,44,386.48,17005
2019-11-26,45950,92,499.46,45950
2019-11-27,125292,190,659.43,125292
2019-11-28,174967,226,774.19,174967
2019-11-29,91013,190,479.02,91013
2019-12-02,30383,153,198.58,30383
2019-12-03,56725,137,414.05,56725
2019-12-04,19965,81,246.48,19965
2019-12-05,57436,85,675.72,57436
2019-12-06,27730,69,401.88,27730
2019-12-09,38452,93,413.46,38452
2019-12-10,72060,287,251.08,49497
2019-12-11,64265,142,452.57,39969
2019-12-12,57982,141,411.22,35058
2019-12-13,58676,211,278.09,30418
2019-12-16,60961,64,952.52,39811
2019-12-17,68401,172,397.68,56674
2019-12-18,151597,468,323.93,115932
2019-12-19,59239,321,184.55,43389
2019-12-20,36739,198,185.55,30731
2019-12-23,43224,131,329.95,37128
2019-12-24,183235,325,563.8,150578
2019-12-26,72734,169,430.38,51581
2019-12-27,58730,160,367.06,38347
2019-12-30,163288,446,366.12,106314
2019-12-31,36402,166,219.29,28665
2020-01-01,109314,349,313.22,76873
2020-01-02,54428,138,394.41,45460
2020-01-03,64543,200,322.71,41817
2020-01-06,60060,161,373.04,49781
2020-01-07,45571,243,187.53,32995
2020-01-08,93133,378,246.38,57505
2020-01-09,128594,489,262.97,84516
2020-01-10,132580,398,333.12,107287
2020-01-13,70757,168,421.17,52199
2020-01-14,141796,387,366.4,114257
2020-01-15,79488,175,454.22,64861
2020-01-16,27930,89,313.82,20474
2020-01-17,68881,127,542.37,43726
2020-01-20,67044,167,401.46,55680
2020-01-21,28673,116,247.18,26391
